Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
SP102567	13	24	0	4	100	43	5	20	3	9	0	15
SP117595	0	11	11	0	15	24	0	13	2	0	0	7
SP135440	9	11	0	4	56	7	5	23	6	14	3	13
SP135296	10	61	0	10	105	23	7	6	0	3	0	0
SP117294	0	4	2	4	5	5	3	11	2	2	0	1
SP135363	12	9	1	3	68	22	0	20	2	3	0	11
SP102499	4	7	0	8	40	24	0	31	3	4	0	0
SP117951	0	1	6	4	11	6	0	5	2	0	0	3
SP117085	0	0	2	8	18	8	0	5	1	2	2	0
SP106669	0	5	8	3	42	18	2	21	2	10	0	0
SP135316	3	18	0	9	20	15	0	4	0	3	1	5
SP135305	29	116	44	515	187	87	0	0	14	0	5	9
SP102581	2	2	0	1	15	0	0	4	2	1	0	4
SP106718	14	53	0	2	51	8	5	42	1	0	3	9
SP135451	0	6	2	3	27	8	4	30	0	6	1	2
SP135354	0	10	25	4	37	18	10	25	1	1	0	4
SP102611	36	406	0	50	257	40	28	6	8	0	1	25
SP135448	7	26	0	7	28	5	0	29	3	2	0	5
SP117758	11	43	10	15	76	32	7	33	10	6	2	16
SP135282	6	21	0	2	26	12	0	19	3	2	0	0
SP135288	3	33	0	8	41	23	4	45	2	2	5	11
SP135475	5	11	0	9	10	17	8	38	0	6	1	4
SP135416	5	22	0	4	46	11	2	24	3	9	1	0
SP117331	21	48	0	12	95	23	0	19	5	2	0	0
SP135468	0	3	9	0	19	16	0	10	0	3	0	0
SP135463	1	0	0	1	5	16	0	11	1	4	1	0
SP135422	0	29	22	18	42	29	2	19	1	11	0	0
SP135484	6	16	0	2	52	10	1	12	0	6	0	6
CPCT02030262T	3	94	73	18	16	28	12	29	42	4	1	24
CPCT02190001T	157	146	0	28	61	4	25	63	75	10	0	75
CPCT02160010T	101	332	0	35	65	16	19	26	83	4	9	64
CPCT02330006T	57	287	0	14	19	28	33	15	71	9	10	14
CPCT02030290T	83	174	0	954	235	0	31	60	181	5	5	28
CPCT02060058T	109	315	25	23	21	11	28	48	77	3	0	32
CPCT02130025T	284	381	0	18	28	47	71	66	74	13	0	25
CPCT02060167T	299	266	0	12	34	76	38	26	72	9	0	39
CPCT02090031T	35	120	0	541	67	10	1	37	62	1	0	11
CPCT02220061T	328	507	39	17	15	43	102	101	52	23	23	67
DRUP01020037T	87	228	0	831	108	106	48	65	79	17	0	71
CPCT02380033T	88	286	0	10	60	19	35	42	72	8	2	16
CPCT02100135T	117	228	0	7	22	59	28	21	49	13	0	13
CPCT02080286T	10	33	0	10	40	8	7	32	31	11	0	8
CPCT02380032T	247	158	84	24	38	34	35	33	89	12	0	1
CPCT02250006T	0	66	210	376	15	209	1	0	94	2	0	4
CPCT02050312T	60	194	38	6	22	38	14	34	63	13	0	17
CPCT02270017T	201	182	0	3	0	129	28	0	162	2	0	0
CPCT02060210T	45	179	77	21	28	56	38	29	120	2	0	12
CPCT02090039T	130	256	0	13	47	35	49	26	46	19	0	25
CPCT02110060T	121	383	0	31	18	31	30	20	97	0	0	20
CPCT02130044T	52	195	46	10	6	62	19	25	125	11	0	0
CPCT02130047T	403	330	117	48	25	62	25	76	152	0	0	28
WIDE01010068T	184	464	108	26	28	40	50	75	51	10	4	48
WIDE01010103T	9	60	0	9	2	38	13	4	21	4	2	14
CPCT02440009T	333	318	54	7	0	58	10	0	157	0	0	0
WIDE01010243T	46	150	0	8	21	67	22	29	34	9	3	13
CPCT02130079T	88	140	71	13	23	38	14	23	106	10	0	3
CPCT02130082T	51	353	0	22	41	33	28	43	123	22	5	27
CPCT02210054T	115	151	45	22	13	35	31	67	60	19	3	39
CPCT02120131T	231	182	0	5	9	62	10	7	125	0	7	0
CPCT02370030T	76	206	32	37	43	69	38	25	200	15	4	5
CPCT02090047T	66	315	0	1328	0	248	58	90	375	18	0	56
CPCT02130118T	189	279	0	9	7	35	36	25	71	4	0	36
CPCT02080238T	155	329	53	27	44	66	57	47	64	11	0	10
CPCT02130120T	136	432	0	34	70	59	59	34	137	14	3	2
CPCT02030501T	0	183	76	22	46	18	14	19	95	2	0	0
CPCT02190041T	481	393	0	39	124	0	89	35	66	8	0	40
CPCT02130133T	63	83	123	26	19	53	31	127	86	9	18	23
CPCT02130129T	71	137	18	7	26	0	13	47	60	3	4	0
CPCT02290049T	232	377	0	20	41	15	37	68	110	11	0	28
CPCT02380050T	69	144	0	6	26	75	37	31	147	2	0	20
CPCT02090060T	126	155	83	28	70	24	2	71	74	9	0	37
CPCT02210068T	0	146	107	294	30	193	25	16	117	14	8	52
CPCT02410012T	44	271	0	34	31	14	36	11	93	10	4	17
DRUP01090022T	122	257	1	726	57	120	41	38	144	12	0	54
CPCT02050246T	62	514	21	9	21	55	47	27	187	13	1	23
CPCT02050244T	208	364	25	5	0	38	39	8	140	12	0	220
CPCT02060111T	12	160	32	453	25	155	3	0	191	7	0	0
CPCT02050070T	0	35	62	12	0	45	23	24	117	3	7	7
CPCT02250001T	104	169	13	161	18	33	13	54	119	12	0	44
CPCT02070231T	113	262	0	17	87	40	10	22	79	12	0	8
CPCT02210016T	167775	3529	21027	0	0	0	0	0	1305	0	4949	0
CPCT02070132T	136	236	17	10	14	0	15	35	39	20	0	79
CPCT02180029T	0	101	19	20	48	61	12	30	85	10	9	15
CPCT02050195T	53	102	0	26	46	109	22	38	39	0	0	38
CPCT02060107T	178	446	27	18	98	4	70	70	54	15	8	57
CPCT02070177T	6	93	66	1	32	15	26	37	55	10	7	18
CPCT02030366T	157	456	5	14	79	0	62	41	51	5	0	38
CPCT02050223T	68	207	125	7	33	28	0	30	125	0	0	0
CPCT02060116T	105	108	54	5	44	8	8	4	53	5	0	3
CPCT02050239T	192	196	21	14	16	107	40	56	112	14	0	42
