MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
1:Ins:C:3	0.0018043400834721979	0.0001824114826422374	0.001626737121041515	0.004580499075527769	0.0027614777263079305	0.0011210463809675276	0.0033083129732403905	0.00381034619291313	0.001671061629167525	0.0032063950510200813	0.0018640384034370073	8.429936831817032e-05	0.002407174488180317	0.005586470093112439	0.006491461871045629	0.004827183877641801	0.004547710169572383	0.006044238025468758
1:Ins:C:4	0.003822165817109635	0.0005553069694724399	0.0029371044324943796	0.0027793857560027392	0.0010425744653682046	0.0013346482813358306	0.0022926729283062742	0.0039991717597786195	0.0014866624920978212	0.0025911595294019207	3.663845418486744e-05	0.00040643568545895904	0.0008342182612977922	0.01032439385773614	0.0034993598478467902	0.005934508217469556	0.0024318766570650043	0.00020024438394443677
1:Ins:C:5	0.011162657014328942	0.009080841338836763	0.0009864291059784591	0.0030775808366030333	1.9033350108657034e-05	0.0038611100526072307	0.0013379515998531133	0.0023111666514887474	0.04239398512523621	0.028407570687122644	2.802596928649634e-47	0.0006458962467877427	0.0020256874698172567	0.04101775533286855	0.005794890962943669	0.04842353548443498	0.005434422793199048	0.01757320669747287
1:Ins:T:0	0.00045122532312689143	0.0004903487057890743	0.003922222190303728	0.009062644863608965	0.00046606151649029924	0.0034928054452348077	0.003748007183967275	0.007860556711182767	0.005217622395139188	0.009249694259510761	0.011639930806309167	0.002240704293944873	0.0063381043641129505	0.020170850089871236	0.0022175334568601103	0.1101272775446705	0.014251493861156633	0.011616215695682967
1:Ins:T:1	0.000319460298442209	0.0014421318180393428	0.0027654592564795165	0.011826829725177958	0.002116942957148922	0.009223220994344956	0.014308097760076634	0.014223342790892275	0.0062777109839953485	0.0158917476105853	0.36894161835312844	0.004377034987846855	0.01654261835015859	0.008807672316906974	0.02085567208880093	0.005858901568572037	0.03444902379226732	0.003087916240100128
1:Ins:T:2	0.010187845486216247	0.001843194301764015	0.004809320170317998	0.03659429584397003	0.0021242791030090303	0.009234095540383578	0.014046554928645491	0.010104461367591284	0.005139993291231803	0.009748531197546982	0.12698313887518453	1.4082099078223109e-05	0.004867214315017918	0.025441818747203797	0.010254063705804128	0.008759634407178965	0.0025936925684800372	0.0019335001657600514
1:Ins:T:3	0.005466252439655364	0.007019040786108235	0.011803601566352882	0.014661898912163452	0.004257339821160713	0.006687560730497353	0.007135025628603984	0.00560799321567174	0.007893309452338144	0.00899482792652161	0.07493481555953622	0.0004604253763318411	0.00956374554312788	0.01901958902075421	0.009825815676013008	0.008450083651114255	0.005612053603604394	0.006064457313113962
1:Ins:T:4	0.005798649234347977	0.011930172864813357	0.005837277998584796	0.013285919353656937	0.0016192318411776797	0.008126952213060576	0.008382080629235133	0.01650211495696567	0.008315697348443792	0.00810260221527642	0.02288507461635163	0.003114315604325384	0.007412939340283629	0.010033024069853127	0.019265074655995706	0.003561780289746821	0.012440085771522717	0.0015440698780003004
1:Ins:T:5	0.14824142042229596	0.8588666260242462	0.06794033346893313	0.015939014279283584	0.006396056413999105	0.022376967525507288	0.008240828746929765	0.02614750253036618	0.5691227047145366	0.32959539622068407	0.030422837056453517	0.040812825562443325	0.0023479035496711733	0.06920928976203392	0.08634235504083336	0.07446945679174263	0.0038808449821044633	0.008953354990808293
2:Del:R:0	0.0002332791146818636	0.0012195340666221455	0.0037870255354209804	0.019675763761188136	0.001576877106417669	0.017557604213652666	0.017851642439491115	0.021220585405826567	0.008276465828821529	0.006669542893359903	0.008955024689203128	0.004211224417376798	0.05488265880383551	0.010595072839641943	0.01927689983858727	0.00811064711859217	0.01910335784777999	0.014928797988686711
2:Del:R:1	0.002999691776058171	0.0006826392272557769	0.0027291537600103765	0.014258550104859751	0.0010699663468403742	0.02974391643772833	0.02682449853979051	0.024482646512333305	0.009036161777330562	0.01712936598167289	0.0033538758446229624	0.008116829212522134	0.03688422826817259	0.021336874306434765	0.0273588979983424	0.007101407170994207	0.06624286556150764	0.0017700828754459508
2:Del:R:2	0.0012022830614296254	0.00038256580199231394	0.006506053759949282	0.003875826120493002	0.0001859257690375671	0.005888783289119601	0.008890072184149176	0.006494330248533515	0.004021481650997884	0.004078094596916344	0.006134229464805685	0.003624120270542335	0.009967862394551047	0.008884103876480367	0.008473714688443578	0.0050941988127306105	0.012280954943630604	0.00542595637816703
2:Del:R:3	0.003935143067501486	0.00016566349240747512	0.0014177904283860698	0.001828418092627544	0.00034375588220427746	0.004556063914205879	0.0023182121826496884	0.0004076736472779885	0.0023614978228579274	0.0026855248311767354	0.0011846990440062654	0.000772810023751731	0.0009770515313721263	0.004867840806255117	0.004053171691484749	0.00022953021049033852	0.0015236653814213242	0.006899141397154835
2:Del:R:4	0.0020183885165076278	1.1692404111585119e-09	0.00022651934843452183	0.0007041789861978032	0.00019576389858727339	0.0004882939630454075	0.001220653570489958	0.0010814101346356608	0.000722397680551694	0.0014498984150122852	0.00014346497075166554	5.918133050727192e-05	0.0004619360989687493	0.004897723943313395	0.00038136194938623194	0.0040996087327289385	0.001740377829109434	0.00562666097287547
2:Del:R:5	0.004616546670440584	1.3097404432649285e-05	0.0005437651015381561	0.00026214315207539584	2.8814685065299274e-05	0.0003852480556815863	0.00042284363661565294	0.0005570209212601185	0.0008481761323611891	0.0006993782833160367	0.00030093236346189655	0.0	0.0002971886300794324	0.0019214393531729003	0.0004855948605109006	0.0010895103645452765	0.0007476535323075951	0.027587647438049315
3:Del:R:0	6.256990598558332e-05	6.147585343569518e-05	0.0009792879594351688	0.005549484204793771	0.003618717847521111	0.008607822018093429	0.00791689961333759	0.014854158468975386	0.0019612780282545826	0.0024087795929517595	0.0023257730905970673	0.005414821425491709	0.03645170297473669	0.0032715068258403336	0.014998689715284855	0.008992181306832946	0.0021869312507800487	0.004944075090318165
3:Del:R:1	0.0016605777718359605	0.007008787522063358	0.003537006299229688	0.004891253674286417	0.0009262915411090944	0.005050362963229418	0.00867042169906199	0.01775117152777966	0.01431834638788132	0.014480979190848871	0.002198039343638811	0.009660324126598426	0.014200895969988778	0.012825085557997227	0.007905196540814358	0.0040381224910925086	0.08009921064600349	0.0029880478500854224
3:Del:R:2	0.0006595447799190878	0.000608501800961676	0.0006522368650576027	0.0011872056440915912	0.0001236548533847781	0.0006563524233717999	0.0030041636066744106	0.003073302757802594	0.00445738631853601	0.005069443586398848	0.0009902681668972945	0.00048664617257600186	0.0009313257283065468	0.0062861758706276305	0.003601745484279917	0.0036040930860326624	0.018069013588400365	0.0014315640561790132
3:Del:R:3	0.00015174639217548246	0.0003436023909941532	0.0001606942861690186	0.0012635393799809692	4.1096412655923234e-05	0.0006522694328668877	0.0019106547399962892	0.0009792340703072	0.0016548387093314432	0.001787861455084112	7.082939264364541e-06	0.0001385199032869622	0.0007613811449901675	0.0006682759178170272	0.0006389332791036395	0.0027777746855281293	0.001554919980347904	0.0005268072067648433
3:Del:R:4	0.0002685453673257143	4.0179115097949136e-06	0.00011312744021438448	0.0003810809696699025	1.4402385568246246e-05	7.179675988290057e-05	0.00027831618976406955	0.00021811111553162731	0.0002729690456727951	0.0002277590062294621	0.0002916904420216326	0.0004560784216653246	0.00022588362267806695	0.0004323741910047829	0.00047269364860540007	0.0011236748564189903	0.0010945754542339614	0.0005458729745310009
3:Del:R:5	0.00026698494780703186	2.1901665667085624e-05	1.3257909136440982e-05	9.316549895622472e-05	0.0	3.361592040462824e-06	3.896160305473018e-05	0.00015140789960458535	0.00036863326361071815	0.0002114903065756124	0.00011496624060181482	2.101713797237892e-06	7.956885112086809e-05	0.0004295162310097922	6.132081081034358e-05	0.0006928460738069475	0.00010893039633200763	0.0006671130181927509
