Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
CPCT02070264T	236	222	35	163	34	48	127	139	75	40	9	47	8
CPCT02070420T	2	43	6	46	283	41	39	63	39	26	15	29	2
DRUP01070028TII	105	187	25	208	0	20	68	21	27	43	2	402	0
CPCT02080180T	112	89	62	219	86	35	123	166	55	78	67	40	1
CPCT02070446T	33	162	17	159	17	25	32	60	61	41	13	48	0
CPCT02020704TII	48770	8100	6855	0	0	0	351	1022	0	753	0	274	0
CPCT02220031T	252	115	58	134	1128	88	225	72	49	99	67	111	13
DRUP01070071T	55	0	27	210	840	0	123	2	286	18	30	372	0
CPCT02140102T	52	88	7	109	14	16	40	80	0	45	34	28	9
CPCT02070280T	52	71	0	109	15	67	93	80	34	40	17	24	11
CPCT02100194T	10	15	8	114	15	145	17	5	78	27	36	20	0
CPCT02070268T	102	137	8	275	54	64	100	208	232	9	64	30	5
CPCT02011043T	68	107	4	140	23	16	50	50	50	56	19	31	1
CPCT02070449T	9	27	16	88	12	58	38	38	169	40	23	27	0
CPCT02340056T	131	202	19	223	29	56	127	84	48	29	19	30	8
CPCT02070450T	152	271	16	239	37	45	41	109	244	32	55	32	0
CPCT02220069T	76	113	52	394	31	5	128	93	110	87	88	110	2
CPCT02070452T	26	0	1	129	11	58	34	47	130	54	20	19	9
DRUP01070038T	19080	2041	975	250	43	164	260	0	0	314	129	199	55
CPCT02150043T	34	51	0	57	22	21	32	64	26	25	19	20	2
CPCT02090033T	78	144	9	88	65	11	104	125	20	2	31	133	5
CPCT02070426T	24	52	12	53	36	30	60	91	47	73	28	30	3
CPCT02150047T	38	98	8	82	10	56	31	44	24	42	36	37	9
CPCT02070125T	108	5	40	174	1163	121	120	0	0	58	23	250	0
CPCT02190054T	137	130	0	290	125	64	59	192	148	54	36	60	7
CPCT02130169T	49	0	19	132	1130	155	176	127	280	78	18	93	13
CPCT02020918T	66	132	42	119	5	30	42	118	22	29	46	40	9
CPCT02070459T	54	61	8	293	31	6	61	88	134	41	41	46	7
CPCT02140055T	40	22	0	69	236	67	78	67	0	34	25	41	3
DRUP01070028T	127	109	22	210	18	110	367	19	0	35	0	21	0
CPCT02160061T	123	149	17	156	44	279	45	74	84	72	43	39	2
CPCT02020656T	51	134	9	188	41	282	129	115	78	53	54	26	10
CPCT02020931T	38	93	20	216	31	3	50	81	60	42	44	23	2
CPCT02070106T	71	80	59	261	657	58	165	161	0	54	68	50	0
CPCT02070289T	39	18	26	131	21	61	125	52	12	36	14	6	0
CPCT02210043T	57	109	31	295	26	65	209	106	34	27	21	98	0
CPCT02010753T	359	120	40	163	1806	144	234	127	177	88	116	57	6
CPCT02020924T	80	42	6	238	50	53	29	48	104	63	18	34	2
CPCT02070293T	59	73	3	75	18	44	98	50	80	45	34	33	23
CPCT02020938T	3	65	41	143	19	102	43	17	92	341	66	33	0
CPCT02200006T	32	84	0	111	31	219	36	89	120	53	90	4	10
CPCT02020658T	26	59	9	68	31	49	60	41	67	29	41	17	3
CPCT02070292T	65	95	0	201	20	95	198	34	31	67	28	25	7
CPCT02070055TII	152	140	39	103	1447	131	192	39	0	70	7	482	14
CPCT02070466T	19	0	7	143	34	92	58	73	138	15	80	19	6
CPCT02070454T	31	52	0	60	27	44	26	53	3	24	25	13	6
CPCT02010762T	30	1	26	140	61	109	71	113	137	67	88	19	0
CPCT02260016T	98	238	33	205	94	28	79	111	0	87	11	50	0
CPCT02350020T	720	320	49	265	27	26	72	80	77	99	48	36	28
CPCT02070295T	64	81	24	160	17	63	81	112	81	41	32	3	0
CPCT02020942T	44	51	6	126	13	34	26	58	81	54	66	30	3
CPCT02140060T	46	119	16	379	71	81	92	78	120	26	44	25	0
CPCT02310008T	32	14	18	200	4	67	67	89	19	58	27	24	5
CPCT02070300T	57	53	11	194	22	111	78	84	111	39	36	6	0
CPCT02160062T	22	30	0	71	8	25	20	27	46	19	37	24	12
CPCT02070473T	11	73	4	64	28	72	48	79	60	38	44	29	8
CPCT02070468T	30	37	0	142	21	39	40	47	71	39	28	22	15
CPCT02300052T	337	380	0	135	18	94	34	68	208	58	26	15	23
CPCT02070301T	71	108	41	196	1019	0	204	339	0	43	170	33	0
CPCT02430002T	39	34	3	138	340	72	46	203	0	40	46	15	3
CPCT02070474T	39	74	18	240	11	56	41	97	40	35	20	40	8
CPCT02070472T	43	82	6	145	9	45	34	79	0	27	45	11	0
DRUP01070036T	59	121	29	121	81	354	336	55	14	35	42	29	2
CPCT02150052T	1127	125	44	56	3311	0	197	601	131	283	133	66	47
CPCT02070307T	160	149	46	141	161	220	105	32	35	52	21	32	15
CPCT02330099T	146	114	44	329	14	90	119	136	30	50	71	52	3
CPCT02070263T	55	69	17	98	17	133	145	23	66	43	23	12	0
DRUP01050020T	180	209	26	174	41	88	139	139	154	33	22	30	2
CPCT02020678T	60	32	6	66	786	68	126	125	0	22	27	34	9
CPCT02020673T	23	46	48	172	768	102	206	156	0	41	68	82	0
WIDE01010113T	84	169	39	74	20	41	63	58	38	31	17	49	0
CPCT02050442T	73	184	38	381	26	38	45	30	105	33	22	36	7
CPCT02020968T	108	195	7	411	32	268	35	239	0	62	81	55	0
CPCT02020970T	37	116	18	187	26	0	47	39	56	83	48	197	2
CPCT02060294T	63	198	2	138	123	25	76	69	186	70	35	72	10
CPCT02070478T	133	90	32	284	38	253	54	83	69	21	50	38	0
CPCT02140065T	80	114	23	165	33	52	94	97	28	49	17	18	0
CPCT02210085T	94	158	0	132	40	2	53	57	82	24	39	30	5
CPCT02390044T	460	447	0	245	15	57	41	34	132	92	35	39	10
CPCT02050443T	52751	5655	9071	328	0	0	771	0	0	106	0	432	1084
CPCT02070306T	75	164	36	439	55	66	86	110	0	34	65	18	3
CPCT02070481T	44	21	0	131	78	296	24	83	145	75	33	25	13
CPCT02070482T	13	0	0	29	1	11	18	23	31	2	1	24	0
DRUP01140005T	496	220	19	396	33	118	308	54	31	58	34	50	9
CPCT02220082T	45	70	11	90	23	56	20	0	0	345	42	19	6
CPCT02020687T	14	48	2	61	18	7	75	53	8	42	18	21	5
CPCT02070484T	70	57	0	178	338	64	39	50	45	26	25	19	0
CPCT02020686T	95	78	27	214	158	216	135	128	2	41	81	27	0
