Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
CPCT02290054T	13	188	44	70	88	19	0
CPCT02080256T	39	212	0	67	175	16	0
CPCT02030497T	152	51	1772	169	187	33	100
DRUP01290001T	1295	1007	40	108	259	41	88
CPCT02070372T	9	33	32	26	126	21	12
CPCT02290051T	7	33	25	0	202	16	3
CPCT02020815T	229	50	6799	0	19	83	173
CPCT02040271T	15	26	43	55	238	10	15
CPCT02130154T	8	74	39	25	60	9	5
CPCT02120164T	288	765	1434	56	222	72	135
CPCT02020797T	4	29	0	8	120	7	14
DRUP01010099T	182	520	2	55	119	71	10
CPCT02340104T	8	28	39	60	128	32	1
CPCT02380018T	162	320	51	492	245	25	193
CPCT02340010TIII	268	38	0	0	316	2282	21
CPCT02060033TII	93	120	14	55	453	89	23
CPCT02020582T	3	90	35	58	106	29	13
DRUP01050040T	465	499	75	13	77	17	19
CPCT02180041T	121	210	51	53	204	37	34
CPCT02060137T	4	19	36	7	76	11	8
CPCT02070403T	2	10	14	33	48	5	1
CPCT02050264T	114	332	12	51	179	11	1
CPCT02060143T	552	540	1204	276	104	57	50
CPCT02010988T	12	72	30	23	119	19	28
CPCT02010993T	70	98	80	372	66	63	31
CPCT02450003T	40	306	61	49	113	28	11
CPCT02230049T	10	211	237	988	179	19	40
CPCT02010995T	33	175	88	67	102	54	28
CPCT02010878TII	17	159	139	0	118	39	163
CPCT02010656T	2	13	0	0	127	0	3
CPCT02010645T	11	68	17	0	136	8	14
DRUP01330016T	488	882	160	642	140	46	390
DRUP01080005T	83	35	3245	0	705	78	88
CPCT02020879T	68	106	41	139	53	21	14
DRUP01090004T	25	23	114	226	169	233	27
CPCT02020613T	22	163	117	149	116	16	38
DRUP01110006T	129	480	44	63	57	24	30
CPCT02010993TII	71	112	70	383	68	49	3
CPCT02060125T	75	285	18	85	305	49	11
CPCT02010647T	69	339	0	38	234	30	21
CPCT02170013T	1083	277	32	58	224	57	57
CPCT02170009T	21	50	36	0	272	5	6
CPCT02170012T	49	261	77	0	240	0	13
CPCT02020608T	4	24	0	0	225	12	0
CPCT02010653T	9	32	26	0	212	4	8
CPCT02230061T	345	507	23	43	196	80	0
CPCT02050282T	274	495	85	110	210	42	66
CPCT02010560T	12	22	22	23	43	9	8
CPCT02380007T	16	101	15	9	60	17	2
CPCT02380006T	127	97	1099	132	55	45	60
CPCT02080105T	262	369	2703	144	46	107	85
CPCT02340010T	274	34	20	63	15	2345	29
CPCT02010574T	20	109	45	28	66	20	15
CPCT02180026T	448	554	114	525	52	60	221
CPCT02100074T	10	266	32	34	114	51	3
CPCT02120018T	22	184	62	8	117	31	13
CPCT02380008T	0	508	23	50	30	11	0
CPCT02170003T	13	68	14	0	260	7	0
CPCT02020523T	73	101	28	165	85	20	33
CPCT02060081T	144	230	38	48	51	44	12
CPCT02110035T	10	30	25	46	98	26	12
CPCT02080118T	8	143	49	62	25	30	11
CPCT02010589T	1	28	19	30	78	19	1
CPCT02030349T	52630	2378	678	0	0	200	78
CPCT02110039T	75	270	0	0	156	13	5
CPCT02030353T	293	484	76	1424	32	17	42
CPCT02020540T	148	190	776	143	135	33	83
CPCT02010611T	1	9	12	5	62	13	0
CPCT02010608T	40	30	64	36	54	16	24
CPCT02330041T	641	494	781	47	4	188	1053
CPCT02380013T	15	19	7	25	58	18	19
CPCT02010613T	9	20	40	44	88	19	11
CPCT02010577T	4	43	16	20	182	28	20
CPCT02050202T	33	103	37	0	174	26	20
CPCT02020559T	106	133	73	69	162	559	12
CPCT02050213T	13	112	38	29	216	10	3
CPCT02020568T	13	141	49	75	54	9	0
CPCT02030364T	6	43	37	21	173	11	10
CPCT02050192T	9	14	0	0	290	16	2
CPCT02010596T	3	18	9	1	170	10	10
CPCT02030365T	10	17	3	2	161	8	9
DRUP01010036T	11	48	22	63	277	30	0
CPCT02230043T	152	311	59	49	77	64	33
CPCT02080135T	181	148	132	336	296	44	62
CPCT02050229T	1	84	0	0	122	6	7
CPCT02010632T	9	26	10	20	118	13	1
CPCT02020579T	35	57	36	22	141	6	6
CPCT02020587T	27	39	162	486	325	44	11
CPCT02070040T	569	564	0	0	276	65	191
CPCT02070050T	385	786	19	57	91	32	138
CPCT02300004T	30	178	54	32	107	33	6
CPCT02020424T	6	31	59	17	62	6	8
CPCT02020433T	5	22	63	23	62	10	21
CPCT02010466T	19	30	32	21	82	25	3
CPCT02010454T	14	34	30	18	55	12	16
CPCT02140036T	223	396	67	45	33	38	104
CPCT02010350T	11	130	21	24	54	17	4
CPCT02100039T	531	569	55	70	44	42	936
CPCT02050106T	225	403	92	436	41	32	10
CPCT02020415T	11	79	21	28	59	4	3
CPCT02180014T	56	301	60	102	43	28	17
CPCT02090006T	15	60	47	34	86	16	7
CPCT02020444T	12	41	156	410	189	19	11
CPCT02030314T	21	21	74	23	41	23	28
CPCT02190010T	72	140	38	10	73	23	8
DRUP01010013T	20	176	50	44	51	8	5
CPCT02080086T	72	52	3397	6	38	104	103
CPCT02010438T	2	9	48	24	62	19	15
CPCT02190012T	53	284	207	281	73	28	29
CPCT02010486T	2	81	19	0	96	28	11
CPCT02060077T	53	214	64	78	67	28	26
CPCT02020491T	310	1310	5091	0	12	174	105
CPCT02010538T	17	4	49	72	96	12	13
CPCT02170001T	17	252	38	110	36	59	24
CPCT02170002T	53	126	41	31	71	16	17
CPCT02050142T	6	162	14	78	78	23	29
CPCT02080071T	411	523	205	0	4	52	960
CPCT02020499T	8	150	14	80	97	13	6
CPCT02340008T	64	362	15	41	57	23	13
CPCT02020505T	33	63	137	434	76	44	9
CPCT02080158T	18	106	118	4	206	20	41
CPCT02010571T	9	12	22	0	284	15	15
CPCT02380010T	402	714	0	6	95	42	81
CPCT02110047T	1110	1087	0	0	148	71	88
CPCT02030425T	133	392	256	71	117	52	47
CPCT02080168T	0	43	26	74	63	8	4
CPCT02020641T	11	39	22	48	194	17	7
CPCT02230065T	31	107	64	1	179	32	28
CPCT02330074T	492	845	18	636	241	65	0
CPCT02010697T	23	40	10	0	173	7	0
CPCT02090028T	467	236	57	419	225	50	1449
CPCT02450008T	177	299	39	54	212	61	29
CPCT02010688T	4	34	19	42	77	8	4
CPCT02020646T	9	80	39	111	76	9	26
CPCT02010704T	15	14	17	0	228	10	11
CPCT02010705T	11	85	28	0	174	11	5
CPCT02250003T	0	0	0	3983	0	217	227
CPCT02010698T	8	127	10	111	87	14	8
WIDE01010622T	68	313	209	185	81	14	59
WIDE01010631T	202	437	21	58	31	115	79
WIDE01010635T	189	249	57	35	111	165	157
WIDE01010636T	119	399	567	89	47	41	16
WIDE01010658T	31	85	634	121	51	24	41
WIDE01010504T	18	84	38	28	49	15	12
WIDE01010493T	5	234	0	34	62	0	3
WIDE01010304T	3	29	34	6	45	12	23
WIDE01010568T	23	50	34	193	39	34	20
WIDE01010464T	84	509	306	62	148	44	43
WIDE01010467T	8	21	47	5	34	6	14
WIDE01010486T	17	20	56	33	32	10	8
WIDE01010516T	286	664	0	55	51	31	11
WIDE01010510T	245	444	88	141	66	23	17
WIDE01010583T	16	79	53	133	40	5	28
WIDE01010566T	626	350	16	73	54	165	28
WIDE01010578T	22493	757	83	0	160	585	70
WIDE01010599T	126	590	27	70	63	25	4
WIDE01010604T	124	557	68	98	94	64	25
WIDE01010614T	455	718	0	0	25	38	251
WIDE01010662T	64	389	46	0	154	25	26
WIDE01010672T	173	190	0	36	60	35	8
WIDE01010686T	1	7	24	10	64	7	24
WIDE01010532T	263	375	71	191	37	27	15
WIDE01010703T	13	14	56	26	68	14	17
WIDE01010712T	51	24	60	76	61	7	32
WIDE01010721T	49	174	87	103	74	39	20
WIDE01010663T	54	145	22	98	54	11	20
