Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
CPCT02050194T	15	232	65	27	77	39	51	66	53	15	12	68	34	31	56	5	11	8	0
CPCT02050193T	37	191	69	76	99	4	36	51	52	0	9	15	47	38	87	48	2	9	9
CPCT02030350T	22	7	97	9	7	25	41	17	21	39	20	38	6	6	38	7	0	7	5
CPCT02080123T	87	541	80	42	191	25	82	74	73	71	28	78	30	17	91	62	20	34	0
CPCT02020542T	57	4	56	0	38	127	33	26	17	0	10	30	9	22	17	23	48	12	32
CPCT02010505T	9	0	14	0	31	0	93	0	0	47	7	19	19	4	23	0	20	1	26
CPCT02020553T	30	4	51	8	18	10	31	3	13	12	6	20	15	5	29	0	18	2	8
CPCT02170006T	11	87	17	9	34	0	61	28	7	43	14	19	13	10	12	15	4	1	5
CPCT02050212T	29	158	49	37	60	42	138	18	19	0	34	0	14	50	26	26	41	28	0
CPCT02050214T	8	57	52	10	27	5	30	9	15	0	2	7	9	8	11	2	71	8	3
CPCT02050217T	11	35	16	22	20	10	80	17	2	48	5	21	6	0	21	0	0	11	0
CPCT02020573T	15	58	45	27	12	1	66	19	9	35	5	17	7	13	14	9	16	5	5
CPCT02180032T	17	2	3	27	20	0	61	5	13	3	7	26	14	19	0	7	0	3	8
CPCT02010503TII	135	106	66	120	119	96	231	51	52	41	20	0	10	31	39	33	32	3	6
CPCT02010622T	38	141	27	118	32	65	54	33	0	0	9	0	52	21	10	53	4	4	9
CPCT02030370T	46	13	37	39	37	47	59	3	3	26	3	9	5	5	15	0	30	32	3
CPCT02030339TII	62	241	22	78	62	73	116	28	64	0	10	32	17	20	43	7	47	32	11
CPCT02040142T	7	0	44	14	6	0	143	22	13	15	15	42	6	36	53	2	0	0	25
CPCT02120050T	0	8	16	25	11	0	76	17	11	3	8	31	4	0	6	2	0	1	7
CPCT02120037T	22	266	55	141	99	57	101	34	51	86	16	20	32	26	26	13	15	16	13
CPCT02050235T	326	459	239	0	139	105	155	62	36	114	10	111	26	45	101	89	0	16	29
CPCT02050236T	21	380	66	69	96	41	223	97	59	63	12	33	43	110	22	35	0	3	4
CPCT02050232T	13	31	22	18	0	16	84	10	20	22	14	0	13	23	12	8	28	0	9
CPCT02050240T	636	386	403	506	169	141	152	131	82	177	91	38	61	82	10	95	0	120	5
CPCT02020574T	3	0	6	17	18	0	54	3	3	13	0	3	3	8	1	10	0	8	1
CPCT02020578T	54	643	53	216	208	131	147	128	79	51	27	71	56	166	46	78	0	12	1
CPCT02090005T	35	512	44	8	316	113	84	142	64	106	15	0	54	0	20	198	0	17	0
CPCT02020423T	14	354	83	155	118	50	73	66	31	129	12	16	84	20	3	39	7	0	4
CPCT02020426T	682	115	189	205	117	44	110	55	19	282	615	0	381	123	6	54	9	861	33
CPCT02050092T	15	147	32	46	16	60	37	24	0	0	8	11	25	38	18	22	34	10	3
CPCT02010403TII	3	3	12	43	6	11	28	6	6	0	0	3	4	9	5	9	11	13	2
CPCT02020412T	28	241	29	80	25	55	45	51	43	0	0	0	5	19	14	10	0	3	9
CPCT02010469T	14	116	45	17	69	23	37	28	19	55	14	10	24	18	10	6	24	0	8
CPCT02180012T	13	40	20	40	31	21	23	4	2	0	5	0	7	16	9	16	6	4	5
CPCT02020445T	28	39	62	31	28	37	27	12	0	0	7	26	0	17	26	15	22	4	2
CPCT02050105T	112	213	80	263	98	120	26	49	69	58	44	0	45	64	16	37	0	43	6
CPCT02050055TII	220	102	94	31	50	97	39	0	44	71	30	99	41	44	52	46	0	27	21
CPCT02010493T	51	74	63	29	28	5	37	6	20	21	14	33	12	25	5	11	2	21	1
CPCT02010503T	98	100	62	98	118	97	84	51	46	28	12	0	7	38	31	27	19	9	3
CPCT02010501T	34	430	76	40	117	18	95	83	23	114	5	72	19	53	29	59	0	7	3
CPCT02020464T	7	19	11	44	14	21	15	8	9	0	7	16	8	41	11	4	14	4	0
CPCT02090009T	83	135	77	34	51	22	22	41	51	21	95	8	12	19	37	10	58	95	0
CPCT02020468T	0	2	11	24	8	0	18	11	4	0	2	0	0	6	2	1	14	5	2
CPCT02340001T	11	34	23	23	39	12	10	0	19	39	3	3	20	25	11	4	15	0	0
CPCT02080079T	5	0	20	5	7	0	21	6	22	46	8	12	7	1	19	7	0	3	15
CPCT02010526T	7	27	3	0	5	0	16	6	0	10	0	1	0	2	2	3	13	3	0
CPCT02010532T	30	322	53	96	138	33	55	68	51	52	9	19	30	28	2	53	7	7	0
CPCT02060051T	36	11	30	1	23	24	21	0	6	21	5	28	6	8	3	7	28	14	1
CPCT02050141T	8	79	45	15	18	0	33	44	31	35	102	8	15	5	11	1	94	3	0
CPCT02110024T	366	143	17	17	69	238	66	25	57	0	140	66	77	23	22	32	1	166	46
CPCT02120013T	31	30	110	68	53	0	42	12	7	195	17	12	39	32	44	10	6	2	1
CPCT02050158T	23	184	47	82	44	16	19	25	18	0	3	58	12	31	17	15	0	17	0
CPCT02050149T	18	5	62	10	45	33	5	0	15	0	8	9	21	8	104	2	87	8	0
CPCT02010557T	48	61	132	0	49	27	49	4	27	52	7	13	10	23	36	13	55	1	1
CPCT02220014T	39	9	96	24	36	98	14	0	23	51	19	4	23	9	40	11	15	23	12
CPCT02050052TII	83	65	18	28	37	61	22	19	20	0	116	7	11	12	29	1	8	150	12
CPCT02020506T	36	413	64	87	163	27	35	51	23	111	11	0	13	71	14	44	43	0	6
CPCT02030339T	34	218	17	56	40	52	25	26	37	0	4	24	6	3	30	10	38	10	8
CPCT02080163T	5	8	11	19	7	7	77	1	8	0	6	19	5	6	4	2	6	16	3
CPCT02050281T	20	109	14	28	69	49	73	15	16	12	15	9	21	27	15	16	8	15	15
CPCT02070243T	13	210	45	57	36	40	117	2	21	32	7	7	14	40	25	28	0	18	14
CPCT02340040T	12	0	40	8	0	4	26	15	0	0	7	4	9	8	21	9	51	4	0
CPCT02120077T	14	95	22	46	29	34	65	8	16	0	12	0	12	10	20	19	49	20	0
CPCT02030437T	34	57	40	16	9	2	119	20	3	37	9	23	27	0	17	10	0	1	5
CPCT02010641TII	92	7	82	37	18	33	87	0	18	0	22	0	16	10	10	3	37	39	3
CPCT02050291T	3	53	23	50	13	17	31	29	10	0	3	30	8	28	17	10	14	7	5
CPCT02020643T	45	116	64	78	39	42	55	12	31	97	14	47	14	27	39	45	58	3	2
CPCT02150006T	29	496	37	202	176	87	94	63	53	67	28	40	269	81	32	40	27	13	0
WIDE01010503T	24	144	19	83	16	34	28	27	8	16	10	21	6	35	11	24	0	7	10
WIDE01010567T	54	461	41	880	173	261	46	109	144	462	40	63	81	0	18	29	0	0	32
WIDE01010459T	21	287	39	108	84	65	44	39	17	182	10	62	84	22	2	46	49	6	7
CPCT02060041T	6	579	23	14	387	33	104	249	61	134	18	76	0	0	0	138	0	16	3
WIDE01010561T	134	157	230	91	107	26	30	36	24	16	111	14	95	66	36	20	0	198	16
WIDE01010651T	1	0	63	29	29	11	18	0	24	36	9	11	10	25	21	13	10	6	27
