Samples	ID1	ID2	ID4	ID5	ID6	ID8	ID9	ID14	ID19	ID20	ID21	ID25
SP84790	258	338	0	369	0	0	0	254	0	0	0	0
SP105673	137	204	0	0	679	212	145	0	0	0	0	0
SP85339	788	866	0	0	0	0	0	0	0	0	0	0
SP84719	290	571	0	0	0	0	0	0	0	0	0	0
SP105425	685	938	0	0	0	0	0	0	0	0	0	0
SP84056	621	393	0	0	314	0	0	0	0	0	0	0
SP105261	189	243	0	0	0	100	0	0	0	0	0	0
SP85379	873	998	0	0	0	0	0	0	0	0	0	0
SP105086	472	533	0	568	0	0	0	0	0	0	0	0
SP84392	14104	88071	0	0	0	0	0	0	0	0	0	0
SP105018	327	286	0	0	3303	791	0	0	0	0	0	0
SP84858	692	1237	0	0	0	0	0	0	0	0	0	0
SP84086	514	125	0	0	0	0	0	0	0	0	0	0
SP105213	391	607	0	0	0	0	0	0	0	0	0	0
SP105577	310	503	0	0	0	0	0	0	0	0	0	0
SP85431	269	114	0	0	0	0	140	0	0	0	0	0
SP84962	447	265	0	0	0	0	0	0	0	0	0	0
SP105006	258	406	0	319	0	0	0	0	0	0	0	0
SP84439	13167	82712	0	0	0	0	0	0	0	0	0	0
SP105159	192	231	146	0	0	0	104	0	0	0	0	0
SP85230	81	63	0	0	459	319	125	0	0	0	0	0
SP84922	371	1169	0	560	0	0	0	226	0	0	0	0
SP85130	594	984	0	0	0	0	0	0	0	0	0	0
SP104984	358	389	0	0	0	0	0	0	0	0	0	0
SP85222	127	120	0	0	0	0	65	0	0	0	0	0
SP105375	1035	906	0	0	0	0	0	1146	0	0	0	0
SP85287	510	294	0	245	0	0	0	0	0	0	0	0
CPCT02060042T	74	0	0	55	0	36	0	0	52	0	0	0
CPCT02130027T	286	196	0	0	0	0	0	0	216	0	0	0
CPCT02290024T	1247	1507	0	0	0	0	0	0	0	0	0	0
CPCT02230080T	785	1012	0	0	0	0	0	0	0	0	0	0
CPCT02070282T	777	1020	0	0	0	0	0	0	0	0	0	0
CPCT02060201T	891	776	0	0	0	0	0	0	0	0	0	0
CPCT02010752T	205	205	0	0	0	148	0	0	183	0	0	0
CPCT02130046T	663	810	0	0	0	0	0	0	0	0	0	0
CPCT02190033T	1218	1179	0	0	0	0	0	0	0	0	0	0
WIDE01010213T	562	1001	0	0	651	0	0	0	0	0	0	0
CPCT02440010T	897	1128	0	0	0	0	0	668	0	0	0	0
WIDE01010272T	354	550	0	0	0	0	0	0	0	0	0	0
DRUP01070085T	18263	72838	0	0	0	0	0	0	0	0	0	0
CPCT02380045T	1241	740	0	0	0	0	0	0	0	0	0	0
CPCT02150013T	269	264	0	0	0	122	0	0	210	0	0	0
CPCT02010769T	479	593	0	0	0	0	0	285	0	0	0	0
CPCT02450014T	130753	70724	0	0	0	0	0	0	0	66009	0	0
CPCT02130122T	803	427	0	0	0	0	0	0	0	0	0	0
CPCT02230107T	630	1399	0	0	0	0	0	0	0	0	0	0
DRUP01090017T	964	1316	0	0	0	0	0	1116	0	0	0	0
CPCT02020781T	716	930	0	0	741	0	0	0	0	0	0	0
CPCT02310016T	490	711	0	0	0	0	0	0	0	0	0	0
CPCT02300050T	871	1579	0	0	0	0	0	0	0	0	0	0
CPCT02020808T	603	955	0	0	423	0	0	0	0	0	0	0
CPCT02050414T	1371	1166	0	0	0	0	0	0	0	0	0	0
CPCT02230042T	139	30	0	0	0	46	0	0	117	0	0	0
CPCT02040170T	134	185	0	0	0	0	0	355	142	0	0	0
CPCT02330059T	1448	1783	0	0	0	0	0	0	0	0	0	0
CPCT02330063T	1105	1413	0	0	0	0	0	0	0	0	0	0
CPCT02020512T	536	450	0	0	0	0	0	0	0	0	0	0
CPCT02110031T	610	635	0	0	0	0	0	0	0	0	0	0
CPCT02030347T	16396	150922	0	0	0	0	0	0	0	0	0	0
CPCT02050179T	1317	1766	0	0	0	0	0	0	0	0	0	0
CPCT02010591T	406	413	0	0	0	0	0	0	231	0	0	0
CPCT02170007T	418	845	0	0	0	0	0	0	410	0	0	0
CPCT02210025T	477	625	0	0	0	0	0	618	392	0	0	0
CPCT02030376T	415	723	0	0	0	0	0	0	0	0	0	0
CPCT02050110T	1196	1106	0	0	0	0	0	0	0	0	0	0
CPCT02030318T	1204	1581	0	0	0	0	0	0	0	0	0	0
CPCT02100056T	120	408	0	220	0	0	0	0	0	0	0	0
CPCT02030326T	804	811	0	0	0	0	0	0	0	0	0	0
CPCT02120007T	530	995	0	0	0	0	0	532	0	0	0	0
WIDE01010573T	699	729	0	0	0	348	0	0	0	0	561	0
WIDE01010693T	501	614	0	0	0	0	0	0	0	0	0	0
