Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP107365	1.59E+00	6.34E-01	8.08E-01	5.36E-01	1.22E+00	1.16E-01	1.82E+00
SP78660	1.41E+00	2.96E-01	1.16E-01	5.35E-01	4.39E-01	0.00E+00	1.38E+00
SP78659	6.11E-01	5.36E-01	2.83E-01	4.93E-01	5.29E-01	0.00E+00	7.40E-01
SP107449	1.17E+00	4.46E-01	3.11E-01	5.49E-01	1.03E+00	9.28E-02	1.44E+00
SP78813	1.33E+00	4.54E-01	4.11E-01	3.32E-01	6.55E-01	0.00E+00	1.31E+00
SP78953	8.94E-01	2.73E-01	2.70E-01	0.00E+00	3.73E-01	0.00E+00	1.03E+00
SP78804	1.39E+00	2.21E-01	4.78E-01	6.65E-01	8.75E-01	0.00E+00	1.84E+00
SP107460	1.27E+00	7.30E-01	4.75E-01	7.15E-01	9.18E-01	2.52E-01	1.44E+00
SP107548	2.56E+00	1.34E-01	3.30E-01	4.05E-01	8.73E-01	0.00E+00	2.60E+00
SP78730	3.70E+00	8.65E-01	5.76E-01	6.55E-01	1.06E+00	0.00E+00	3.63E+00
SP78727	2.18E+00	5.27E-01	2.46E-01	3.80E-01	5.62E-01	0.00E+00	2.19E+00
SP78822	3.88E+00	8.44E-01	7.28E-01	8.31E-01	1.66E+00	0.00E+00	4.25E+00
SP78818	2.26E+00	4.12E-01	1.25E-01	3.49E-01	6.96E-01	0.00E+00	2.27E+00
SP78923	9.67E-01	2.03E-01	2.80E-01	2.72E-01	2.99E-01	0.00E+00	9.89E-01
SP107405	5.60E+00	1.09E+00	1.10E+00	6.37E-01	1.52E+00	2.99E-01	5.76E+00
SP107437	2.25E+00	1.22E+00	3.32E-01	8.09E-01	1.37E+00	7.01E-01	2.37E+00
SP78675	2.15E+00	5.59E-01	3.57E-01	5.21E-01	8.50E-01	2.00E-02	2.16E+00
SP107371	4.50E+00	1.33E+00	1.04E+00	2.00E+00	1.71E+00	1.23E+00	4.58E+00
SP107556	3.38E+00	5.83E-01	4.15E-01	4.72E-01	1.28E+00	0.00E+00	3.73E+00
SP78807	1.12E+00	4.27E-01	5.48E-01	8.44E-01	9.70E-01	0.00E+00	1.43E+00
SP78945	2.86E+00	1.84E-01	2.71E-01	2.36E-01	5.85E-01	0.00E+00	2.99E+00
SP107480	8.66E-01	4.61E-01	3.53E-01	3.86E-01	6.64E-01	0.00E+00	8.96E-01
SP107448	1.89E+00	2.67E-01	3.50E-01	4.30E-01	6.76E-01	2.20E-01	1.94E+00
SP107436	3.75E+00	4.40E-01	5.70E-02	4.03E-01	7.91E-01	0.00E+00	3.75E+00
SP79150	1.41E-01	1.74E-01	2.54E-01	1.26E-01	3.10E-01	3.85E-01	3.25E-01
SP107546	4.52E+00	1.04E+00	5.29E-01	7.96E-02	7.95E-01	0.00E+00	4.32E+00
SP107459	1.61E+00	7.59E-01	7.00E-01	4.83E-01	7.91E-01	2.70E-01	1.72E+00
SP78823	5.61E-01	1.55E-01	9.76E-02	2.26E-01	3.97E-01	0.00E+00	6.76E-01
SP78666	9.38E-01	3.48E-01	3.20E-01	3.56E-01	6.56E-01	0.00E+00	1.09E+00
SP78721	8.34E-01	3.25E-01	2.69E-01	1.88E-01	4.37E-01	1.12E-01	1.09E+00
SP78665	5.01E+00	4.83E-01	3.96E-01	6.73E-01	5.96E-01	0.00E+00	5.00E+00
SP78935	2.59E+00	5.40E-01	2.01E-01	3.78E-01	6.13E-01	2.46E-01	2.69E+00
SP107458	6.23E+00	6.84E-01	8.40E-01	9.17E-01	1.04E+00	2.33E-01	6.15E+00
SP79160	1.40E+00	2.41E-01	2.28E-01	6.20E-01	7.71E-01	1.00E-01	1.52E+00
SP107479	3.43E+00	4.75E-01	3.04E-01	4.86E-01	5.95E-01	1.58E-01	3.53E+00
SP107377	3.51E+00	8.95E-01	9.57E-01	7.80E-01	1.39E+00	0.00E+00	3.95E+00
SP78937	3.37E+00	8.58E-01	4.80E-01	4.30E-01	2.20E+00	0.00E+00	4.39E+00
SP107444	1.82E+00	2.90E-01	2.72E-01	2.79E-01	6.72E-01	2.81E-02	1.84E+00
SP79144	2.88E+00	5.50E-01	5.37E-01	8.36E-01	1.33E+00	1.87E-01	3.14E+00
SP107469	7.77E-01	1.38E-01	0.00E+00	2.00E-01	2.78E-01	3.59E-02	7.76E-01
SP107373	5.38E+00	7.41E-01	8.77E-01	1.03E+00	1.42E+00	8.98E-01	5.01E+00
SP107406	5.07E+00	1.36E+00	1.27E+00	3.99E+00	3.27E+00	1.21E+00	4.98E+00
SP107369	5.48E+00	1.29E+00	1.04E+00	6.64E-01	1.98E+00	3.98E-01	5.24E+00
SP107403	3.54E+00	1.52E+00	1.16E+00	1.02E+00	2.32E+00	3.81E-01	4.48E+00
SP107363	5.46E+00	1.27E+00	9.00E-01	9.27E-01	1.57E+00	1.30E+00	5.25E+00
SP78955	1.48E+00	1.04E-01	2.76E-01	2.60E-01	4.88E-01	5.03E-02	1.52E+00
SP78711	9.43E-02	0.00E+00	0.00E+00	0.00E+00	8.22E-02	0.00E+00	9.03E-02
SP78677	9.58E-01	4.17E-01	3.29E-01	4.06E-01	3.27E-01	1.34E-01	1.05E+00
SP78805	2.05E+00	1.30E-01	2.38E-01	7.31E-01	8.55E-01	0.00E+00	2.07E+00
SP107461	7.14E-01	1.97E-01	2.83E-01	3.35E-01	4.88E-01	1.81E-01	7.19E-01
SP107472	3.77E-01	4.11E-01	2.85E-01	1.10E-01	4.52E-01	0.00E+00	1.26E-01
SP107356	2.22E+00	8.57E-01	9.35E-01	6.69E-01	1.52E+00	2.00E-02	2.46E+00
SP78825	1.14E+00	4.35E-01	1.03E-01	6.35E-01	1.19E+00	0.00E+00	1.60E+00
