COSMIC_83	Koh_476
DEL:C:1:0	T[Del(C):R1]T
DEL:T:1:4	C[Del(T):R5]A
DEL:C:1:0	T[Del(C):R1]G
DEL:repeats:5+:0	Del6:U(2,):R1
DEL:MH:3:1	Del3:M1
DEL:repeats:5+:3	Del(6,):U2:R(4,9)
INS:T:1:0	G[Ins(T):R0]A
INS:repeats:2:5+	Ins2:U2:R(5,9)
INS:repeats:5+:2	Ins(5,):U(3,):R2
DEL:T:1:3	A[Del(T):R4]C
DEL:C:1:1	G[Del(C):R2]T
INS:T:1:5+	G[Ins(T):R9]A
DEL:repeats:4:4	Del4:U2:R(5,9)
DEL:T:1:5+	C[Del(T):R8]A
DEL:T:1:1	G[Del(T):R2]A
DEL:T:1:3	G[Del(T):R4]C
INS:repeats:2:0	Ins2:U1:R1
INS:repeats:5+:1	Ins(5,):U2:R(5,9)
DEL:repeats:4:3	Del4:U2:R(5,9)
DEL:T:1:5+	C[Del(T):R6]G
DEL:T:1:1	C[Del(T):R2]C
INS:T:1:5+	C[Ins(T):R13]C
DEL:repeats:3:0	Del3:U1:R1
DEL:MH:5+:1	Del5:M1
DEL:T:1:0	C[Del(T):R1]G
DEL:T:1:4	A[Del(T):R5]A
DEL:repeats:2:3	Del2:U2:R4
INS:T:1:5+	C[Ins(T):R8]A
DEL:repeats:4:0	Del4:U(2,):R1
DEL:repeats:5+:1	Del(6,):U3:R(3,9)
DEL:T:1:0	G[Del(T):R1]G
INS:repeats:4:1	Ins4:U2:R2
DEL:repeats:5+:1	Del5:U5:R2
DEL:T:1:5+	A[Del(T):R8]C
INS:repeats:2:0	Ins2:U1:R0
INS:T:1:5+	G[Ins(T):R6]G
INS:T:1:5+	C[Ins(T):R7]G
INS:C:1:5+	G[Ins(C):R7]A
DEL:repeats:2:2	Del2:U1:R(5,9)
INS:repeats:5+:2	Ins(5,):U(3,):R(5,9)
INS:repeats:2:0	Ins2:U2:R0
DEL:C:1:2	T[Del(C):R3]T
DEL:repeats:4:1	Del4:M3
INS:T:1:0	C[Ins(T):R0]G
DEL:MH:2:1	Del2:U1:R3
INS:repeats:5+:2	Ins(5,):U2:R(5,9)
INS:T:1:5+	G[Ins(T):R8]G
DEL:C:1:1	G[Del(C):R2]A
INS:C:1:1	T[Ins(C):R1]T
INS:repeats:5+:3	Ins(5,):U2:R(5,9)
INS:T:1:1	G[Ins(T):R1]A
DEL:T:1:4	G[Del(T):R5]C
DEL:C:1:0	A[Del(C):R1]A
DEL:MH:5+:1	Del6:M1
DEL:repeats:5+:0	Del5:U1:R1
DEL:C:1:3	A[Del(C):R4]A
INS:repeats:3:5+	Ins3:U3:R(5,9)
DEL:T:1:4	A[Del(T):R5]C
INS:repeats:4:5+	Ins4:U2:R(5,9)
INS:repeats:2:2	Ins2:U2:R2
DEL:repeats:5+:1	Del(6,):U(4,):R(2,9)
DEL:C:1:1	T[Del(C):R2]T
INS:T:1:5+	A[Ins(T):R7]C
INS:T:1:5+	G[Ins(T):R10]C
DEL:repeats:2:1	Del2:U1:R(5,9)
INS:T:1:5+	A[Ins(T):R5]G
DEL:T:1:1	A[Del(T):R2]A
DEL:C:1:3	T[Del(C):R4]A
INS:repeats:2:2	Ins2:U1:R(5,9)
DEL:repeats:2:2	Del2:U2:R3
DEL:T:1:5+	A[Del(T):R9]C
DEL:C:1:5+	A[Del(C):R8]A
INS:T:1:5+	C[Ins(T):R8]G
DEL:repeats:3:2	Del3:U3:R3
INS:C:1:5+	A[Ins(C):R9]A
INS:T:1:2	C[Ins(T):R2]C
DEL:C:1:2	A[Del(C):R3]A
INS:C:1:2	G[Ins(C):R2]G
DEL:C:1:5+	A[Del(C):R10]G
INS:T:1:5+	A[Ins(T):R5]C
INS:T:1:5+	A[Ins(T):R6]G
DEL:T:1:2	A[Del(T):R3]C
DEL:T:1:3	C[Del(T):R4]G
INS:C:1:5+	G[Ins(C):R6]A
DEL:repeats:5+:1	Del(6,):U2:R(4,9)
INS:repeats:5+:1	Ins(5,):U(3,):R(5,9)
INS:repeats:4:1	Ins4:U4:R1
INS:T:1:5+	G[Ins(T):R10]G
DEL:T:1:1	C[Del(T):R2]A
DEL:T:1:0	C[Del(T):R1]C
DEL:C:1:5+	A[Del(C):R11]T
INS:T:1:5+	A[Ins(T):R8]A
INS:T:1:0	A[Ins(T):R0]A
INS:T:1:5+	C[Ins(T):R9]G
INS:T:1:5+	C[Ins(T):R9]A
INS:T:1:5+	A[Ins(T):R10]A
INS:T:1:5+	A[Ins(T):R10]G
DEL:T:1:0	G[Del(T):R1]C
INS:T:1:5+	A[Ins(T):R9]A
DEL:C:1:2	T[Del(C):R3]A
INS:C:1:2	A[Ins(C):R2]A
INS:T:1:5+	A[Ins(T):R10]C
DEL:MH:4:3	Del4:M2
INS:repeats:5+:0	Ins(5,):U2:R(5,9)
DEL:C:1:0	A[Del(C):R1]G
DEL:repeats:4:2	Del4:U4:R3
DEL:T:1:2	A[Del(T):R3]G
INS:T:1:5+	C[Ins(T):R11]G
INS:T:1:5+	C[Ins(T):R10]A
DEL:repeats:5+:2	Del(6,):U(4,):R(2,9)
INS:T:1:3	A[Ins(T):R3]G
DEL:MH:4:2	Del4:M2
INS:T:1:5+	C[Ins(T):R12]C
INS:T:1:5+	C[Ins(T):R9]C
DEL:T:1:5+	C[Del(T):R7]G
INS:C:1:1	A[Ins(C):R1]A
INS:T:1:5+	C[Ins(T):R11]C
DEL:MH:4:3	Del4:M3
DEL:T:1:1	A[Del(T):R2]G
DEL:C:1:2	T[Del(C):R3]G
INS:T:1:5+	C[Ins(T):R10]C
INS:T:1:5+	A[Ins(T):R9]C
DEL:T:1:2	A[Del(T):R3]A
DEL:repeats:4:1	Del4:U4:R2
INS:T:1:5+	C[Ins(T):R7]A
INS:T:1:5+	G[Ins(T):R8]A
DEL:T:1:3	A[Del(T):R4]A
DEL:repeats:4:1	Del4:U2:R4
INS:T:1:5+	A[Ins(T):R6]A
DEL:C:1:0	G[Del(C):R1]T
INS:T:1:3	G[Ins(T):R3]G
DEL:MH:3:2	Del3:U1:R(5,9)
DEL:T:1:5+	C[Del(T):R10]C
DEL:T:1:0	A[Del(T):R1]A
DEL:MH:5+:5+	Del(7,):M5
DEL:T:1:5+	G[Del(T):R7]C
INS:T:1:5+	G[Ins(T):R7]A
INS:T:1:5+	A[Ins(T):R11]A
INS:T:1:5+	C[Ins(T):R11]A
INS:T:1:0	C[Ins(T):R0]C
DEL:T:1:5+	A[Del(T):R6]A
INS:T:1:2	G[Ins(T):R2]A
INS:T:1:5+	C[Ins(T):R6]A
DEL:T:1:5+	G[Del(T):R8]G
DEL:T:1:5+	A[Del(T):R7]G
INS:T:1:5+	G[Ins(T):R9]C
INS:T:1:5+	C[Ins(T):R8]C
INS:T:1:0	A[Ins(T):R0]G
DEL:C:1:4	T[Del(C):R5]A
INS:repeats:2:3	Ins2:U1:R(5,9)
INS:T:1:5+	A[Ins(T):R5]A
DEL:T:1:5+	A[Del(T):R8]A
DEL:C:1:3	A[Del(C):R4]G
INS:T:1:0	G[Ins(T):R0]C
DEL:repeats:4:5+	Del4:U2:R(5,9)
DEL:T:1:5+	G[Del(T):R8]C
INS:repeats:2:4	Ins2:U2:R4
INS:T:1:1	A[Ins(T):R1]G
DEL:T:1:5+	C[Del(T):R8]C
DEL:C:1:3	T[Del(C):R4]T
INS:T:1:5+	C[Ins(T):R13]G
INS:T:1:5+	C[Ins(T):R12]G
INS:T:1:1	C[Ins(T):R1]C
INS:T:1:5+	A[Ins(T):R9]G
DEL:repeats:4:4	Del4:U4:R(5,9)
DEL:T:1:2	G[Del(T):R3]A
DEL:repeats:2:4	Del2:U2:R(5,9)
DEL:T:1:5+	G[Del(T):R6]C
DEL:repeats:3:1	Del3:M2
DEL:C:1:5+	T[Del(C):R6]T
DEL:C:1:1	T[Del(C):R2]A
DEL:repeats:4:3	Del4:U4:R4
INS:T:1:1	G[Ins(T):R1]G
DEL:repeats:5+:2	Del5:U5:R3
DEL:T:1:5+	A[Del(T):R7]C
INS:T:1:0	C[Ins(T):R0]A
INS:T:1:1	C[Ins(T):R1]G
DEL:T:1:2	C[Del(T):R3]C
INS:T:1:5+	G[Ins(T):R11]A
DEL:repeats:5+:0	Del8:U(2,):R1
INS:T:1:5+	A[Ins(T):R6]C
INS:C:1:3	G[Ins(C):R3]G
DEL:T:1:5+	A[Del(T):R10]G
INS:repeats:2:3	Ins2:U2:R3
INS:C:1:4	T[Ins(C):R4]A
INS:T:1:3	A[Ins(T):R3]A
DEL:T:1:4	G[Del(T):R5]G
INS:C:1:5+	G[Ins(C):R6]T
INS:T:1:5+	G[Ins(T):R7]C
DEL:T:1:1	G[Del(T):R2]C
DEL:C:1:5+	A[Del(C):R6]T
DEL:MH:5+:2	Del5:M2
INS:T:1:5+	A[Ins(T):R7]G
DEL:T:1:5+	G[Del(T):R9]A
DEL:C:1:3	G[Del(C):R4]A
DEL:C:1:0	G[Del(C):R1]G
DEL:C:1:3	G[Del(C):R4]T
DEL:T:1:4	C[Del(T):R5]G
DEL:C:1:2	G[Del(C):R3]A
DEL:T:1:5+	C[Del(T):R14]G
INS:T:1:5+	A[Ins(T):R8]G
DEL:T:1:5+	C[Del(T):R14]A
DEL:T:1:5+	A[Del(T):R10]A
DEL:T:1:5+	A[Del(T):R12]G
DEL:T:1:5+	A[Del(T):R14]G
DEL:MH:5+:2	Del6:M2
DEL:MH:5+:5+	Del(6,):U(4,):R(2,9)
INS:T:1:5+	G[Ins(T):R13]A
INS:T:1:5+	G[Ins(T):R6]C
DEL:T:1:5+	G[Del(T):R11]G
INS:T:1:5+	A[Ins(T):R14]G
DEL:MH:5+:3	Del6:M3
DEL:T:1:5+	C[Del(T):R13]C
INS:C:1:5+	T[Ins(C):R8]A
INS:repeats:3:0	Ins3:U1:R0
DEL:MH:5+:3	Del5:M3
DEL:T:1:4	C[Del(T):R5]C
INS:C:1:5+	A[Ins(C):R8]A
DEL:repeats:5+:0	Del6:U1:R1
DEL:T:1:3	A[Del(T):R4]G
DEL:repeats:2:1	Del2:U1:R4
DEL:T:1:3	G[Del(T):R4]G
DEL:MH:5+:4	Del6:M4
INS:T:1:2	A[Ins(T):R2]C
INS:repeats:2:2	Ins2:U1:R4
DEL:repeats:5+:0	Del5:U(2,):R1
DEL:T:1:5+	G[Del(T):R12]A
DEL:repeats:5+:0	Del7:U1:R1
DEL:T:1:5+	G[Del(T):R14]G
DEL:T:1:5+	C[Del(T):R13]G
DEL:T:1:5+	A[Del(T):R12]A
DEL:T:1:5+	G[Del(T):R7]G
DEL:MH:5+:4	Del(7,):M3
DEL:T:1:0	G[Del(T):R1]A
INS:C:1:5+	T[Ins(C):R7]T
DEL:T:1:5+	G[Del(T):R10]C
INS:C:1:1	G[Ins(C):R1]T
INS:T:1:5+	A[Ins(T):R12]A
DEL:T:1:5+	G[Del(T):R13]C
DEL:MH:5+:4	Del5:M4
INS:T:1:5+	A[Ins(T):R11]G
DEL:T:1:5+	C[Del(T):R10]A
DEL:MH:5+:3	Del(7,):M2
INS:T:1:5+	A[Ins(T):R12]G
DEL:C:1:1	A[Del(C):R2]A
DEL:MH:5+:5+	Del6:M5
DEL:C:1:1	G[Del(C):R2]G
INS:C:1:5+	G[Ins(C):R10]A
DEL:T:1:2	G[Del(T):R3]G
DEL:repeats:5+:0	Del8:U1:R1
INS:T:1:5+	G[Ins(T):R7]G
INS:C:1:0	A[Ins(C):R0]T
INS:T:1:5+	G[Ins(T):R5]G
INS:C:1:1	T[Ins(C):R1]A
DEL:T:1:4	A[Del(T):R5]G
INS:C:1:5+	G[Ins(C):R5]T
DEL:T:1:5+	A[Del(T):R9]G
DEL:T:1:5+	A[Del(T):R14]A
DEL:C:1:5+	A[Del(C):R6]A
DEL:T:1:5+	G[Del(T):R12]C
DEL:T:1:5+	A[Del(T):R13]G
DEL:T:1:5+	C[Del(T):R6]C
DEL:repeats:5+:0	Del7:U(2,):R1
DEL:T:1:5+	C[Del(T):R11]C
INS:T:1:5+	A[Ins(T):R7]A
INS:T:1:5+	A[Ins(T):R8]C
DEL:T:1:5+	C[Del(T):R12]C
DEL:T:1:5+	C[Del(T):R13]A
INS:T:1:4	C[Ins(T):R4]C
DEL:T:1:5+	C[Del(T):R10]G
INS:T:1:2	A[Ins(T):R2]G
INS:T:1:5+	C[Ins(T):R13]A
DEL:T:1:5+	A[Del(T):R13]A
DEL:T:1:5+	A[Del(T):R6]C
INS:T:1:5+	G[Ins(T):R13]C
DEL:T:1:5+	C[Del(T):R9]G
DEL:C:1:1	T[Del(C):R2]G
INS:repeats:4:0	Ins4:U1:R3
INS:C:1:5+	A[Ins(C):R7]T
DEL:T:1:0	A[Del(T):R1]C
DEL:MH:5+:2	Del(6,):U2:R(4,9)
DEL:T:1:5+	G[Del(T):R13]A
INS:C:1:2	T[Ins(C):R2]T
INS:T:1:5+	C[Ins(T):R6]C
INS:T:1:1	A[Ins(T):R1]A
DEL:C:1:4	A[Del(C):R5]A
INS:C:1:2	A[Ins(C):R2]T
INS:C:1:5+	A[Ins(C):R10]A
INS:repeats:5+:0	Ins(5,):U2:R1
INS:C:1:5+	A[Ins(C):R8]T
DEL:T:1:5+	C[Del(T):R9]C
INS:C:1:4	G[Ins(C):R4]T
INS:T:1:4	G[Ins(T):R4]G
DEL:C:1:5+	G[Del(C):R7]A
INS:T:1:5+	G[Ins(T):R12]A
DEL:T:1:5+	C[Del(T):R11]A
DEL:T:1:5+	C[Del(T):R12]G
DEL:C:1:5+	A[Del(C):R7]A
DEL:C:1:5+	A[Del(C):R7]T
DEL:T:1:5+	C[Del(T):R9]A
INS:repeats:3:2	Ins3:U3:R2
INS:C:1:2	T[Ins(C):R2]G
INS:repeats:2:1	Ins2:U1:R3
DEL:T:1:5+	A[Del(T):R11]A
DEL:repeats:5+:2	Del(6,):U2:R(4,9)
DEL:C:1:2	G[Del(C):R3]G
DEL:repeats:4:2	Del4:U2:R(5,9)
DEL:T:1:5+	G[Del(T):R6]G
INS:C:1:5+	T[Ins(C):R6]T
DEL:T:1:5+	G[Del(T):R9]C
INS:T:1:4	A[Ins(T):R4]G
DEL:T:1:5+	A[Del(T):R11]G
INS:T:1:5+	A[Ins(T):R11]C
INS:T:1:5+	C[Ins(T):R14]G
INS:C:1:5+	A[Ins(C):R7]A
INS:T:1:3	G[Ins(T):R3]A
DEL:C:1:5+	A[Del(C):R10]A
DEL:T:1:5+	A[Del(T):R11]C
INS:T:1:0	G[Ins(T):R0]G
DEL:C:1:5+	A[Del(C):R9]A
DEL:T:1:2	C[Del(T):R3]A
INS:T:1:5+	G[Ins(T):R8]C
INS:C:1:0	T[Ins(C):R0]A
DEL:MH:3:1	Del3:U1:R4
INS:T:1:5+	G[Ins(T):R11]G
DEL:C:1:5+	A[Del(C):R7]G
DEL:T:1:5+	G[Del(T):R10]G
INS:C:1:4	A[Ins(C):R4]A
DEL:MH:5+:3	Del6:M2
DEL:T:1:5+	G[Del(T):R11]C
DEL:T:1:5+	G[Del(T):R9]G
INS:T:1:5+	G[Ins(T):R11]C
INS:C:1:5+	G[Ins(C):R8]A
DEL:C:1:5+	G[Del(C):R9]A
INS:T:1:5+	C[Ins(T):R5]A
DEL:T:1:5+	G[Del(T):R10]A
INS:C:1:5+	T[Ins(C):R7]G
DEL:repeats:4:2	Del4:U1:R(5,9)
INS:T:1:5+	A[Ins(T):R13]G
DEL:T:1:5+	G[Del(T):R11]A
INS:C:1:2	G[Ins(C):R2]T
INS:C:1:5+	G[Ins(C):R7]T
INS:C:1:3	G[Ins(C):R3]A
INS:T:1:3	C[Ins(T):R3]C
INS:T:1:5+	C[Ins(T):R6]G
DEL:T:1:5+	C[Del(T):R11]G
DEL:T:1:5+	A[Del(T):R14]C
INS:C:1:5+	G[Ins(C):R10]G
DEL:T:1:5+	A[Del(T):R7]A
INS:T:1:4	G[Ins(T):R4]A
DEL:T:1:2	G[Del(T):R3]C
DEL:C:1:2	G[Del(C):R3]T
DEL:T:1:5+	G[Del(T):R12]G
DEL:T:1:5+	G[Del(T):R14]C
INS:C:1:5+	T[Ins(C):R8]T
DEL:T:1:5+	C[Del(T):R7]A
DEL:T:1:5+	G[Del(T):R8]A
INS:C:1:5+	T[Ins(C):R7]A
DEL:repeats:5+:4	Del(6,):U(4,):R(2,9)
DEL:T:1:5+	A[Del(T):R13]C
DEL:T:1:5+	G[Del(T):R6]A
INS:T:1:5+	G[Ins(T):R12]G
INS:T:1:5+	C[Ins(T):R12]A
DEL:C:1:3	G[Del(C):R4]G
INS:T:1:1	G[Ins(T):R1]C
DEL:MH:5+:2	Del5:U1:R(5,9)
DEL:T:1:5+	G[Del(T):R7]A
INS:T:1:2	C[Ins(T):R2]G
INS:C:1:5+	G[Ins(C):R11]G
INS:repeats:5+:3	Ins(5,):U(3,):R3
DEL:T:1:5+	C[Del(T):R7]C
INS:T:1:4	A[Ins(T):R4]C
DEL:C:1:5+	T[Del(C):R7]A
DEL:T:1:4	G[Del(T):R5]A
INS:repeats:5+:4	Ins(5,):U2:R(5,9)
INS:T:1:5+	A[Ins(T):R13]A
INS:repeats:5+:1	Ins(5,):U2:R4
INS:C:1:5+	T[Ins(C):R5]A
INS:repeats:3:1	Ins(2,4):M
INS:C:1:0	T[Ins(C):R0]T
DEL:repeats:5+:5+	Del5:U5:R(5,9)
DEL:MH:4:3	Del4:U1:R(5,9)
INS:T:1:5+	C[Ins(T):R14]A
INS:C:1:0	A[Ins(C):R0]A
INS:repeats:4:3	Ins4:U4:R3
INS:T:1:4	C[Ins(T):R4]G
DEL:C:1:4	T[Del(C):R5]T
INS:T:1:3	A[Ins(T):R3]C
DEL:C:1:5+	T[Del(C):R8]A
INS:T:1:5+	A[Ins(T):R14]A
INS:C:1:5+	G[Ins(C):R8]T
DEL:T:1:5+	C[Del(T):R6]A
INS:C:1:3	T[Ins(C):R3]A
INS:T:1:3	C[Ins(T):R3]G
DEL:C:1:4	G[Del(C):R5]T
DEL:C:1:5+	A[Del(C):R8]T
INS:T:1:5+	A[Ins(T):R12]C
INS:repeats:5+:0	Ins(5,):U1:R2
INS:T:1:1	A[Ins(T):R1]C
DEL:C:1:4	G[Del(C):R5]A
INS:repeats:5+:0	Ins(5,):U1:R(5,9)
INS:T:1:2	G[Ins(T):R2]G
INS:T:1:4	A[Ins(T):R4]A
INS:T:1:5+	C[Ins(T):R7]C
DEL:T:1:5+	A[Del(T):R8]G
DEL:T:1:3	G[Del(T):R4]A
INS:C:1:1	G[Ins(C):R1]G
DEL:C:1:5+	G[Del(C):R10]G
INS:T:1:2	C[Ins(T):R2]A
INS:C:1:3	A[Ins(C):R3]A
DEL:C:1:5+	T[Del(C):R10]A
DEL:T:1:5+	C[Del(T):R8]G
DEL:C:1:2	A[Del(C):R3]G
DEL:C:1:3	T[Del(C):R4]G
INS:repeats:3:0	Ins(2,4):M
DEL:C:1:5+	G[Del(C):R6]A
INS:C:1:0	G[Ins(C):R0]G
DEL:repeats:4:5+	Del4:U4:R(5,9)
DEL:C:1:5+	G[Del(C):R11]A
INS:C:1:5+	A[Ins(C):R9]T
INS:C:1:2	T[Ins(C):R2]A
DEL:T:1:5+	C[Del(T):R14]C
INS:T:1:4	G[Ins(T):R4]C
INS:C:1:2	G[Ins(C):R2]A
INS:C:1:5+	G[Ins(C):R5]G
INS:T:1:5+	C[Ins(T):R5]C
DEL:C:1:5+	A[Del(C):R12]A
INS:T:1:5+	G[Ins(T):R6]A
INS:T:1:0	A[Ins(T):R0]C
INS:C:1:1	G[Ins(C):R1]A
DEL:C:1:5+	G[Del(C):R6]G
DEL:C:1:5+	A[Del(C):R6]G
INS:C:1:0	T[Ins(C):R0]G
INS:C:1:5+	A[Ins(C):R5]T
INS:repeats:5+:1	Ins(5,):U1:R(5,9)
DEL:T:1:5+	G[Del(T):R14]A
DEL:MH:5+:5+	Del6:M4
INS:C:1:3	A[Ins(C):R3]T
INS:C:1:4	G[Ins(C):R4]G
INS:C:1:3	T[Ins(C):R3]G
INS:C:1:3	A[Ins(C):R3]G
DEL:C:1:4	A[Del(C):R5]T
INS:repeats:2:5+	Ins2:U1:R(5,9)
INS:C:1:5+	A[Ins(C):R10]G
DEL:MH:5+:4	Del(6,):U2:R(4,9)
INS:repeats:4:0	Ins4:U2:R0
INS:repeats:5+:0	Ins(5,):U1:R1
DEL:repeats:5+:5+	Del(6,):U(4,):R(2,9)
DEL:T:1:5+	G[Del(T):R13]G
DEL:repeats:5+:2	Del(6,):U3:R(3,9)
DEL:C:1:4	T[Del(C):R5]G
INS:C:1:4	A[Ins(C):R4]T
DEL:C:1:1	A[Del(C):R2]G
DEL:repeats:2:5+	Del2:U1:R(5,9)
INS:C:1:4	T[Ins(C):R4]T
DEL:MH:5+:3	Del5:M2
INS:T:1:5+	G[Ins(T):R13]G
DEL:repeats:4:1	Del4:U2:R(5,9)
DEL:repeats:3:3	Del3:U3:R4
INS:C:1:1	A[Ins(C):R1]T
INS:repeats:5+:4	Ins(5,):U(3,):R4
DEL:repeats:5+:5+	Del(6,):U2:R(4,9)
DEL:MH:4:2	Del4:U1:R(5,9)
DEL:C:1:5+	T[Del(C):R12]A
DEL:C:1:4	A[Del(C):R5]G
DEL:C:1:5+	T[Del(C):R9]A
DEL:C:1:5+	G[Del(C):R9]T
INS:T:1:5+	A[Ins(T):R13]C
DEL:C:1:5+	G[Del(C):R10]T
DEL:repeats:5+:4	Del(6,):U2:R(4,9)
INS:repeats:3:0	Ins3:U1:R2
DEL:repeats:5+:1	Del(7,):M5
DEL:C:1:5+	T[Del(C):R8]T
INS:repeats:4:3	Ins4:U2:R(5,9)
INS:T:1:3	C[Ins(T):R3]A
DEL:repeats:5+:5+	Del(6,):U3:R(3,9)
DEL:C:1:5+	A[Del(C):R9]G
INS:repeats:2:4	Ins2:U1:R(5,9)
DEL:C:1:5+	G[Del(C):R10]A
DEL:repeats:5+:3	Del5:U5:R4
DEL:C:1:5+	G[Del(C):R6]T
INS:repeats:4:4	Ins4:U4:R4
INS:C:1:3	T[Ins(C):R3]T
INS:T:1:5+	G[Ins(T):R5]C
DEL:repeats:5+:4	Del5:U5:R(5,9)
INS:repeats:3:1	Ins3:U1:R3
DEL:MH:4:1	Del4:U1:R(5,9)
INS:repeats:3:3	Ins3:U3:R3
INS:T:1:2	G[Ins(T):R2]C
DEL:MH:5+:1	Del(6,):U1:R(7,9)
INS:repeats:5+:2	Ins(5,):U(3,):R4
DEL:repeats:5+:3	Del(6,):U(4,):R(2,9)
DEL:repeats:5+:1	Del5:M4
INS:C:1:5+	T[Ins(C):R9]G
INS:C:1:5+	G[Ins(C):R6]G
DEL:repeats:3:3	Del3:U1:R(5,9)
INS:T:1:5+	G[Ins(T):R5]A
INS:repeats:5+:1	Ins(5,):U(3,):R3
DEL:C:1:5+	G[Del(C):R8]G
INS:C:1:5+	T[Ins(C):R10]G
DEL:repeats:5+:1	Del(7,):M(6,)
INS:C:1:5+	T[Ins(C):R5]T
INS:repeats:3:4	Ins3:U1:R(5,9)
INS:T:1:4	C[Ins(T):R4]A
INS:repeats:4:2	Ins4:U2:R4
DEL:C:1:5+	G[Del(C):R8]A
DEL:C:1:5+	A[Del(C):R11]A
INS:T:1:5+	G[Ins(T):R14]A
INS:repeats:3:0	Ins3:U1:R1
DEL:repeats:5+:3	Del(6,):U3:R(3,9)
INS:C:1:5+	T[Ins(C):R6]A
DEL:C:1:4	G[Del(C):R5]G
INS:repeats:5+:1	Ins(5,):U2:R3
DEL:C:1:5+	A[Del(C):R10]T
DEL:C:1:5+	G[Del(C):R11]T
INS:C:1:5+	A[Ins(C):R6]G
INS:repeats:3:1	Ins3:U1:R(5,9)
DEL:C:1:5+	G[Del(C):R12]G
INS:C:1:5+	T[Ins(C):R9]T
INS:repeats:4:0	Ins4:U1:R1
INS:C:1:0	G[Ins(C):R0]A
INS:repeats:4:1	Ins4:U2:R3
INS:repeats:3:2	Ins3:U1:R(5,9)
INS:T:1:5+	C[Ins(T):R14]C
INS:T:1:1	C[Ins(T):R1]A
INS:C:1:5+	A[Ins(C):R12]T
INS:C:1:0	A[Ins(C):R0]G
INS:T:1:3	G[Ins(T):R3]C
INS:T:1:5+	C[Ins(T):R5]G
DEL:repeats:2:3	Del2:U1:R(5,9)
INS:C:1:5+	G[Ins(C):R7]G
INS:C:1:5+	G[Ins(C):R10]T
INS:C:1:1	A[Ins(C):R1]G
INS:repeats:4:4	Ins4:U2:R(5,9)
DEL:repeats:3:4	Del3:U3:R(5,9)
INS:C:1:5+	T[Ins(C):R10]T
