Samples	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID9	ID10	ID11	ID13	ID14	ID18	ID19	ID25
CPCT02120203T	226	131	0	0	0	0	725	214	0	0	0	0	0	0	0
DRUP01050023T	235	102	122	0	0	0	99	0	0	0	0	0	0	235	0
CPCT02020983T	334	128	0	0	0	0	0	0	0	0	0	0	0	122	0
CPCT02140034T	65	0	0	0	260	0	159	0	0	0	0	0	0	188	0
WIDE01010280T	308	432	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02020984T	147	47	245	0	0	0	113	0	0	0	0	0	0	106	0
CPCT02070154TII	441	0	0	0	0	0	1008	0	0	0	0	0	0	1294	0
CPCT02020986T	0	66350	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02020988T	390	415	0	0	0	0	0	204	0	0	0	0	0	0	0
CPCT02050445T	332	106	165	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02070331T	505	357	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02020989T	374	173	0	0	0	0	0	160	0	0	0	0	0	0	0
CPCT02050356T	117	103	0	0	0	0	119	0	0	0	0	0	0	253	0
WIDE01010412T	305	357	0	0	0	0	226	0	0	0	0	0	0	0	0
CPCT02140110T	236	83	0	0	209	0	0	0	0	0	0	0	0	0	0
CPCT02020717T	110	0	0	0	0	0	325	0	0	0	0	0	1758	0	0
CPCT02130095T	120	55	84	0	107	0	60	0	0	0	0	0	0	103	0
DRUP01030012T	1219	1208	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02070336T	0	0	0	0	1093	0	3402	0	0	0	0	0	0	0	0
CPCT02070332T	0	0	0	0	0	0	537	0	0	0	0	0	0	179	0
CPCT02050371T	268	80	0	0	0	0	105	183	0	0	0	0	0	153	0
CPCT02100178T	379	146	0	0	0	0	202	0	0	0	0	0	0	287	0
CPCT02020767T	97	68	0	0	0	0	80	0	0	0	0	0	0	163	0
CPCT02140072T	564	510	454	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02060112T	360	0	0	0	0	0	0	0	0	0	0	0	0	146	0
CPCT02170032T	181	77	0	0	0	0	0	0	0	0	0	0	0	126	0
DRUP01070046T	172	117	124	0	0	0	98	0	0	0	0	0	0	102	0
WIDE01010565T	106	0	0	0	457	0	1065	0	0	0	0	0	0	0	0
CPCT02020787T	175	0	0	374	0	0	95	0	0	0	0	0	0	106	0
CPCT02020778T	311	745	0	0	506	0	0	0	0	0	0	0	0	0	0
CPCT02050385T	413	242	316	0	0	0	239	0	0	0	0	0	0	351	0
CPCT02130142T	240	143	217	0	0	0	129	0	0	0	0	0	0	228	0
CPCT02020800T	175	82	0	0	0	0	107	0	0	0	0	0	0	188	0
CPCT02050395T	295	133	0	0	0	178	186	0	0	0	0	0	0	226	0
DRUP01070048T	144	77	181	0	0	0	151	0	0	0	0	0	0	269	0
CPCT02020817T	265	84	0	0	190	0	0	0	0	0	0	0	0	0	0
CPCT02080263T	204	61	0	0	0	0	88	0	0	0	0	0	0	205	0
CPCT02010944T	148	96	147	0	158	0	74	0	0	0	0	0	0	122	0
CPCT02020832T	369	192	0	0	0	0	177	0	0	0	0	0	0	240	0
CPCT02050351TII	235	115	0	0	0	0	120	135	0	0	0	0	0	121	0
