Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
SP71576	2.29E+00	3.61E+00	3.20E+00	3.67E-01	1.74E+00	1.64E+00	4.03E+00	6.97E-01	1.28E+00	2.00E-02	2.60E-01	5.83E-01	9.21E-01
SP108123	2.49E+00	3.05E+00	2.90E+00	5.85E-01	1.39E+00	1.15E+00	3.48E+00	6.05E-01	1.17E+00	3.68E-01	5.31E-01	5.47E-01	5.53E-01
SP74896	2.45E+00	3.35E+00	3.34E+00	5.48E-01	2.11E+00	1.64E+00	3.73E+00	1.35E+00	1.08E+00	2.82E-01	3.09E-01	5.52E-01	5.04E-01
SP71950	2.90E+00	4.49E+00	4.44E+00	5.89E-01	1.79E+00	1.75E+00	4.94E+00	1.26E+00	1.71E+00	2.22E-01	4.00E-02	5.20E-01	6.52E-01
SP108049	9.88E-01	2.07E+00	1.55E+00	7.34E-01	1.25E+00	1.37E+00	1.98E+00	9.78E-01	7.20E-01	1.33E-01	3.40E-01	1.71E-01	6.31E-01
SP116965	6.57E+00	7.95E+00	8.75E+00	6.34E+00	8.31E+00	5.29E+00	1.00E+01	3.78E+00	2.80E+00	4.43E-01	5.62E-01	2.59E+00	5.87E+00
SP77930	9.60E-01	2.29E+00	1.30E+00	4.86E-01	1.07E+00	8.87E-01	2.44E+00	9.40E-01	7.96E-01	1.00E-02	2.32E-01	3.90E-01	5.26E-01
SP125807	3.45E+00	5.66E+00	4.85E+00	6.48E-01	2.15E+00	1.35E+00	6.08E+00	1.56E+00	1.38E+00	4.56E-01	3.74E-01	1.12E+00	1.22E+00
SP125696	3.69E+00	4.48E+00	4.85E+00	7.60E-01	2.12E+00	2.14E+00	3.79E+00	3.62E+00	1.14E+00	3.79E-01	4.29E-01	1.19E+00	8.99E-01
SP125725	5.52E+00	3.42E+00	6.53E+00	8.49E-01	1.66E+00	2.21E+00	3.74E+00	2.27E+00	1.69E+00	4.87E-01	2.69E-01	1.34E+00	1.74E+00
SP125752	4.60E+00	7.21E+00	6.01E+00	7.38E-01	2.14E+00	1.99E+00	7.89E+00	3.64E+00	1.26E+00	3.31E-01	3.20E-01	9.93E-01	1.33E+00
SP118048	1.81E+01	8.84E+00	2.28E+01	9.68E-01	2.59E+00	1.35E+00	1.02E+01	2.97E+00	1.82E+00	4.37E-01	6.85E-01	5.13E-01	6.27E+00
SP117981	4.43E-01	2.81E+00	1.02E+00	6.14E-01	2.17E+00	2.15E+00	3.71E+00	1.11E+00	1.12E+00	2.87E-01	4.35E-01	3.84E-01	1.01E+00
SP125749	1.22E+00	2.23E+00	1.89E+00	4.41E-01	1.95E+00	2.12E+00	2.52E+00	5.21E-01	1.07E+00	2.52E-01	2.60E-01	7.14E-01	7.46E-01
SP125762	1.52E+00	3.48E+00	2.45E+00	5.14E-01	1.49E+00	1.62E+00	3.92E+00	1.41E+00	1.57E+00	3.09E-01	5.13E-01	5.18E-01	1.21E+00
SP117164	3.29E+00	2.48E+00	4.23E+00	5.56E-01	1.25E+00	1.33E+00	2.57E+00	1.08E+00	9.39E-01	0.00E+00	5.39E-01	4.74E-01	6.66E-01
SP117002	6.95E+00	4.67E+00	8.33E+00	7.16E-01	1.71E+00	1.67E+00	5.33E+00	2.08E+00	1.41E+00	2.30E-01	3.17E-01	5.96E-01	8.67E-01
SP117158	1.43E+00	1.87E+00	1.97E+00	4.86E-01	1.78E+00	2.11E+00	1.74E+00	1.00E+00	1.24E+00	0.00E+00	5.74E-01	2.10E-01	6.16E-01
SP125691	1.85E+01	7.37E+00	2.18E+01	7.63E-01	3.19E+00	3.35E+00	7.89E+00	3.86E+00	2.05E+00	2.87E-01	6.00E-01	9.70E-01	1.67E+00
SP125721	2.34E+00	3.23E+00	3.00E+00	6.99E-01	1.79E+00	1.82E+00	3.57E+00	1.04E+00	1.22E+00	3.63E-01	2.78E-01	1.59E+00	5.37E-01
SP125753	5.07E+00	4.83E+00	6.95E+00	5.88E-01	1.51E+00	1.35E+00	5.21E+00	2.67E+00	9.94E-01	3.50E-01	4.26E-01	9.90E-01	7.37E-01
SP117972	3.00E+00	3.02E+00	3.98E+00	5.92E-01	1.83E+00	1.66E+00	3.37E+00	1.48E+00	7.53E-01	2.98E-01	3.30E-01	9.73E-01	1.29E+00
SP125726	4.26E+00	4.64E+00	5.48E+00	3.57E-01	1.56E+00	1.82E+00	5.18E+00	1.81E+00	9.24E-01	2.62E-01	4.15E-01	5.09E-01	9.39E-01
SP125800	1.25E-01	6.60E-01	2.80E-01	2.34E-01	2.91E-01	8.77E-02	3.62E-01	7.57E-01	3.48E-01	0.00E+00	4.18E-02	6.22E-01	1.67E-01
SP117745	8.02E+00	7.49E+00	1.06E+01	4.10E-01	1.42E+00	1.40E+00	9.28E+00	3.50E+00	1.47E+00	2.84E-01	3.94E-01	4.23E-01	8.66E-01
SP117351	2.54E+00	2.46E+00	3.30E+00	3.85E-01	1.73E+00	1.53E+00	2.42E+00	6.89E-01	7.79E-01	0.00E+00	4.20E-01	6.03E-01	9.74E-01
SP117980	6.27E-01	3.97E+00	1.31E+00	7.58E-01	2.26E+00	1.90E+00	4.26E+00	2.01E+00	1.30E+00	5.14E-01	5.44E-01	9.48E-01	1.02E+00
SP117878	4.77E+00	3.79E+00	6.40E+00	5.42E-01	1.78E+00	1.52E+00	3.36E+00	1.06E+00	1.17E+00	6.25E-01	2.58E-01	5.00E-02	9.13E-01
SP125805	2.77E+00	3.33E+00	3.51E+00	5.91E-01	1.57E+00	1.73E+00	3.77E+00	1.03E+00	1.30E+00	4.64E-01	3.73E-01	4.22E-01	8.41E-01
