	InsDel1a	InsDel1b	InsDel1c	InsDel2a	InsDel2b	InsDel2c	InsDel3a	InsDel3b	InsDel4	InsDel5a	InsDel5b	InsDel5c	InsDel6	InsDel7	InsDel8	InsDel9	InsDel10	InsDel11	InsDel12	InsDel13	InsDel14	InsDel15	InsDel16	InsDel17	InsDel18	InsDel19a	InsDel19b	InsDel23	InsDel_A_alpha	InsDel_A_beta	InsDel_B	InsDel_C	InsDel_D	InsDel_E	InsDel_F	InsDel_G	InsDel_H	InsDel_I	InsDel_J	InsDel_K	InsDel_L	InsDel_M	InsDel_N_alpha	InsDel_N_beta
"C[Del(T):R(8,)]C"	0.001009352	0.001800104	0.001267587	0.059881692	0.008488715	0.143474471	0.002172574	0.000765126	0.013770899	0.000758381	0.000516885	0.001693422	0.000816137	0.068723238	0.001655638	0.002066691	0.001140009	0.0007186	0.001366178	0.000701432	0.002205387	0	0	3.52E-06	0.001377513	0.000688385	0.001822584	0.001876369	0.002388716	0.002292442	0.000251229	0.001454901	0.008385648	0.001122848	0.000155118	0.005609862	0.000954936	0.000204123	0.021801123	0.00317925	0.01172707	0.032354718	0.011606643	0.037013628
"C[Del(T):R(8,)]G"	0.000744182	0.001387701	0.001737249	0.044366784	0.021804896	0.023607368	0.000565584	0.000308761	0.003511409	0.000485968	0.000237301	0.001763328	0.000242313	0.07622948	0.000881158	0.000306251	0.00083662	0.000166021	0.000533132	0.00019349	0.001439209	0	0	0.000212058	0.000593431	0.000636741	0.00156638	0.000524569	0.003520894	0.000831542	0.000312595	0.000378563	0.005520667	0.002978617	0.002054437	0.001807254	0.00128792	0.003499253	0.005147863	0.002046079	0.002852179	0.18302555	0.010682483	0.023549444
"G[Del(T):R(8,)]A"	0.000576201	0.004375474	0.000712817	0.033063363	0.004351018	0.061597845	0.000605529	0.00019974	0.00778696	0.000286809	0.000184559	0.000824095	0.000243103	0.043947402	0.000711593	0.002265397	0.001413756	0.001136738	0.000672248	0.000750632	0.002218237	0	0	4.43E-06	0.000607503	0.000414639	0.000848707	0.000241722	0.002869064	0.000765226	0.000131978	0.001784138	0.007226181	0.00056213	0.001063468	0.00138011	0.000754818	0.000132633	0.006336637	0.00186982	0.006534133	0.009967607	0.011070917	0.015655259
"G[Del(T):R(8,)]C"	0.000297066	0.001160898	0.000931097	0.028680157	0.003431196	0.064336974	0.000816255	0.000328145	0.003909499	0.000243842	0.000261328	0.001101699	0.000246116	0.03108848	0.000910315	0.001104788	0.001193081	0.00056768	0.001057141	0.000300828	0.001729434	0	0	3.69E-06	0.00106653	0.00086937	0.000978783	3.46E-05	0.001054452	0.00108502	0.000142666	0.001685487	0.007167033	0.002693862	0.000458801	0.003862272	0.001203324	0.00345222	0.009992269	0.002242891	0.011304564	0.004908683	0.005541558	0.015363104
"G[Del(T):R(8,)]G"	0.000784263	0.000610788	0.000789915	0.021266092	0.000970417	0.039266959	0.000563028	0.000181425	0.001039243	0.000331901	0.000233485	0.00037784	0.000282616	0.033878708	0.000530606	0.000332973	0.000386238	0.000361674	0.001273883	0.000113716	0.00217247	0	0	0.000213648	0.00082342	0.000711237	0.000520362	0.000157114	0.002768463	0.00083653	0.000150603	0.005491167	0.00424833	0.001654316	0.000618136	0.001012189	0.001736262	0.000160853	0.014003968	0.001680918	0.005891003	0.031264759	0.005845638	0.009762322
A[Ins(C):R0]A	0.00070872	0.04165507	0.000564812	0.001267926	0.000142524	0.000552907	0.000399566	0.000659111	0.000308923	0.000750519	0.001280407	0.001371183	0.001195361	0.000113249	0.001545348	0.001122208	0.002159112	0.000193279	0.000621227	0.003663394	0.282836911	0	0.025806452	3.24E-06	0.003053287	0.002263862	0.001360983	0.000658657	0.009649149	0.000607199	0.000455419	0.009390686	0.000551407	0.001307975	0.000717115	0.002159015	0.005472228	0.038352567	0.00259803	0.008774232	0.00029139	0.004902576	4.00E-05	0.00359498
A[Ins(C):R0]T	0.000128733	0.000717734	5.27E-05	0.000186088	3.54E-05	3.73E-05	0.000902149	0.001366976	0.000223674	0.000211572	0.00074846	0.000547726	0.00034348	1.42E-05	0.000308994	0.000485428	0.000531452	6.03E-06	0.000268304	0.001135772	0.183984703	0	0.032258065	5.22E-06	0.001786454	0.001148475	0.001704087	0.000785676	0.005943923	0.000929759	0.000173475	0.001928906	0.000112779	0.000283184	0.000205186	0.000712358	0.001246522	0.02784446	0.000388911	0.002060197	0.000154782	7.74E-06	6.01E-06	0.000619767
"Ins(C):R(0,3)"	0.003489522	0.006445962	0.00233061	0.002122754	0.001308419	0.002923648	0.016635537	0.020667357	0.002863057	0.01659102	0.014461399	0.016344501	0.005204394	0.00063947	0.009049696	0.015605215	0.021323423	0.378883166	0.007663793	0.016730763	0.057425858	0	0.505990783	0.047254532	0.002001192	0.028704779	0.012659808	0.009403587	0.005114235	0.003959519	0.01279074	0.028151205	0.00702318	0.283672456	0.003198669	0.013742032	0.028282531	0.067388842	0.003056811	0.007068267	0.006972107	0.008239226	0.000300902	0.005352018
"Ins(C):R(4,6)"	0.009346471	0.002414231	0.012486039	0.005053365	0.019749194	0.009511865	0.009715633	0.012183863	0.000740908	0.002161041	0.005316867	0.009583227	0.000380419	0.004885798	0.003249053	0.001723765	0.006676334	0.018937225	0.002310126	0.002835727	0.000739318	0	0.004608295	0.009345275	0.000577782	0.007267562	0.004419199	0.000806025	0.001914811	0.002302419	0.001726929	0.009032575	0.018055467	0.033152513	0.000900941	0.008271194	0.003852469	0.00014204	0.003594998	0.005009665	0.232109737	7.08E-05	0.0025735	0.007815407
"Ins(C):R(7,)"	0.012965517	0.000369371	0.01242454	0.010296046	0.005447362	0.016831651	0.001940197	0.000483593	0.000720789	0.000564256	0.001728535	0.002919507	0.000455373	0.00602468	0.001990535	0.000146539	0.004921557	6.55E-06	0.004523917	0.000967357	0.000977351	0	0	5.45E-06	0.000343994	0.003014388	0.005325362	0.001688625	0.00295387	0.002054598	0.001092459	0.002797917	0.03816747	0.009705136	0.001263125	0.003630132	0.007515293	0.000172141	0.003354028	0.000952193	0.043363731	4.11E-05	0.001872902	0.009851667
"A[Ins(T):R(0,4)]A"	0.009989601	0.006870418	0.008773085	0.003047024	0.001988628	0.000643914	0.007161182	0.005064158	0.002485505	0.025968139	0.016381984	0.013406804	0.003425369	0.001662193	0.003868073	0.005437904	0.013984815	0.068926526	0.008653958	0.021038274	0.053616393	0	0.023963134	0.027955067	0.007542782	0.018480541	0.011198786	0.005015753	0.003973492	0.002423736	0.005529977	0.079424424	0.005790142	0.00778349	0.002533405	0.005359905	0.012478473	0.078528131	0.0026905	0.017579068	0.008076438	7.57E-05	0.001936904	0.006464953
"A[Ins(T):R(0,4)]C"	0.005487809	0.001791596	0.005927604	0.000711812	0.001856385	0.000283614	0.002644216	0.002845403	0.001248757	0.011819903	0.007541387	0.003894272	0.00130337	0.000412996	0.00146608	0.002112893	0.005309163	0.071921735	0.002338439	0.008832273	0.005688257	0	0.038709677	0.001987465	0.004521039	0.005563131	0.002414698	0.005692188	0.001400739	0.008850298	0.00192783	0.002965142	0.000815611	0.010925885	0.001393161	0.005990301	0.001728735	0.024787317	0.00143428	0.006614804	0.02145896	0.003480784	0.001688412	0.002308733
"A[Ins(T):R(0,4)]G"	0.009443433	0.004076524	0.010829473	0.001298956	0.003746975	0.000606872	0.007170328	0.040397227	0.00085546	0.017779389	0.014934793	0.006106536	0.001744936	0.000945744	0.002667682	0.002659216	0.005889139	0.081747107	0.004243335	0.004833308	0.005907865	0	0.023963134	0.007066074	0.001414747	0.005818509	0.00115937	0.005538073	0.003390018	0.002136295	0.003803006	0.001681076	0.002243511	0.016956321	0.001870406	0.006772334	0.003826616	0.035752584	0.000787726	0.022350136	0.001186698	0.001519916	0.001690631	0.003639276
"C[Ins(T):R(0,4)]A"	0.004265621	0.016176645	0.005068733	0.000318565	0.001651099	0.000142464	0.003070791	0.005261033	0.001141986	0.010509881	0.006914893	0.006758974	0.001464759	0.000397484	0.002277294	0.003005408	0.008563083	0.032677948	0.002769852	0.006042618	0.002468214	0	0.052534562	0.01980803	0.000776268	0.007740937	0.004262901	0.010282867	0.001898235	0.00399209	0.004197252	0.007758535	0.000883512	0.002745612	0.003589296	0.004548303	0.004723464	0.017641127	0.000973578	0.020376965	0.001728925	9.45E-05	0.002213043	0.001221699
