InDel89	InDel83	BestMatch83_1	BestMatch83_2	BestMatch83_3	BestMatch89_1	BestMatch89_2	BestMatch89_3	BestMatch476_1	BestMatch476_2	BestMatch476_3
InsDel_A_alpha	ID_A	SP2293	SP3631	SP116593	CPCT02120078T	SP1132	SP116893	CPCT02120078T	CPCT02070232T	CPCT02150048T
InsDel_A_beta	ID_A	SP2293	SP3631	SP116593	SP2293	SP117369	SP3631	SP2293	CPCT02020436T	CPCT02080153T
InsDel_B	ID_B	SP112182	SP107047	SP99289	CPCT02020413T	SP29559	WIDE01010040T	CPCT02020413T	WIDE01010040T	CPCT02080045T
InsDel_C	ID_C	CPCT02010772T	SP102957	SP103507	CPCT02010772T	SP82445	SP124439	CPCT02010772T	CPCT02020796T	SP102973
InsDel_D	ID_D	CPCT02450014T	CPCT02130146T	SP78717	SP102133	CPCT02100101T	CPCT02130146T	SP102133	CPCT02100101T	WIDE01010443T
InsDel_E	ID_E	DRUP01340015T	DRUP01340003T	CPCT02340014T	DRUP01340014T	DRUP01340015T	DRUP01080024T	DRUP01340014T	DRUP01340015T	DRUP01080024T
InsDel_F	ID_F	SP5559	DRUP01030028T	CPCT02130170T	DRUP01030028T	CPCT02130170T	CPCT02340010T	DRUP01030028T	CPCT02130170T	CPCT02340010T
InsDel_G	ID_G	SP77956	SP99317	DRUP01030015T	DRUP01030015T	DRUP01270004T	CPCT02070394T	DRUP01030015T	DRUP01270004T	CPCT02070394T
InsDel_H	ID_H	CPCT02010648T	SP2714	CPCT02070360T	CPCT02010648T	CPCT02070484T	CPCT02010840T	CPCT02010648T	SP125584	SP79228
InsDel_I	ID_I	SP107439	SP116456	CPCT02090032T	SP107439	CPCT02140095T	SP124415	SP107439	CPCT02090032T	CPCT02460002T
InsDel_J	ID_J	SP86836	SP85818	SP80217	SP86836	SP85818	SP80217	SP85818	SP86836	SP80217
InsDel_K	ID_K	SP135192	SP116904	SP112257	SP17905	SP93227	SP111014	SP17905	SP93227	SP90209
InsDel_L	ID_L	SP78711	SP79192	SP70106	CPCT02450014T	CPCT02050149T	SP125696	CPCT02450014T	SP79243	CPCT02050149T
InsDel_M	ID_M	SP102617	SP112777	SP116545	SP112777	CPCT02230098T	CPCT02200005T	SP112777	CPCT02200005T	CPCT02230098T
InsDel_N_alpha	ID_N	SP111038	SP85339	SP59312	SP93227	SP90209	SP18946	SP90209	SP93227	SP18946
InsDel_N_beta	ID_N	SP111038	SP85339	SP59312	SP111031	CPCT02050089T	CPCT02210064T	CPCT02210064T	CPCT02050089T	CPCT02180068T
