Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
CPCT02100119T	2.00E+00	1.81E+00	4.04E+00	3.73E+00	2.02E+00	2.78E+00
CPCT02340032T	1.07E+00	1.86E+00	3.57E+00	4.00E+00	1.84E+00	1.78E+00
CPCT02020513T	6.95E-01	1.06E+00	1.43E+00	1.04E+00	1.24E+00	4.15E-01
CPCT02180025T	2.56E+00	1.32E+00	3.17E+00	2.79E+00	1.10E+00	2.71E+00
CPCT02120022T	1.04E+00	1.07E+00	2.45E+00	1.75E+00	1.33E+00	9.12E-01
CPCT02020516T	1.07E+00	1.95E+00	2.45E+00	2.05E+00	1.79E+00	1.62E+00
CPCT02060089T	5.40E-01	1.71E+00	2.68E+00	2.77E+00	1.38E+00	2.12E+00
CPCT02090018T	8.35E-01	1.18E+00	2.88E+00	2.73E+00	1.23E+00	1.17E+00
CPCT02060094T	8.11E-01	1.08E+00	1.95E+00	2.29E+00	1.70E+00	8.46E-01
CPCT02120028T	1.17E+00	1.67E+00	3.15E+00	2.72E+00	1.84E+00	1.90E+00
CPCT02090019T	1.83E+01	1.26E+00	3.84E+00	1.91E+01	2.54E+00	1.61E+00
CPCT02060105T	8.10E+00	8.82E-01	2.31E+00	8.37E+00	1.87E+00	1.31E+00
CPCT02020544T	1.11E+01	8.34E-01	2.44E+00	1.20E+01	2.06E+00	1.14E+00
CPCT02060110T	4.81E-01	6.03E-01	8.48E-01	8.05E-01	9.42E-01	4.46E-01
CPCT02030355T	1.06E+00	1.18E+00	2.58E+00	2.96E+00	1.53E+00	7.12E-01
CPCT02040127T	1.53E+00	1.57E+00	3.56E+00	3.22E+00	1.85E+00	1.67E+00
CPCT02070190T	8.64E-01	1.62E+00	2.92E+00	2.40E+00	1.61E+00	2.25E+00
CPCT02090020T	4.13E-01	9.28E-01	9.81E-01	9.56E-01	1.16E+00	4.17E-01
DRUP01020004T	4.38E-01	1.05E+00	1.75E+00	2.05E+00	1.59E+00	4.64E-02
CPCT02060120T	8.37E+00	4.20E+00	2.68E+00	9.43E+00	1.90E+00	6.26E+00
CPCT02070210T	2.03E+00	3.77E+00	4.07E+00	2.91E+00	2.97E+00	4.63E+00
CPCT02040144T	1.18E+01	2.35E+00	4.08E+00	1.26E+01	3.29E+00	2.82E+00
