Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
SP116802	9.76E-02	8.33E-02	4.11E-02	2.59E-01	2.61E-01	1.47E-01	2.86E-01	3.24E-01	3.22E-01	3.94E-01	1.94E-01	9.67E-02	2.66E-01
SP116885	2.04E+00	5.22E-01	1.75E+00	6.41E-01	9.30E-01	1.31E+00	2.03E+00	2.19E+00	3.79E-01	5.69E-01	1.65E+00	1.90E+00	5.31E-01
SP116834	4.44E-01	3.77E-01	4.13E-01	4.26E-01	1.02E-01	3.78E-01	5.74E-01	5.72E-01	4.14E-01	5.70E-01	6.98E-01	5.94E-01	1.01E+00
SP116913	1.08E-01	1.30E-01	1.79E-01	8.52E-01	4.53E-01	6.12E-01	1.00E-02	1.51E-01	2.52E-01	4.52E-01	1.66E-01	4.34E-01	5.53E-01
SP116799	1.03E-01	9.57E-02	2.16E-01	7.26E-01	7.31E-01	7.68E-01	4.65E-01	6.37E-01	6.09E-01	3.37E-01	4.76E-01	5.42E-01	2.97E-01
SP116920	1.56E-01	0.00E+00	3.43E-02	3.23E-01	1.89E-01	2.39E-01	2.84E-01	5.05E-01	5.87E-01	2.21E-01	2.46E-01	1.14E-01	3.65E-01
SP116835	9.54E-01	7.10E-01	9.34E-01	1.05E+00	3.99E-01	1.05E+00	9.70E-01	1.14E+00	8.81E-01	9.18E-01	1.29E+00	1.57E+00	1.69E+00
SP116852	4.52E-01	3.27E-01	7.27E-01	8.32E-01	4.16E-01	6.64E-01	1.04E+00	5.28E-01	3.11E-01	1.78E-01	6.54E-01	1.08E+00	5.00E-01
SP116902	3.46E-01	1.78E-01	4.18E-01	7.38E-01	4.96E-01	6.20E-01	4.31E-01	3.45E-01	2.18E-01	2.62E-01	4.41E-01	8.27E-01	2.64E-01
SP116871	2.23E-02	1.41E-02	5.84E-02	1.90E-01	1.96E-01	3.35E-01	2.40E-01	1.09E-01	8.71E-02	2.70E-01	9.60E-02	1.17E-01	2.31E-01
SP116820	6.04E-01	6.23E-01	8.69E-01	4.70E-01	7.17E-01	3.00E-01	8.77E-01	1.02E+00	9.75E-01	4.45E-01	1.26E+00	1.01E+00	2.79E-01
SP116889	4.26E-01	5.38E-01	7.15E-01	1.35E+00	7.06E-01	9.46E-01	2.60E-01	4.20E-01	6.08E-01	9.72E-01	6.65E-01	1.19E+00	4.40E-01
SP116923	5.05E-01	5.22E-01	6.99E-01	8.41E-01	8.64E-01	8.93E-01	5.94E-01	6.39E-01	1.21E+00	3.49E-01	3.74E-01	1.13E+00	7.59E-01
SP116829	3.75E-01	2.19E-01	6.58E-01	1.25E+00	1.63E+00	8.63E-01	3.15E-01	2.93E-01	1.10E+00	3.78E-01	3.59E-01	1.03E+00	1.06E+00
SP116872	5.17E-02	3.15E-02	5.41E-02	9.11E-02	1.86E-01	1.94E-01	2.10E-01	1.56E-01	1.36E-01	2.70E-01	1.24E-01	6.42E-02	2.57E-01
