Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
CPCT02230005T	601	0.996	109.582	18.233%	21.412	8.692%	0.06945	0.996
CPCT02010473T	1078	0.998	161.907	15.019%	27.134	5.538%	0.05142	0.998
CPCT02010485T	1315	0.978	337.942	25.699%	75.403	20.828%	0.08599	0.974
CPCT02050104T	5165	0.998	682.965	13.223%	137.438	6.315%	0.02878	0.998
CPCT02010483T	2000	0.999	256.275	12.814%	42.223	5.687%	0.02775	0.999
CPCT02020442T	1776	0.998	286.353	16.123%	47.715	6.92%	0.04148	0.998
CPCT02050107T	833	0.999	132.142	15.863%	23.089	6.53%	0.05242	0.998
CPCT02070070T	1847	0.998	235.426	12.746%	38.04	6.447%	0.0277	0.998
CPCT02050113T	1336	0.999	220.64	16.515%	38.264	6.428%	0.05644	0.999
CPCT02020454T	2241	0.998	250.284	11.168%	48.913	5.587%	0.02974	0.998
CPCT02010474T	3320	0.999	454.639	13.694%	76.305	5.331%	0.04794	0.999
CPCT02010471T	1367	0.998	189.45	13.859%	33.59	6.215%	0.03747	0.998
CPCT02040075T	1693	0.999	244.355	14.433%	46.909	6.713%	0.03248	0.999
CPCT02210011T	866	0.998	130.562	15.076%	24.872	6.086%	0.05397	0.998
CPCT02080075T	1841	0.998	269.028	14.613%	46.697	6.167%	0.03943	0.998
CPCT02100013TII	2974	0.991	690.399	23.214%	140.686	13.631%	0.06905	0.99
CPCT02210012T	523	0.997	84.936	16.24%	15.859	7.631%	0.06194	0.997
CPCT02010506T	1149	0.994	224.022	19.497%	41.926	11.424%	0.06337	0.993
CPCT02190007T	2368	0.992	465.26	19.648%	102.771	12.283%	0.05931	0.992
CPCT02010488T	2221	0.999	289.882	13.052%	51.805	5.752%	0.03213	0.999
CPCT02010512T	2974	0.947	1171.939	39.406%	294.423	33.362%	0.15644	0.939
CPCT02080080T	1846	0.997	333.974	18.092%	62.377	8.664%	0.04575	0.996
DRUP01050001T	128648	1.0	6235.323	4.847%	1910.674	2.24%	0.00432	1.0
CPCT02030319T	1257	0.996	262.525	20.885%	44.436	9.738%	0.07334	0.996
CPCT02080084T	3387	0.999	403.932	11.926%	77.789	5.195%	0.02331	0.999
CPCT02010514T	536	0.995	141.238	26.35%	24.585	10.705%	0.1244	0.995
CPCT02230012T	1637	0.999	221.499	13.531%	35.336	5.156%	0.03999	0.999
CPCT02100036T	573	0.996	121.096	21.134%	20.116	9.182%	0.06971	0.996
CPCT02100057T	2621	0.999	339.756	12.963%	56.436	5.286%	0.03139	0.999
CPCT02230006T	2305	0.999	265.402	11.514%	46.537	4.256%	0.03011	0.999
CPCT02230011T	237	0.947	98.461	41.545%	16.148	33.841%	0.21674	0.928
CPCT02030323T	3638	0.998	465.343	12.791%	86.484	6.448%	0.02883	0.998
CPCT02010533T	2361	0.997	374.253	15.851%	69.746	7.502%	0.04807	0.997
CPCT02010527T	2118	0.999	234.394	11.067%	39.208	5.162%	0.02678	0.999
CPCT02010529T	1898	0.999	202.032	10.644%	33.411	4.471%	0.02428	0.999
CPCT02370001T	4689	0.999	437.511	9.331%	74.548	3.732%	0.02404	0.999
CPCT02220009T	1670	0.995	289.028	17.307%	59.317	10.642%	0.04781	0.994
CPCT02050139T	2085	0.998	264.485	12.685%	44.341	5.799%	0.03352	0.998
CPCT02040091T	2640	0.999	276.54	10.475%	43.46	3.636%	0.0234	0.999
CPCT02030328T	2040	0.998	330.073	16.18%	65.34	7.555%	0.04333	0.997
CPCT02010497T	3472	0.998	483.339	13.921%	90.179	6.883%	0.03139	0.998
CPCT02060072T	2046	0.994	475.947	23.262%	102.648	11.807%	0.08198	0.993
CPCT02010541T	1683	0.997	288.928	17.167%	46.627	8.108%	0.04708	0.997
CPCT02300010T	1373	0.999	151.52	11.036%	22.584	3.868%	0.034	0.999
