Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
SP95550	115	63	12	0	24	0	3	97	205	21	4	91	0	6
CPCT02020389T	134	8	101	0	13	2	26	18	76	0	25	39	5	34
CPCT02080033T	0	31	337	18	89	0	93	5	172	73	74	9	25	16
CPCT02060156T	271	2	116	45	95	32	127	21	257	0	128	17	0	39
DRUP01340014T	16	12	24	14	21	0	15	1	0	0	28	0	0	310
DRUP01010121T	279	20	69	5	82	18	55	63	103	193	26	72	71	9
CPCT02130034T	79	67	96	16	35	0	130	45	94	22	45	139	81	10
CPCT02260015T	246	82	72	0	40	2	234	128	103	95	338	56	0	13
CPCT02220071T	10871	278	922	1027	366	626	209	45	0	0	30	69	0	97
CPCT02010710T	143	32	82	26	48	17	112	107	39	0	40	15	37	12
CPCT02340068T	5	21	50	27	29	1	46	0	52	33	68	48	16	19
CPCT02130050T	91	41	178	25	32	11	241	30	44	0	120	113	57	0
DRUP01060016T	34	42	34	28	0	0	106	34	12	0	392	19	28	0
CPCT02260017T	188	40	304	13	18	6	73	35	183	0	77	66	42	72
CPCT02020682T	773	90	390	0	72	0	141	9	71	0	92	87	71	42
DRUP01030013T	37495	1290	4523	6926	0	1697	806	57	0	0	0	0	0	0
CPCT02130059T	77	0	108	0	120	0	147	29	41	113	43	162	30	0
WIDE01010296T	158	52	311	0	96	0	40	37	150	0	481	88	250	27
CPCT02380044T	9	0	148	35	21	0	83	43	0	0	118	68	417	20
CPCT02060117T	31	14	128	0	134	7	69	7	50	57	54	15	11	1
CPCT02080220T	47	1	328	28	164	0	128	28	80	0	78	45	12	10
CPCT02210056T	66	10	102	18	76	3	145	8	122	0	41	5	13	4
CPCT02020734T	71	0	149	15	97	2	251	22	99	0	25	0	0	0
CPCT02020716T	28	4	79	0	60	4	85	17	76	2	24	21	15	6
CPCT02080226T	24	31	84	5	0	11	126	58	191	0	14	50	125	19
DRUP01080014T	17180	893	1153	1798	786	726	292	24	0	0	0	0	0	0
DRUP01270003T	55	0	102	0	26	1	48	5	76	71	16	76	76	7
CPCT02190044T	18	83	3	10	0	13	129	20	0	0	71	104	27	11
CPCT02130131T	52	0	147	26	2	0	72	2	0	0	0	279	0	47
CPCT02220054T	135	48	86	0	24	10	115	67	349	0	5	66	29	19
CPCT02330075T	251	52	291	0	185	10	110	42	275	45	66	63	71	44
CPCT02130134T	0	44	78	0	58	0	196	39	5	61	89	101	3	4
CPCT02130148T	0	36	83	0	20	0	95	35	285	115	21	119	34	21
CPCT02070381T	0	14	22	20	0	1	105	6	34	0	45	31	5	4
DRUP01070053T	76	27	35	0	24	6	150	3	163	0	65	59	0	19
DRUP01060025T	0	45	132	0	0	48	288	2070	55	115	0	36	127	69
DRUP01100007T	157	0	284	0	106	5	92	34	192	82	53	57	12	38
CPCT02380019T	0	61	121	3	21	31	219	108	6	45	31	163	86	36
CPCT02020598T	3	18	48	13	15	4	144	11	31	30	71	53	3	0
DRUP01070059T	0	0	0	51	48	1	64	11	6	0	57	37	27	47
CPCT02080152T	15512	0	1905	2414	694	998	348	10	0	0	0	0	0	0
CPCT02070406T	0	50	0	0	0	36	76	0	41	19	83	156	70	178
CPCT02450002T	354	0	325	0	170	5	169	62	169	0	30	103	89	11
DRUP01070024T	16	16	123	3	10	4	80	32	42	0	100	73	87	20
DRUP01060027T	33	59	8	46	9	0	58	494	63	0	189	83	0	18
CPCT02030381T	0	29	59	0	66	3	107	105	54	20	216	26	7	8
DRUP01220005T	111	39	107	5	39	0	105	35	172	69	0	59	8	408
CPCT02370010T	0	41	136	23	0	19	285	2066	50	100	0	56	106	80
CPCT02020623T	217	22	150	0	125	0	86	46	38	0	0	226	0	29
CPCT02290023T	115	28	223	0	172	19	82	33	74	0	195	71	19	21
DRUP01010022T	40398	1278	3189	5832	191	1689	258	0	0	546	0	28	0	0
CPCT02070159T	1	0	255	40	39	9	116	29	4	0	50	87	87	34
CPCT02030354T	61	21	23	0	3	8	36	38	82	5	13	18	27	29
CPCT02020565T	42	19	89	0	34	9	52	34	121	0	44	6	14	29
CPCT02060114T	21	30	21	33	6	0	69	18	7	0	284	22	9	0
CPCT02060118T	20	6	81	26	0	0	156	113	0	80	61	82	0	16
CPCT02220002T	0	6	52	0	16	3	51	9	36	71	61	30	14	12
DRUP01030002T	27	20	90	11	80	3	87	36	96	0	20	28	154	37
CPCT02070060T	71	25	115	0	32	0	94	295	145	130	228	114	84	28
CPCT02030320T	123	0	387	0	218	0	83	28	265	0	18	0	6	15
CPCT02060035T	87	0	130	9	69	0	36	28	83	0	25	10	38	25
CPCT02070110T	19	11	141	0	0	1	42	46	62	0	85	79	93	22
CPCT02020492T	28	0	28	32	31	2	53	96	47	9	191	206	0	43
CPCT02030327T	40	40	21	0	80	0	8	14	37	62	34	63	11	24
CPCT02020503T	91	1	63	5	19	5	40	99	165	72	433	118	129	20
CPCT02380029T	67412	1621	1363	4826	0	7970	225	0	0	2875	0	0	0	0
CPCT02020636T	5	45	39	0	58	18	113	93	39	90	355	90	63	26
CPCT02130013T	55	9	69	0	0	8	109	109	0	0	373	0	509	0
DRUP01110002T	55422	1049	6233	8274	5794	4383	1241	0	0	1018	0	0	0	82
WIDE01010639T	154	0	164	16	84	4	39	11	75	0	7	29	16	27
DRUP01010167T	29388	2183	2587	5623	502	2105	296	0	0	0	0	0	0	0
WIDE01010570T	191	36	141	25	21	0	48	39	56	0	0	92	331	62
