Samples	ID1	ID2	ID4	ID6	ID8	ID9	ID18	ID19	ID23
CPCT02220071T	2114	12426	0	0	0	0	0	0	0
CPCT02010710T	192	210	0	0	136	0	0	172	0
CPCT02340068T	129	50	0	0	59	0	0	80	97
CPCT02130050T	295	154	0	0	195	0	0	339	0
DRUP01060016T	82	60	0	0	280	0	0	141	166
CPCT02260017T	538	323	0	0	0	0	0	0	256
CPCT02020682T	706	1132	0	0	0	0	0	0	0
DRUP01030013T	8991	43803	0	0	0	0	0	0	0
CPCT02130059T	280	220	0	0	0	148	0	222	0
WIDE01010296T	593	301	0	0	389	0	0	0	407
CPCT02380044T	349	107	0	0	221	285	0	0	0
CPCT02060117T	331	123	0	0	0	0	0	124	0
CPCT02080220T	614	118	0	0	0	0	0	217	0
CPCT02210056T	259	124	0	0	0	0	0	230	0
CPCT02020734T	252	98	0	0	93	0	0	288	0
CPCT02020716T	203	68	0	0	0	0	0	150	0
CPCT02080226T	221	86	0	0	0	0	0	228	203
DRUP01080014T	3383	19469	0	0	0	0	0	0	0
DRUP01270003T	240	185	0	0	0	134	0	0	0
CPCT02190044T	63	51	0	0	94	105	0	176	0
CPCT02130131T	202	94	0	0	0	219	0	112	0
CPCT02220054T	260	220	173	0	120	0	0	180	0
CPCT02330075T	898	607	0	0	0	0	0	0	0
CPCT02130134T	179	66	0	0	154	0	0	279	0
CPCT02130148T	246	127	185	0	0	161	0	145	0
CPCT02070381T	57	0	0	0	76	0	0	154	0
DRUP01070053T	139	130	0	0	126	0	0	232	0
DRUP01060025T	292	139	0	1503	664	0	0	387	0
DRUP01100007T	698	414	0	0	0	0	0	0	0
CPCT02380019T	223	75	0	0	158	157	0	318	0
CPCT02020598T	100	39	0	0	105	0	0	200	0
DRUP01070059T	80	0	0	0	104	0	0	165	0
CPCT02080152T	3846	18035	0	0	0	0	0	0	0
CPCT02070406T	73	64	0	0	0	0	0	219	353
CPCT02450002T	647	549	0	0	0	0	0	291	0
DRUP01070024T	199	51	0	0	136	98	0	122	0
DRUP01060027T	115	81	0	378	332	154	0	0	0
CPCT02030381T	159	38	0	0	218	0	0	150	135
DRUP01220005T	407	349	0	0	0	0	0	401	0
CPCT02370010T	307	0	0	1552	706	0	0	397	0
CPCT02020623T	363	354	0	0	0	222	0	0	0
CPCT02290023T	559	245	0	0	248	0	0	0	0
DRUP01010022T	7364	46045	0	0	0	0	0	0	0
CPCT02070159T	487	0	0	0	0	0	0	264	0
CPCT02030354T	77	100	0	50	0	0	0	62	75
CPCT02020565T	210	90	0	0	94	0	0	99	0
CPCT02060114T	64	41	0	0	204	0	0	94	117
CPCT02060118T	133	96	0	0	176	0	0	236	0
CPCT02220002T	92	55	48	0	60	37	0	69	0
DRUP01030002T	339	118	0	0	0	0	0	232	0
CPCT02070060T	279	235	0	249	280	0	0	0	318
CPCT02030320T	876	267	0	0	0	0	0	0	0
CPCT02060035T	346	194	0	0	0	0	0	0	0
CPCT02070110T	255	67	0	0	140	139	0	0	0
CPCT02020492T	121	85	0	0	284	276	0	0	0
CPCT02030327T	173	151	0	0	0	110	0	0	0
CPCT02020503T	186	221	192	0	421	240	0	0	0
CPCT02380029T	0	86292	0	0	0	0	0	0	0
CPCT02020636T	156	103	0	0	285	0	0	181	309
CPCT02130013T	160	152	0	0	421	0	0	215	293
DRUP01110002T	16407	67089	0	0	0	0	0	0	0
WIDE01010639T	360	266	0	0	0	0	0	0	0
DRUP01010167T	7194	35490	0	0	0	0	0	0	0
WIDE01010570T	365	409	0	0	0	268	0	0	0
