Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
CPCT02130139T	179	0	236	0	127	40	99	0	18	62	62	15	0	0	0	188	0	27	0
CPCT02230115T	137	0	0	20	197	0	128	0	7	38	0	37	6	0	0	12	24	0	0
CPCT02010902T	0	0	387	8	98	40	114	108	10	9	0	15	0	0	44	5	6	0	0
CPCT02290056T	22	0	140	0	0	0	43	139	172	66	0	165	105	73	3	43	0	0	0
CPCT02130152T	25	0	63	0	0	0	49	4	4	0	45	49	26	0	5	7	0	0	0
DRUP01170003T	3	0	31	0	35	0	46	0	250	7	39	1	16	77	0	1	0	0	0
DRUP01010095T	38	0	624	6	91	0	5	21	13	0	0	16	0	123	56	6	6	0	0
DRUP01030024T	242	0	0	0	311	66	121	0	57	0	0	87	21	0	7	2	48	79	0
CPCT02040292T	13	0	301	41	0	88	297	0	62	16	0	54	0	0	54	1	51	0	0
DRUP01050035T	958	0	339	171	0	0	112	0	143	122	369	0	89	48	0	37	0	0	0
CPCT02020577T	26	0	146	0	0	0	117	66	32	0	46	30	43	0	19	8	72	14	0
CPCT02050263T	199	0	144	33	0	0	43	192	9	24	0	0	16	0	4	13	65	0	98
DRUP01010108T	2229	0	798	0	0	17	54	1424	24	147	265	0	0	203	79	175	0	0	0
DRUP01010109T	33	0	159	13	0	0	15	94	0	27	19	16	17	0	0	14	50	0	45
DRUP01010113T	28	0	0	0	0	0	0	133	80	38	100	326	74	67	66	12	55	0	0
CPCT02120059T	156	0	553	12	12	105	103	580	61	50	0	54	0	12	0	88	28	0	0
CPCT02170010T	13	0	4	16	48	0	131	59	105	32	45	63	19	48	0	18	0	0	0
CPCT02030398T	140	0	117	0	0	0	100	170	12	11	0	21	23	1	43	20	8	0	0
CPCT02050250T	175	0	237	24	0	0	38	0	3	3	0	32	20	27	0	19	10	0	0
CPCT02050076TII	42	0	6	0	355	344	41	278	13	13	0	6	0	49	0	8	29	0	0
CPCT02050182T	25	0	0	0	235	0	9	0	14	24	33	15	18	63	3	9	0	0	0
CPCT02070187T	12	0	389	0	17	69	65	0	15	8	0	8	8	53	0	15	41	0	0
CPCT02030373T	704	0	307	0	0	0	80	0	37	120	75	9	22	83	0	6	139	495	0
CPCT02020589T	40	0	139	0	28	0	83	0	313	40	28	15	26	92	22	6	0	0	0
CPCT02040154T	89	0	244	14	0	0	53	0	6	12	18	46	18	49	34	0	28	0	14
CPCT02050091T	10	0	39	13	9	18	34	42	11	13	0	4	25	0	0	10	22	0	34
CPCT02020406T	19	0	75	2	0	0	35	0	9	24	12	17	12	16	32	5	42	100	0
CPCT02020405T	123	0	407	0	74	0	69	0	174	12	18	0	27	24	34	4	0	12	0
CPCT02070052T	79	0	246	3	0	7	38	0	7	1	46	21	18	35	28	13	8	225	0
CPCT02060063T	139	0	148	11	0	0	147	0	964	66	0	126	0	0	0	140	50	52	0
CPCT02230004T	85	0	217	14	0	0	25	62	6	75	37	21	5	7	0	13	2	0	138
CPCT02300006T	112	0	172	6	82	0	63	55	20	21	0	23	0	39	0	10	6	0	39
CPCT02080066T	87	0	68	6	51	0	9	0	5	31	39	2	7	21	16	7	24	0	0
CPCT02010492T	18	0	0	3	0	0	10	0	2	12	0	22	23	57	0	5	41	0	0
CPCT02020460T	6	0	0	0	0	0	32	88	13	0	35	15	0	17	25	0	30	0	0
DRUP01010019T	122	0	140	38	120	37	8	419	22	12	74	36	105	62	0	15	0	0	0
