	DRUP01070119T	DRUP01010095T	CPCT02020597TII	CPCT02340026T	CPCT02070053T	CPCT02070357T	DRUP01340014T	CPCT02030278T	WIDE01010510T	CPCT02020413T	CPCT02250003T	CPCT02340081T	CPCT02020815T	WIDE01010470T	CPCT02050424T	CPCT02040317T	CPCT02220006T	CPCT02070336T	CPCT02020865T	CPCT02100089T	DRUP01030028T	CPCT02080153T	CPCT02340014T	CPCT02120032T	DRUP01030015T	CPCT02050149T	CPCT02050439T	DRUP01230004T	CPCT02050117T	CPCT02060264T	CPCT02100131T	CPCT02010648T	CPCT02450014T
A[Del(T):R3]C	1	0	1	0	61	4	0	1	3	11	5	0	9	172	7	6	2	8	22	0	1	0	3	6	0	0	3	37	1	0	0	0	18
A[Del(T):R3]G	2	1	1	0	37	5	2	4	1	9	0	0	16	87	5	4	1	15	9	0	1	1	1	8	0	2	1	61	0	1	4	1	27
A[Del(T):R4]A	23	3	3	3	133	14	2	3	10	14	0	2	21	381	89	4	1	14	13	0	2	2	11	21	3	0	7	308	1	0	6	3	94
A[Del(T):R4]C	10	1	1	1	144	8	0	1	2	5	2	1	7	213	8	2	2	8	19	1	3	1	8	18	3	0	5	191	1	1	3	1	73
A[Del(T):R4]G	7	0	1	3	43	9	2	1	1	8	0	0	21	113	9	10	0	10	19	0	3	0	5	12	1	2	1	160	0	1	1	1	52
A[Del(T):R5]A	51	2	0	1	36	16	1	4	3	8	1	0	14	626	56	10	4	19	13	3	4	0	1	58	1	1	8	1316	0	1	10	3	521
A[Del(T):R5]C	24	0	0	0	24	6	0	1	2	1	1	1	6	193	6	3	0	9	9	0	1	1	9	58	0	0	8	570	0	0	5	0	257
A[Del(T):R5]G	41	1	0	2	39	13	1	5	1	7	1	1	7	143	4	2	3	6	12	0	0	0	5	29	1	2	4	780	0	2	1	5	254
A[Del(T):R6]A	123	2	1	2	19	7	0	4	5	3	1	0	13	663	29	7	2	9	1	2	3	0	7	85	0	1	9	2770	2	1	28	0	1227
A[Del(T):R6]C	35	1	0	2	18	4	0	1	3	2	0	0	6	209	6	1	1	7	2	1	1	2	4	73	0	1	4	840	1	0	13	0	662
A[Del(T):R6]G	71	1	1	1	13	10	0	4	0	3	0	0	13	166	8	9	2	8	2	2	2	0	2	35	0	0	8	1477	1	0	10	0	800
A[Del(T):R7]A	139	1	0	1	9	13	1	2	2	1	3	3	5	644	15	2	3	6	2	3	2	0	12	121	0	1	23	3751	3	0	36	3	1600
A[Del(T):R7]C	89	2	1	1	9	11	2	3	8	1	1	0	5	410	3	5	1	5	2	1	3	4	4	232	0	0	13	2150	1	1	29	6	1430
A[Del(T):R7]G	134	0	1	1	10	9	0	0	2	1	1	0	2	349	2	2	1	2	2	1	1	0	5	82	5	0	4	3216	1	1	16	0	1533
A[Del(T):R8]A	287	3	7	0	2	12	3	5	11	1	0	0	5	954	3	3	4	12	4	9	2	0	16	209	4	0	12	5965	0	2	62	0	2555
A[Del(T):R8]C	195	3	4	2	1	9	2	0	9	1	2	0	4	454	6	4	1	4	1	3	2	2	17	463	4	0	16	3676	2	3	49	2	2807
A[Del(T):R8]G	217	2	2	2	3	5	1	1	6	0	0	0	5	200	3	3	0	2	0	4	2	3	7	106	1	2	8	4031	0	0	20	0	1601
A[Del(T):R(9,)]A	1005	5	7	1	3	31	4	10	28	1	4	0	15	897	18	4	8	8	3	14	7	4	21	622	4	3	40	16630	0	8	157	2	6371
A[Del(T):R(9,)]C	833	8	3	1	9	35	3	8	17	1	3	1	20	541	11	6	6	7	2	12	3	7	30	880	9	6	31	12459	4	5	153	5	7045
A[Del(T):R(9,)]G	639	3	2	2	2	14	2	4	13	0	2	0	8	255	5	6	4	3	0	3	4	2	11	331	5	0	23	11172	0	3	82	6	3835
C[Del(T):R1]A	3	3	3	1	1	4	2	5	2	11	19	0	47	1	44	17	6	15	11	4	1	1	5	7	2	1	2	28	2	2	1	1	14
C[Del(T):R1]C	4	0	2	3	2	12	1	2	3	19	5	0	21	7	12	8	2	13	10	2	0	2	4	11	0	1	3	57	2	2	6	2	18
C[Del(T):R1]G	2	1	1	5	0	9	1	4	4	27	10	1	40	2	9	11	4	19	11	0	3	4	4	10	1	3	4	17	4	3	4	5	14
C[Del(T):R2]A	0	0	3	1	2	1	1	1	1	11	1	0	49	4	108	11	2	12	8	0	0	1	2	2	2	2	0	31	1	0	2	3	4
C[Del(T):R2]C	1	1	1	1	3	4	4	2	0	18	4	0	39	11	22	6	3	18	9	1	1	1	6	4	3	0	2	34	0	0	1	1	9
C[Del(T):R2]G	1	1	0	1	0	4	0	1	1	10	3	0	64	3	5	16	4	5	10	0	1	1	5	1	0	0	0	19	3	1	0	1	1
C[Del(T):R3]A	3	1	2	3	3	11	1	6	2	9	3	1	29	17	35	10	2	14	5	1	0	2	4	3	2	1	1	43	3	0	1	3	11
C[Del(T):R3]C	1	1	3	1	2	13	1	2	1	9	1	0	18	7	5	6	1	18	13	1	2	2	8	5	1	2	6	42	1	0	2	2	31
C[Del(T):R3]G	3	0	0	0	0	8	1	5	3	5	3	0	56	5	10	5	4	16	8	0	0	3	0	4	3	1	1	28	0	3	0	3	2
C[Del(T):R4]A	6	2	1	2	1	11	1	1	0	1	0	0	29	40	46	10	0	10	9	0	1	2	5	10	0	1	5	257	0	1	3	0	98
C[Del(T):R4]C	13	2	1	1	1	9	0	1	1	5	2	0	21	31	12	10	2	3	13	1	2	2	8	20	2	0	5	266	0	1	3	2	66
C[Del(T):R4]G	10	1	0	3	2	17	2	3	3	4	0	0	59	11	4	16	1	12	10	0	3	2	3	6	1	0	10	228	1	1	1	1	41
C[Del(T):R5]A	17	0	1	1	1	8	1	2	1	3	1	0	25	82	13	8	2	9	4	0	2	1	9	34	2	0	3	592	0	1	4	1	119
C[Del(T):R5]C	23	2	1	1	1	7	0	1	2	4	0	0	8	59	10	7	2	2	4	1	1	0	1	54	0	0	5	684	1	0	1	1	140
C[Del(T):R5]G	27	0	1	0	0	4	0	1	2	2	0	0	30	10	2	6	0	3	4	1	1	0	1	12	2	0	4	503	0	1	1	0	97
C[Del(T):R6]A	43	1	0	0	1	7	0	0	2	3	0	0	17	262	8	5	1	2	1	0	1	1	4	45	1	0	2	1115	1	0	12	0	315
C[Del(T):R6]C	31	0	1	0	1	3	0	0	3	3	0	0	10	95	4	3	0	1	4	1	4	0	3	86	0	0	2	548	0	0	2	1	236
C[Del(T):R6]G	19	0	0	1	0	7	0	0	1	0	2	0	9	45	4	5	1	2	3	1	0	1	1	13	1	1	4	508	0	1	4	1	164
C[Del(T):R7]A	98	2	2	0	1	6	1	2	6	1	1	0	11	698	4	3	0	3	3	3	1	2	5	84	3	0	10	2661	0	1	22	2	898
C[Del(T):R7]C	88	0	0	0	0	11	1	1	3	1	0	0	8	296	3	3	1	2	0	8	2	1	1	377	1	1	4	2692	0	6	14	1	1351
C[Del(T):R7]G	133	1	0	0	0	8	0	0	2	0	0	0	4	184	4	2	0	0	3	0	2	2	3	81	2	0	3	3113	0	1	22	0	850
C[Del(T):R8]A	212	0	2	1	1	5	2	0	4	0	1	0	5	463	7	0	0	0	1	10	4	2	7	163	3	2	11	4757	1	3	37	1	1540
C[Del(T):R8]C	174	1	1	0	0	7	0	1	6	0	0	0	9	231	2	2	2	3	1	6	1	1	7	501	0	1	3	4491	0	4	14	2	1854
C[Del(T):R8]G	247	1	0	0	0	4	1	0	5	1	1	0	2	109	0	2	0	1	2	4	2	2	1	116	1	0	2	5491	1	2	33	1	1406
C[Del(T):R(9,)]A	543	2	2	4	1	21	2	3	18	1	4	0	7	569	7	5	4	8	4	11	3	6	25	364	2	0	22	9843	2	2	99	1	3180
C[Del(T):R(9,)]C	744	1	2	1	1	22	0	6	19	1	1	0	8	406	5	4	2	14	1	25	7	4	18	1708	13	0	34	13956	1	1	101	3	5595
C[Del(T):R(9,)]G	615	0	3	1	0	9	3	2	16	1	2	1	2	157	3	3	2	5	0	12	4	2	11	363	1	2	13	11602	1	1	53	0	2863
G[Del(T):R1]A	0	0	1	3	0	2	0	2	28	13	10	0	24	3	7	13	0	10	2	1	1	1	2	1	2	0	3	17	2	0	3	1	2
G[Del(T):R1]C	0	1	0	2	2	15	0	1	2	12	3	0	10	6	9	2	0	9	7	0	1	1	2	7	0	1	1	8	0	1	3	1	2
G[Del(T):R1]G	3	1	4	0	0	5	1	4	84	16	6	0	10	6	9	6	1	8	11	1	0	1	7	8	1	0	2	68	3	1	7	1	14
G[Del(T):R2]A	2	0	1	0	6	9	0	0	1	7	8	1	8	4	407	4	1	7	7	4	3	3	3	15	1	1	1	15	0	0	0	1	5
G[Del(T):R2]C	0	0	2	0	1	6	0	0	2	7	0	0	1	4	7	3	0	8	8	1	0	0	1	4	2	2	2	6	1	1	1	1	4
G[Del(T):R2]G	0	1	1	2	2	7	0	0	4	11	3	0	36	3	12	5	2	5	6	0	0	1	2	8	2	0	2	14	0	0	1	0	3
G[Del(T):R3]A	2	1	0	2	3	11	0	5	0	10	0	1	4	68	12	3	2	16	8	0	1	1	1	13	1	3	2	32	1	1	3	1	12
G[Del(T):R3]C	1	0	0	0	4	8	0	2	1	9	1	0	2	46	6	0	1	16	12	1	0	0	1	28	0	0	0	47	1	1	0	1	15
G[Del(T):R3]G	2	0	1	1	0	8	0	2	3	10	0	0	14	25	7	3	3	14	7	0	1	0	3	12	0	0	0	46	1	1	1	0	7
G[Del(T):R4]A	10	0	2	0	1	11	0	1	3	3	0	0	8	94	30	6	1	8	9	2	0	2	4	49	1	0	4	207	1	1	0	3	48
G[Del(T):R4]C	5	0	1	1	0	10	0	4	0	5	0	0	6	68	6	2	3	5	5	1	1	1	3	39	0	0	2	160	0	0	1	0	28
G[Del(T):R4]G	9	0	2	3	0	18	1	6	0	4	0	0	14	41	7	5	1	7	2	0	2	2	5	37	2	0	5	210	0	0	2	1	33
G[Del(T):R5]A	11	0	2	1	2	14	1	2	2	4	1	0	7	137	14	3	1	11	5	0	0	0	6	74	1	3	3	545	0	1	1	2	104
G[Del(T):R5]C	17	0	0	0	1	4	0	1	1	5	0	0	5	59	3	2	1	0	5	1	1	0	0	83	0	0	3	376	0	3	0	3	106
G[Del(T):R5]G	29	0	0	1	0	8	0	2	0	0	2	0	10	60	5	8	1	4	1	1	1	0	3	41	0	0	1	489	1	2	4	1	127
G[Del(T):R6]A	26	0	0	0	0	6	0	0	1	1	0	0	9	133	6	1	1	4	0	0	5	0	4	82	1	0	6	884	0	1	6	0	261
G[Del(T):R6]C	29	1	2	2	0	3	0	1	2	1	1	0	4	55	3	7	0	2	2	0	0	0	0	52	2	1	2	409	0	1	4	1	247
G[Del(T):R6]G	24	0	3	1	1	12	0	1	1	1	1	1	6	85	4	4	2	6	0	0	1	0	4	57	0	0	1	464	0	0	3	0	184
G[Del(T):R7]A	71	0	2	0	1	5	1	0	3	1	0	0	0	152	3	4	2	3	1	1	1	1	2	133	0	0	4	1610	1	2	7	1	682
G[Del(T):R7]C	62	0	0	0	1	6	0	1	1	1	0	0	2	120	3	1	0	0	1	0	0	1	1	181	3	1	1	1402	0	0	10	1	960
G[Del(T):R7]G	71	4	1	3	0	4	0	1	2	0	1	0	3	82	0	2	1	2	0	1	0	0	2	82	0	2	2	1602	1	2	3	1	844
G[Del(T):R8]A	102	0	0	0	0	6	0	1	3	1	0	0	0	296	4	0	0	1	0	3	0	1	3	199	0	0	3	2711	0	0	11	1	1052
G[Del(T):R8]C	85	0	1	0	1	6	1	0	2	1	0	0	0	128	2	0	1	2	0	3	1	1	3	207	0	0	4	1866	0	1	8	0	1110
G[Del(T):R8]G	97	0	1	0	0	2	0	0	3	0	0	0	2	56	4	0	2	0	0	3	0	1	1	109	1	0	4	2540	0	0	12	0	950
G[Del(T):R(9,)]A	620	0	4	1	1	18	1	1	12	0	1	1	6	422	6	3	0	4	0	11	1	1	9	652	4	2	15	8485	2	4	68	4	3513
G[Del(T):R(9,)]C	645	0	3	2	0	13	0	0	17	0	0	2	6	286	5	7	3	3	0	12	2	0	16	938	7	0	21	8176	1	1	79	5	4597
G[Del(T):R(9,)]G	435	0	0	1	1	5	0	1	4	2	1	1	2	103	5	1	2	1	0	5	2	2	9	386	3	1	8	6348	0	1	49	0	2275
A[Ins(C):R0]A	7	2	2	1	3	2	1	4	2	2	0	0	3	557	33	3	1	4	1	1	1	2	823	21	0	0	4	113	2	0	10	0	80
A[Ins(C):R0]G	1	0	1	0	0	0	3	0	0	1	0	0	6	2	3	0	0	1	0	0	1	0	21	0	0	0	1	9	0	0	1	0	6
A[Ins(C):R0]T	0	0	2	1	3	0	0	1	0	0	0	1	7	45	6	3	1	0	1	1	1	0	623	1	2	0	0	20	0	0	3	0	22
A[Ins(C):R1]A	0	1	1	1	0	0	0	1	2	2	2	2	7	9	7	0	1	2	4	0	2	0	19	1	0	1	1	17	1	0	2	0	49
A[Ins(C):R1]G	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	1	5
A[Ins(C):R1]T	0	0	0	0	1	1	0	1	0	2	3	0	0	7	2	1	0	0	3	0	0	0	14	4	0	1	0	4	1	0	0	0	33
A[Ins(C):R2]A	0	0	0	2	0	0	0	1	0	0	11	0	5	3	5	2	0	1	1	0	0	0	5	1	0	0	0	5	0	0	1	0	20
A[Ins(C):R2]G	0	0	1	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3
