Samples	ID1	ID2	ID3	ID4	ID8	ID9	ID13	ID19	ID21	ID22	ID25	ID83H	ID83I	ID83J
SP124384	4658	17342	0	0	0	0	0	0	0	0	0	0	0	0
SP124403	0	0	0	0	73	0	53	0	0	0	29	0	0	0
SP124462	123	72	0	0	273	120	376	0	0	0	0	0	0	0
SP124271	482	108	0	0	0	294	0	0	0	0	0	0	0	0
SP124336	244	0	0	0	0	0	0	0	0	0	0	210	0	0
SP124452	60	31	0	0	241	64	253	0	0	0	0	0	0	0
SP124386	105	43	0	0	163	0	372	0	0	0	0	0	0	189
SP124441	166	186	0	0	0	187	0	0	0	0	0	0	0	0
SP124418	55	0	0	0	158	0	415	0	0	0	0	0	0	0
SP124291	146	38	0	0	59	58	0	0	0	0	0	0	0	0
SP124319	40	0	0	0	133	0	484	0	0	0	0	0	0	0
SP124305	117	0	0	0	87	0	102	0	0	0	0	149	0	0
SP124447	192	0	0	0	974	478	1390	0	0	0	0	0	0	858
SP124344	91	28	0	0	0	106	0	0	0	0	0	0	0	0
SP124369	74	47	0	0	192	0	365	0	0	0	0	225	0	0
SP124348	76	0	0	0	0	0	0	0	0	0	0	137	0	0
SP124295	242	157	0	0	0	181	0	0	0	0	0	0	0	0
SP124444	145	40	0	0	52	0	69	0	0	0	0	83	0	0
SP124365	91	50	0	0	180	122	297	0	0	0	0	0	0	0
SP124420	84	37	0	0	104	0	167	0	0	0	0	113	0	114
SP124364	156	202	0	720	0	0	271	0	436	0	0	0	0	0
SP124307	87	56	0	0	0	0	411	0	0	0	0	0	0	191
SP82445	0	0	0	0	0	0	1236	0	0	0	0	0	502	0
SP83242	66	39	0	0	94	91	225	0	0	0	0	0	0	0
SP103894	0	0	0	4732	0	0	0	0	0	0	0	0	0	0
SP83382	0	0	0	0	140	0	193	0	0	0	134	0	0	145
SP82451	159	57	0	86	103	117	150	0	0	0	0	0	0	0
SP104330	0	0	0	0	81	0	0	0	0	0	0	0	0	0
SP83312	43	46	0	0	128	0	267	0	0	0	0	0	0	0
SP82614	27	38	0	0	155	0	207	0	0	0	0	116	0	0
SP82431	0	0	0	0	747	0	1314	0	0	0	0	0	0	0
SP82459	74	0	0	0	74	98	198	0	0	0	0	0	0	0
SP113197	55	0	0	0	0	46	0	0	0	0	0	77	0	0
SP82532	136	0	0	0	188	180	502	0	0	0	0	0	0	0
SP82636	117	73	78	0	0	0	0	0	0	0	0	126	0	0
SP82796	95	37	0	0	0	91	193	0	0	0	0	0	0	0
SP83482	60	62	0	0	56	89	153	0	0	0	0	0	0	0
SP104530	553	133	0	0	202	201	195	0	0	0	0	0	0	0
SP82429	54	22	48	0	68	0	76	0	0	0	0	85	0	0
SP82644	110	0	0	0	0	0	704	0	0	0	0	0	0	328
SP82988	83	50	0	0	0	0	210	0	0	0	0	136	0	0
SP82461	100	0	0	0	202	86	228	0	0	0	0	0	0	126
SP82900	0	0	186	0	258	0	320	0	0	0	0	0	185	0
SP82399	127	0	0	0	259	135	284	0	0	0	0	0	0	0
SP82756	50	0	0	0	73	0	103	0	0	0	0	0	0	0
SP82836	150	0	0	0	0	0	110	0	0	0	0	166	0	0
SP82417	63	0	0	0	124	0	602	0	0	0	0	0	0	0
SP82471	465	0	0	0	0	0	0	0	0	0	0	0	0	0
SP82435	104	33	0	0	0	0	0	0	0	0	0	112	0	0
SP104056	0	0	0	0	714	0	1365	0	0	0	385	0	0	0
SP83083	70	33	0	0	119	81	291	0	0	0	0	0	0	0
SP82433	80	41	0	0	55	0	108	0	0	0	0	115	0	0
SP82780	81	31	0	0	87	83	108	0	0	0	0	0	0	0
SP83019	79	0	0	0	126	0	414	0	0	0	0	0	0	0
SP83099	47	17	0	0	44	0	76	0	0	0	0	61	0	0
SP83146	0	0	0	0	544	0	868	0	0	0	288	0	0	0
SP103866	76	51	0	0	104	111	331	0	0	0	0	0	0	0
SP83844	49	39	0	0	189	0	256	0	0	0	0	0	0	0
SP83027	85	32	0	0	46	0	0	0	0	0	0	67	0	0
CPCT02060044T	86	108	0	0	163	0	274	275	0	0	0	0	0	0
CPCT02030247T	75	37	0	0	111	0	115	112	0	0	0	0	0	0
CPCT02050043T	115	27	0	0	49	0	42	69	0	0	0	0	0	0
CPCT02020342T	71	36	0	0	102	0	255	183	0	0	0	0	0	0
CPCT02010371T	59	30	0	0	172	0	168	191	0	0	0	0	0	0
CPCT02030256T	33	27	49	0	0	0	94	61	0	0	0	0	0	0
CPCT02050045T	126	57	0	0	114	0	258	276	0	0	0	0	0	0
