Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
CPCT02290051T	5	30	21	3	12	43	133	17	8	6	8
CPCT02020815T	107	0	6030	459	0	558	7	9	0	108	75
CPCT02040271T	14	20	29	0	97	35	137	9	47	13	1
CPCT02130154T	4	55	13	24	25	42	30	6	12	3	6
CPCT02120164T	251	612	1419	126	103	58	139	47	64	122	31
CPCT02020797T	3	21	0	13	29	9	67	6	17	12	5
DRUP01010099T	162	408	23	86	47	30	71	58	49	17	8
CPCT02340104T	3	10	21	41	107	7	65	26	13	2	1
CPCT02380018T	166	266	54	0	112	105	162	29	430	164	0
CPCT02340010TIII	257	48	0	0	73	11	231	2141	133	23	8
CPCT02060033TII	88	99	17	12	105	46	262	78	74	22	44
CPCT02020582T	0	65	16	32	45	37	58	23	42	11	5
DRUP01050040T	438	437	1	0	7	196	40	14	15	12	5
CPCT02180041T	107	163	48	61	63	31	116	29	48	28	16
CPCT02060137T	3	15	19	0	27	31	42	9	8	6	1
CPCT02070403T	0	4	7	16	27	5	24	3	10	0	17
CPCT02050264T	104	268	16	36	69	40	102	6	36	6	17
CPCT02060143T	469	383	1092	314	181	57	60	33	133	48	13
CPCT02010988T	6	47	6	48	51	34	62	13	9	19	8
CPCT02010993T	68	72	38	7	267	32	31	59	129	24	53
CPCT02450003T	30	229	74	71	68	0	64	20	20	14	18
CPCT02230049T	7	142	289	37	52	66	154	27	826	54	30
CPCT02010995T	31	148	62	0	79	61	56	49	32	22	7
CPCT02010878TII	17	138	28	0	0	206	61	32	17	107	29
CPCT02010656T	2	12	4	0	8	2	88	0	10	5	14
CPCT02010645T	11	58	11	0	39	26	79	6	3	12	9
DRUP01330016T	471	727	102	85	437	151	82	41	244	293	115
DRUP01080005T	51	39	3133	0	98	237	434	54	97	88	3
CPCT02020879T	65	86	22	5	133	20	26	18	37	11	19
DRUP01090004T	22	10	38	17	220	83	86	215	80	17	29
CPCT02020613T	19	129	57	16	139	95	58	14	62	28	4
DRUP01110006T	118	387	42	44	69	52	32	17	22	28	16
CPCT02010993TII	70	84	41	0	283	12	33	47	128	4	54
CPCT02060125T	72	235	42	12	110	20	181	41	70	16	29
CPCT02010647T	65	277	0	19	157	28	128	25	4	23	5
CPCT02170013T	1035	275	0	0	155	86	119	53	21	44	0
CPCT02170009T	15	34	23	34	72	35	155	2	7	6	7
CPCT02170012T	44	224	16	0	37	155	138	0	4	8	14
CPCT02020608T	4	22	5	0	50	0	149	13	19	1	2
CPCT02010653T	7	25	22	6	61	21	126	3	12	8	0
CPCT02230061T	320	417	43	58	88	34	114	67	24	4	25
CPCT02050282T	255	411	45	49	88	133	118	34	89	54	6
CPCT02010560T	9	15	4	15	22	25	21	6	7	4	11
CPCT02380007T	14	81	17	10	19	12	34	14	11	4	4
CPCT02380006T	107	70	1026	58	141	39	29	31	42	50	22
CPCT02080105T	169	212	2343	454	80	204	21	61	60	65	47
CPCT02340010T	257	40	7	20	41	29	48	2164	136	23	15
CPCT02010574T	14	80	25	38	19	37	35	15	20	11	9
