Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
SP124323	5.11E-01	5.92E-01	1.17E+00	7.55E-01	7.78E-02	1.27E+00	0.00E+00	6.78E-01	1.09E+00	2.70E-01	9.94E-01	4.92E-01	2.41E-01	1.06E+00	6.85E-01	5.63E-01
SP124391	6.60E-01	4.88E-01	1.38E+00	1.04E+00	1.00E-02	2.28E+00	2.99E-01	1.13E+00	1.90E+00	4.05E-01	2.21E+00	6.06E-01	6.56E-01	1.59E+00	4.33E-01	9.66E-01
SP124423	7.43E-01	1.29E-01	4.29E-01	4.43E-01	0.00E+00	6.44E-01	0.00E+00	5.82E-01	4.28E-01	2.19E-01	6.40E-01	2.54E-01	0.00E+00	3.30E-01	0.00E+00	1.39E-01
SP124382	9.58E+00	1.74E+00	2.23E+00	8.49E+00	5.65E-01	1.57E+01	4.08E-01	5.07E+00	9.83E+00	1.51E+00	1.15E+01	3.53E+00	3.23E+00	7.61E-01	9.61E-01	6.31E+00
SP124415	1.04E+01	2.07E+00	4.15E+00	3.89E+00	2.16E+00	7.38E+00	1.31E+00	7.35E+00	2.26E+01	9.15E-01	1.06E+01	1.47E+00	1.23E+01	3.29E-01	7.76E-01	1.01E+01
SP124436	7.44E+00	1.63E+00	2.64E+00	5.41E+00	8.47E-01	9.32E+00	6.28E-01	3.81E+00	6.42E+00	1.22E+00	8.26E+00	1.05E+00	2.83E+00	1.90E+00	1.14E+00	4.71E+00
SP124460	3.32E+00	1.23E+00	1.96E+00	2.09E+00	8.53E-01	3.51E+00	4.16E-01	2.30E+00	3.94E+00	6.43E-01	3.49E+00	1.02E+00	1.80E+00	1.49E+00	5.60E-01	1.96E+00
SP124425	2.29E+00	5.39E-01	8.02E-01	1.93E+00	0.00E+00	1.82E+00	2.43E-01	1.20E+00	1.66E+00	3.98E-01	2.79E+00	8.44E-01	5.87E-01	5.36E-01	3.35E-01	8.59E-01
SP124456	1.82E+00	7.52E-01	5.79E-01	1.94E+00	3.12E-01	1.55E+00	2.37E-01	1.00E+00	1.57E+00	3.46E-01	2.33E+00	1.53E+00	7.44E-01	8.76E-02	7.25E-01	6.01E-01
SP124367	3.05E+00	8.60E-01	1.28E+00	2.30E+00	6.87E-01	4.05E+00	4.28E-01	1.47E+00	3.14E+00	6.56E-01	3.43E+00	9.20E-01	9.92E-01	4.66E-01	6.99E-01	1.82E+00
SP124281	3.84E-01	3.95E-01	9.00E-01	5.73E-01	3.78E-01	8.89E-01	3.13E-01	6.07E-01	8.73E-01	3.67E-01	1.05E+00	2.92E-01	4.55E-01	1.05E+00	2.29E-01	3.63E-01
SP124377	2.38E+00	3.90E-01	9.92E-01	2.32E+00	0.00E+00	2.60E+00	2.59E-01	9.34E-01	2.19E+00	6.75E-01	2.15E+00	1.82E+00	2.12E-01	4.47E-01	5.00E-01	1.03E+00
SP124412	2.71E+00	5.15E-01	9.77E-01	1.67E+00	5.52E-01	1.70E+00	1.40E-01	1.03E+00	1.23E+00	4.81E-01	3.38E+00	4.65E-01	3.94E-01	3.66E-01	5.40E-01	5.79E-01
SP124333	1.21E+00	5.26E-01	1.08E+00	1.46E+00	4.11E-01	2.31E+00	1.21E-01	1.25E+00	2.00E+00	4.54E-01	1.96E+00	7.71E-01	7.20E-01	7.00E-01	2.89E-01	1.19E+00
SP124359	3.37E-01	8.49E-01	1.74E+00	1.12E+00	2.88E-01	1.88E+00	2.26E-01	1.11E+00	2.19E+00	5.54E-01	1.99E+00	4.86E-01	8.56E-01	1.72E+00	6.79E-01	1.36E+00
SP124286	3.06E-01	5.31E-01	6.46E-01	5.67E-01	0.00E+00	8.25E-01	0.00E+00	2.01E-01	4.92E-01	2.55E-01	7.47E-01	3.45E-01	2.68E-01	3.39E-01	4.27E-01	3.98E-01
SP124329	1.39E+00	1.25E-01	4.41E-01	9.42E-01	0.00E+00	1.12E+00	0.00E+00	8.59E-01	1.06E+00	3.94E-01	1.03E+00	1.06E+00	8.05E-02	4.63E-01	3.33E-01	3.75E-01
SP124326	1.47E+00	8.23E-01	1.48E+00	1.66E+00	3.11E-01	2.12E+00	1.47E-01	1.15E+00	2.37E+00	5.71E-01	1.89E+00	8.23E-01	7.21E-01	1.66E+00	6.52E-01	1.54E+00
SP124458	4.05E+00	1.11E+00	1.32E+00	3.60E+00	4.26E-01	4.44E+00	4.60E-01	2.04E+00	3.51E+00	8.13E-01	5.16E+00	2.57E+00	1.41E+00	3.55E-01	7.18E-01	2.26E+00
SP124401	1.00E+01	2.06E+00	2.89E+00	5.27E+00	1.08E+00	8.88E+00	8.42E-01	4.41E+00	9.70E+00	1.16E+00	1.15E+01	3.37E+00	5.01E+00	1.82E+00	1.27E+00	5.38E+00
SP124264	8.28E-01	8.80E-01	2.30E+00	9.99E-01	6.90E-01	5.55E+00	1.78E-01	2.82E+00	3.24E+00	5.74E-01	3.76E+00	2.90E-01	7.47E-01	2.59E-01	6.46E-01	3.08E+00
SP124384	5.73E+00	9.26E+01	5.98E+01	4.24E+00	2.18E-01	1.18E+01	4.63E-01	6.39E+00	1.86E+01	6.37E+00	7.80E+01	2.90E+00	2.28E+00	1.74E+01	5.76E+00	7.80E+01
SP124403	9.15E-01	3.12E-01	8.15E-02	9.01E-01	2.01E-01	1.16E+00	0.00E+00	6.45E-01	9.98E-01	2.58E-01	1.26E+00	5.84E-01	5.53E-01	5.79E-01	2.77E-01	4.83E-01
SP124462	4.23E+00	9.90E-01	1.68E+00	3.05E+00	0.00E+00	3.90E+00	4.18E-01	2.04E+00	3.51E+00	8.43E-01	5.14E+00	1.23E+00	1.26E+00	8.40E-01	8.94E-01	2.10E+00
SP124271	1.28E+00	1.17E+00	2.25E+00	2.47E+00	5.98E-01	4.02E+00	3.72E-01	1.94E+00	2.69E+00	7.24E-01	4.09E+00	7.84E-01	8.71E-01	1.72E+00	3.50E-01	2.76E+00
SP124336	5.40E-01	4.20E-01	2.04E+00	8.84E-01	4.59E-01	1.84E+00	1.98E-01	1.30E+00	2.15E+00	5.33E-01	1.76E+00	3.08E-01	5.89E-01	2.32E+00	7.29E-01	1.53E+00
SP124452	2.92E+00	8.15E-01	1.15E+00	2.39E+00	4.12E-01	3.43E+00	4.57E-01	1.30E+00	1.93E+00	5.20E-01	2.35E+00	1.06E+00	8.37E-01	6.51E-01	6.90E-01	1.25E+00
SP124386	3.20E+00	8.83E-01	1.56E+00	2.96E+00	7.20E-01	2.06E+00	1.96E-01	2.01E+00	3.25E+00	7.74E-01	2.88E+00	2.97E+00	1.84E+00	1.60E+00	7.55E-01	1.74E+00
SP124441	5.18E-01	1.36E+00	1.86E+00	1.17E+00	0.00E+00	3.07E+00	2.35E-01	1.44E+00	2.44E+00	5.69E-01	2.62E+00	8.53E-01	5.39E-01	1.01E+00	1.20E+00	2.35E+00
SP124418	2.65E+00	6.09E-01	1.08E+00	1.65E+00	5.30E-01	2.23E+00	3.98E-01	1.71E+00	2.64E+00	5.76E-01	2.65E+00	7.89E-01	1.08E+00	7.68E-01	4.99E-01	1.73E+00
SP124291	2.74E-01	7.98E-01	1.18E+00	1.02E+00	1.64E-01	1.39E+00	0.00E+00	1.19E+00	9.69E-01	4.53E-01	1.30E+00	8.32E-01	2.74E-01	7.44E-01	6.64E-01	8.97E-01
SP124319	3.43E+00	7.26E-01	1.07E+00	2.11E+00	3.35E-01	2.29E+00	0.00E+00	1.50E+00	2.57E+00	4.96E-01	4.24E+00	1.24E+00	1.03E+00	5.36E-01	4.41E-01	1.05E+00
SP124305	1.82E+00	3.30E-01	1.60E+00	1.46E+00	9.25E-02	1.82E+00	2.55E-01	1.72E+00	2.04E+00	6.02E-01	2.29E+00	7.56E-01	4.02E-01	1.80E+00	5.32E-01	8.86E-01
SP124447	1.17E+01	2.25E+00	3.35E+00	1.11E+01	1.95E+00	1.55E+01	8.89E-01	6.13E+00	1.72E+01	1.64E+00	1.34E+01	8.11E+00	8.25E+00	1.23E+00	8.10E-01	1.07E+01
SP124344	2.89E-01	5.58E-01	9.97E-01	8.00E-01	0.00E+00	1.92E+00	2.52E-01	1.10E+00	1.65E+00	3.81E-01	1.39E+00	5.96E-01	6.10E-01	8.03E-01	4.60E-01	9.67E-01
SP124369	3.66E+00	9.30E-01	1.55E+00	2.27E+00	7.34E-01	3.52E+00	5.12E-01	1.94E+00	3.32E+00	6.96E-01	4.77E+00	1.01E+00	1.97E+00	1.52E+00	6.87E-01	2.39E+00
SP124348	2.45E-01	3.10E-01	1.86E+00	7.34E-01	2.43E-02	1.66E+00	0.00E+00	1.00E+00	2.57E+00	2.26E-01	2.07E+00	2.81E-02	4.68E-01	2.71E+00	1.86E-01	1.55E+00
SP124295	9.86E-01	1.28E+00	1.90E+00	9.62E-01	2.69E-01	4.10E+00	1.57E-01	1.59E+00	3.68E+00	7.00E-01	3.43E+00	2.45E-01	5.30E-01	1.43E+00	6.96E-01	2.36E+00
SP124444	1.31E+00	6.77E-01	1.81E+00	1.18E+00	4.86E-01	1.19E+00	3.74E-01	5.87E-01	1.47E+00	2.43E-01	1.78E+00	7.95E-01	4.40E-01	1.84E+00	7.23E-01	5.93E-01
SP124365	2.55E+00	9.13E-01	1.29E+00	1.83E+00	4.07E-01	3.78E+00	2.82E-01	1.82E+00	2.21E+00	7.37E-01	3.52E+00	7.98E-01	1.23E+00	8.46E-01	7.65E-01	1.65E+00
SP124420	2.30E+00	8.01E-01	1.22E+00	2.31E+00	7.94E-01	2.39E+00	4.48E-01	1.66E+00	2.14E+00	5.74E-01	2.85E+00	2.23E+00	7.54E-01	1.14E+00	7.19E-01	1.68E+00
SP124364	3.59E+00	4.73E+00	2.57E+00	2.42E+00	4.90E-02	2.64E+00	0.00E+00	2.02E+00	2.60E+00	3.25E+00	4.27E+00	1.34E+00	9.67E-01	2.30E-01	5.72E+00	1.27E+00
SP124307	4.00E+00	1.03E+00	1.36E+00	2.56E+00	3.00E-02	3.06E+00	2.24E-01	1.99E+00	2.80E+00	7.16E-01	4.05E+00	2.42E+00	1.10E+00	7.98E-01	8.01E-01	1.50E+00
SP82445	8.00E+00	1.35E+00	3.00E+00	3.86E+00	1.00E+00	9.60E+00	4.91E-01	5.58E+00	1.33E+01	9.21E-01	6.53E+00	4.26E-01	6.42E+00	6.98E-01	3.05E-01	7.49E+00
SP83242	1.68E+00	7.64E-01	1.04E+00	1.67E+00	2.48E-01	2.75E+00	3.61E-01	1.32E+00	2.30E+00	6.35E-01	1.79E+00	3.93E-01	8.26E-01	7.58E-01	6.14E-01	1.65E+00
SP103894	8.15E+00	3.34E+00	2.20E+00	3.61E+00	3.47E-01	6.23E+00	3.18E-01	3.02E+00	3.81E+00	1.16E+01	3.86E+00	2.72E+00	1.59E+00	4.94E-01	8.61E+00	2.62E+00
SP83382	2.31E+00	7.41E-01	9.99E-01	2.48E+00	0.00E+00	2.59E+00	0.00E+00	1.12E+00	2.26E+00	6.91E-01	2.74E+00	1.97E+00	7.50E-01	6.83E-01	7.87E-01	1.09E+00
SP82451	1.54E+00	9.82E-01	1.62E+00	1.57E+00	3.49E-01	2.73E+00	3.31E-01	1.51E+00	2.36E+00	8.54E-01	2.28E+00	8.09E-01	6.02E-01	1.26E+00	1.17E+00	1.58E+00
SP104330	3.86E-01	5.30E-02	2.81E-01	7.36E-01	0.00E+00	6.36E-01	0.00E+00	4.43E-01	5.22E-01	2.56E-01	5.12E-01	0.00E+00	1.85E-01	1.98E-01	2.97E-01	2.75E-01
SP83312	2.05E+00	9.12E-01	7.88E-01	1.51E+00	0.00E+00	2.13E+00	0.00E+00	1.63E+00	1.60E+00	4.62E-01	2.58E+00	1.34E+00	4.01E-01	8.67E-01	2.81E-01	1.39E+00
SP82614	2.35E+00	7.79E-01	8.03E-01	2.04E+00	4.47E-01	2.88E+00	3.99E-01	8.04E-01	1.94E+00	5.16E-01	2.90E+00	1.50E+00	1.05E+00	6.94E-01	6.43E-01	1.27E+00
SP82431	8.60E+00	1.54E+00	1.70E+00	5.23E+00	4.82E-01	7.43E+00	5.02E-01	3.52E+00	8.81E+00	1.05E+00	1.12E+01	1.59E+00	4.62E+00	2.43E-01	6.77E-01	5.36E+00
SP82459	1.80E+00	4.72E-01	1.12E+00	1.32E+00	9.20E-02	2.40E+00	0.00E+00	1.43E+00	1.74E+00	4.48E-01	1.98E+00	7.94E-01	7.03E-01	7.46E-01	2.76E-01	1.17E+00
SP113197	4.76E-01	2.04E-01	1.01E+00	4.05E-01	2.99E-01	1.39E+00	1.98E-01	8.37E-01	1.20E+00	4.07E-01	1.27E+00	3.18E-01	1.46E-01	1.04E+00	5.09E-01	6.64E-01
SP82532	3.39E+00	7.56E-01	1.55E+00	2.90E+00	3.28E-01	4.69E+00	2.63E-01	2.00E+00	3.93E+00	6.33E-01	3.02E+00	1.04E+00	2.10E+00	1.39E+00	7.88E-01	3.34E+00
SP82636	6.75E-01	9.81E-01	1.49E+00	9.60E-01	0.00E+00	2.23E+00	1.60E-01	1.32E+00	2.02E+00	5.30E-01	2.27E+00	4.25E-01	4.85E-01	1.41E+00	5.60E-01	9.80E-01
SP82796	1.52E+00	6.90E-01	1.28E+00	9.95E-01	6.04E-01	2.45E+00	3.43E-02	1.19E+00	1.78E+00	2.74E-01	1.94E+00	3.72E-01	8.97E-01	1.18E+00	5.22E-01	1.39E+00
SP83482	1.30E+00	9.27E-01	1.10E+00	1.10E+00	0.00E+00	2.29E+00	2.19E-01	1.05E+00	1.77E+00	4.56E-01	1.53E+00	2.33E-01	8.62E-01	8.24E-01	6.25E-01	1.23E+00
SP104530	2.32E+00	1.65E+00	3.31E+00	2.43E+00	8.00E-02	4.81E+00	5.45E-01	2.21E+00	3.32E+00	6.69E-01	3.05E+00	9.35E-01	1.29E+00	3.27E+00	8.97E-01	3.22E+00
SP82429	1.35E+00	6.19E-01	1.08E+00	1.27E+00	3.84E-01	1.75E+00	4.47E-01	1.16E+00	1.48E+00	4.72E-01	1.69E+00	6.39E-01	6.40E-01	1.27E+00	4.29E-01	7.78E-01
