Sample Names	MutationType	ID1	ID2	ID4	ID6	ID8	ID9	ID19	ID21	ID23	ID25
SP101682	1:Del:C:4	0.026377162711316515	0.1554807852709764	0.0	0.0	0.043900108741855626	0.4669086211438927	0.0	0.3073333221319587	0.0	0.0
SP101682	1:Del:C:5	0.07957038365076703	0.3723217526533239	0.0	0.0	0.020305422315782657	0.0010577541679006096	0.0	0.5267446872122258	0.0	0.0
SP101682	1:Del:T:0	0.005354308394907171	0.03482214508719986	0.0	0.0	0.1287553503087233	0.4290671208204829	0.0	0.40200107538868685	0.0	0.0
SP101682	1:Del:T:1	5.238527159060342e-17	6.744947316026574e-17	0.0	0.0	0.1523590348075765	0.7010073756863103	0.0	0.14663358950611308	0.0	0.0
SP101682	1:Del:T:2	0.008457175058851492	0.06856322323489193	0.0	0.0	0.07479654371491355	0.7754255609063181	0.0	0.07275749708502494	0.0	0.0
SP101682	1:Del:T:3	0.015673895416738876	0.1490494719743803	0.0	0.0	0.06178050939188418	0.7731668801985923	0.0	0.00032924301840439986	0.0	0.0
SP101682	1:Del:T:4	0.028374256154570898	0.3361461275129104	0.0	0.0	0.007757149029903977	0.6242432424245702	0.0	0.003479224878044606	0.0	0.0
SP101682	1:Del:T:5	3.508827047665341e-18	0.9318166504688946	0.0	0.0	0.010369478567951725	0.0009856888815304842	0.0	0.05682818208162324	0.0	0.0
SP101682	1:Ins:C:0	1.101269636147398e-15	1.4179568896014559e-15	0.0	0.0	0.8470923051629682	1.7999603418602485e-15	0.0	0.1529076948370274	0.0	0.0
SP101682	1:Ins:C:1	7.271655618274912e-16	0.05381225188756058	0.0	0.0	0.43890763452614895	0.0004239968381652744	0.0	0.5068561167481245	0.0	0.0
SP101682	1:Ins:C:2	1.6312727937884925e-15	0.013931572866016845	0.0	0.0	0.6931417909367625	0.17378377835772799	0.0	0.1191428578394912	0.0	0.0
SP101682	1:Ins:C:3	0.48417347574496156	0.2655565574560631	0.0	0.0	0.061423937122192844	3.0962433229157954e-15	0.0	0.18884602967677927	0.0	0.0
SP101682	1:Ins:C:4	0.28891092703915994	0.5083545266793278	0.0	0.0	0.08259066776736486	0.0003495037047392702	0.0	0.11979437480940805	0.0	0.0
SP101682	1:Ins:C:5	0.6496123393676353	0.26013455808979535	0.0	0.0	0.012054169393427495	0.0019705043307982144	0.0	0.0762284288183437	0.0	0.0
SP101682	1:Ins:T:0	0.07208373936027564	0.04524335479269517	0.0	0.0	0.1310512015525837	0.39814765797205365	0.0	0.35347404632239177	0.0	0.0
SP101682	1:Ins:T:1	0.0008150771881849523	8.619678113265838e-17	0.0	0.0	0.09069655648638916	0.21004466328660779	0.0	0.698443703038818	0.0	0.0
SP101682	1:Ins:T:2	0.02676966582693507	0.09689831375764209	0.0	0.0	0.18276770212808593	0.32127527032883624	0.0	0.37228904795850065	0.0	0.0
SP101682	1:Ins:T:3	0.34478337483886495	0.09493495486433066	0.0	0.0	0.08137185195750768	0.1300786712287764	0.0	0.3488311471105202	0.0	0.0
SP101682	1:Ins:T:4	0.7052743003731796	0.15939555726129337	0.0	0.0	0.0320958771194579	0.06715728328987594	0.0	0.03607698195619328	0.0	0.0
SP101682	1:Ins:T:5	0.9435133540757473	0.0035794727748473124	0.0	0.0	0.019666079886435792	0.006113337551989992	0.0	0.027127755710979425	0.0	0.0
