hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9
20	0.0580169459883951	0.00724377904215188	0.0160219137316056	0.0803417673452861	0.0554797909564726	0.0450200293874224	0.0655472896065015	0.0133737384728146	0.0289500620184404
21	0.0307561959193564	0.00486862307335871	0.0166572503673577	0.0171299312021528	0.0120752545657892	0.0337961876316681	0.0711393903565346	0.0124074157544014	0.0173013251757602
22	0.0388323166382805	0.00794311478576896	0.00500661915347414	0.0372284889709836	0.0491309320254191	0.0236560960848964	0.0653150790273904	0.012669891498542	0.0110723120741668
23	0.0326653583231841	0.00440917786470551	0.00997750408918195	0.0529500662299673	0.0273017289863831	0.0129815342911597	0.0106255737928206	0.00848007667708148	0.0122150191053144
24	0.0368180150824508	0.00317577156436518	0.00324681990431442	0.0228363826896491	0.00549825327397716	0.0181934507829542	0.0441603475625588	0.00665932615004856	0.0070096189047498
25	0.0285642986966838	0.00224954571138474	0.00662203884575813	0.0503675455799492	0.0342788979095852	0.0120117319687624	0.024916261939631	0.00381425990452974	0.00831309153813488
26	0.0315187819707158	0.00452015356480385	0.0102444009641136	0.0229676841578524	0.00325460472988554	0.00735656715752793	0.0299441853602577	0.00304334058054438	0.00805833565517169
27	0.022862011598896	0.00459020334408713	0.00651627887826961	0.00426524310254915	0.00261675539190775	0.00870953324759299	0.0343725783028992	0.00557403883061996	0.0051662528814928
28	0.0219313759639662	0.00454742540733456	0.00247836775859117	0.0136339536938966	0.00961834615941741	0.00890351377037727	0.0306744231428973	0.00189884011128914	0.00740843508614957
29	0.0769183536199142	0.00209281432341863	0.0117375807779206	0.0642049835982033	0.0870502046912358	0.0567726080580161	0.010554918881053	0.0264983869620252	0.00723408495115098
30	0.0623856655292047	0.0008646372445489	0.0131845946457934	0.00280726829156186	0.0356307435044468	0.047046051895448	0.0294988110534017	0.0218663396282534	0.0075903117865969
31	0.0456799831831607	0.00157109053961208	0.00536340645197948	0.0244037883129068	0.0596999304121973	0.0247983663981673	0.0045036725395429	0.004757328004102	0.00329415740719366
32	0.0539652822737831	0.000795132175835477	0.0109170809671899	0.0890820115547747	0.0298348682355245	0.0307247597073587	0.00225581863752562	0.0120083550113273	0.00470217587040943
33	0.0831615571809195	0.00116524485103255	0.0170775713294383	0.0154455676427955	0.0151733319651879	0.0356527174640339	0.00708118084928848	0.00711971736164004	0.00482195840590465
34	0.0598262512209418	0.00145622923744878	0.00455927557640569	0.0685764269877743	0.0795660517080287	0.0178854220820607	0.00633795969134714	0.00585941032602688	0.0014861754202841
35	0.0418468113237779	0.000481088375295415	0.00514372979338187	0.0176483335887925	0.0130843924012052	0.0143404175811443	0.00301997077781363	0.00215901910295164	0.00445260597461519
