Sample Names	MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
SP117655	2:Del:R:5	0.9670924939823939	0.0	0.0329075060176061	0.0	0.0
SP117655	3:Del:R:0	0.07821967759668146	0.15987726511073488	0.7619030572925837	0.0	0.0
SP117655	3:Del:R:1	0.12498802414405215	0.1481678012391495	0.7268441746167984	0.0	0.0
SP117655	3:Del:R:2	0.18558875943333308	0.13647293410614048	0.6779383064605266	0.0	0.0
SP117655	3:Del:R:3	0.2434765314393861	0.05797859036798978	0.6985448781926242	0.0	0.0
SP117655	3:Del:R:4	0.6725236238147785	0.21703086975147184	0.1104455064337497	0.0	0.0
SP117655	3:Del:R:5	0.6177611950902817	0.2778480894718546	0.10439071543786362	0.0	0.0
SP117655	4:Del:R:0	0.022419098453556205	0.17145606351000706	0.8061248380364368	0.0	0.0
SP117655	4:Del:R:1	0.08724746941427053	0.27958010573257797	0.6331724248531515	0.0	0.0
SP117655	4:Del:R:2	0.1689372091802944	0.46592831848198424	0.36513447233772145	0.0	0.0
SP117655	4:Del:R:3	0.18347344544587538	0.2938714018750778	0.5226551526790468	0.0	0.0
SP117655	4:Del:R:4	0.5965439083950981	0.3691247103978451	0.03433138120705695	0.0	0.0
SP117655	4:Del:R:5	0.6226698861378683	0.24008387024086564	0.13724624362126595	0.0	0.0
SP117655	5:Del:R:0	0.0	0.0017061695050425466	0.9982938304949575	0.0	0.0
SP117655	5:Del:R:1	0.02729918729584354	0.5153776935646902	0.45732311913946627	0.0	0.0
SP117655	5:Del:R:2	0.2739731173924282	0.6904397606275184	0.03558712198005338	0.0	0.0
SP117655	5:Del:R:3	0.3744503176550549	0.6193238165572904	0.006225865787654676	0.0	0.0
SP117655	5:Del:R:4	0.8573172006109112	0.09846082718718356	0.04422197220190529	0.0	0.0
SP117655	5:Del:R:5	0.3218397135302345	0.015139402068870886	0.6630208844008946	0.0	0.0
SP117655	2:Ins:R:0	0.15634873374704225	0.4023695683209288	0.4412816979320289	0.0	0.0
SP117655	2:Ins:R:1	0.01617155068728429	0.3533020813620119	0.6305263679507037	0.0	0.0
SP117655	2:Ins:R:2	0.058719515907629284	0.4234016447146721	0.5178788393776986	0.0	0.0
SP117655	2:Ins:R:3	0.2838717589327609	0.20775317554739361	0.5083750655198455	0.0	0.0
SP117655	2:Ins:R:4	0.6091451463677239	0.3201779309998174	0.07067692263245874	0.0	0.0
SP117655	2:Ins:R:5	0.5439780199507532	0.45341990195923043	0.0026020780900163874	0.0	0.0
SP117655	3:Ins:R:0	0.10044673539989775	0.8167868317654114	0.08276643283469083	0.0	0.0
SP117655	3:Ins:R:1	0.001855805649997173	0.32254423475077243	0.6755999595992305	0.0	0.0
SP117655	3:Ins:R:2	0.05606519870537147	0.19693533805026825	0.7469994632443603	0.0	0.0
SP117655	3:Ins:R:3	0.16042401038297602	0.05155923744476489	0.7880167521722592	0.0	0.0
SP117655	3:Ins:R:4	0.5455092191021093	0.2944972602265506	0.1599935206713402	0.0	0.0
SP117655	3:Ins:R:5	0.4914382495227512	0.444517998293291	0.0640437521839578	0.0	0.0
SP117655	4:Ins:R:0	0.3967666122927949	0.5927162493230717	0.010517138384133491	0.0	0.0
SP117655	4:Ins:R:1	0.003500545682531772	0.2550553617179494	0.7414440925995188	0.0	0.0
SP117655	4:Ins:R:2	0.10132049680322129	0.0618478458539184	0.8368316573428602	0.0	0.0
SP117655	4:Ins:R:3	0.7173979125109265	0.249456471126581	0.03314561636249248	0.0	0.0
SP117655	4:Ins:R:4	0.3891927085236076	0.5236303317175448	0.08717695975884748	0.0	0.0
SP117655	4:Ins:R:5	0.19304726743963604	0.8010171079986845	0.005935624561679339	0.0	0.0
SP117655	5:Ins:R:0	0.16554793767729079	0.8344391720680556	1.2890254653618625e-05	0.0	0.0
SP117655	5:Ins:R:1	3.9359179836856724e-05	0.31992992549880805	0.6800307153213552	0.0	0.0
SP117655	5:Ins:R:2	0.15702900317200016	0.7540922884458451	0.08887870838215464	0.0	0.0
SP117655	5:Ins:R:3	0.05889346452388558	0.29587303885848765	0.6452334966176267	0.0	0.0
SP117655	5:Ins:R:4	0.12156186838832683	0.6329104273338323	0.24552770427784087	0.0	0.0
SP117655	5:Ins:R:5	0.060275050354229344	0.26452126809229326	0.6752036815534773	0.0	0.0
SP117655	2:Del:M:1	0.08853244362729415	0.1665665783649455	0.7449009780077602	0.0	0.0
SP117655	3:Del:M:1	0.024779789288852612	0.0943072933199388	0.8809129173912085	0.0	0.0
SP117655	3:Del:M:2	0.12688615509206683	0.28303861520559903	0.5900752297023342	0.0	0.0
SP117655	4:Del:M:1	0.060665582330378914	0.05926219174939294	0.8800722259202282	0.0	0.0
SP117655	4:Del:M:2	0.06375839874009923	0.15880384722464605	0.7774377540352546	0.0	0.0
SP117655	4:Del:M:3	0.06245375807015269	0.2342151267281123	0.7033311152017351	0.0	0.0
SP117655	5:Del:M:1	0.005044159601635968	0.017186368166629686	0.9777694722317343	0.0	0.0
SP117655	5:Del:M:2	0.0006003755976476183	0.14642588129415135	0.852973743108201	0.0	0.0
SP117655	5:Del:M:3	0.037188293966825096	0.24203980987886528	0.7207718961543096	0.0	0.0
SP117655	5:Del:M:4	0.04076279678759958	0.6388781993480419	0.3203590038643585	0.0	0.0
SP117655	5:Del:M:5	0.0015211125585377486	0.7669937614258997	0.23148512601556254	0.0	0.0
SP117556	1:Del:C:0	0.019266016539102482	0.4080426214639993	0.5726913619968983	0.0	0.0
SP117556	1:Del:C:1	0.012229256081136345	0.2560141439587021	0.7317565999601615	0.0	0.0
SP117556	1:Del:C:2	0.03618369379625268	0.16760142491400298	0.7962148812897444	0.0	0.0
SP117556	1:Del:C:3	0.14228181496432876	0.20356411486056233	0.654154070175109	0.0	0.0
SP117556	1:Del:C:4	0.46292899210777066	0.12270844161586256	0.4143625662763668	0.0	0.0
SP117556	1:Del:C:5	0.87803329469034	0.068583783767588	0.05338292154207206	0.0	0.0
SP117556	1:Del:T:0	0.0191688555527343	0.23766564202890045	0.7431655024183652	0.0	0.0
SP117556	1:Del:T:1	0.02731336952710759	0.29832108439475385	0.6743655460781386	0.0	0.0
SP117556	1:Del:T:2	0.05182680353722238	0.23225871764312409	0.7159144788196535	0.0	0.0
SP117556	1:Del:T:3	0.19686210859605363	0.2614823125192832	0.5416555788846632	0.0	0.0
SP117556	1:Del:T:4	0.5029892055930997	0.1681965673069706	0.3288142270999297	0.0	0.0
SP117556	1:Del:T:5	0.829203667598288	0.1660664981796598	0.004729834222052381	0.0	0.0
SP117556	1:Ins:C:0	0.016725190423464258	0.9710542352149679	0.01222057436156786	0.0	0.0
SP117556	1:Ins:C:1	0.02120977730416627	0.6006065152310585	0.3781837074647753	0.0	0.0
SP117556	1:Ins:C:2	0.017545692551077637	0.739176322988074	0.24327798446084853	0.0	0.0
SP117556	1:Ins:C:3	0.09997116964995234	0.4313773823515557	0.468651447998492	0.0	0.0
SP117556	1:Ins:C:4	0.22627456814701452	0.6997740564607717	0.07395137539221387	0.0	0.0
SP117556	1:Ins:C:5	0.174588683172629	0.811185138231773	0.014226178595597952	0.0	0.0
SP117556	1:Ins:T:0	0.03508896666312573	0.8023500242856793	0.16256100905119505	0.0	0.0
SP117556	1:Ins:T:1	0.006637897379379274	0.4373143127005075	0.5560477899201133	0.0	0.0
SP117556	1:Ins:T:2	0.10427056140695373	0.47743398744655025	0.418295451146496	0.0	0.0
SP117556	1:Ins:T:3	0.06449522311666288	0.6425560248259794	0.29294875205735793	0.0	0.0
SP117556	1:Ins:T:4	0.06220621607314729	0.7927707869015708	0.14502299702528196	0.0	0.0
SP117556	1:Ins:T:5	0.06674278681350083	0.9084591507710373	0.024798062415461807	0.0	0.0
SP117556	2:Del:R:0	0.09373333200365162	0.39694829765379963	0.5093183703425488	0.0	0.0
SP117556	2:Del:R:1	0.08583397701288545	0.6289183358365363	0.2852476871505782	0.0	0.0
SP117556	2:Del:R:2	0.160107737106739	0.4269331181645813	0.41295914472867973	0.0	0.0
SP117556	2:Del:R:3	0.6835015407889218	0.21343533794703912	0.103063121264039	0.0	0.0
SP117556	2:Del:R:4	0.8279809456027133	0.016065660538144247	0.15595339385914242	0.0	0.0
SP117556	2:Del:R:5	0.9820102341602093	0.0	0.017989765839790738	0.0	0.0
SP117556	3:Del:R:0	0.0746290204888112	0.5340131957286848	0.3913577837825041	0.0	0.0
SP117556	3:Del:R:1	0.12075974757322828	0.5011655249675268	0.3780747274592449	0.0	0.0
SP117556	3:Del:R:2	0.18047356881682114	0.4646030161146509	0.35492341506852804	0.0	0.0
SP117556	3:Del:R:3	0.2960100316173057	0.24676896160431594	0.4572210067783784	0.0	0.0
SP117556	3:Del:R:4	0.4508204745851927	0.50932049977318	0.03985902564162729	0.0	0.0
SP117556	3:Del:R:5	0.3751585785463351	0.5907112342000996	0.03413018725356522	0.0	0.0
SP117556	4:Del:R:0	0.021217021554112207	0.5680579996597754	0.4107249787861123	0.0	0.0
SP117556	4:Del:R:1	0.0620140701260717	0.6956923373635228	0.24229359251040553	0.0	0.0
SP117556	4:Del:R:2	0.08460987005267565	0.8169366459985978	0.09845348394872663	0.0	0.0
SP117556	4:Del:R:3	0.12283512279326249	0.6887795283398664	0.18838534886687108	0.0	0.0
SP117556	4:Del:R:4	0.3127724980775852	0.6775366945856808	0.009690807336733961	0.0	0.0
SP117556	4:Del:R:5	0.405105225299833	0.5468226863777037	0.048072088322463236	0.0	0.0
SP117556	5:Del:R:0	0.0	0.010991446601368058	0.9890085533986319	0.0	0.0
SP117556	5:Del:R:1	0.013138699140989902	0.8683640304448713	0.11849727041413867	0.0	0.0
SP117556	5:Del:R:2	0.101087446046847	0.8918434449288483	0.007069109024304756	0.0	0.0
SP117556	5:Del:R:3	0.1470761491764617	0.8516073220930355	0.0013165287305028552	0.0	0.0
SP117556	5:Del:R:4	0.699381643905962	0.2811963833919166	0.01942197270212138	0.0	0.0
