MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
2:Del:M:1	8.25E-04	7.27E-04	8.14E-04	2.23E-04	2.04E-03	8.28E-04	2.08E-03	3.40E-03	7.07E-04	1.33E-03	1.69E-03	2.98E-03	2.17E-03
3:Del:M:1	2.22E-04	9.22E-05	1.63E-04	8.44E-05	5.86E-04	2.78E-04	8.84E-04	8.15E-04	2.69E-04	6.28E-04	3.52E-04	6.27E-04	4.74E-04
3:Del:M:2	9.25E-04	5.35E-04	5.84E-04	5.44E-04	1.02E-03	5.55E-04	1.61E-03	2.46E-03	3.84E-04	3.62E-04	1.76E-03	1.80E-03	1.30E-03
4:Del:M:1	3.84E-04	1.32E-04	1.99E-04	1.57E-04	6.57E-04	3.47E-04	1.40E-03	1.63E-03	2.98E-04	6.36E-04	8.67E-04	1.81E-03	8.09E-04
4:Del:M:2	4.72E-04	2.07E-04	2.39E-04	3.11E-04	1.22E-03	4.86E-04	2.16E-03	2.72E-03	2.61E-04	2.52E-04	8.67E-04	2.27E-03	1.40E-03
4:Del:M:3	6.87E-04	4.71E-04	4.92E-04	1.32E-04	1.30E-03	6.28E-04	2.60E-03	2.71E-03	2.94E-04	5.16E-04	1.40E-03	2.41E-03	1.29E-03
5:Del:M:1	9.96E-04	3.65E-04	4.68E-04	3.17E-04	1.31E-03	1.39E-03	2.45E-03	1.67E-03	9.90E-04	2.64E-03	1.26E-03	3.58E-03	1.63E-03
5:Del:M:2	7.41E-04	6.38E-04	3.77E-04	2.50E-04	1.22E-03	2.16E-03	8.78E-04	1.25E-03	7.54E-04	1.48E-03	1.40E-03	1.89E-03	1.72E-03
5:Del:M:3	3.63E-04	2.94E-04	3.17E-04	2.25E-04	6.47E-04	1.90E-03	7.70E-04	6.80E-04	5.92E-04	2.57E-04	3.96E-04	8.70E-04	8.97E-04
5:Del:M:4	4.21E-04	1.77E-04	2.72E-04	2.73E-04	9.20E-04	1.18E-03	9.64E-04	6.96E-04	3.15E-04	3.38E-04	6.37E-04	9.85E-04	5.75E-04
5:Del:M:5	7.39E-04	1.82E-04	7.51E-04	6.20E-04	1.41E-03	1.50E-03	5.53E-04	7.90E-04	6.07E-04	4.31E-04	1.48E-03	1.73E-03	2.15E-03
