Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
CPCT02090059T	5.26E+00	3.00E+01	7.23E+00	2.53E+01	9.61E+00	2.02E+00	3.82E+00	8.09E+00
CPCT02330102T	8.47E+00	3.69E+01	5.87E+00	2.93E+01	4.33E+00	1.20E+00	2.44E+00	2.32E+00
CPCT02390033T	4.19E+00	1.63E+01	5.42E+00	1.73E+01	1.83E+00	6.23E-01	1.39E+00	3.43E+00
CPCT02030514T	7.22E+00	4.34E+01	1.28E+01	4.35E+01	9.33E+00	1.74E+00	2.62E+00	6.93E+00
CPCT02010898T	6.42E-01	1.49E+01	6.44E+00	1.67E+01	1.25E+00	5.43E-01	1.07E+00	2.73E+00
CPCT02110073T	4.03E+00	1.82E+01	6.43E+00	1.96E+01	1.43E+00	5.12E-01	1.07E+00	3.53E+00
CPCT02340095T	2.76E+00	1.61E+01	1.48E+00	1.35E+01	2.47E+00	1.02E+00	1.36E+00	3.57E+00
CPCT02050387T	4.30E+00	2.25E+01	7.88E+00	2.30E+01	9.51E-01	4.74E-01	1.25E+00	3.24E+00
CPCT02390034T	7.46E+00	3.31E+01	8.11E+00	3.46E+01	3.34E+00	2.86E+00	1.96E+00	5.33E+00
CPCT02130144T	1.03E+01	6.04E+01	2.14E+01	6.50E+01	4.23E+00	1.07E+00	2.53E+00	4.04E+00
CPCT02210064T	1.21E+01	4.48E+01	1.09E+01	5.25E+01	2.30E+00	9.64E-01	2.18E+00	4.51E+00
CPCT02410008T	1.96E+00	7.61E+00	3.39E+00	7.48E+00	9.97E-01	4.38E-01	1.06E+00	2.44E+00
CPCT02170037T	3.90E+00	1.44E+01	4.41E+00	1.34E+01	3.19E+00	5.18E+00	2.37E+00	3.36E+00
CPCT02170035T	2.29E+03	2.26E+03	2.10E+02	6.23E+02	3.03E+01	3.52E+00	8.57E+00	2.82E+01
CPCT02020802T	5.57E+00	3.46E+01	9.25E+00	3.52E+01	1.62E+00	1.01E+00	1.27E+00	2.73E+00
