Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
CPCT02050355T	354	209	556	535	13	71	50	174
CPCT02010835T	1452	0	524	668	83	86	266	293
DRUP01020053T	130510	74679	0	1274	1740	234	0	0
DRUP01040016T	100811	49151	2653	0	1023	8	0	0
CPCT02010841T	579	11	405	566	77	155	113	140
WIDE01010441T	422	107	241	9	293	74	209	333
CPCT02010786T	77097	26166	2333	0	1153	55	0	0
WIDE01010439T	37	237	216	105	4	9	49	77
CPCT02010839T	329	147	503	364	44	26	45	207
DRUP01050025T	878	0	0	1137	178	62	607	611
WIDE01010446T	310	199	218	218	143	156	55	134
WIDE01010447T	234	322	675	201	0	48	65	24
WIDE01010425T	920	410	1096	426	39	246	104	48
WIDE01010442T	730	589	811	512	14	141	87	41
WIDE01010451T	2651	1799	1085	270	0	223	288	311
CPCT02160049T	508	373	551	291	81	217	249	448
WIDE01010456T	295	284	506	349	105	346	243	97
CPCT02330111T	301	241	669	441	186	22	34	40
CPCT02120136T	28	21	203	200	22	4	47	58
CPCT02030493T	87	0	199	227	85	82	40	30
CPCT02020757T	675	297	764	712	34	248	124	156
DRUP01030018T	144950	65577	0	0	1034	244	0	0
CPCT02060239T	292	339	403	168	106	26	128	440
CPCT02330112T	438	468	614	0	51	53	149	1232
DRUP01330008T	587	0	663	438	71	401	976	153
CPCT02330043T	464	208	443	588	1347	428	361	394
CPCT02010873T	187	134	304	305	18	25	56	55
CPCT02010860T	150	230	284	113	63	4	51	54
CPCT02090050T	83	48	264	304	18	19	121	74
CPCT02380047T	274	103	566	396	69	200	394	52
CPCT02050375T	510	385	905	294	0	488	66	98
CPCT02390027T	90	225	257	114	92	17	31	59
DRUP01050028T	49673	12591	668	1418	81	11	0	0
CPCT02310013T	369	380	689	487	61	195	51	122
CPCT02120145T	5	150	95	238	16	11	60	56
WIDE01010606T	73067	43613	31594	12376	0	219	0	0
CPCT02110071T	639	274	914	530	54	200	563	135
CPCT02320005T	548	174	720	360	56	478	103	163
CPCT02290044T	282	134	429	427	63	406	75	151
CPCT02020758T	79	74	198	182	0	13	26	56
