Samples	ID83A	ID83B	ID83C
CPCT02100066T	126	988	202
CPCT02100067T	45	635	0
CPCT02080106T	78	319	78
CPCT02330027T	69	482	0
CPCT02020508T	239	755	69
CPCT02100075T	77	211	78
CPCT02010517T	25	413	2
CPCT02210017T	186	321	2
CPCT02160022T	37	274	27
CPCT02030340T	19	313	10
CPCT02020514T	34851	0	942
CPCT02010521T	30	482	43
CPCT02050166T	75	491	25
CPCT02240003T	261	525	414
CPCT02390001T	55	391	0
CPCT02010572T	24	281	44
CPCT02240005T	94	329	38
CPCT02120016T	101	287	859
CPCT02100079T	53	420	64
CPCT02180030T	322	650	226
CPCT02040114T	216	41	1961
CPCT02080112T	34	90	1104
CPCT02330035T	431	730	238
CPCT02060093T	23	291	37
CPCT02300016T	76	577	145
CPCT02300018T	45	350	91
CPCT02030265TII	35	281	30
CPCT02010593T	90	79	544
CPCT02330037T	66	175	819
CPCT02120033T	103	494	43
CPCT02120029T	47	247	24
CPCT02040123T	44	513	0
CPCT02120024T	17	294	314
CPCT02120008T	312	731	27
CPCT02020539T	173	337	26
CPCT02070168T	69	561	97
CPCT02050183T	30	405	40
CPCT02290011T	86	192	97
CPCT02080122T	105	430	37
CPCT02210020T	27	212	77
CPCT02020545T	96	784	71
CPCT02020541T	38	271	25
CPCT02100093T	192	1214	0
CPCT02080125T	54	201	678
CPCT02010535T	31	306	19
CPCT02160027T	15	103	38
CPCT02230021T	72	775	85
CPCT02230025T	59	373	2
CPCT02230028T	48	311	86
CPCT02330042T	24	251	101
CPCT02230036T	19	268	44
CPCT02410001T	35	286	40
CPCT02040138T	48	328	565
CPCT02020561T	236	1890	0
CPCT02040134T	45	324	179
CPCT02050215T	266	478	155
CPCT02050209T	155	760	16
CPCT02050210T	17	338	48
CPCT02050218T	121	535	60
CPCT02300021T	230	276	86
CPCT02180038T	73	510	55
CPCT02030367T	162	500	454
CPCT02060121T	98	729	188
CPCT02230044T	27	264	52
CPCT02110042T	76	528	199
CPCT02010628T	223	502	123
CPCT02010633T	22	318	131
DRUP01010037T	34496	4402	0
CPCT02040145T	14	252	124
CPCT02120047T	70	149	105
CPCT02120051T	135	124	1442
