hdp.1	hdp.2	hdp.3	hdp.4	hdp.5
G[Del(C):R3]A	0.000355561789457494	0.00163065117398433	0.00149191757046581	0.00327315323497872	1.1572779280096e-05
G[Del(C):R3]G	0.000202634349025807	0.000882455007273088	6.60561229334473e-05	6.54275062722526e-05	1.54303723734613e-05
G[Del(C):R3]T	0.000218666474183557	0.000689362045085431	0.00210047211361953	0.00303668969328825	1.1572779280096e-05
G[Del(C):R4]A	9.45090117746809e-05	0.000691705751041071	0.000931128610145395	0.00191136706405749	1.54303723734613e-05
G[Del(C):R4]G	0.000356147437865083	9.75975977042363e-05	0.000545225737417153	0.00124129390005339	3.85759309336533e-06
G[Del(C):R4]T	0.00019977931303881	0.000709361669240222	0.000606915650709734	0.0029611026363526	7.71518618673065e-06
G[Del(C):R5]A	0.000805632590689669	0.000646820230920944	0.00146607061024223	0.000995178785232687	1.1572779280096e-05
G[Del(C):R5]G	0.000418372581171418	2.37637579623326e-05	0.000148388574642731	0.000234685620324384	0
G[Del(C):R5]T	0.000397582062702008	0.000805524634814036	0.000481721782869771	0.00064985565818395	3.85759309336533e-06
G[Del(C):R6]A	0.0007264968496142	0.000282125379944919	0.00101860293051484	0.000121609821440817	3.85759309336533e-06
G[Del(C):R6]G	6.95457484011982e-06	0.000196601418981856	0.000213481379116732	4.3787663359225e-05	7.71518618673065e-06
G[Del(C):R6]T	0.000162444227055009	0.000189144172759367	0.000675411346365156	0.000239257418122911	0
G[Del(C):R7]A	0.000297070154749539	0.000130963447945431	0.000482822718251995	0.000173017147797587	7.71518618673065e-06
G[Del(C):R7]G	1.53732706992122e-06	1.39912143412419e-05	8.71990865238879e-05	8.63561806388427e-07	0
G[Del(C):R7]T	1.16397621008321e-05	4.50701757408735e-05	0.00011428459905247	0.000175404642203485	7.71518618673065e-06
G[Del(C):R8]A	0.000545458285618239	0.000202212108996872	0.000125494122944206	9.04200009042e-06	3.85759309336533e-06
G[Del(C):R8]G	1.06880834384999e-05	0.000114685344762626	4.44752873159858e-05	0.000207762811066392	1.54303723734613e-05
G[Del(C):R8]T	0.000276352842331077	6.19306543429589e-05	6.41795285319289e-05	0.000136391967656055	0
G[Del(C):R(9,)]A	0	0	0	0	0
G[Del(C):R(9,)]G	0	0	0	0	0
G[Del(C):R(9,)]T	0	0	0	0	0
T[Del(C):R1]A	0.0033413437834483	0.00185813269446655	0.00850962999438398	0.00873919468289757	0.026166053952297
T[Del(C):R1]G	0.000378841313659158	0.00148640672562361	0.000541222336027247	0.000945498582488694	1.54303723734613e-05
T[Del(C):R1]T	0.00240686854308905	0.00558942621007279	0.02660421610711	0.0087048554016553	0.0243799883500689
T[Del(C):R2]A	0.00151412075177051	0.00231538262427256	0.00393590654459795	0.0101378600227269	1.1572779280096e-05
T[Del(C):R2]G	9.0921915278198e-05	0.000882838522793101	0.000516401247409831	0.000501424622991774	1.1572779280096e-05
T[Del(C):R2]T	0.00100746167315504	0.00297787017439999	0.0141756940240352	0.00477392205897518	1.54303723734613e-05
T[Del(C):R3]A	0.00158901054189095	0.00139960437959383	0.00246612027744072	0.00738584093902695	0.0035605584251762
T[Del(C):R3]G	0.00037181353276809	0.000253844661413536	0.000428801820746952	0.000734281524196748	7.71518618673065e-06
T[Del(C):R3]T	0.000899775572209607	0.0010703634078013	0.00233088037423796	0.00622556945551412	3.85759309336533e-05
T[Del(C):R4]A	0.00116551353715313	0.00117298932010127	0.00231505442811849	0.00142381022772125	7.71518618673065e-06
T[Del(C):R4]G	3.19178382136025e-05	0.000286045760816171	0.000294012300200558	0.000387332869041868	3.08607447469226e-05
T[Del(C):R4]T	5.55633926700099e-05	0.00108979486081533	0.00135347494615112	0.0036626196096599	0
T[Del(C):R5]A	0.000970492617425983	0.000665328405831237	0.00123409852095587	0.00126267975419983	0
T[Del(C):R5]G	0.000312663043601597	0.000254682713846159	0.000159147715878103	0.000249569362046255	3.85759309336533e-06
T[Del(C):R5]T	0.000303146256978275	0.000301755692858215	0.000950545106886438	0.00044707102694262	3.85759309336533e-06
T[Del(C):R6]A	0.00230028053290784	0.000748764337852003	0.00136593553297721	0.000479124409285626	7.71518618673065e-06
T[Del(C):R6]G	2.41579968130478e-06	1.27412378315675e-05	0.000136253264179579	7.36567423096011e-06	0
T[Del(C):R6]T	9.57535146408076e-05	0.000274099962581669	0.000761471965618789	0.000311034643559785	1.1572779280096e-05
T[Del(C):R7]A	0.000308929535003217	7.47287092886024e-05	0.000696016352893827	5.07469555636493e-05	0
T[Del(C):R7]G	0.000293922294558748	4.52264228045828e-05	5.4521322678781e-05	2.06746856000053e-05	0
T[Del(C):R7]T	0.000474009179892377	0.000421895480572148	0.000206725639271266	0.000155796709423136	1.92879654668266e-05
T[Del(C):R8]A	5.88576649626982e-05	0.000248106132891849	0.000453034909785226	0.000221478204461973	1.1572779280096e-05
T[Del(C):R8]G	0.000120131129606701	3.52266107271876e-06	2.60846621811056e-05	9.14359559705393e-07	0
T[Del(C):R8]T	1.31770891707533e-05	0.000161460033925783	6.40419116091509e-05	1.33598091223621e-05	0
T[Del(C):R(9,)]A	0	0	0	0	0
T[Del(C):R(9,)]G	0	0	0	0	0
T[Del(C):R(9,)]T	0	0	0	0	0
A[Del(T):R1]A	0.00210335625585603	0.00249996722362732	0.0133356302848808	0.00742475201806774	0.04501425380648
A[Del(T):R1]C	0.00103140005181524	0.00112960945350416	0.0046009215579787	0.00234243679870527	0.0149443156436973
A[Del(T):R1]G	0.0018565786581082	0.00179945481990445	0.00708296786657364	0.00918006838393551	0.0339931103387352
A[Del(T):R2]A	0.000669176511721423	0.00140369521180731	0.00389313270287268	0.00952031173565256	0.0149443156436973
A[Del(T):R2]C	0.00158498420908878	0.00113416902690877	0.00277386924866039	0.00703543803664652	3.85759309336533e-05
A[Del(T):R2]G	0.000928399138130521	0.00113608660450884	0.00205223112687117	0.00578952154104128	7.71518618673065e-06
A[Del(T):R3]A	0.00119604046039871	0.00208240404800347	0.00417542254337842	0.00482146875607986	0.00344483063237524
A[Del(T):R3]C	0.0010603896479909	0.0010213160340751	0.00227625896652443	0.00551856632484858	3.85759309336533e-05
A[Del(T):R3]G	0.000386308330855919	0.000587872475066981	0.0033148789039888	0.00544277607689967	3.85759309336533e-06
A[Del(T):R4]A	5.09514114602462e-05	0.00242609077104986	0.00561474542808434	0.00461025169778791	7.71518618673065e-06
A[Del(T):R4]C	0.00032210662417397	0.000770539496821672	0.0026202512309521	0.00301357671552903	3.85759309336533e-06
A[Del(T):R4]G	0.000272399715579851	0.000743707614699229	0.00325491545754562	0.00494130065615458	2.70031516535573e-05
A[Del(T):R5]A	0.00249288565295368	0.00416830234852263	0.00579756325468026	0.00290715542232998	3.85759309336533e-05
A[Del(T):R5]C	0.0023267079173003	0.00126808696478616	0.00235348708146159	0.00128238928248681	0.00352584008733591
A[Del(T):R5]G	0.000285064362393964	0.00206703501864589	0.00327022846786201	0.00305081146871036	0.00333681802576101
A[Del(T):R6]A	0.00261096701313382	0.00426534597936462	0.00655200424660802	0.00113446622482781	4.24335240270186e-05
A[Del(T):R6]C	0.000498899237214911	0.00191828781399463	0.00229028338201845	0.00111760137072658	1.1572779280096e-05
A[Del(T):R6]G	0.000218300443928814	0.00130383913381855	0.00308752323693018	0.00122310830436591	2.3145558560192e-05
A[Del(T):R7]A	0.00144237882184085	0.00464151788738402	0.00557707592313119	0.00102088244841107	0.00308607447469226
A[Del(T):R7]C	0.00160489625494681	0.00332803404845105	0.00665193915380355	0.00192670798555921	0
A[Del(T):R7]G	0.000950507365517007	0.00343138437895549	0.00364908785626988	0.00078431731121396	0.0108244062199831
A[Del(T):R8]A	0.0011592910228225	0.00462815166129762	0.00915424017130555	0.000355584273218764	3.85759309336533e-06
A[Del(T):R8]C	0.00385839812129847	0.00417443859684285	0.00867909897947043	0.000735703861289623	0.00303978335757188
A[Del(T):R8]G	0.00178227451639534	0.00272658228311988	0.00225469064153632	0.000691916197930398	0
A[Del(T):R(9,)]A	0	0	0	0	0
A[Del(T):R(9,)]C	0	0	0	0	0
A[Del(T):R(9,)]G	0	0	0	0	0
C[Del(T):R1]A	0.000972615592903493	0.00105380121904811	0.00409959561892773	0.00590584839613714	0.0190526522881313
C[Del(T):R1]C	0.00119706534511199	0.0014172745020715	0.00527330533204274	0.00919088830539203	0.00324423579152024
C[Del(T):R1]G	0.00191924303772022	0.00248320617497487	0.00748179421941367	0.0117645564771961	0.00314393837109274
C[Del(T):R2]A	0.000609074343892599	0.00067623729173385	0.00223653771835896	0.00645776598592597	0.00375729567293783
C[Del(T):R2]C	3.418722579301e-05	0.000167411626625255	0.00339388352829273	0.00504492807292119	0
C[Del(T):R2]G	0.000301023281500765	0.000562404203682365	0.00235836622690553	0.00538618737970457	3.85759309336533e-06
C[Del(T):R3]A	0.000202561142974858	0.00104735247660048	0.00491134780387787	0.0031703893800185	0.00337539395669466
C[Del(T):R3]C	0.00180211335620242	0.000315406004515	0.00351782633319834	0.00444048560620261	0.00737186040142114
