hdp.1	hdp.2
T[Ins(C):R4]G	0.000129414044471639	1.82450274007139e-05
T[Ins(C):R4]T	0.000322984301504613	0.000828490107877871
T[Ins(C):R5]A	0.000568540500196036	0.0005527413982989
T[Ins(C):R5]G	0	0
T[Ins(C):R5]T	0.000123696115469852	0.000324263896076324
T[Ins(C):R6]A	0.000395901010793457	0.000928837758581797
T[Ins(C):R6]G	5.45039287418049e-05	0.000192816766848453
T[Ins(C):R6]T	4.97302448962762e-05	0.000439124636758091
T[Ins(C):R7]A	0.000116089696155548	0.00159892785584438
T[Ins(C):R7]G	2.04586450522655e-06	0.000195719384844022
T[Ins(C):R7]T	0.000349423165879848	0.000260820959887478
T[Ins(C):R8]A	0.000206789689220592	0.000680456590103897
T[Ins(C):R8]G	2.3134006328331e-05	3.02701590966389e-05
T[Ins(C):R8]T	2.65962385679452e-05	0.000186182211430012
T[Ins(C):R(9,)]A	0	0
T[Ins(C):R(9,)]G	0	0
T[Ins(C):R(9,)]T	0	0
A[Ins(T):R0]A	0.00126707208357031	0.00194890065416716
A[Ins(T):R0]C	0.000585851661394107	0.000214793731672041
A[Ins(T):R0]G	0.0010206765558511	0.000453223067022279
A[Ins(T):R1]A	0.00282701753977344	0.00177225561615116
A[Ins(T):R1]C	0.000832719311691444	0.000719019943473588
A[Ins(T):R1]G	0.000799565815093927	0.000228892161936229
A[Ins(T):R2]A	0.000739239041221862	0.00172332576994016
A[Ins(T):R2]C	0.00017599680551372	0.00129954354258721
A[Ins(T):R2]G	0.000501131887652033	0.00217613417724878
A[Ins(T):R3]A	0.000286525946860191	0.0016337592717912
A[Ins(T):R3]C	0.000424962778380521	0.00122075819699322
A[Ins(T):R3]G	0.000172796863595289	0.00097735294507915
A[Ins(T):R4]A	0.000130568121884843	0.00159478125870785
A[Ins(T):R4]C	0.000417671107451637	0.00290552061356369
A[Ins(T):R4]G	0.0013675817346476	0.0025161551424439
A[Ins(T):R5]A	0.00131129423172175	0.00448247150458448
