hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12	hdp.13	hdp.14
A[Del(C):R4]G	0.000194046765381594	6.91354300340884e-05	0.00167878590380481	6.36906760289899e-05	0.000225890020096828	0.0007168764762914	0.000214371116587743	0.000567523598445868	0.000173471987770886	0.000236375045830223	0.000749861696247191	8.66574444902057e-06	0.000106546369417897	0.000780171011010108
A[Del(C):R4]T	0.000522842994977542	0.000341981354031944	0.00253999588003108	0.000171856612964631	0.000339098121247148	0.000667360205875573	0.000364753819381547	0.0021963302591286	0.00176237713681422	0.000560519684995158	0.00102443988248437	0.000329855734612134	0.00069690166957142	0.000388672206125817
A[Del(C):R5]A	0.00185433447158188	0.000179422236133756	0.00794346237098125	0.000216038154734256	0.00100725305335202	0.000489089954012932	0.000901740851175808	0.000611264774245433	0.001624587070857	0.000817641256902829	0.00342998662114828	0.000316679748900173	0.000690037329913688	0.00143079453786866
A[Del(C):R5]G	0.000380634541852123	5.15901830104758e-05	0.00123112195753481	4.79380549431791e-05	0.000100851589064117	0.0002503257680102	2.14716840860454e-05	4.88697582552242e-05	0.000198376680644905	0.000115434305680364	0.00138587011972646	7.70288395468495e-06	0.000594980307766838	0.000385280287615647
A[Del(C):R5]T	0.00199112976055065	7.47285133480741e-05	0.0027748377969711	0.000258496028936591	0.000217830662675095	0.00068400187694693	0.000418363149158559	0.000349744125238442	0.000849783542331383	0.000590893434576166	0.00795109176818994	0.00175640957227254	0.00137814458202337	0.00237324207128634
A[Del(C):R6]A	0.00398637384522107	0.000815945309851029	0.00433157377095739	0.000545057694361199	0.000335905949210684	0.0011177947695403	0.000185565664418866	0.000450040521730397	0.000723741231654348	0.000205613717163652	0.00538095877223472	0.00268658348666887	0.0015982452428428	0.00222622918217453
A[Del(C):R6]G	0.000852313075686794	5.11372942249715e-05	0.000611061102237379	0.000277340430412159	0.000101719789700408	0.000580297989849632	3.76250990408093e-05	0.000421025492375043	1.50787990760798e-05	2.84579441528901e-05	0.00338523590104994	7.70288395468495e-06	0.000579550730129105	0.000174058976179746
A[Del(C):R6]T	0.00188969951932313	0.000590863310935088	0.00139245359640644	0.000140374559145933	0.000249848849777103	0.000412655050741331	0.00022779183862097	0.00025608820545208	0.000372084446001344	6.40369009348219e-05	0.00747147481575189	1.16050028001503e-05	0.000834207791116079	0.000434106061959402
A[Del(C):R7]A	0.00466779029455582	0.00052860135349746	0.000661592502615553	0.00126788503168244	0.000450271651209392	0.000492827031025447	4.60916658044401e-05	0.000174201344826971	6.96366357331683e-05	0.000434130747647727	0.00985690451680271	0.00112548256414209	0.000689871657999182	0.000410957705811053
A[Del(C):R7]G	0.000884549985203012	4.35947390194733e-05	4.38922382846913e-05	0.000252544351686309	1.67238243778496e-05	0.000177569549922794	6.68277663315255e-06	6.21877678980265e-05	1.83879100733213e-05	2.34354814949e-05	0.0025936251862887	7.85491455905373e-06	0.000562047492361462	0.000241153504604589
