hdp.1	hdp.2	hdp.3	hdp.4
A[Del(T):R4]A	0.00371822550334869	0.00302779607354448	0.00428685346087068	0.00460798427141369
A[Del(T):R4]C	0.0026787404301528	0.00497236010484394	0.00230259182246989	0.00490152993611115
A[Del(T):R4]G	0.00427427120991532	0.00144362798307877	0.00211363073195939	0.00300628307188711
A[Del(T):R5]A	0.00395349990263171	0.00139640650699675	0.00649425780314784	0.00476329040796874
A[Del(T):R5]C	0.00119167416295785	0.000939114550306408	0.00371275683469934	0.00198911321049357
A[Del(T):R5]G	0.00191934529465126	0.00158053960042046	0.00310443932099894	0.00177151395323237
A[Del(T):R6]A	0.00097721415531366	0.00129833506478746	0.00894424556008203	0.00323070897251337
A[Del(T):R6]C	0.000252930745293888	0.00105195548016473	0.0045052178082252	0.00173652740598645
A[Del(T):R6]G	0.00278812364690305	0.000733312727598316	0.00414839894422671	0.00164948770308197
A[Del(T):R7]A	0.0012461073857816	0.000901909750969062	0.00957689996357452	0.00377172045919417
A[Del(T):R7]C	0.000682999140810623	0.00152325034210017	0.0102484488800161	0.00197204660208093
A[Del(T):R7]G	0.00152625474248736	0.00104347196822792	0.00716682784783241	0.00124244909244043
A[Del(T):R8]A	0.00149461686719634	0.000780483098186736	0.00967271583037835	0.00163839440761376
A[Del(T):R8]C	0.000546916083751255	0.000629926314055115	0.00986551269749406	0.00218196588555644
A[Del(T):R8]G	0.0011145317211185	0.000398776166523776	0.00496263089554937	0.00103594313064745
A[Del(T):R(9,)]A	0	0	0	0
A[Del(T):R(9,)]C	0	0	0	0
A[Del(T):R(9,)]G	0	0	0	0
C[Del(T):R1]A	0.00826500734145125	0.00123946153616572	0.00257596618107044	0.00390910665691594
C[Del(T):R1]C	0.00331187115954736	0.00346091513176427	0.00223590429336774	0.00461737090604064
C[Del(T):R1]G	0.00667846263697556	0.00350210615960205	0.00342585907257258	0.00701181606633449
C[Del(T):R2]A	0.00765292067974119	0.00140703644966456	0.00211514933293619	0.00324094893756096
C[Del(T):R2]C	0.00490553582143882	0.00312126802133021	0.00175245243584644	0.00432126525008128
C[Del(T):R2]G	0.00798712803569648	0.00113495080176343	0.00179905777616911	0.00310953605278361
C[Del(T):R3]A	0.00363588664097606	0.000533490247640868	0.00222099320274203	0.00245247162889684
