Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
DRUP01010044T	5.67E+01	4.45E+01	4.60E+00	1.71E+01	1.46E+01	5.80E+00	2.63E+00	5.77E+00	3.84E+01	3.16E+00	6.74E+00	1.64E+00	2.80E+00	1.92E+00	2.57E+00
CPCT02020611T	1.10E+01	9.38E+00	3.98E+00	1.17E+01	9.77E+00	3.96E+00	1.75E+00	3.43E+00	1.06E+01	3.29E+00	5.48E+00	7.68E+00	2.33E+00	1.84E+00	7.24E+00
CPCT02050252T	3.01E+01	2.18E+01	3.36E+00	2.99E+01	2.41E+01	1.05E+01	3.52E+00	6.57E+00	2.51E+01	3.55E+00	1.32E+01	2.28E+00	2.42E+00	1.93E+00	3.06E+00
CPCT02290017T	8.46E+00	5.10E+00	1.73E+00	1.21E+01	1.03E+01	4.74E+00	8.92E-01	2.99E+00	9.40E+00	1.65E+00	4.21E+00	1.23E+00	1.78E+00	1.19E+00	1.59E+00
CPCT02050259T	2.24E+01	2.08E+01	2.88E+00	6.96E+00	6.90E+00	7.97E+00	3.26E+00	1.22E+01	1.86E+01	2.47E+00	5.63E+00	3.05E+00	2.75E+00	2.26E+00	2.96E+00
CPCT02060155T	7.21E+00	5.36E+00	2.30E+00	1.16E+01	1.03E+01	3.83E+00	1.01E+00	2.93E+00	6.17E+00	2.11E+00	3.91E+00	1.70E+00	3.51E+00	1.53E+00	1.65E+00
CPCT02050260T	5.92E+00	6.15E+00	2.30E+00	1.01E+01	9.16E+00	2.51E+00	5.77E-01	2.74E+00	7.20E+00	3.10E+00	4.06E+00	1.15E+00	2.59E+00	1.52E+00	1.64E+00
CPCT02290016T	6.91E+00	5.40E+00	2.39E+00	5.90E+00	5.37E+00	4.04E+00	1.50E+00	2.80E+00	5.39E+00	2.40E+00	3.68E+00	1.50E+00	1.82E+00	1.27E+00	2.05E+00
CPCT02050118T	9.50E+00	7.35E+00	2.34E+00	9.60E+00	8.62E+00	3.21E+00	8.43E-01	4.33E+00	9.12E+00	1.83E+00	6.34E+00	2.07E+00	1.66E+00	2.77E+00	2.38E+00
CPCT02090004T	1.47E+01	1.06E+01	5.14E+00	1.06E+01	9.83E+00	6.95E+00	3.93E+00	6.23E+00	1.15E+01	2.45E+00	1.72E+01	2.33E+00	1.15E+00	2.53E+00	5.55E+00
CPCT02050115T	1.41E+01	1.10E+01	2.72E+00	1.23E+01	9.77E+00	8.44E+00	1.73E+00	3.99E+00	1.19E+01	1.95E+00	8.77E+00	1.42E+00	8.37E-01	1.61E+00	2.63E+00
CPCT02210007T	1.04E+01	6.97E+00	2.60E+00	2.21E+01	1.83E+01	5.55E+00	1.09E+00	3.11E+00	1.26E+01	3.19E+00	7.11E+00	1.40E+00	1.17E+00	1.07E+00	2.55E+00
CPCT02050175T	8.17E+00	5.73E+00	2.67E+00	9.40E+00	8.68E+00	4.95E+00	1.51E+00	3.97E+00	8.73E+00	1.53E+00	5.39E+00	1.44E+00	1.61E+00	1.12E+00	2.16E+00
CPCT02380005T	5.55E+00	5.63E+00	1.80E+00	1.04E+01	8.41E+00	3.29E+00	1.15E+00	2.24E+00	6.73E+00	2.17E+00	5.07E+00	2.88E+00	9.77E-01	1.17E+00	2.71E+00
CPCT02010543T	7.17E+00	5.87E+00	4.21E+00	1.13E+01	8.56E+00	4.95E+00	1.43E+00	3.44E+00	9.01E+00	2.95E+00	7.41E+00	2.10E+00	1.82E+00	1.64E+00	2.74E+00
CPCT02270001T	9.86E+00	6.71E+00	2.66E+00	1.60E+01	1.43E+01	4.90E+00	4.53E+00	3.69E+00	1.16E+01	3.07E+00	5.70E+00	5.91E+00	1.77E+00	1.45E+00	6.16E+00
CPCT02100019T	1.39E+03	1.17E+03	4.17E+02	3.31E+02	2.52E+02	1.24E+02	5.43E+00	2.78E+01	1.26E+03	1.76E+01	1.59E+02	1.64E+01	6.49E+00	5.24E+00	1.20E+01
CPCT02010576T	3.76E+00	2.99E+00	3.16E+00	5.70E+00	3.62E+00	1.75E+00	3.70E-01	3.29E+00	6.29E+00	4.63E+00	2.80E+00	9.87E-01	7.41E-01	7.57E-01	1.46E+00
