MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
3:Del:M:1	1.58E-04	1.46E-10	1.56E-04	1.76E-03	9.58E-04	2.64E-04	3.64E-06	2.12E-04	1.81E-03	8.98E-04	1.50E-03	1.52E-03	1.25E-03	1.32E-03	4.11E-04
3:Del:M:2	1.94E-04	4.26E-05	2.59E-04	1.78E-03	1.00E-03	4.77E-04	1.87E-04	1.16E-04	1.50E-03	1.26E-03	1.19E-03	2.11E-03	1.44E-03	1.39E-03	9.21E-04
4:Del:M:1	1.93E-04	1.34E-05	2.51E-04	1.59E-03	5.76E-04	4.74E-04	1.47E-04	3.88E-04	1.54E-03	1.58E-03	1.36E-03	1.10E-03	1.19E-03	1.18E-03	1.21E-03
4:Del:M:2	2.40E-04	2.57E-05	2.25E-04	1.99E-03	1.02E-03	7.88E-04	1.86E-04	2.39E-04	1.76E-03	1.80E-03	1.69E-03	1.86E-03	1.52E-03	1.54E-03	3.06E-04
4:Del:M:3	2.13E-04	2.12E-05	3.44E-05	1.77E-03	1.10E-03	4.88E-04	1.98E-04	1.68E-04	1.85E-03	1.34E-03	1.76E-03	2.16E-03	1.56E-03	1.62E-03	7.75E-04
5:Del:M:1	4.60E-03	2.21E-05	4.77E-03	1.29E-02	1.38E-03	1.49E-03	4.79E-04	1.81E-03	5.30E-03	2.86E-03	3.33E-03	1.97E-03	3.13E-03	2.19E-03	1.83E-03
5:Del:M:2	2.56E-03	2.71E-05	5.66E-03	9.91E-03	6.19E-04	1.08E-03	4.19E-04	7.89E-05	2.49E-03	2.29E-03	2.53E-03	8.36E-04	1.93E-03	2.24E-03	2.32E-03
5:Del:M:3	3.49E-03	1.62E-05	3.27E-03	8.88E-03	1.29E-03	1.02E-03	1.58E-04	3.26E-04	2.27E-03	1.07E-03	2.32E-03	8.93E-04	1.21E-03	1.24E-03	1.12E-03
5:Del:M:4	3.23E-03	1.98E-05	1.32E-03	5.48E-03	7.32E-04	9.01E-04	9.12E-05	7.65E-05	3.95E-03	1.47E-03	9.33E-04	1.14E-03	1.26E-03	1.05E-03	1.35E-03
5:Del:M:5	2.89E-03	3.61E-05	8.39E-04	4.27E-03	1.23E-03	3.21E-04	1.54E-04	4.32E-04	3.41E-03	1.95E-03	2.91E-03	1.04E-03	1.76E-03	1.78E-03	2.08E-03
