Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP103706	1046	0.996	118.507	11.33%	19.366	9.194%	0.03095	0.994
SP102897	13474	1.0	778.798	5.78%	149.646	2.082%	0.00922	1.0
SP102881	517	0.986	101.854	19.701%	16.395	16.668%	0.06761	0.979
SP103715	617	0.984	119.534	19.373%	21.793	17.925%	0.05503	0.976
SP102929	722	0.989	116.966	16.2%	20.321	14.46%	0.05129	0.985
SP103619	218	0.944	81.892	37.565%	15.62	32.901%	0.19242	0.925
SP103844	439	0.971	111.181	25.326%	22.594	23.849%	0.06887	0.961
SP103128	703	0.983	129.244	18.385%	25.25	18.498%	0.04695	0.975
SP103300	1096	0.992	158.419	14.454%	27.801	12.843%	0.02583	0.988
SP103057	936	0.991	144.335	15.42%	26.488	13.441%	0.03884	0.988
SP103340	738	0.989	127.675	17.3%	22.56	14.945%	0.04096	0.984
SP102913	775	0.993	117.493	15.16%	19.043	12.186%	0.03358	0.99
SP102783	1199	0.99	199.236	16.617%	35.292	14.224%	0.03324	0.986
SP103080	1137	0.989	176.001	15.479%	33.576	14.847%	0.04064	0.985
SP103436	517	0.986	103.32	19.985%	17.063	16.579%	0.05804	0.98
SP102804	1030	0.982	226.622	22.002%	41.884	18.84%	0.09091	0.976
SP102957	1295	0.993	185.781	14.346%	39.673	12.177%	0.02858	0.991
SP102873	495	0.981	107.378	21.693%	19.192	19.496%	0.06534	0.972
SP103213	568	0.973	145.797	25.668%	27.022	23.044%	0.06484	0.963
SP103467	194	0.955	64.279	33.134%	11.356	29.519%	0.14101	0.935
SP103261	1598	0.995	191.12	11.96%	33.568	10.019%	0.02464	0.993
SP103156	897	0.991	134.657	15.012%	24.839	13.639%	0.03748	0.987
SP103288	412	0.977	102.729	24.934%	18.069	21.554%	0.07899	0.967
SP103444	564	0.977	133.263	23.628%	25.716	21.439%	0.05303	0.969
SP103685	688	0.99	111.007	16.135%	19.544	13.847%	0.04472	0.987
SP103140	1253	0.991	175.227	13.985%	34.345	13.066%	0.02803	0.988
SP103673	1188	0.993	150.441	12.663%	27.243	11.45%	0.02293	0.991
SP102839	686	0.988	118.347	17.252%	21.255	15.48%	0.05193	0.983
SP103245	891	0.989	140.092	15.723%	26.517	14.836%	0.0313	0.984
SP103037	302	0.959	99.209	32.851%	17.788	28.281%	0.11215	0.943
SP103408	712	0.989	127.358	17.887%	21.861	14.526%	0.05033	0.985
SP103021	681	0.987	113.632	16.686%	22.46	16.165%	0.03419	0.981
SP103679	408	0.961	127.841	31.334%	22.467	27.799%	0.12228	0.943
SP103065	1163	0.993	184.11	15.831%	28.365	12.153%	0.03955	0.99
SP102965	576	0.982	123.771	21.488%	24.545	19.445%	0.06116	0.976
SP103221	1320	0.992	192.533	14.586%	34.506	13.02%	0.03263	0.988
SP103547	810	0.987	136.474	16.849%	27.646	16.419%	0.03953	0.981
SP102973	1217	0.985	210.467	17.294%	45.249	17.039%	0.04408	0.98
SP103515	843	0.991	123.948	14.703%	21.96	13.497%	0.03721	0.987
SP102747	209	0.917	92.052	44.044%	19.387	40.001%	0.20042	0.893
SP103730	716	0.989	130.653	18.248%	22.662	15.089%	0.05703	0.984
SP103535	1385	0.994	174.427	12.594%	34.174	11.198%	0.02481	0.992
SP102718	780	0.99	125.142	16.044%	22.353	14.233%	0.03981	0.985
SP103483	421	0.977	106.353	25.262%	18.981	21.59%	0.08015	0.967
SP103428	1122	0.992	156.633	13.96%	29.409	12.645%	0.03047	0.989
SP102755	1916	0.996	201.365	10.51%	35.891	9.138%	0.02047	0.994
SP103694	1552	0.994	187.616	12.089%	34.48	10.923%	0.02128	0.992
SP103595	551	0.976	128.651	23.349%	22.87	21.751%	0.06479	0.964
SP103396	316	0.971	89.292	28.257%	15.828	24.032%	0.10589	0.959
SP102716	336	0.976	88.897	26.457%	15.015	21.888%	0.07889	0.966
SP102733	458	0.967	116.799	25.502%	21.415	25.386%	0.08513	0.949
SP102989	874	0.987	153.47	17.559%	26.836	15.8%	0.04074	0.982
SP103603	702	0.975	167.344	23.838%	33.161	22.875%	0.06329	0.965
SP102921	585	0.984	116.19	19.862%	20.462	17.626%	0.04848	0.977
SP103742	962	0.988	161.087	16.745%	30.551	15.694%	0.03856	0.982
SP103555	87	0.837	58.376	67.099%	11.127	54.752%	0.47392	0.786
SP103523	417	0.982	85.977	20.618%	15.915	18.812%	0.0684	0.975
SP103575	648	0.983	150.134	23.169%	24.98	18.483%	0.0744	0.977
SP103045	777	0.976	180.466	23.226%	34.308	21.77%	0.05613	0.966
SP103455	992	0.993	140.854	14.199%	22.778	11.958%	0.03795	0.989
SP103856	169	0.937	65.2	38.58%	13.113	35.518%	0.18091	0.915
CPCT02020340T	959	0.987	175.097	18.258%	30.722	16.293%	0.04159	0.981
CPCT02140010T	816	0.991	128.338	15.728%	21.427	13.45%	0.04248	0.987
CPCT02110007T	1145	0.989	183.776	16.05%	31.925	14.644%	0.04105	0.984
CPCT02140015T	796	0.989	124.487	15.639%	22.338	15.108%	0.03482	0.983
CPCT02020376T	513	0.99	106.092	20.681%	17.765	14.156%	0.07657	0.988
CPCT02050051T	751	0.985	147.396	19.627%	24.965	17.15%	0.05772	0.978
CPCT02140017T	1795	0.991	248.326	13.834%	46.68	13.464%	0.02584	0.987
CPCT02040048T	1845	0.994	238.946	12.951%	39.784	11.321%	0.02737	0.991
CPCT02060029T	914	0.994	166.903	18.261%	28.068	11.5%	0.04619	0.993
CPCT02060039T	735	0.986	146.137	19.883%	24.074	16.762%	0.05399	0.979
CPCT02050077T	957	0.99	166.172	17.364%	27.813	14.35%	0.03974	0.985
CPCT02060050T	1258	0.99	179.743	14.288%	34.646	14.399%	0.02804	0.984
CPCT02020866T	636	0.988	115.335	18.134%	19.226	15.766%	0.05038	0.982
CPCT02120177T	794	0.992	121.687	15.326%	20.17	12.925%	0.03905	0.988
CPCT02140095T	1580	0.988	247.976	15.695%	46.115	15.808%	0.03427	0.983
CPCT02120176T	1445	0.995	194.38	13.452%	35.726	9.977%	0.02754	0.994
CPCT02120085T	837	0.991	149.53	17.865%	24.9	13.983%	0.0411	0.987
CPCT02100138T	829	0.996	131.342	15.843%	20.656	9.304%	0.0489	0.995
CPCT02080177T	944	0.996	146.644	15.534%	22.9	9.035%	0.05447	0.995
CPCT02230079T	1336	0.994	173.715	13.003%	29.372	10.906%	0.0284	0.992
CPCT02340107T	1191	0.993	192.734	16.183%	33.449	11.601%	0.0378	0.992
CPCT02120096T	1013	0.983	186.099	18.371%	36.952	18.24%	0.03996	0.976
CPCT02120102T	191	0.97	56.135	29.39%	9.251	24.716%	0.11654	0.956
CPCT02440023T	1355	0.989	201.315	14.857%	38.806	15.069%	0.02745	0.983
CPCT02160060T	878	0.986	165.782	18.882%	29.004	16.794%	0.04891	0.979
CPCT02180055T	527	0.977	134.003	25.428%	22.948	21.486%	0.08356	0.967
CPCT02140104T	449	0.988	108.904	24.255%	18.129	15.936%	0.08527	0.985
CPCT02140105T	1062	0.996	116.963	11.013%	18.148	8.957%	0.02262	0.994
CPCT02190055T	1280	0.991	195.027	15.236%	32.208	13.07%	0.03382	0.987
CPCT02030551TII	1256	0.993	218.465	17.394%	38.386	12.052%	0.04114	0.991
CPCT02050317T	319	0.987	78.853	24.719%	12.052	16.531%	0.10957	0.983
CPCT02180078T	793	0.991	128.244	16.172%	20.544	13.623%	0.04172	0.986
CPCT02220075T	776	0.985	143.76	18.526%	25.258	17.311%	0.03986	0.977
CPCT02230085T	1518	0.994	206.398	13.597%	33.858	10.746%	0.02764	0.992
CPCT02120195T	918	0.991	147.401	16.057%	24.736	13.411%	0.04572	0.987
CPCT02080302T	1331	0.993	173.748	13.054%	29.975	12.103%	0.02738	0.989
