cluster_id	size	retained	medoid	min_cos_sim	mean_cos_sim	max_cos_sim	members
11	6	TRUE	C.P.Kidney.2	0.9854	0.9947	0.9999	C.H.All.12; C.H.Kidney.1; C.P.All.11; C.P.Kidney.2; C.PH.All.15; C.PH.Kidney.3
12	4	TRUE	C.H.Ovary.4	0.932	0.9585	0.9675	C.H.All.13; C.H.Lung.3; C.H.Ovary.4; C.H.Pancreas.5
13	14	TRUE	C.H.Breast.13	0.98	0.9893	0.9996	C.H.All.14; C.H.Bone.SoftTissue.6; C.H.Breast.13; C.H.Lung.12; C.H.Ovary.8; C.H.Prostate.11; C.H.Skin.9; C.H.Uterus.6; C.PH.Bone.SoftTissue.8; C.PH.Breast.13; C.PH.Lung.13; C.PH.Prostate.13; C.PH.Skin.10; C.PH.Uterus.9
14	4	TRUE	C.H.Colon.7	0.978	0.9882	0.9978	C.H.All.15; C.H.Colon.7; C.PH.All.22; C.PH.Colon.7
15	2	FALSE	C.H.All.16	0.9675	0.9675	0.9675	C.H.All.16; C.PH.All.4
16	37	TRUE	C.H.Pancreas.3	0.949	0.985	0.9998	C.H.All.17; C.H.Biliary.3; C.H.Bladder.8; C.H.Bone.SoftTissue.2; C.H.Breast.6; C.H.Colon.6; C.H.Esophagus.4; C.H.Liver.3; C.H.Lung.10; C.H.MSI.8; C.H.Other.10; C.H.Ovary.1; C.H.Pancreas.3; C.H.Prostate.5; C.H.Uterus.2; C.P.All.7; C.P.Head.1; C.P.Liver.6; C.P.Lung.2; C.P.Pancreas.4; C.P.Stomach.2; C.PH.All.7; C.PH.Biliary.3; C.PH.Bladder.7; C.PH.Bone.SoftTissue.1; C.PH.Breast.7; C.PH.Colon.10; C.PH.Esophagus.4; C.PH.Head.6; C.PH.Liver.1; C.PH.Lung.9; C.PH.MSI.6; C.PH.Other.6; C.PH.Pancreas.5; C.PH.Prostate.7; C.PH.Stomach.3; C.PH.Uterus.3
17	5	TRUE	C.PH.Breast.5	0.948	0.9714	0.9947	C.H.All.18; C.H.Breast.11; C.P.All.27; C.P.Breast.6; C.PH.Breast.5
18	6	TRUE	C.H.All.19	0.9273	0.9597	0.9985	C.H.All.19; C.H.Breast.8; C.H.Ovary.5; C.P.Ovary.5; C.P.Prostate.12; C.PH.All.28
19	9	TRUE	C.H.All.20	0.9312	0.982	1	C.H.All.20; C.H.Bladder.7; C.H.Colon.5; C.H.Head.3; C.P.All.22; C.PH.All.21; C.PH.Bladder.6; C.PH.Colon.4; C.PH.Head.5
20	17	TRUE	C.PH.MSI.7	0.9369	0.9754	0.9999	C.H.All.21; C.H.Breast.3; C.H.CNS.7; C.H.Head.7; C.H.Lung.7; C.H.MSI.2; C.H.Skin.2; C.P.All.9; C.P.Breast.5; C.P.CNS.3; C.PH.All.23; C.PH.Breast.2; C.PH.CNS.6; C.PH.Head.7; C.PH.Lung.8; C.PH.MSI.7; C.PH.Skin.6
21	28	TRUE	C.H.All.22	0.9066	0.9752	0.9999	C.H.All.22; C.H.Bone.SoftTissue.1; C.H.Breast.5; C.H.CNS.1; C.H.Colon.8; C.H.Head.4; C.H.Liver.1; C.H.Lung.5; C.H.MSI.15; C.H.Other.9; C.H.Prostate.8; C.H.Uterus.5; C.P.All.16; C.P.Bone.SoftTissue.2; C.P.CNS.4; C.P.Head.4; C.PH.All.13; C.PH.Bone.SoftTissue.3; C.PH.Breast.4; C.PH.CNS.3; C.PH.Colon.11; C.PH.Head.3; C.PH.Liver.6; C.PH.Lung.10; C.PH.MSI.22; C.PH.Other.9; C.PH.Prostate.17; C.PH.Uterus.6
22	2	FALSE	C.H.All.23	0.9607	0.9607	0.9607	C.H.All.23; C.H.Lung.13
23	40	TRUE	C.PH.Lung.6	0.9353	0.9813	1	C.H.All.24; C.H.Biliary.4; C.H.Bladder.4; C.H.Bone.SoftTissue.3; C.H.Breast.4; C.H.CNS.6; C.H.Colon.11; C.H.Esophagus.6; C.H.Head.2; C.H.Kidney.3; C.H.Liver.5; C.H.Lung.9; C.H.Lymphoid.2; C.H.Other.5; C.H.Ovary.2; C.H.Pancreas.4; C.H.Prostate.6; C.H.Skin.6; C.H.Thymus.1; C.H.Uterus.4; C.PH.All.12; C.PH.Biliary.4; C.PH.Bladder.5; C.PH.Bone.SoftTissue.2; C.PH.Breast.9; C.PH.CNS.5; C.PH.Colon.12; C.PH.Esophagus.7; C.PH.Head.1; C.PH.Kidney.1; C.PH.Liver.5; C.PH.Lung.6; C.PH.Lymphoid.5; C.PH.Other.5; C.PH.Ovary.2; C.PH.Pancreas.6; C.PH.Prostate.6; C.PH.Skin.5; C.PH.Thymus.2; C.PH.Uterus.4
24	1	FALSE	C.H.All.25	NA	NA	NA	C.H.All.25
25	2	FALSE	C.H.All.26	0.9518	0.9518	0.9518	C.H.All.26; C.PH.All.30
26	12	TRUE	C.PH.Ovary.3	0.9061	0.9712	0.9999	C.H.All.27; C.H.MSI.10; C.H.Prostate.2; C.P.All.26; C.P.MSI.9; C.P.Ovary.3; C.P.Uterus.3; C.PH.All.20; C.PH.MSI.3; C.PH.Ovary.3; C.PH.Prostate.15; C.PH.Uterus.7
27	6	TRUE	C.H.All.28	0.9672	0.9834	0.9997	C.H.All.28; C.H.MSI.6; C.H.Stomach.2; C.PH.All.10; C.PH.MSI.13; C.PH.Stomach.2
28	9	TRUE	C.PH.Other.4	0.9405	0.9717	0.9973	C.H.All.29; C.H.Bladder.10; C.H.Bone.SoftTissue.4; C.H.Breast.9; C.H.Other.2; C.PH.Bladder.9; C.PH.Breast.14; C.PH.Lung.2; C.PH.Other.4
29	2	FALSE	C.H.All.30	0.997	0.997	0.997	C.H.All.30; C.H.Colon.17
30	3	TRUE	C.H.All.31	0.9634	0.9755	0.9854	C.H.All.31; C.H.Skin.8; C.PH.Skin.8
31	4	TRUE	C.PH.Colon.15	0.9353	0.9674	0.9895	C.H.All.32; C.H.Colon.2; C.PH.All.35; C.PH.Colon.15
32	2	FALSE	C.H.All.33	0.9582	0.9582	0.9582	C.H.All.33; C.H.Other.13
33	1	FALSE	C.H.All.34	NA	NA	NA	C.H.All.34
34	18	TRUE	C.H.Prostate.3	0.9439	0.9721	0.9978	C.H.Biliary.2; C.H.Bladder.3; C.H.Kidney.5; C.H.Other.1; C.H.Pancreas.2; C.H.Prostate.3; C.P.All.1; C.P.CNS.1; C.PH.All.2; C.PH.Biliary.2; C.PH.Bladder.4; C.PH.Bone.SoftTissue.7; C.PH.CNS.7; C.PH.Head.9; C.PH.Kidney.6; C.PH.Other.1; C.PH.Ovary.7; C.PH.Skin.13
35	2	FALSE	C.H.Biliary.5	0.9699	0.9699	0.9699	C.H.Biliary.5; C.PH.Biliary.6
36	10	TRUE	C.PH.Bladder.1	0.9175	0.961	0.9993	C.H.Bladder.1; C.H.Skin.7; C.P.Bladder.1; C.P.Liver.4; C.P.Pancreas.8; C.P.Skin.4; C.PH.Bladder.1; C.PH.Liver.3; C.PH.Prostate.8; C.PH.Skin.9
37	2	FALSE	C.H.Bladder.5	0.9826	0.9826	0.9826	C.H.Bladder.5; C.PH.Bladder.3
38	3	TRUE	C.H.Bladder.9	0.9254	0.948	0.9906	C.H.Bladder.9; C.H.Lung.14; C.PH.Bladder.11
39	4	TRUE	C.PH.Lung.5	0.9629	0.9751	0.9958	C.H.Bladder.11; C.H.Lung.4; C.PH.Bladder.10; C.PH.Lung.5
40	5	TRUE	C.H.MSI.13	0.9241	0.9489	0.9926	C.H.Bladder.13; C.H.MSI.13; C.PH.Bladder.13; C.PH.MSI.20; C.PH.Uterus.12
41	3	TRUE	C.H.Bone.SoftTissue.5	0.9478	0.956	0.9702	C.H.Bone.SoftTissue.5; C.H.Liver.2; C.H.Skin.12
42	10	TRUE	C.H.Lung.11	0.9189	0.9731	0.9997	C.H.Bone.SoftTissue.8; C.H.Breast.18; C.H.Lung.11; C.H.MSI.11; C.P.Bone.SoftTissue.3; C.P.Breast.2; C.PH.Bone.SoftTissue.6; C.PH.Breast.10; C.PH.Lung.11; C.PH.MSI.15
43	9	TRUE	C.PH.All.9	0.9267	0.9709	0.9919	C.H.Bone.SoftTissue.9; C.H.Breast.17; C.H.Ovary.7; C.P.All.5; C.P.Bone.SoftTissue.1; C.PH.All.9; C.PH.Bone.SoftTissue.5; C.PH.Breast.15; C.PH.Ovary.6
44	1	FALSE	C.H.Bone.SoftTissue.10	NA	NA	NA	C.H.Bone.SoftTissue.10
45	4	TRUE	C.H.Prostate.7	0.9667	0.9725	0.9799	C.H.Breast.12; C.H.Esophagus.9; C.H.Prostate.7; C.PH.Prostate.3
46	2	FALSE	C.H.Breast.14	1	1	1	C.H.Breast.14; C.PH.Breast.16
47	7	TRUE	C.PH.Ovary.8	0.9204	0.9551	0.9975	C.H.Breast.15; C.H.Colon.4; C.H.Ovary.6; C.H.Prostate.12; C.PH.Colon.14; C.PH.Ovary.8; C.PH.Prostate.14
48	2	FALSE	C.H.Breast.16	0.9956	0.9956	0.9956	C.H.Breast.16; C.PH.Breast.19
49	6	TRUE	C.P.All.2	0.944	0.9684	0.9947	C.H.Breast.19; C.H.Lymphoid.4; C.P.All.2; C.P.Lymphoid.2; C.PH.Breast.18; C.PH.Esophagus.2
50	2	FALSE	C.H.Breast.21	0.995	0.995	0.995	C.H.Breast.21; C.PH.Breast.20
51	1	FALSE	C.H.Breast.22	NA	NA	NA	C.H.Breast.22
52	2	FALSE	C.H.CNS.2	0.9955	0.9955	0.9955	C.H.CNS.2; C.PH.CNS.8
53	3	TRUE	C.PH.CNS.4	0.9086	0.942	0.9951	C.H.CNS.3; C.P.CNS.2; C.PH.CNS.4
54	6	TRUE	C.PH.CNS.1	0.9424	0.9704	0.9995	C.H.CNS.4; C.H.Head.5; C.H.Stomach.3; C.P.Pancreas.5; C.PH.CNS.1; C.PH.Head.8
55	2	FALSE	C.H.CNS.8	0.9998	0.9998	0.9998	C.H.CNS.8; C.PH.CNS.10
56	1	FALSE	C.H.CNS.9	NA	NA	NA	C.H.CNS.9
57	2	FALSE	C.H.Colon.12	0.9792	0.9792	0.9792	C.H.Colon.12; C.H.MSI.16
58	3	TRUE	C.PH.Colon.3	0.9079	0.9464	0.97	C.H.Colon.13; C.P.Colon.7; C.PH.Colon.3
59	2	FALSE	C.H.Colon.14	0.9982	0.9982	0.9982	C.H.Colon.14; C.PH.Colon.17
60	3	TRUE	C.H.Colon.15	0.9292	0.9522	0.9937	C.H.Colon.15; C.PH.Colon.19; C.PH.Prostate.19
61	2	FALSE	C.H.Colon.16	0.9587	0.9587	0.9587	C.H.Colon.16; C.PH.Breast.21
62	10	TRUE	C.PH.All.6	0.9296	0.9664	0.9988	C.H.Esophagus.3; C.H.Lymphoid.5; C.H.Other.3; C.P.Head.5; C.P.Stomach.6; C.PH.All.6; C.PH.Lymphoid.2; C.PH.Other.7; C.PH.Pancreas.10; C.PH.Stomach.5
63	1	FALSE	C.H.Head.8	NA	NA	NA	C.H.Head.8
64	5	TRUE	C.P.All.6	0.9481	0.973	0.9993	C.H.Liver.4; C.P.All.6; C.P.Liver.5; C.PH.All.17; C.PH.Liver.2
65	2	FALSE	C.H.Lung.16	0.997	0.997	0.997	C.H.Lung.16; C.PH.Lung.15
66	8	TRUE	C.H.Prostate.4	0.9263	0.9636	0.9987	C.H.Lymphoid.1; C.H.MSI.9; C.H.Prostate.4; C.H.Uterus.8; C.PH.Lymphoid.4; C.PH.MSI.2; C.PH.Prostate.16; C.PH.Uterus.11
67	2	FALSE	C.H.MSI.12	0.9716	0.9716	0.9716	C.H.MSI.12; C.PH.MSI.16
68	1	FALSE	C.H.MSI.14	NA	NA	NA	C.H.MSI.14
69	1	FALSE	C.H.Prostate.13	NA	NA	NA	C.H.Prostate.13
70	1	FALSE	C.H.Prostate.14	NA	NA	NA	C.H.Prostate.14
71	1	FALSE	C.H.Prostate.15	NA	NA	NA	C.H.Prostate.15
72	1	FALSE	C.H.Skin.11	NA	NA	NA	C.H.Skin.11
73	1	FALSE	C.H.Skin.13	NA	NA	NA	C.H.Skin.13
74	2	FALSE	C.H.Skin.14	0.9857	0.9857	0.9857	C.H.Skin.14; C.PH.Skin.11
75	3	TRUE	C.PH.Thymus.3	0.9066	0.9386	0.9994	C.H.Thymus.2; C.P.All.23; C.PH.Thymus.3
76	1	FALSE	C.H.Uterus.7	NA	NA	NA	C.H.Uterus.7
77	2	FALSE	C.P.All.3	0.9872	0.9872	0.9872	C.P.All.3; C.PH.Breast.12
78	8	TRUE	C.P.All.8	0.9163	0.9664	0.9992	C.P.All.8; C.P.Colon.5; C.P.MSI.3; C.P.Uterus.5; C.PH.All.16; C.PH.Colon.8; C.PH.MSI.10; C.PH.Uterus.5
79	6	TRUE	C.PH.Uterus.2	0.9057	0.9706	0.9944	C.P.All.10; C.P.MSI.6; C.P.Uterus.7; C.P.Uterus.8; C.PH.MSI.14; C.PH.Uterus.2
80	3	TRUE	C.PH.All.32	0.9291	0.9509	0.9813	C.P.All.13; C.PH.All.32; C.PH.Pancreas.8
81	6	TRUE	C.PH.MSI.8	0.9444	0.9822	1	C.P.All.14; C.P.MSI.5; C.P.Pancreas.3; C.PH.All.11; C.PH.MSI.8; C.PH.Pancreas.4
82	4	TRUE	C.P.Kidney.3	0.9266	0.9577	0.9958	C.P.All.15; C.P.Kidney.3; C.PH.All.8; C.PH.Kidney.4
83	4	TRUE	C.P.All.20	0.9595	0.9811	0.9984	C.P.All.20; C.P.Prostate.6; C.PH.All.29; C.PH.Prostate.9
84	3	TRUE	C.P.All.21	0.9727	0.9825	0.998	C.P.All.21; C.P.Prostate.8; C.PH.Prostate.18
85	2	FALSE	C.P.All.25	0.9563	0.9563	0.9563	C.P.All.25; C.PH.Lung.12
86	6	TRUE	C.PH.MSI.4	0.9566	0.9798	0.9918	C.P.All.28; C.P.Colon.6; C.P.MSI.4; C.PH.All.25; C.PH.Colon.9; C.PH.MSI.4
87	6	TRUE	C.P.Lymphoid.1	0.9181	0.9503	0.9914	C.P.All.29; C.P.Lymphoid.1; C.P.Prostate.11; C.PH.Liver.7; C.PH.Lymphoid.1; C.PH.MSI.19
88	2	FALSE	C.P.Colon.9	0.9439	0.9439	0.9439	C.P.All.30; C.P.Colon.9
89	3	TRUE	C.P.Prostate.4	0.9989	0.9993	0.9997	C.P.All.31; C.P.Prostate.4; C.PH.Prostate.11
90	8	TRUE	C.P.Biliary.1	0.936	0.9635	0.9889	C.P.Biliary.1; C.P.Bladder.3; C.P.Breast.4; C.P.Kidney.5; C.P.Liver.1; C.P.Lung.3; C.P.Prostate.1; C.PH.Liver.9
91	7	TRUE	C.P.Breast.1	0.9267	0.974	0.9985	C.P.Biliary.3; C.P.Breast.1; C.P.Lymphoid.4; C.P.Ovary.2; C.P.Prostate.3; C.P.Uterus.4; C.PH.Ovary.1
92	6	TRUE	C.P.Biliary.4	0.9489	0.971	0.9954	C.P.Biliary.4; C.P.Liver.3; C.P.Prostate.2; C.PH.Biliary.5; C.PH.Liver.8; C.PH.Prostate.4
93	1	FALSE	C.P.Biliary.5	NA	NA	NA	C.P.Biliary.5
94	2	FALSE	C.P.Bladder.2	0.9018	0.9018	0.9018	C.P.Bladder.2; C.P.Skin.7
95	11	TRUE	C.PH.Esophagus.8	0.9111	0.9591	0.9919	C.P.Breast.3; C.P.Esophagus.4; C.P.Lung.4; C.P.Ovary.1; C.P.Stomach.9; C.P.Uterus.2; C.PH.Breast.8; C.PH.Esophagus.8; C.PH.Ovary.4; C.PH.Stomach.6; C.PH.Uterus.8
96	2	FALSE	C.P.CNS.5	1	1	1	C.P.CNS.5; C.PH.CNS.9
97	2	FALSE	C.P.CNS.6	0.9436	0.9436	0.9436	C.P.CNS.6; C.P.Colon.10
98	10	TRUE	C.P.Pancreas.1	0.902	0.9504	0.999	C.P.Colon.1; C.P.Esophagus.2; C.P.MSI.10; C.P.Pancreas.1; C.P.Stomach.8; C.PH.Colon.2; C.PH.Colon.20; C.PH.Pancreas.1; C.PH.Pancreas.9; C.PH.Stomach.8
99	4	TRUE	C.P.Colon.3	0.9838	0.991	0.9961	C.P.Colon.3; C.P.MSI.8; C.PH.Colon.6; C.PH.MSI.17
100	1	FALSE	C.P.Colon.8	NA	NA	NA	C.P.Colon.8
101	3	TRUE	C.PH.Esophagus.9	0.9486	0.9654	0.9943	C.P.Esophagus.5; C.PH.Esophagus.9; C.PH.Stomach.7
102	4	TRUE	C.P.Head.3	0.9048	0.9451	0.9917	C.P.Head.3; C.PH.Head.10; C.PH.Other.13; C.PH.Uterus.10
103	2	FALSE	C.P.Kidney.4	0.9999	0.9999	0.9999	C.P.Kidney.4; C.PH.Kidney.5
104	1	FALSE	C.P.Liver.7	NA	NA	NA	C.P.Liver.7
105	6	TRUE	C.P.Lymphoid.3	0.9241	0.9495	0.9995	C.P.Lymphoid.3; C.P.Myeloid.1; C.P.Pancreas.2; C.PH.Lymphoid.3; C.PH.Myeloid.1; C.PH.Pancreas.3
106	2	FALSE	C.PH.Myeloid.2	0.9936	0.9936	0.9936	C.P.Myeloid.2; C.PH.Myeloid.2
107	2	FALSE	C.P.Ovary.4	0.9714	0.9714	0.9714	C.P.Ovary.4; C.P.Prostate.13
108	2	FALSE	C.P.Pancreas.7	0.9699	0.9699	0.9699	C.P.Pancreas.7; C.PH.Pancreas.7
109	2	FALSE	C.P.Prostate.5	0.9991	0.9991	0.9991	C.P.Prostate.5; C.PH.Prostate.12
110	1	FALSE	C.P.Prostate.7	NA	NA	NA	C.P.Prostate.7
111	1	FALSE	C.P.Prostate.9	NA	NA	NA	C.P.Prostate.9
112	1	FALSE	C.P.Prostate.10	NA	NA	NA	C.P.Prostate.10
113	2	FALSE	C.P.Skin.5	0.9471	0.9471	0.9471	C.P.Skin.5; C.PH.Skin.15
114	1	FALSE	C.P.Skin.6	NA	NA	NA	C.P.Skin.6
115	1	FALSE	C.P.Stomach.4	NA	NA	NA	C.P.Stomach.4
116	1	FALSE	C.P.Stomach.5	NA	NA	NA	C.P.Stomach.5
117	1	FALSE	C.P.Stomach.7	NA	NA	NA	C.P.Stomach.7
118	2	FALSE	C.P.Thymus.1	0.9991	0.9991	0.9991	C.P.Thymus.1; C.PH.Thymus.1
119	1	FALSE	C.P.Thymus.2	NA	NA	NA	C.P.Thymus.2
120	2	FALSE	C.PH.Uterus.13	0.9991	0.9991	0.9991	C.P.Uterus.6; C.PH.Uterus.13
121	1	FALSE	C.P.Uterus.9	NA	NA	NA	C.P.Uterus.9
122	4	TRUE	C.PH.Bone.SoftTissue.4	0.9301	0.9597	0.9902	C.PH.All.5; C.PH.Bone.SoftTissue.4; C.PH.Kidney.8; C.PH.Ovary.5
123	3	TRUE	C.PH.MSI.18	0.9119	0.9393	0.9576	C.PH.All.31; C.PH.Colon.16; C.PH.MSI.18
124	1	FALSE	C.PH.All.33	NA	NA	NA	C.PH.All.33
125	1	FALSE	C.PH.All.34	NA	NA	NA	C.PH.All.34
126	1	FALSE	C.PH.Bone.SoftTissue.10	NA	NA	NA	C.PH.Bone.SoftTissue.10
127	2	FALSE	C.PH.Breast.17	0.9071	0.9071	0.9071	C.PH.Breast.17; C.PH.Esophagus.10
128	1	FALSE	C.PH.Esophagus.11	NA	NA	NA	C.PH.Esophagus.11
129	1	FALSE	C.PH.Liver.10	NA	NA	NA	C.PH.Liver.10
130	1	FALSE	C.PH.Lung.16	NA	NA	NA	C.PH.Lung.16
131	1	FALSE	C.PH.MSI.21	NA	NA	NA	C.PH.MSI.21
132	1	FALSE	C.PH.Skin.3	NA	NA	NA	C.PH.Skin.3
133	1	FALSE	C.PH.Skin.14	NA	NA	NA	C.PH.Skin.14
