signature	cluster_id	retained
C.PH.MSI.20	40	TRUE
C.PH.MSI.21	131	FALSE
C.PH.MSI.22	21	TRUE
C.PH.Myeloid.1	105	TRUE
C.PH.Myeloid.2	106	FALSE
C.PH.Other.1	34	TRUE
C.PH.Other.2	10	TRUE
C.PH.Other.3	7	TRUE
C.PH.Other.4	28	TRUE
C.PH.Other.5	23	TRUE
C.PH.Other.6	16	TRUE
C.PH.Other.7	62	TRUE
C.PH.Other.8	2	TRUE
C.PH.Other.9	21	TRUE
C.PH.Other.10	1	TRUE
C.PH.Other.11	9	TRUE
C.PH.Other.12	6	TRUE
C.PH.Other.13	102	TRUE
C.PH.Ovary.1	91	TRUE
C.PH.Ovary.2	23	TRUE
C.PH.Ovary.3	26	TRUE
C.PH.Ovary.4	95	TRUE
C.PH.Ovary.5	122	TRUE
C.PH.Ovary.6	43	TRUE
C.PH.Ovary.7	34	TRUE
C.PH.Ovary.8	47	TRUE
C.PH.Pancreas.1	98	TRUE
C.PH.Pancreas.2	1	TRUE
C.PH.Pancreas.3	105	TRUE
C.PH.Pancreas.4	81	TRUE
C.PH.Pancreas.5	16	TRUE
C.PH.Pancreas.6	23	TRUE
C.PH.Pancreas.7	108	FALSE
C.PH.Pancreas.8	80	TRUE
C.PH.Pancreas.9	98	TRUE
C.PH.Pancreas.10	62	TRUE
C.PH.Prostate.1	1	TRUE
C.PH.Prostate.2	3	TRUE
C.PH.Prostate.3	45	TRUE
C.PH.Prostate.4	92	TRUE
C.PH.Prostate.5	2	TRUE
C.PH.Prostate.6	23	TRUE
C.PH.Prostate.7	16	TRUE
C.PH.Prostate.8	36	TRUE
C.PH.Prostate.9	83	TRUE
C.PH.Prostate.10	10	TRUE
C.PH.Prostate.11	89	TRUE
C.PH.Prostate.12	109	FALSE
C.PH.Prostate.13	13	TRUE
C.PH.Prostate.14	47	TRUE
C.PH.Prostate.15	26	TRUE
C.PH.Prostate.16	66	TRUE
C.PH.Prostate.17	21	TRUE
C.PH.Prostate.18	84	TRUE
C.PH.Prostate.19	60	TRUE
C.PH.Skin.1	1	TRUE
C.PH.Skin.2	5	TRUE
C.PH.Skin.3	132	FALSE
C.PH.Skin.4	10	TRUE
C.PH.Skin.5	23	TRUE
C.PH.Skin.6	20	TRUE
C.PH.Skin.7	2	TRUE
C.PH.Skin.8	30	TRUE
C.PH.Skin.9	36	TRUE
C.PH.Skin.10	13	TRUE
C.PH.Skin.11	74	FALSE
C.PH.Skin.12	6	TRUE
C.PH.Skin.13	34	TRUE
C.PH.Skin.14	133	FALSE
C.PH.Skin.15	113	FALSE
C.PH.Stomach.1	1	TRUE
C.PH.Stomach.2	27	TRUE
C.PH.Stomach.3	16	TRUE
C.PH.Stomach.4	9	TRUE
