Samples	ID83A	ID83B
WIDE01010048T	1.58E+00	1.58E+00
CPCT02290037T	1.63E+00	1.63E+00
WIDE01010249T	1.23E+00	1.23E+00
DRUP01010148T	7.47E+00	7.47E+00
WIDE01010372T	2.28E+00	2.28E+00
WIDE01010406T	1.47E+00	1.47E+00
WIDE01010432T	1.01E+00	1.01E+00
CPCT02010846T	1.01E+00	1.01E+00
CPCT02010746T	2.51E+00	2.51E+00
CPCT02250009T	1.10E+00	1.10E+00
CPCT02010838T	9.38E-01	9.38E-01
CPCT02170027T	2.04E+00	2.04E+00
CPCT02030484T	1.04E+00	1.04E+00
CPCT02050364T	2.03E+00	2.03E+00
CPCT02290040T	1.00E+00	1.00E+00
CPCT02080228T	1.83E+00	1.83E+00
CPCT02040257T	1.59E+00	1.59E+00
CPCT02160051T	6.75E-01	6.75E-01
CPCT02120137T	1.11E+00	1.11E+00
CPCT02150014T	9.80E-01	9.80E-01
CPCT02210059T	2.29E+00	2.29E+00
CPCT02040254T	1.40E+00	1.40E+00
CPCT02070344T	7.49E-01	7.49E-01
CPCT02300043T	8.04E-01	8.04E-01
CPCT02220047T	1.01E+00	1.01E+00
CPCT02360011T	1.85E+00	1.85E+00
CPCT02020711T	9.39E-01	9.39E-01
CPCT02150016T	1.91E+00	1.91E+00
CPCT02030258T	1.91E+00	1.91E+00
CPCT02250010T	2.18E+00	2.18E+00
DRUP01110005T	1.34E+00	1.34E+00
DRUP01180001T	2.89E+00	2.89E+00
CPCT02010863T	7.80E-01	7.80E-01
CPCT02070352T	1.05E+00	1.05E+00
CPCT02060179T	1.18E+00	1.18E+00
CPCT02120148T	1.19E+00	1.19E+00
CPCT02030500T	1.09E+00	1.09E+00
CPCT02150017T	8.13E-01	8.13E-01
CPCT02170029T	7.52E-01	7.53E-01
CPCT02010886T	2.07E+00	2.07E+00
CPCT02390029T	9.46E-01	9.46E-01
CPCT02080243T	1.95E+00	1.95E+00
CPCT02010890T	9.74E-01	9.74E-01
CPCT02150018T	9.44E-01	9.44E-01
CPCT02010896T	2.26E+00	2.26E+00
CPCT02360022T	8.23E-01	8.22E-01
CPCT02220053T	1.17E+00	1.17E+00
CPCT02040267T	1.61E+00	1.61E+00
CPCT02040266T	8.56E-01	8.56E-01
CPCT02010891T	6.65E-01	6.65E-01
CPCT02350007T	2.60E+00	2.60E+00
CPCT02020830T	1.09E+00	1.09E+00
CPCT02030383T	1.25E+00	1.25E+00
CPCT02350008T	1.47E+00	1.47E+00
CPCT02030289TIII	2.18E+00	2.18E+00
CPCT02160055T	1.19E+00	1.19E+00
CPCT02050383T	9.49E-01	9.49E-01
CPCT02290046T	8.70E-01	8.70E-01
CPCT02030522T	1.11E+00	1.11E+00
CPCT02110076T	1.99E+00	1.99E+00
CPCT02080250T	1.93E+00	1.93E+00
CPCT02230110T	3.17E+00	3.17E+00
CPCT02010900T	1.32E+00	1.32E+00
CPCT02120158T	1.82E+00	1.82E+00
CPCT02180070T	6.14E-01	6.14E-01
CPCT02210069T	1.67E+00	1.67E+00
CPCT02070360T	7.01E-01	7.01E-01
CPCT02180069T	2.42E+00	2.42E+00
CPCT02410009T	9.52E-01	9.52E-01
CPCT02080254T	1.46E+00	1.46E+00
CPCT02110077T	1.57E+00	1.57E+00
CPCT02010915T	7.78E-01	7.78E-01
CPCT02120154T	1.75E+00	1.75E+00
CPCT02080253T	3.09E+00	3.09E+00
CPCT02140083T	1.55E+00	1.55E+00
CPCT02020791T	1.13E+00	1.13E+00
DRUP01010091T	1.52E+00	1.52E+00
CPCT02100187T	7.57E-01	7.57E-01
CPCT02040282T	1.24E+00	1.24E+00
CPCT02290052T	2.61E+00	2.61E+00
CPCT02310018T	1.61E+00	1.61E+00
CPCT02310019T	6.36E+00	6.36E+00
CPCT02470001T	1.71E+00	1.71E+00
DRUP01220002T	1.94E+00	1.94E+00
CPCT02030521T	8.62E-01	8.62E-01
CPCT02010901T	1.38E+00	1.38E+00
CPCT02290048T	1.33E+00	1.33E+00
CPCT02210071T	1.05E+00	1.05E+00
CPCT02120165T	7.79E-01	7.79E-01
CPCT02020773T	7.10E-01	7.10E-01
CPCT02040290T	1.48E+00	1.48E+00
CPCT02020829T	1.57E+00	1.57E+00
CPCT02150027T	9.17E-01	9.17E-01
CPCT02010933T	1.33E+00	1.33E+00
CPCT02210073T	1.43E+00	1.43E+00
CPCT02190049T	1.99E+00	1.99E+00
CPCT02020824T	1.93E+00	1.93E+00
CPCT02010934T	1.05E+00	1.05E+00
CPCT02290057T	1.68E+00	1.68E+00
CPCT02020801T	1.38E+00	1.38E+00
CPCT02340066TII	1.34E+00	1.34E+00
CPCT02020795T	3.16E+00	3.16E+00
CPCT02010939T	2.27E+00	2.27E+00
CPCT02010936T	8.20E-01	8.20E-01
CPCT02020807T	2.31E+00	2.31E+00
CPCT02020597TII	1.55E+00	1.55E+00
CPCT02050409T	1.16E+00	1.16E+00
DRUP01020034T	1.16E+00	1.16E+00
CPCT02010940T	1.35E+00	1.35E+00
DRUP01210004T	1.99E+00	1.99E+00
CPCT02060272T	9.40E-01	9.40E-01
CPCT02130163T	3.44E+00	3.44E+00
DRUP01220003T	1.95E+00	1.95E+00
DRUP01210005T	2.21E+00	2.21E+00
CPCT02450016T	1.31E+00	1.31E+00
DRUP01120001T	1.33E+00	1.33E+00
