MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
4:Ins:R:3	1.60E-05	2.69E-05	9.19E-05	4.59E-06	1.40E-05	5.56E-05	2.50E-05	3.29E-05	6.96E-05	6.53E-05	2.93E-05
4:Ins:R:4	1.50E-05	4.55E-05	8.44E-05	2.86E-06	3.94E-06	9.23E-05	5.14E-05	3.67E-05	8.40E-05	4.82E-05	3.95E-05
4:Ins:R:5	4.76E-06	5.58E-05	1.05E-04	0.00E+00	2.96E-05	1.15E-04	7.38E-05	3.84E-05	1.00E-04	1.76E-04	6.18E-05
5:Ins:R:0	1.50E-04	3.44E-04	6.49E-04	2.83E-05	9.95E-10	7.82E-04	4.06E-03	3.64E-04	1.13E-03	6.42E-09	1.22E-04
5:Ins:R:1	1.98E-05	5.45E-04	6.29E-03	9.60E-04	2.88E-04	3.19E-03	4.41E-04	1.05E-04	4.35E-03	4.62E-04	4.76E-04
5:Ins:R:2	7.38E-06	5.06E-05	2.10E-04	3.48E-05	1.98E-05	1.44E-04	6.26E-05	4.60E-05	1.86E-04	1.22E-04	7.87E-05
5:Ins:R:3	4.03E-06	1.64E-05	3.84E-05	2.72E-05	0.00E+00	8.87E-05	3.10E-05	2.59E-05	8.02E-05	9.25E-05	1.77E-05
5:Ins:R:4	9.34E-07	1.40E-05	5.28E-05	3.05E-06	9.90E-06	2.95E-05	3.62E-05	0.00E+00	3.51E-05	4.80E-05	4.52E-05
5:Ins:R:5	5.99E-07	1.40E-05	4.86E-05	3.07E-06	0.00E+00	6.28E-05	1.12E-08	3.07E-06	4.69E-05	5.57E-05	9.16E-06
2:Del:M:1	8.37E-05	3.83E-04	6.53E-04	2.51E-04	2.77E-04	7.80E-04	1.69E-04	4.09E-04	3.87E-04	1.34E-03	2.42E-04
3:Del:M:1	1.60E-05	3.80E-05	1.22E-04	1.74E-04	8.62E-05	2.54E-04	2.12E-04	3.22E-04	1.79E-04	3.42E-04	9.35E-05
3:Del:M:2	3.08E-05	1.30E-04	3.46E-04	1.39E-04	1.00E-04	3.40E-04	1.71E-04	2.37E-04	3.27E-04	4.47E-04	2.13E-04
4:Del:M:1	2.66E-05	7.34E-05	1.71E-04	1.63E-04	4.79E-05	3.45E-04	2.48E-04	2.76E-04	2.67E-04	3.87E-04	2.15E-04
4:Del:M:2	1.47E-05	1.05E-04	1.99E-04	1.18E-04	7.37E-05	2.90E-04	1.92E-04	2.00E-04	2.52E-04	4.05E-04	1.74E-04
4:Del:M:3	1.72E-05	1.32E-04	2.21E-04	1.07E-04	1.17E-04	3.32E-04	2.68E-04	1.36E-04	1.96E-04	4.43E-04	2.12E-04
5:Del:M:1	5.70E-05	2.71E-04	3.87E-03	9.31E-04	3.06E-04	8.21E-04	1.29E-03	1.15E-03	2.54E-03	8.28E-04	1.76E-03
5:Del:M:2	2.92E-06	7.23E-05	1.81E-03	8.64E-04	2.25E-04	7.43E-04	4.50E-04	4.26E-04	1.12E-03	5.24E-04	1.25E-03
5:Del:M:3	1.69E-05	1.01E-04	7.20E-04	6.94E-04	2.12E-04	1.60E-04	3.62E-04	3.48E-04	6.56E-04	1.07E-04	1.10E-03
5:Del:M:4	7.94E-06	6.62E-05	2.01E-04	4.34E-04	6.35E-05	3.58E-04	2.45E-04	2.01E-04	1.16E-04	3.69E-04	9.49E-04
5:Del:M:5	2.12E-05	1.62E-04	2.51E-03	6.83E-04	1.24E-04	7.94E-04	1.62E-04	2.21E-04	1.60E-03	3.25E-04	9.75E-04
