MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
5:Del:R:2	1.05E-05	3.94E-05	1.41E-05	1.22E-04	3.74E-05	4.19E-05	7.29E-05	1.99E-04	8.34E-05	6.66E-05	9.99E-05	2.90E-04	7.68E-05	0.00E+00
5:Del:R:3	4.64E-06	2.25E-05	7.33E-06	8.19E-05	1.25E-06	6.01E-05	3.05E-05	5.73E-05	2.20E-05	4.32E-06	2.71E-05	1.68E-04	1.16E-05	5.17E-10
5:Del:R:4	1.72E-06	7.55E-07	1.79E-06	2.15E-05	0.00E+00	1.26E-05	3.22E-05	1.75E-05	2.51E-05	1.30E-10	9.82E-06	6.57E-05	7.28E-06	3.58E-10
5:Del:R:5	2.99E-06	6.98E-07	4.33E-07	2.70E-05	1.52E-06	2.27E-06	7.79E-06	3.92E-06	7.78E-07	5.77E-07	8.72E-06	2.60E-05	1.10E-05	1.34E-05
2:Ins:R:0	5.39E-05	2.36E-04	2.35E-04	3.54E-03	1.14E-04	7.34E-04	1.16E-04	1.33E-03	1.80E-03	2.48E-04	1.81E-03	1.62E-03	3.63E-04	3.20E-04
2:Ins:R:1	1.79E-06	5.24E-05	9.29E-05	3.67E-04	2.18E-04	2.54E-04	8.78E-05	3.08E-04	3.34E-04	8.64E-05	4.81E-04	5.50E-04	1.92E-04	5.86E-04
2:Ins:R:2	1.78E-05	7.71E-05	2.67E-05	2.49E-04	1.36E-04	1.28E-04	3.84E-05	2.58E-04	1.89E-04	7.88E-05	1.47E-04	3.09E-04	6.99E-05	4.69E-04
2:Ins:R:3	1.83E-05	4.92E-05	3.88E-05	2.07E-04	4.80E-05	1.44E-04	4.99E-05	1.71E-04	1.41E-04	5.01E-05	1.81E-04	2.83E-04	4.91E-05	1.79E-04
2:Ins:R:4	5.27E-05	7.37E-05	2.24E-05	3.35E-04	1.93E-05	1.23E-04	4.37E-05	2.65E-04	1.71E-04	5.45E-05	1.01E-04	1.81E-04	4.08E-05	6.37E-05
2:Ins:R:5	2.22E-04	2.66E-04	3.13E-05	1.80E-03	1.06E-04	3.66E-04	1.32E-04	5.36E-04	1.05E-03	1.61E-04	4.86E-04	1.13E-03	4.68E-04	1.13E-04
