Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
CPCT02050421T	292	344	373	115	153	192	43
CPCT02120053T	260	43	145	61	193	62	21
CPCT02020626T	222	19	111	99	161	44	31
CPCT02120055T	59	82	96	82	264	0	10
CPCT02070422T	114	196	50	129	88	1840	16
CPCT02120058T	120	24	144	54	202	14	18
CPCT02170017T	153	130	129	150	133	50	79
CPCT02020609T	1571	123	493	173	394	131	23
CPCT02050249T	86	22	72	289	215	86	8
CPCT02060146T	8	138	162	168	176	77	28
CPCT02060049T	12	8	6	118	33	18	12
CPCT02050159T	695	60	118	187	135	67	12
CPCT02010550T	311	39	190	28	80	11	20
CPCT02010534T	5	0	67	9	23	17	7
CPCT02050079TII	5	6	19	27	101	30	13
CPCT02050170T	0	16605	0	2445	441	0	272
CPCT02050168T	150	75	157	159	82	20	26
CPCT02020509T	30	1	39	59	64	4	14
CPCT02050073TII	49	14	84	106	97	73	38
CPCT02020511T	775	19	76	114	257	79	11
CPCT02010565T	194	20	222	183	123	30	32
CPCT02020517T	320	6	103	89	73	44	23
CPCT02010393TII	491	57	0	149	216	156	17
CPCT02050181T	20	595	82	955	73	30	24
CPCT02020519T	478	23	167	154	121	49	17
CPCT02020520T	598	13	96	77	188	158	31
CPCT02060092T	40	31	131	45	45	0	10
CPCT02080116T	913	90	432	233	236	85	51
CPCT02080113T	210	16	107	65	51	34	13
CPCT02050194T	387	14	78	133	139	96	18
CPCT02050193T	335	43	135	158	145	50	13
CPCT02030350T	18	27	44	166	69	59	29
CPCT02080123T	904	94	74	158	282	71	43
CPCT02020542T	23	81	48	116	85	184	24
CPCT02010505T	6	16	51	47	172	5	16
CPCT02020553T	11	36	36	102	62	26	10
CPCT02170006T	148	13	38	33	121	17	20
CPCT02050212T	244	35	84	96	249	10	51
CPCT02050214T	94	11	26	108	68	19	8
CPCT02050217T	59	15	64	32	134	10	11
CPCT02020573T	93	17	65	78	110	6	9
CPCT02180032T	6	22	68	5	106	17	11
CPCT02010503TII	170	150	213	106	421	106	25
CPCT02010622T	221	46	224	41	112	14	12
CPCT02030370T	26	61	86	66	119	37	17
CPCT02030339TII	370	72	140	54	220	89	20
CPCT02040142T	2	11	65	103	218	24	20
CPCT02120050T	12	0	50	27	111	16	10
CPCT02120037T	422	24	250	92	224	53	24
CPCT02050235T	764	373	77	376	344	113	15
CPCT02050236T	600	21	176	108	402	56	14
CPCT02050232T	48	17	61	47	123	28	19
CPCT02050240T	606	737	828	508	356	103	147
CPCT02020574T	4	6	37	10	90	1	3
CPCT02020578T	1064	58	397	92	392	127	37
CPCT02090005T	930	41	35	72	397	230	23
CPCT02020423T	574	13	311	121	198	27	14
CPCT02020426T	230	1071	823	203	295	54	1224
CPCT02050092T	240	19	108	69	72	23	15
CPCT02010403TII	2	7	74	24	51	12	4
CPCT02020412T	353	25	110	41	81	47	0
CPCT02010469T	202	17	58	82	110	47	21
CPCT02180012T	69	16	67	36	60	6	8
CPCT02020445T	69	33	59	117	65	28	12
CPCT02050105T	343	139	441	106	117	126	71
CPCT02050055TII	196	282	157	148	105	165	55
CPCT02010493T	122	61	67	91	78	14	25
CPCT02010503T	175	117	165	103	216	134	18
CPCT02010501T	727	33	104	126	243	37	7
CPCT02020464T	36	12	94	29	38	30	14
CPCT02090009T	228	114	63	146	79	79	162
CPCT02020468T	3	0	38	23	35	5	6
CPCT02340001T	71	16	70	47	48	32	7
CPCT02080079T	7	9	34	45	44	50	15
CPCT02010526T	46	9	0	9	31	1	2
CPCT02010532T	530	30	156	75	190	61	11
CPCT02060051T	29	48	31	54	53	43	15
CPCT02050141T	128	11	44	101	68	55	140
CPCT02110024T	247	481	155	0	154	284	250
CPCT02120013T	88	45	206	200	116	22	34
CPCT02050158T	296	25	134	75	65	9	7
CPCT02050149T	18	29	43	206	57	64	23
CPCT02010557T	111	56	32	232	113	52	12
CPCT02220014T	29	54	88	179	48	112	36
CPCT02050052TII	110	131	65	33	68	76	216
CPCT02020506T	706	37	148	111	186	9	15
CPCT02030339T	339	37	84	42	70	61	5
CPCT02080163T	9	9	45	19	113	4	11
CPCT02050281T	183	26	71	31	164	46	25
CPCT02070243T	318	13	114	74	196	0	11
CPCT02340040T	0	17	30	96	47	14	14
CPCT02120077T	147	20	84	54	123	21	22
CPCT02030437T	84	37	65	61	171	0	11
CPCT02010641TII	7	108	81	122	136	21	39
CPCT02050291T	91	5	97	53	64	33	8
CPCT02020643T	211	60	185	130	127	89	26
CPCT02150006T	825	41	551	68	281	20	48
WIDE01010503T	229	28	143	31	59	18	15
WIDE01010567T	742	73	1478	20	213	314	54
WIDE01010459T	516	33	309	65	141	85	25
CPCT02060041T	1051	1	0	36	479	247	27
WIDE01010561T	268	195	216	377	131	0	220
WIDE01010651T	8	6	75	125	56	54	19
