MutationType	ID1	ID2	ID4	ID5	ID6	ID8	ID9	ID11	ID19	ID21	ID23	ID83G
1:Ins:T:3	0.00424327	0.00108288	0.00017394	0.01884025	0.00093064	0.00108729	0.00160089	0.10772533	0.00679258	0.00274180	0.00581943	0.00972788
1:Ins:T:4	0.01664913	0.00348746	0.00001600	0.01126875	0.00134985	0.00082262	0.00158536	0.04903068	0.00670159	0.00054391	0.00330097	0.00736086
1:Ins:T:5	0.89090647	0.00313258	0.00083293	0.00143921	0.01439004	0.02016125	0.00577248	0.02362904	0.01073388	0.01635929	0.00027934	0.02012568
2:Del:R:0	0.00068605	0.00016381	0.07172421	0.02805441	0.00178365	0.00876922	0.01317475	0.00000000	0.00238233	0.00597477	0.02385067	0.01434100
2:Del:R:1	0.00121997	0.00356888	0.23051288	0.02456273	0.00245435	0.01030715	0.00319854	0.00136310	0.00151209	0.05832799	0.05613034	0.00370047
2:Del:R:2	0.00047275	0.00184957	0.05505940	0.00456262	0.00208860	0.00053203	0.00118970	0.00015073	0.00476235	0.00820925	0.02322644	0.00453192
2:Del:R:3	0.00042672	0.00073904	0.01281101	0.00039592	0.00052575	0.00002710	0.00009590	0.00000000	0.00052995	0.00312839	0.00668162	0.00202022
2:Del:R:4	0.00005460	0.00088193	0.00321922	0.00086756	0.00023253	0.00027403	0.00000000	0.00000913	0.00004580	0.00192576	0.00180121	0.00296935
2:Del:R:5	0.00000000	0.00000000	0.00238272	0.02142678	0.00021568	0.00083308	0.00000000	0.00452771	0.00000684	0.00276651	0.00049256	0.01040202
3:Del:R:0	0.00012804	0.00001250	0.00506895	0.01713637	0.00105105	0.01096410	0.00285810	0.00018944	0.00086808	0.01713037	0.00495202	0.00802021
3:Del:R:1	0.00501109	0.00500326	0.09711447	0.00590979	0.00541365	0.00134887	0.00430191	0.00039086	0.00500577	0.14873369	0.00300516	0.00981694
3:Del:R:2	0.00076938	0.00228989	0.02148428	0.00084271	0.00053605	0.00037657	0.00127572	0.00017042	0.00133307	0.03457285	0.00049782	0.00084949
3:Del:R:3	0.00037126	0.00040259	0.00383763	0.00062115	0.00004700	0.00025351	0.00030211	0.00012758	0.00003850	0.00715718	0.00010400	0.00199947
3:Del:R:4	0.00000000	0.00000000	0.00078630	0.00586708	0.00007310	0.00000268	0.00000000	0.00120211	0.00003810	0.00246418	0.00005494	0.00100537
3:Del:R:5	0.00000000	0.00000000	0.00113861	0.00837891	0.00015062	0.00009100	0.00000000	0.00174236	0.00011808	0.00140246	0.00004982	0.00111523
4:Del:R:0	0.00009970	0.00001210	0.00725243	0.01079126	0.00231510	0.00669131	0.00143277	0.00000000	0.00219796	0.01460337	0.00285339	0.00273484
4:Del:R:1	0.00090050	0.00211579	0.06352373	0.00284357	0.00280673	0.00162295	0.00459422	0.00035550	0.00007090	0.11489568	0.00219556	0.00512754
4:Del:R:2	0.00000323	0.00054329	0.01454892	0.00016464	0.00047449	0.00027262	0.00089602	0.00000000	0.00040269	0.02188185	0.00016080	0.00428887
4:Del:R:3	0.00000000	0.00000727	0.00455475	0.00387781	0.00029134	0.00002880	0.00002380	0.00031214	0.00005990	0.00688707	0.00011157	0.00255120
4:Del:R:4	0.00000000	0.00000000	0.00084968	0.00455725	0.00011058	0.00009730	0.00000000	0.00068737	0.00019431	0.00239962	0.00002620	0.00160927
4:Del:R:5	0.00002890	0.00021041	0.00061078	0.00158444	0.00005680	0.00000634	0.00001370	0.00015760	0.00015798	0.00003310	0.00001370	0.00044872
5:Del:R:0	0.00000835	0.00003850	0.00413283	0.01844795	0.01933329	0.23797886	0.00077205	0.00128145	0.00426298	0.00453387	0.01685377	0.00209827
5:Del:R:1	0.00019068	0.00297751	0.01571853	0.00041034	0.00750183	0.00057226	0.00047955	0.00047463	0.00177092	0.02553589	0.00003437	0.00577617
5:Del:R:2	0.00012636	0.00039753	0.00234385	0.00047093	0.00037052	0.00051684	0.00026497	0.00000000	0.00101898	0.00283669	0.00001160	0.00135638
5:Del:R:3	0.00001890	0.00015815	0.00118248	0.00025717	0.00016818	0.00000816	0.00000612	0.00000000	0.00012637	0.00085461	0.00000767	0.00007485
5:Del:R:4	0.00000311	0.00008470	0.00014692	0.00009730	0.00005320	0.00011290	0.00000725	0.00000000	0.00000224	0.00000053	0.00003031	0.00005233
5:Del:R:5	0.00003130	0.00002120	0.00010617	0.00058502	0.00001150	0.00004430	0.00002990	0.00000008	0.00000224	0.00000053	0.00000160	0.00003324
2:Ins:R:0	0.00040204	0.00033185	0.00049292	0.00634945	0.00199839	0.00191671	0.00116234	0.00019047	0.07827026	0.00004810	0.00376734	0.07466050
2:Ins:R:1	0.00000788	0.00027166	0.00055330	0.01838764	0.00020853	0.00166182	0.00210019	0.00000000	0.02359708	0.00507626	0.00326139	0.01120636
2:Ins:R:2	0.00022135	0.00103534	0.00026633	0.00720795	0.00079041	0.00030459	0.00076094	0.00024788	0.00363960	0.00022299	0.00154666	0.00495340
2:Ins:R:3	0.00051427	0.00038133	0.00013779	0.00117229	0.00049907	0.00017758	0.00035163	0.00037236	0.00118317	0.00108099	0.00024006	0.00501970
2:Ins:R:4	0.00291310	0.00197742	0.00007190	0.00006880	0.00018947	0.00001660	0.00003070	0.00044238	0.00380259	0.00176933	0.00022169	0.00518957
2:Ins:R:5	0.01812158	0.01363338	0.00010369	0.00099412	0.00074864	0.00176438	0.00000000	0.00028880	0.03327522	0.01425982	0.00000259	0.00358445
3:Ins:R:0	0.00000031	0.00005780	0.00002630	0.00379248	0.00121919	0.00066786	0.00025457	0.00000000	0.05448195	0.00159281	0.00077334	0.02503424
3:Ins:R:1	0.00025469	0.00122705	0.00045098	0.00612276	0.00028861	0.00067172	0.00082336	0.00020708	0.00510145	0.00000115	0.00152975	0.00965652
3:Ins:R:2	0.00004410	0.00021007	0.00060034	0.00114347	0.00074653	0.00013577	0.00011826	0.00022153	0.00126260	0.00141705	0.00004958	0.00229725
3:Ins:R:3	0.00016670	0.00000302	0.00007420	0.00001020	0.00024974	0.00003790	0.00000518	0.00002180	0.00056696	0.00005850	0.00004653	0.00015744
3:Ins:R:4	0.00008890	0.00014181	0.00007400	0.00001180	0.00015595	0.00012204	0.00001610	0.00000000	0.00020118	0.00014990	0.00001575	0.00009798
3:Ins:R:5	0.00124870	0.00186471	0.00003960	0.00010257	0.00001980	0.00003660	0.00000000	0.00009010	0.00101487	0.00074308	0.00001267	0.00086695
4:Ins:R:0	0.00000000	0.00001680	0.00016664	0.00243919	0.00146792	0.00077776	0.00016439	0.00015962	0.04975165	0.00000649	0.00052016	0.04626438
4:Ins:R:1	0.00074438	0.00120373	0.00126643	0.00361230	0.00047628	0.00110390	0.00071557	0.00037764	0.00147968	0.00050832	0.00136458	0.00060680
4:Ins:R:2	0.00007550	0.00001220	0.00009840	0.00037646	0.00052866	0.00007990	0.00004240	0.00000000	0.00101738	0.00066398	0.00039980	0.00070010
4:Ins:R:3	0.00015754	0.00013417	0.00005250	0.00000187	0.00033482	0.00000858	0.00002150	0.00000000	0.00030994	0.00033518	0.00000479	0.00036267
4:Ins:R:4	0.00031965	0.00024939	0.00014691	0.00000641	0.00005600	0.00020551	0.00000000	0.00000000	0.00152857	0.00032259	0.00003082	0.00007163
4:Ins:R:5	0.00100132	0.00219354	0.00013521	0.00063598	0.00010686	0.00088523	0.00000218	0.00000000	0.00000012	0.00056024	0.00000719	0.00050654
5:Ins:R:0	0.00000000	0.00000000	0.00008580	0.00475007	0.00871678	0.00031833	0.00016585	0.00066606	0.33665180	0.00492955	0.00072143	0.00000367
5:Ins:R:1	0.00144313	0.00013566	0.00213585	0.00479343	0.00540564	0.00976111	0.00125400	0.00115191	0.00843231	0.01709467	0.00229238	0.01888221
5:Ins:R:2	0.00025483	0.00000553	0.00022203	0.00029880	0.00132184	0.00010115	0.00010285	0.00036601	0.00024644	0.00069312	0.00021296	0.00163774
5:Ins:R:3	0.00023709	0.00009770	0.00000759	0.00016555	0.00002880	0.00007090	0.00008020	0.00000083	0.00173759	0.00015937	0.00000302	0.00039055
5:Ins:R:4	0.00026187	0.00000215	0.00002530	0.00012671	0.00004830	0.00000674	0.00005050	0.00000225	0.00016509	0.00002510	0.00005035	0.00010822
5:Ins:R:5	0.00011983	0.00011563	0.00016023	0.00062634	0.00006170	0.00019055	0.00000989	0.00000184	0.00000224	0.00000707	0.00000260	0.00001821
2:Del:M:1	0.00119782	0.00017555	0.18899749	0.02868795	0.00063287	0.00491367	0.00390097	0.00038206	0.00236192	0.01183853	0.03953384	0.01249082
3:Del:M:1	0.00008190	0.00000055	0.00703416	0.01315715	0.00099010	0.00929034	0.00301133	0.00020044	0.00014290	0.01645659	0.00210806	0.00394360
3:Del:M:2	0.00147959	0.00294406	0.04941660	0.00900421	0.00443363	0.00430269	0.00154330	0.00030174	0.00118844	0.07634243	0.00445127	0.00550141
4:Del:M:1	0.00008380	0.00014700	0.01098172	0.00873220	0.00274539	0.00580955	0.00192772	0.00000000	0.00123037	0.02168316	0.00334573	0.00580112
4:Del:M:2	0.00014548	0.00055061	0.02948388	0.00604719	0.00868271	0.00159159	0.00329745	0.00000000	0.00011789	0.05593900	0.00271152	0.00529392
4:Del:M:3	0.00016068	0.00069357	0.04886664	0.00344244	0.00477309	0.00109834	0.00254408	0.00078987	0.00041202	0.07849465	0.00175756	0.00534151
5:Del:M:1	0.00000082	0.00062496	0.00045312	0.00861707	0.07106658	0.28072426	0.00003540	0.00028279	0.00007270	0.00065179	0.01006779	0.01508520
5:Del:M:2	0.00000000	0.00011771	0.00013623	0.00785102	0.25310835	0.12361016	0.00022124	0.00037277	0.00069074	0.00003070	0.00828299	0.01935480
5:Del:M:3	0.00000000	0.00005670	0.00111224	0.00715797	0.21680603	0.04613041	0.00057091	0.00075013	0.00061764	0.00022253	0.00336542	0.02042670
5:Del:M:4	0.00003880	0.00046284	0.00365295	0.00249255	0.12048394	0.01636726	0.00044831	0.00013028	0.00005320	0.00358987	0.00213513	0.01320839
5:Del:M:5	0.00066512	0.00236732	0.00004560	0.00111237	0.09928300	0.01281488	0.00000000	0.00051895	0.00331746	0.00341540	0.00074925	0.01779904
