Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
CPCT02120164T	287	743	1418	110	190	68	142	14
CPCT02020797T	4	28	0	28	96	6	14	6
DRUP01010099T	180	505	4	67	102	68	15	18
CPCT02340104T	8	25	37	85	103	31	2	5
CPCT02380018T	162	299	33	553	206	29	206	0
CPCT02340010TIII	263	39	0	83	302	2214	24	0
CPCT02060033TII	91	113	13	118	363	82	24	43
CPCT02020582T	3	86	33	73	86	27	15	11
DRUP01050040T	462	488	77	30	67	16	25	0
CPCT02180041T	120	202	50	78	166	34	35	25
CPCT02060137T	4	17	35	25	61	10	9	0
CPCT02070403T	2	9	12	27	38	3	0	22
CPCT02050264T	113	322	12	71	146	9	4	23
CPCT02060143T	551	524	1186	272	91	55	58	46
CPCT02010988T	11	68	29	38	95	17	27	18
CPCT02010993T	69	86	67	353	53	63	34	55
CPCT02450003T	39	293	61	55	93	26	13	28
CPCT02230049T	5	187	216	1001	166	29	54	26
CPCT02010995T	32	170	86	88	84	53	31	3
CPCT02010878TII	16	147	135	9	97	36	157	38
CPCT02010656T	2	13	0	1	112	0	4	13
CPCT02010645T	11	66	17	19	111	7	15	8
DRUP01330016T	485	841	141	597	118	47	390	129
DRUP01080005T	86	36	3225	118	593	75	101	0
CPCT02020879T	68	101	36	142	42	20	15	18
DRUP01090004T	24	14	104	244	138	229	30	34
CPCT02020613T	22	155	113	175	94	16	42	4
DRUP01110006T	128	466	45	63	49	22	34	20
CPCT02010993TII	71	101	57	365	53	50	7	52
CPCT02060125T	74	275	17	128	249	45	14	26
CPCT02010647T	68	328	0	94	187	28	26	0
CPCT02170013T	1077	274	28	117	177	54	61	0
CPCT02170009T	20	48	38	36	227	3	8	10
CPCT02170012T	49	256	81	24	201	0	17	12
CPCT02020608T	4	24	0	29	195	13	0	0
CPCT02010653T	8	30	27	38	176	3	9	0
CPCT02230061T	342	496	25	63	163	75	0	30
CPCT02050282T	273	481	84	148	173	40	72	11
CPCT02010560T	12	20	20	21	34	8	8	16
CPCT02380007T	15	98	15	19	49	16	3	5
CPCT02380006T	128	92	1082	150	45	44	63	11
CPCT02080105T	261	358	2644	116	48	99	88	102
CPCT02340010T	269	33	17	102	57	2269	30	3
CPCT02010574T	19	106	43	30	54	18	16	17
CPCT02180026T	452	534	98	539	41	64	230	16
CPCT02100074T	9	255	32	43	94	47	6	24
CPCT02120018T	22	174	61	15	94	27	14	30
CPCT02380008T	0	494	26	39	30	10	0	23
CPCT02170003T	13	70	20	15	233	8	0	3
CPCT02020523T	72	94	22	158	69	19	34	37
CPCT02060081T	143	221	38	50	44	43	14	14
CPCT02110035T	10	27	23	50	79	23	12	23
CPCT02080118T	8	134	47	39	22	27	11	40
CPCT02010589T	1	26	18	41	61	17	2	10
CPCT02030349T	52143	2830	649	0	0	225	101	16
CPCT02110039T	75	265	0	0	137	12	8	22
CPCT02030353T	304	459	32	1428	43	34	68	0
CPCT02020540T	148	181	768	181	110	32	87	1
CPCT02010611T	1	8	11	18	51	12	0	1
CPCT02010608T	40	28	62	51	43	15	25	0
CPCT02330041T	635	450	767	129	7	187	1033	0
CPCT02380013T	14	17	6	26	46	16	18	18
CPCT02010613T	8	17	37	53	70	18	12	16
CPCT02010577T	3	40	15	41	143	25	20	26
CPCT02050202T	32	98	37	16	140	23	20	27
CPCT02020559T	105	127	70	112	139	541	15	5
CPCT02050213T	12	107	36	76	176	8	6	0
CPCT02020568T	13	137	47	88	44	9	3	0
CPCT02030364T	5	40	35	37	137	9	9	29
CPCT02050192T	9	14	0	32	245	15	4	12
CPCT02010596T	2	16	9	30	134	8	10	12
CPCT02030365T	9	15	3	21	129	6	8	19
DRUP01010036T	10	45	20	115	225	27	1	8
CPCT02230043T	150	300	59	52	66	61	35	22
CPCT02080135T	181	135	120	387	238	43	67	28
CPCT02050229T	0	82	0	18	100	5	8	7
CPCT02010632T	9	24	10	40	94	12	2	6
CPCT02020579T	34	54	34	54	114	5	8	0
CPCT02020587T	25	21	146	576	260	46	20	0
CPCT02070040T	572	556	0	0	246	67	194	30
CPCT02070050T	382	761	22	70	79	30	141	23
CPCT02300004T	30	171	54	52	88	31	9	5
CPCT02020424T	5	29	57	25	50	5	9	9
CPCT02020433T	5	19	60	24	48	8	20	22
CPCT02010466T	18	28	30	28	64	23	4	17
CPCT02010454T	14	31	28	24	44	11	16	11
CPCT02140036T	221	379	65	70	26	37	108	0
CPCT02010350T	11	126	21	31	45	16	6	5
CPCT02100039T	526	529	51	100	41	44	914	42
CPCT02050106T	227	390	79	421	33	34	17	38
CPCT02020415T	11	75	20	42	48	4	5	0
CPCT02180014T	56	291	58	102	36	27	21	16
CPCT02090006T	15	57	45	44	67	15	8	14
CPCT02020444T	9	27	142	447	149	19	17	28
CPCT02030314T	21	19	71	29	33	22	27	9
CPCT02190010T	70	135	38	16	59	21	9	16
DRUP01010013T	20	168	49	43	41	7	7	19
CPCT02080086T	76	54	3335	60	40	98	109	0
CPCT02010438T	2	7	46	33	49	18	15	9
CPCT02190012T	52	274	200	301	59	30	37	2
CPCT02010486T	2	77	20	3	78	25	11	21
CPCT02060077T	51	202	61	72	55	26	28	35
CPCT02020491T	313	1271	4963	0	34	154	105	162
CPCT02010538T	16	1	46	97	76	12	15	0
CPCT02170001T	17	242	36	96	31	57	25	32
CPCT02170002T	53	122	40	49	57	15	19	0
CPCT02050142T	6	154	12	80	63	22	29	24
CPCT02080071T	409	490	208	21	17	58	946	6
CPCT02020499T	8	145	12	95	80	13	9	6
CPCT02340008T	64	352	16	48	49	21	17	8
CPCT02020505T	32	50	124	452	57	47	15	19
CPCT02080158T	18	101	116	47	165	17	42	7
CPCT02010571T	9	11	26	36	242	15	18	0
CPCT02380010T	397	692	0	8	84	40	84	35
CPCT02110047T	1105	1069	0	0	139	70	94	27
CPCT02030425T	133	381	255	98	99	51	51	0
CPCT02080168T	0	40	23	78	50	7	5	15
CPCT02020641T	11	36	21	87	157	15	9	2
CPCT02230065T	30	101	63	37	144	29	29	9
CPCT02330074T	500	834	1	662	202	67	1	30
CPCT02010697T	24	41	15	5	157	8	3	0
CPCT02090028T	462	177	34	504	181	57	1435	53
CPCT02450008T	174	285	38	68	171	56	30	49
CPCT02010688T	3	32	17	44	63	7	4	18
CPCT02020646T	9	75	36	120	62	9	28	11
CPCT02010704T	15	14	23	13	203	12	15	0
CPCT02010705T	11	85	33	7	152	11	8	7
CPCT02250003T	0	0	0	0	0	0	0	4427
CPCT02010698T	8	122	7	121	72	14	10	11
WIDE01010622T	68	302	205	198	68	15	64	9
WIDE01010631T	199	419	22	49	30	110	80	34
WIDE01010635T	182	234	55	14	93	154	147	84
WIDE01010636T	119	387	557	109	42	40	24	0
WIDE01010658T	31	79	617	107	42	22	41	48
WIDE01010504T	17	78	36	21	39	13	12	28
WIDE01010493T	5	222	1	30	51	0	5	24
WIDE01010304T	2	26	32	8	37	10	21	16
WIDE01010568T	23	44	28	197	31	36	22	12
WIDE01010464T	82	490	302	75	126	40	50	31
WIDE01010467T	8	19	45	8	26	5	13	11
WIDE01010486T	16	18	53	31	25	9	8	16
WIDE01010516T	284	647	0	60	45	30	18	14
WIDE01010510T	244	430	82	173	47	22	26	0
WIDE01010583T	15	74	49	140	33	6	30	7
WIDE01010566T	620	343	16	70	50	159	30	24
WIDE01010578T	22279	958	73	0	153	577	70	38
WIDE01010599T	125	570	30	54	57	23	8	38
WIDE01010604T	120	529	68	49	81	57	25	101
WIDE01010614T	448	689	0	0	28	36	243	43
WIDE01010662T	63	380	51	2	134	24	31	19
WIDE01010672T	169	182	0	23	51	32	9	36
WIDE01010686T	1	5	23	18	52	6	23	9
WIDE01010532T	261	360	66	162	33	26	18	53
WIDE01010703T	13	12	55	41	55	14	18	0
WIDE01010712T	50	20	55	99	46	6	35	0
WIDE01010721T	48	167	82	108	58	37	22	24
WIDE01010663T	53	140	19	91	44	10	21	26
