MutationType	ID1	ID2	ID3	ID8	ID9	ID12	ID14	ID19	ID21	ID23
3:Del:R:3	0.00037126	0.00040259	0.00002450	0.00025351	0.00030211	0.00592005	0.00024961	0.00003850	0.00715718	0.00010400
3:Del:R:4	0.00000000	0.00000000	0.00000382	0.00000268	0.00000000	0.06862214	0.00000000	0.00003810	0.00246418	0.00005494
3:Del:R:5	0.00000000	0.00000000	0.00000038	0.00009100	0.00000000	0.09748094	0.00000000	0.00011808	0.00140246	0.00004982
4:Del:R:0	0.00009970	0.00001210	0.00017765	0.00669131	0.00143277	0.00173452	0.00019369	0.00219796	0.01460337	0.00285339
4:Del:R:1	0.00090050	0.00211579	0.00063457	0.00162295	0.00459422	0.00230260	0.00061734	0.00007090	0.11489568	0.00219556
4:Del:R:2	0.00000323	0.00054329	0.00011680	0.00027262	0.00089602	0.00061168	0.00052430	0.00040269	0.02188185	0.00016080
4:Del:R:3	0.00000000	0.00000727	0.00000000	0.00002880	0.00002380	0.03925906	0.00005030	0.00005990	0.00688707	0.00011157
4:Del:R:4	0.00000000	0.00000000	0.00000000	0.00009730	0.00000000	0.05328787	0.00000773	0.00019431	0.00239962	0.00002620
4:Del:R:5	0.00002890	0.00021041	0.00000283	0.00000634	0.00001370	0.01864445	0.00000000	0.00015798	0.00003310	0.00001370
5:Del:R:0	0.00000835	0.00003850	0.00177678	0.23797886	0.00077205	0.00338288	0.00608681	0.00426298	0.00453387	0.01685377
5:Del:R:1	0.00019068	0.00297751	0.00007410	0.00057226	0.00047955	0.00279703	0.00031446	0.00177092	0.02553589	0.00003437
5:Del:R:2	0.00012636	0.00039753	0.00000278	0.00051684	0.00026497	0.00510384	0.00002130	0.00101898	0.00283669	0.00001160
5:Del:R:3	0.00001890	0.00015815	0.00000000	0.00000816	0.00000612	0.00220095	0.00002850	0.00012637	0.00085461	0.00000767
5:Del:R:4	0.00000311	0.00008470	0.00004370	0.00011290	0.00000725	0.00125619	0.00001500	0.00000224	0.00000053	0.00003031
5:Del:R:5	0.00003130	0.00002120	0.00000382	0.00004430	0.00002990	0.00618126	0.00009080	0.00000224	0.00000053	0.00000160
2:Ins:R:0	0.00040204	0.00033185	0.00263595	0.00191671	0.00116234	0.00744033	0.02394226	0.07827026	0.00004810	0.00376734
2:Ins:R:1	0.00000788	0.00027166	0.00224268	0.00166182	0.00210019	0.00106230	0.00012377	0.02359708	0.00507626	0.00326139
2:Ins:R:2	0.00022135	0.00103534	0.00095560	0.00030459	0.00076094	0.00055024	0.00111420	0.00363960	0.00022299	0.00154666
2:Ins:R:3	0.00051427	0.00038133	0.00089724	0.00017758	0.00035163	0.00016552	0.00087148	0.00118317	0.00108099	0.00024006
2:Ins:R:4	0.00291310	0.00197742	0.00025309	0.00001660	0.00003070	0.00101821	0.00297398	0.00380259	0.00176933	0.00022169
2:Ins:R:5	0.01812158	0.01363338	0.00000667	0.00176438	0.00000000	0.03800520	0.00054427	0.03327522	0.01425982	0.00000259
3:Ins:R:0	0.00000031	0.00005780	0.00009600	0.00066786	0.00025457	0.01515014	0.00662350	0.05448195	0.00159281	0.00077334
3:Ins:R:1	0.00025469	0.00122705	0.00028614	0.00067172	0.00082336	0.00086957	0.00252320	0.00510145	0.00000115	0.00152975
3:Ins:R:2	0.00004410	0.00021007	0.00009750	0.00013577	0.00011826	0.00018389	0.00020450	0.00126260	0.00141705	0.00004958
3:Ins:R:3	0.00016670	0.00000302	0.00001360	0.00003790	0.00000518	0.00008700	0.00032749	0.00056696	0.00005850	0.00004653
3:Ins:R:4	0.00008890	0.00014181	0.00000156	0.00012204	0.00001610	0.00034079	0.00060186	0.00020118	0.00014990	0.00001575
3:Ins:R:5	0.00124870	0.00186471	0.00000000	0.00003660	0.00000000	0.00284031	0.00220600	0.00101487	0.00074308	0.00001267
4:Ins:R:0	0.00000000	0.00001680	0.00000000	0.00077776	0.00016439	0.00570118	0.00594693	0.04975165	0.00000649	0.00052016
4:Ins:R:1	0.00074438	0.00120373	0.00017598	0.00110390	0.00071557	0.00190889	0.00132693	0.00147968	0.00050832	0.00136458
4:Ins:R:2	0.00007550	0.00001220	0.00002740	0.00007990	0.00004240	0.00021849	0.00008450	0.00101738	0.00066398	0.00039980
4:Ins:R:3	0.00015754	0.00013417	0.00004770	0.00000858	0.00002150	0.00017657	0.00071385	0.00030994	0.00033518	0.00000479
4:Ins:R:4	0.00031965	0.00024939	0.00000418	0.00020551	0.00000000	0.00063605	0.00166501	0.00152857	0.00032259	0.00003082
4:Ins:R:5	0.00100132	0.00219354	0.00003290	0.00088523	0.00000218	0.01167054	0.00027445	0.00000012	0.00056024	0.00000719
5:Ins:R:0	0.00000000	0.00000000	0.00008830	0.00031833	0.00016585	0.01379065	0.00271214	0.33665180	0.00492955	0.00072143
5:Ins:R:1	0.00144313	0.00013566	0.00065622	0.00976111	0.00125400	0.00383426	0.02645553	0.00843231	0.01709467	0.00229238
5:Ins:R:2	0.00025483	0.00000553	0.00000551	0.00010115	0.00010285	0.00213002	0.00048831	0.00024644	0.00069312	0.00021296
5:Ins:R:3	0.00023709	0.00009770	0.00003320	0.00007090	0.00008020	0.00266049	0.00010383	0.00173759	0.00015937	0.00000302
5:Ins:R:4	0.00026187	0.00000215	0.00000787	0.00000674	0.00005050	0.00159241	0.00015759	0.00016509	0.00002510	0.00005035
5:Ins:R:5	0.00011983	0.00011563	0.00000348	0.00019055	0.00000989	0.00613607	0.00002150	0.00000224	0.00000707	0.00000260
2:Del:M:1	0.00119782	0.00017555	0.00693076	0.00491367	0.00390097	0.00265350	0.00264093	0.00236192	0.01183853	0.03953384
3:Del:M:1	0.00008190	0.00000055	0.00034461	0.00929034	0.00301133	0.01032835	0.00157517	0.00014290	0.01645659	0.00210806
3:Del:M:2	0.00147959	0.00294406	0.00030285	0.00430269	0.00154330	0.00606116	0.00323693	0.00118844	0.07634243	0.00445127
4:Del:M:1	0.00008380	0.00014700	0.00007350	0.00580955	0.00192772	0.00377172	0.00000820	0.00123037	0.02168316	0.00334573
4:Del:M:2	0.00014548	0.00055061	0.00034022	0.00159159	0.00329745	0.00457315	0.00095049	0.00011789	0.05593900	0.00271152
4:Del:M:3	0.00016068	0.00069357	0.00013046	0.00109834	0.00254408	0.00052526	0.00223043	0.00041202	0.07849465	0.00175756
5:Del:M:1	0.00000082	0.00062496	0.00136963	0.28072426	0.00003540	0.00056338	0.00655171	0.00007270	0.00065179	0.01006779
5:Del:M:2	0.00000000	0.00011771	0.00175127	0.12361016	0.00022124	0.00000000	0.00449863	0.00069074	0.00003070	0.00828299
5:Del:M:3	0.00000000	0.00005670	0.00077496	0.04613041	0.00057091	0.00032357	0.00140449	0.00061764	0.00022253	0.00336542
5:Del:M:4	0.00003880	0.00046284	0.00064056	0.01636726	0.00044831	0.00027766	0.00010014	0.00005320	0.00358987	0.00213513
5:Del:M:5	0.00066512	0.00236732	0.00036297	0.01281488	0.00000000	0.00665797	0.00093151	0.00331746	0.00341540	0.00074925
