Samples	ID83A	ID83B
SP103100	473	36
SP103416	456	30
SP103005	417	41
SP102759	1253	49
SP102741	677	46
SP102945	584	37
SP103826	591	12
SP103706	1018	28
SP102897	437	13037
SP102881	463	54
SP103715	591	26
SP102929	702	20
SP103619	213	5
SP103844	439	0
SP103128	650	53
SP103300	1068	28
SP103057	915	21
SP103340	688	50
SP102913	719	56
SP102783	1130	69
SP103080	1051	86
SP103436	497	20
SP102804	1021	9
SP102957	1295	0
SP102873	466	29
SP103213	553	15
SP103467	188	6
SP103261	1532	66
SP103156	849	48
SP103288	398	14
SP103444	548	16
SP103685	674	14
SP103140	1213	40
SP103673	1132	56
SP102839	656	30
SP103245	847	44
SP103037	302	0
SP103408	686	26
SP103021	652	29
SP103679	385	23
SP103065	1104	59
SP102965	560	16
SP103221	1246	74
SP103547	770	40
SP102973	1169	48
SP103515	832	11
SP102747	200	9
SP103730	657	59
SP103535	1339	46
SP102718	735	45
SP103483	400	21
SP103428	1093	29
SP102755	1860	56
SP103694	1494	58
SP103595	529	22
SP103396	313	3
SP102716	323	13
SP102733	424	34
SP102989	819	55
SP103603	637	65
SP102921	557	28
SP103742	885	77
SP103555	76	11
SP103523	407	10
SP103575	588	60
SP103045	756	21
SP103455	935	57
SP103856	166	3
CPCT02020340T	928	31
CPCT02140010T	751	65
CPCT02110007T	1062	83
CPCT02140015T	705	91
CPCT02020376T	399	114
CPCT02050051T	670	81
CPCT02140017T	1576	219
CPCT02040048T	1703	142
CPCT02060029T	686	228
CPCT02060039T	680	55
CPCT02050077T	812	145
CPCT02060050T	1135	123
CPCT02020866T	588	48
CPCT02120177T	743	51
CPCT02140095T	1500	80
CPCT02120176T	1062	383
CPCT02120085T	720	117
CPCT02100138T	623	206
CPCT02080177T	735	209
CPCT02230079T	1137	199
CPCT02340107T	874	317
CPCT02120096T	947	66
CPCT02120102T	175	16
CPCT02440023T	1230	125
CPCT02160060T	816	62
CPCT02180055T	446	81
CPCT02140104T	313	136
CPCT02140105T	968	94
CPCT02190055T	1105	175
CPCT02030551TII	932	324
CPCT02050317T	293	26
CPCT02180078T	755	38
CPCT02220075T	706	70
CPCT02230085T	1302	216
CPCT02120195T	844	74
CPCT02080302T	1225	106
CPCT02070470T	273	36
CPCT02300034T	1038	90
CPCT02020955T	564	56
CPCT02020965T	791	70
CPCT02140094TII	1401	120
CPCT02210083T	270	39
CPCT02100200T	1107	102
CPCT02140106T	444	45
CPCT02140059T	1186	87
WIDE01010156T	232	36
CPCT02100174T	640	140
CPCT02120200T	352	30
CPCT02140070T	408	166
CPCT02040248T	635	70
CPCT02060149T	465	66
CPCT02020718T	630	102
CPCT02230096T	1152	333
CPCT02180064T	645	50
CPCT02020764T	930	255
CPCT02440012T	930	86
CPCT02020752T	472	78
CPCT02140071T	740	59
CPCT02140074T	914	93
CPCT02140017TII	1565	188
CPCT02120143T	707	73
CPCT02030431T	505	85
CPCT02180067T	474	51
CPCT02160052T	1026	60
CPCT02140080T	263	76
CPCT02170036T	321	584
CPCT02290045T	419	49
CPCT02060269T	622	75
CPCT02230113T	200	60
CPCT02050407T	577	102
CPCT02030543T	967	134
CPCT02190050T	898	110
CPCT02140087T	768	40
CPCT02100190T	864	197
CPCT02140094T	642	44
CPCT02130164T	626	40
CPCT02140093T	1126	91
CPCT02020592T	314	31
CPCT02180076T	347	40
CPCT02020865T	1432	53
CPCT02230059T	571	62
CPCT02180022T	607	260
CPCT02120014T	1043	127
CPCT02180033T	0	15890
CPCT02140046T	497	157
CPCT02080111T	806	268
CPCT02120027T	770	217
CPCT02140042TII	264	50
CPCT02070169T	319	28
CPCT02160024T	976	130
CPCT02020566T	147	3
CPCT02230033T	489	78
CPCT02030356T	715	68
CPCT02090021T	972	72
CPCT02330047T	838	59
CPCT02100107T	1133	157
CPCT02020580T	505	107
CPCT02180003T	279	19
CPCT02020414T	833	140
CPCT02050087T	463	87
CPCT02010458T	307	71
CPCT02020447T	549	149
CPCT02060067T	762	65
CPCT02020480T	707	71
CPCT02140042T	670	153
CPCT02120002T	711	55
CPCT02030332T	632	103
CPCT02230015T	621	83
CPCT02060138T	1359	101
CPCT02360007T	0	42480
CPCT02040181T	1119	94
CPCT02300027T	918	93
CPCT02120090T	635	49
WIDE01010520T	1182	122
WIDE01010600T	340	16
WIDE01010710T	796	525
WIDE01010727T	306	37
