Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
CPCT02070024T	24090	4013	0	0	0	0	0
CPCT02020380T	199	271	197	36	13	92	80
CPCT02070023T	113818	13155	0	0	0	0	0
CPCT02020386T	137	176	288	763	0	93	113
CPCT02020387T	95059	5485	0	0	0	0	0
CPCT02020388T	97	294	200	682	81	181	56
CPCT02040046T	29	454	56	30	40	86	67
CPCT02070036T	306	339	347	102	47	88	79
CPCT02070035T	89	203	97	28	40	33	14
CPCT02020394T	96	326	142	21	8	23	123
CPCT02140026T	139	368	119	25	104	67	32
CPCT02140029T	84	390	106	35	102	70	20
CPCT02140030T	236	416	192	38	79	66	104
CPCT02020656TII	60	317	341	106	242	103	125
CPCT02011011T	94	594	357	87	8	61	38
CPCT02070269T	106	333	134	33	130	58	102
CPCT02330130T	225	303	102	44	127	43	108
CPCT02070256T	63	204	133	487	74	118	59
CPCT02070425T	405	890	50	26	110	78	49
CPCT02080281T	89	181	123	17	81	44	29
CPCT02070270T	191	223	114	15	94	83	12
CPCT02390037T	127	174	94	30	99	76	60
CPCT02140098T	82	109	358	1503	188	168	254
CPCT02020888T	34	381	282	0	0	0	0
CPCT02340055T	35	248	218	267	0	128	0
CPCT02070430T	182	412	218	22	78	40	59
CPCT02050418T	185	266	37	27	74	67	51
CPCT02340108T	55	202	109	7	35	36	140
CPCT02100137T	52	315	80	13	82	115	75
CPCT02070433T	45	497	174	54	8	53	62
CPCT02070264T	296	366	192	32	94	153	50
CPCT02070420T	0	84	160	341	0	49	0
DRUP01070028TII	166	438	0	0	383	121	0
CPCT02080180T	147	311	182	82	135	139	137
CPCT02070446T	43	341	84	19	99	42	40
CPCT02020704TII	63408	2717	0	0	0	0	0
CPCT02220031T	281	229	37	1277	193	272	122
DRUP01070071T	77	322	0	1014	381	169	0
CPCT02140102T	60	188	81	10	73	44	66
CPCT02070280T	62	174	156	19	58	112	32
CPCT02100194T	15	140	249	44	3	32	7
CPCT02070268T	127	461	309	53	52	113	173
CPCT02011043T	78	259	53	23	101	59	42
CPCT02070449T	24	157	161	21	90	49	43
CPCT02340056T	157	427	141	30	48	157	45
CPCT02070450T	193	564	197	41	97	48	133
CPCT02220069T	99	577	59	24	204	151	175
CPCT02070452T	33	165	171	15	91	40	23
DRUP01070038T	23510	0	0	0	0	0	0
CPCT02150043T	40	105	81	22	44	37	44
CPCT02090033T	104	222	75	71	95	130	118
CPCT02070426T	34	103	116	35	120	69	62
CPCT02150047T	48	172	99	19	76	42	59
CPCT02070125T	108	184	0	1385	215	170	0
CPCT02190054T	156	442	275	134	124	65	106
CPCT02130169T	39	178	263	1302	200	215	73
CPCT02020918T	92	240	124	2	83	48	111
CPCT02070459T	61	415	103	25	107	67	93
CPCT02140055T	40	79	114	269	38	95	47
DRUP01070028T	156	321	116	0	0	445	0
CPCT02160061T	158	263	534	97	0	75	0
CPCT02020656T	66	286	561	84	0	173	0
CPCT02020931T	44	336	75	24	79	55	90
CPCT02070106T	73	343	141	726	74	190	137
CPCT02070289T	52	152	134	22	20	150	11
CPCT02210043T	78	429	145	29	66	258	73
CPCT02010753T	378	270	144	2044	133	272	196
CPCT02020924T	90	318	139	58	104	34	24
CPCT02070293T	76	158	114	20	86	121	60
CPCT02020938T	11	222	183	28	444	52	25
CPCT02200006T	41	177	471	66	0	53	71
CPCT02020658T	36	134	116	39	42	75	58
CPCT02070292T	74	307	151	27	49	242	16
CPCT02070055TII	171	209	0	1729	437	270	0
CPCT02070466T	29	172	252	46	8	70	107
CPCT02070454T	34	100	94	34	24	33	45
CPCT02010762T	46	162	293	75	82	83	121
CPCT02260016T	118	428	108	98	148	94	40
CPCT02350020T	854	535	94	24	171	84	85
CPCT02070295T	83	248	222	15	46	93	52
CPCT02020942T	54	194	115	14	90	29	96
CPCT02140060T	48	556	199	82	30	113	69
CPCT02310008T	38	221	186	4	68	78	29
CPCT02070300T	71	264	283	33	22	96	33
CPCT02160062T	27	113	59	12	41	25	64
CPCT02070473T	17	132	187	37	60	59	66
CPCT02070468T	34	201	115	24	68	47	42
CPCT02300052T	418	507	240	32	106	46	47
CPCT02070301T	55	298	57	1096	107	215	396
CPCT02430002T	31	145	277	366	28	44	88
CPCT02070474T	46	329	183	11	65	48	37
CPCT02070472T	47	215	137	9	16	39	63
DRUP01070036T	80	182	454	141	0	421	0
CPCT02150052T	1212	34	231	3594	518	163	369
CPCT02070307T	206	252	338	224	0	149	0
CPCT02330099T	178	447	245	15	58	142	113
CPCT02070263T	74	166	216	36	22	186	1
DRUP01050020T	229	388	250	49	69	171	81
CPCT02020678T	45	75	113	878	27	146	77
CPCT02020673T	17	206	190	862	64	245	128
WIDE01010113T	117	234	77	27	92	83	53
CPCT02050442T	86	629	84	31	87	58	43
CPCT02020968T	126	571	796	0	0	0	0
CPCT02020970T	57	346	0	0	263	69	121
CPCT02060294T	79	381	67	142	192	95	111
CPCT02070478T	161	356	465	82	0	81	0
CPCT02140065T	97	273	162	32	63	112	31
CPCT02210085T	112	305	56	39	60	62	82
CPCT02390044T	549	672	103	23	157	55	48
CPCT02050443T	70198	0	0	0	0	0	0
CPCT02070306T	79	622	185	55	21	99	90
CPCT02070481T	57	133	591	140	0	47	0
CPCT02070482T	19	36	44	1	20	23	10
DRUP01140005T	579	599	185	40	24	374	25
CPCT02220082T	47	171	0	0	509	0	0
CPCT02020687T	17	107	47	13	67	86	35
CPCT02070484T	64	245	110	383	31	46	32
CPCT02020686T	113	248	473	198	0	170	0
CPCT02070486T	51	369	274	66	47	74	79
CPCT02070483T	93	234	174	60	123	44	41
CPCT02070487T	55	125	134	33	30	32	24
CPCT02040342T	155	474	238	47	19	60	95
CPCT02020977T	24	105	151	43	76	28	38
CPCT02070312T	48	436	182	43	98	78	48
CPCT02040343T	214	353	117	27	94	67	82
CPCT02290031T	73	184	150	21	13	183	28
CPCT02150008T	106	170	285	54	0	196	0
CPCT02370013TII	54	216	171	29	10	260	5
CPCT02100202T	55	286	207	24	23	20	118
CPCT02100203T	88	269	128	22	28	43	49
CPCT02070466TII	52	371	283	66	86	87	176
WIDE01010214T	63	442	138	11	35	42	64
WIDE01010215T	106	767	59	24	140	84	91
WIDE01010234T	53	286	198	30	55	62	56
CPCT02110083T	75	247	123	29	42	42	46
CPCT02070315T	73	366	82	10	51	163	48
DRUP01070026TII	92874	4014	0	0	0	0	0
CPCT02020981T	142	238	80	30	56	26	28
CPCT02140067T	36	320	61	6	25	141	35
CPCT02350003T	70	48	127	0	0	230	0
CPCT02070490T	96	231	63	16	60	35	58
WIDE01010283T	21	124	61	0	60	22	67
CPCT02020982T	80	281	90	35	9	44	131
CPCT02020975T	35	385	95	21	84	86	74
WIDE01010323T	20	250	335	104	33	74	39
CPCT02070208T	101	150	143	0	0	261	79
CPCT02070064TII	116	201	232	43	0	370	0
CPCT02140041TIV	311	349	186	40	105	78	116
CPCT02020704T	59788	2655	0	0	0	0	0
CPCT02040249T	149	369	56	26	94	77	110
CPCT02020924TII	102	297	174	52	112	47	11
WIDE01010383T	103	210	487	110	34	74	52
CPCT02070335T	108	259	104	17	44	73	38
CPCT02230091T	55	247	142	29	51	81	103
CPCT02230102T	38	186	92	15	53	99	12
DRUP01050049T	69581	0	0	0	0	0	0
CPCT02020715T	101	410	185	22	66	97	40
CPCT02340086T	112	287	108	43	96	123	61
CPCT02020731T	76	453	280	0	0	269	0
CPCT02370027T	106	284	318	81	0	330	0
WIDE01010246T	117	290	145	894	110	138	95
CPCT02070139T	103	296	24	37	148	254	63
CPCT02070318T	135	346	57	18	93	132	88
CPCT02290038T	150	340	94	32	65	162	18
CPCT02070147TII	100	177	256	62	0	523	0
WIDE01010453T	111	224	54	21	65	52	74
DRUP01070042T	38596	3809	0	0	0	0	0
CPCT02030488T	407	766	214	0	0	0	0
CPCT02010840T	113	134	173	787	87	216	40
CPCT02070339T	91	310	78	13	42	88	32
CPCT02070338T	203	413	999	219	0	148	0
CPCT02230108T	181	468	199	44	76	72	88
CPCT02030380TII	64	80	60	860	116	203	83
CPCT02070345T	41	148	158	32	99	127	77
CPCT02070350T	29	455	78	24	82	86	68
CPCT02010875T	114	148	775	137	0	166	0
CPCT02010877T	227	300	124	45	159	86	82
CPCT02070359T	117	492	568	91	31	165	104
CPCT02070307TII	205	291	220	232	77	79	25
CPCT02010885T	44	157	210	383	7	90	22
CPCT02010857T	155	442	220	42	66	94	104
CPCT02090058T	49	212	142	24	67	82	15
WIDE01010611T	216	270	0	0	271	55	152
CPCT02070364T	182	400	116	10	66	50	77
CPCT02140075T	46	270	123	30	91	147	50
CPCT02010889T	56	282	40	67	70	98	86
CPCT02060249T	101	181	173	13	60	62	22
