Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
SP78502	14	26	7	25	8	41	1	0	4	9
SP125791	92	279	16	48	0	75	3	0	0	0
SP125755	35	267	32	55	30	92	25	19	19	7
SP117340	268	189	67	94	1	197	1	2	2	9
SP125781	71	140	21	46	17	87	4	0	1	4
SP125783	21	144	21	67	0	40	0	23	22	19
SP116950	202	409	20	50	70	43	11	0	47	2
SP125712	66	183	15	43	123	65	6	43	4	2
SP125786	10	38	327	63	19	0	34	62	1	9
SP125693	302	586	18	161	182	0	7	69	0	10
SP116949	141	185	21	127	25	117	12	23	40	14
SP78533	24	52	18	51	10	31	0	0	0	3
SP117215	71	187	17	142	0	16	2	6	6	8
SP117040	124	313	14	37	42	80	2	0	34	14
SP117476	120	180	20	22	39	107	4	6	0	4
SP116985	77	192	4	22	35	118	1	0	19	29
SP125769	40	98	11	73	7	0	0	44	0	3
SP125778	39	125	1574	82	59	218	105	0	23	6
SP117440	81	339	15	84	16	82	2	0	15	4
SP125730	53	117	9	51	6	3	1	9	0	3
SP125686	41	295	21	51	48	61	14	31	0	6
SP125758	77	140	19	29	18	74	1	37	15	7
SP77848	25	39	0	15	6	31	4	0	0	1
SP117974	126	324	16	48	73	61	3	0	0	15
SP117911	149	280	9	40	39	72	4	0	0	9
SP117165	69	133	30	95	44	95	0	4	0	3
SP117412	100	339	380	127	0	91	16	0	0	0
SP117650	17	41	36	103	8	56	7	0	0	1
SP117076	8	136	26	52	15	9	8	32	4	9
SP125757	76	231	22	67	1	39	6	61	9	1
SP125711	65	185	4	84	7	20	48	143	1	9
SP125811	55	127	23	75	12	32	4	36	0	7
SP125723	58	128	23	31	48	146	0	28	0	20
SP125809	89	470	21	29	93	54	11	11	24	2
SP125722	46	96	16	39	6	32	2	19	5	6
SP117908	66	209	19	72	20	57	3	23	21	1
SP125741	71	455	19	24	135	45	6	8	29	16
SP125724	164	143	5	0	0	236	1	60	0	0
SP117037	48	183	9	81	3	15	3	49	0	13
SP125777	41	169	856	66	67	143	50	29	0	0
SP117291	118	378	21	136	17	16	2	7	0	4
SP125793	42	66	76	11	29	45	2	41	0	0
SP125744	151	168	12	55	38	18	0	29	4	7
SP125795	46	224	12	41	10	36	6	20	38	2
SP125703	89	209	9	82	38	23	1	44	1	6
SP125761	34	116	18	113	5	0	3	34	28	10
SP117661	213	264	24	91	47	36	0	7	14	3
SP125776	117	170	31	73	49	74	11	10	25	11
SP117261	37	101	4	81	14	20	2	0	0	10
SP125698	171	182	654	169	19	0	15	29	15	0
SP125714	62	275	10	14	8	35	5	31	162	1
SP77972	160	141	10	38	54	54	0	0	0	11
SP77866	0	30	0	28	6	4	0	0	0	4
SP125704	71	155	14	59	1	47	4	0	31	5
SP117290	84	911	26	74	66	2	13	0	43	15
SP125738	43	91	12	58	0	17	0	45	15	2
SP135427	4	27	8	62	2	42	2	0	0	5
SP135403	0	3	1	5	0	0	0	0	0	1
SP102557	0	11	4	24	0	5	7	0	4	4
SP106801	2	0	9	4	4	35	3	0	0	0
SP106758	2	52	10	37	6	16	0	1	9	3
SP106808	3	30	12	29	0	63	2	0	14	1
SP102617	26	1	2	128	0	0	1	1	3	4
SP102605	1	6	0	28	0	8	0	0	0	3
SP117086	0	0	1	8	1	2	1	0	0	0
SP117700	13	2	11	25	0	43	1	0	0	8
SP135339	1	87	13	111	7	17	10	0	12	11
SP135324	3	57	8	6	13	24	3	0	0	3
SP102529	8	17	12	78	0	30	9	0	6	10
SP102507	13	51	11	61	9	14	8	0	0	2
SP102485	0	0	4	19	0	9	1	0	5	7
SP117043	5	22	9	77	0	32	5	0	3	0
SP135496	4	40	13	37	0	44	0	0	8	4
SP117228	2	17	0	21	2	37	11	1	16	6
SP118044	0	0	0	1	0	3	7	0	0	0
SP117984	4	14	2	53	20	10	7	0	0	4
SP135346	6	7	14	45	1	3	7	3	3	1
SP135492	0	4	0	2	0	8	0	2	0	2
SP102573	2	1	13	20	0	8	3	0	6	1
SP135460	2	1	5	29	0	26	4	0	0	0
SP117667	0	0	5	9	0	6	3	0	3	2
SP106815	5	45	16	58	17	38	2	0	4	10
SP106734	2	0	3	11	0	31	0	2	0	1
SP117796	3	13	10	22	0	85	2	1	4	0
SP102537	3	24	10	80	0	63	0	4	1	8
SP135334	14	10	0	70	2	0	0	2	0	0
SP102517	7	21	17	96	5	0	4	2	9	6
SP117493	1	1	0	5	0	6	0	0	3	4
SP106722	2	0	14	56	3	8	8	0	0	5
SP135434	6	35	4	31	6	112	0	0	7	7
SP106753	3	0	5	15	0	6	0	0	0	0
SP102523	9	10	1	99	8	0	0	0	3	6
SP102591	7	0	11	42	1	13	0	0	0	2
SP102547	4	6	8	61	8	35	8	0	0	7
SP118043	3	33	7	88	0	36	4	3	19	0
SP135478	2	11	1	33	1	23	10	1	3	0
SP102561	1	0	7	7	0	3	6	0	0	1
SP135274	2	13	10	25	2	20	4	3	0	0
SP106797	0	47	7	37	0	43	0	0	4	0
SP135488	91	183	41	294	27	0	7	0	13	18
SP135480	2	1	15	12	2	14	0	2	0	7
SP135455	562	136	1	0	43	200	0	0	0	0
