MutationType	ID1	ID2	ID3	ID4	ID8	ID9	ID13	ID19	ID21	ID22	ID25	ID83H	ID83I	ID83J
2:Del:R:2	0.00047275	0.00184957	0.01180064	0.05505940	0.00053203	0.00118970	0.00310892	0.00476235	0.00820925	0.00038875	0.00651219	0.00218024	0.00057689	0.00319987
2:Del:R:3	0.00042672	0.00073904	0.00667112	0.01281101	0.00002710	0.00009590	0.00010557	0.00052995	0.00312839	0.00043417	0.00184115	0.00599803	0.00022904	0.00139629
2:Del:R:4	0.00005460	0.00088193	0.00282253	0.00321922	0.00027403	0.00000000	0.00000613	0.00004580	0.00192576	0.00073730	0.00129842	0.00211330	0.00028462	0.00169526
2:Del:R:5	0.00000000	0.00000000	0.00010124	0.00238272	0.00083308	0.00000000	0.00006630	0.00000684	0.00276651	0.00101199	0.00017077	0.02827037	0.00000970	0.00928989
3:Del:R:0	0.00012804	0.00001250	0.00058912	0.00506895	0.01096410	0.00285810	0.00303967	0.00086808	0.01713037	0.00439195	0.00085435	0.01407320	0.00060908	0.00307599
3:Del:R:1	0.00501109	0.00500326	0.00037239	0.09711447	0.00134887	0.00430191	0.00118696	0.00500577	0.14873369	0.00239517	0.01169181	0.00008985	0.00062541	0.00369751
3:Del:R:2	0.00076938	0.00228989	0.00009630	0.02148428	0.00037657	0.00127572	0.00038438	0.00133307	0.03457285	0.00031840	0.00111746	0.00018130	0.00039796	0.00001157
3:Del:R:3	0.00037126	0.00040259	0.00002450	0.00383763	0.00025351	0.00030211	0.00006900	0.00003850	0.00715718	0.00002670	0.00002435	0.00006801	0.00000406	0.00081959
3:Del:R:4	0.00000000	0.00000000	0.00000382	0.00078630	0.00000268	0.00000000	0.00000309	0.00003810	0.00246418	0.00002140	0.00006255	0.00149764	0.00014937	0.00082556
3:Del:R:5	0.00000000	0.00000000	0.00000038	0.00113861	0.00009100	0.00000000	0.00009960	0.00011808	0.00140246	0.00002340	0.00029702	0.00105936	0.00032717	0.00057123
4:Del:R:0	0.00009970	0.00001210	0.00017765	0.00725243	0.00669131	0.00143277	0.00215535	0.00219796	0.01460337	0.00351759	0.00019409	0.00567182	0.00437393	0.00375193
4:Del:R:1	0.00090050	0.00211579	0.00063457	0.06352373	0.00162295	0.00459422	0.00002300	0.00007090	0.11489568	0.00153302	0.00339009	0.00460054	0.00084138	0.00144541
4:Del:R:2	0.00000323	0.00054329	0.00011680	0.01454892	0.00027262	0.00089602	0.00007920	0.00040269	0.02188185	0.00065734	0.00092652	0.00120921	0.00050706	0.00029065
4:Del:R:3	0.00000000	0.00000727	0.00000000	0.00455475	0.00002880	0.00002380	0.00003920	0.00005990	0.00688707	0.00002340	0.00019445	0.00250683	0.00030747	0.00091867
4:Del:R:4	0.00000000	0.00000000	0.00000000	0.00084968	0.00009730	0.00000000	0.00000947	0.00019431	0.00239962	0.00000532	0.00005655	0.00102725	0.00023425	0.00027871
4:Del:R:5	0.00002890	0.00021041	0.00000283	0.00061078	0.00000634	0.00001370	0.00006300	0.00015798	0.00003310	0.00000066	0.00000806	0.00050855	0.00006867	0.00021509
5:Del:R:0	0.00000835	0.00003850	0.00177678	0.00413283	0.23797886	0.00077205	0.02009754	0.00426298	0.00453387	0.00314645	0.00340893	0.00055759	0.00094720	0.11534216
5:Del:R:1	0.00019068	0.00297751	0.00007410	0.01571853	0.00057226	0.00047955	0.00298053	0.00177092	0.02553589	0.00027548	0.00222752	0.01306194	0.00091049	0.04680384
5:Del:R:2	0.00012636	0.00039753	0.00000278	0.00234385	0.00051684	0.00026497	0.00006990	0.00101898	0.00283669	0.00000975	0.00037639	0.00300696	0.00020844	0.00296535
5:Del:R:3	0.00001890	0.00015815	0.00000000	0.00118248	0.00000816	0.00000612	0.00000640	0.00012637	0.00085461	0.00000369	0.00025060	0.00019574	0.00005534	0.00041183
5:Del:R:4	0.00000311	0.00008470	0.00004370	0.00014692	0.00011290	0.00000725	0.00000146	0.00000224	0.00000053	0.00000003	0.00002075	0.00027783	0.00013772	0.00010034
5:Del:R:5	0.00003130	0.00002120	0.00000382	0.00010617	0.00004430	0.00002990	0.00000235	0.00000224	0.00000053	0.00000003	0.00005207	0.00012421	0.00002106	0.00026911
2:Ins:R:0	0.00040204	0.00033185	0.00263595	0.00049292	0.00191671	0.00116234	0.01061841	0.07827026	0.00004810	0.00536603	0.00720895	0.02668410	0.08548691	0.00646100
2:Ins:R:1	0.00000788	0.00027166	0.00224268	0.00055330	0.00166182	0.00210019	0.00180137	0.02359708	0.00507626	0.03068463	0.00203569	0.02677937	0.00601672	0.00617123
2:Ins:R:2	0.00022135	0.00103534	0.00095560	0.00026633	0.00030459	0.00076094	0.00068852	0.00363960	0.00022299	0.00888814	0.00064392	0.01342491	0.00084159	0.00335292
2:Ins:R:3	0.00051427	0.00038133	0.00089724	0.00013779	0.00017758	0.00035163	0.00074354	0.00118317	0.00108099	0.00577414	0.00035493	0.00866637	0.00356991	0.00022371
2:Ins:R:4	0.00291310	0.00197742	0.00025309	0.00007190	0.00001660	0.00003070	0.00021335	0.00380259	0.00176933	0.00092291	0.00088684	0.00630855	0.00200873	0.00080302
2:Ins:R:5	0.01812158	0.01363338	0.00000667	0.00010369	0.00176438	0.00000000	0.00084658	0.03327522	0.01425982	0.00155458	0.01049181	0.11715078	0.00000000	0.00082431
3:Ins:R:0	0.00000031	0.00005780	0.00009600	0.00002630	0.00066786	0.00025457	0.00008210	0.05448195	0.00159281	0.08662352	0.00382815	0.00400000	0.00850367	0.00027912
3:Ins:R:1	0.00025469	0.00122705	0.00028614	0.00045098	0.00067172	0.00082336	0.00368833	0.00510145	0.00000115	0.23149252	0.00028760	0.02109767	0.00119396	0.00160431
3:Ins:R:2	0.00004410	0.00021007	0.00009750	0.00060034	0.00013577	0.00011826	0.00020251	0.00126260	0.00141705	0.01191884	0.00059532	0.00242732	0.00167958	0.00031808
3:Ins:R:3	0.00016670	0.00000302	0.00001360	0.00007420	0.00003790	0.00000518	0.00002370	0.00056696	0.00005850	0.00015500	0.00017021	0.00058823	0.00024468	0.00000243
3:Ins:R:4	0.00008890	0.00014181	0.00000156	0.00007400	0.00012204	0.00001610	0.00000349	0.00020118	0.00014990	0.00001420	0.00011381	0.00004720	0.00019962	0.00000000
3:Ins:R:5	0.00124870	0.00186471	0.00000000	0.00003960	0.00003660	0.00000000	0.00003540	0.00101487	0.00074308	0.00002800	0.00253638	0.00378055	0.00024583	0.00088392
4:Ins:R:0	0.00000000	0.00001680	0.00000000	0.00016664	0.00077776	0.00016439	0.00111880	0.04975165	0.00000649	0.21274241	0.00309713	0.00078001	0.01342764	0.00040125
4:Ins:R:1	0.00074438	0.00120373	0.00017598	0.00126643	0.00110390	0.00071557	0.00269163	0.00147968	0.00050832	0.21785295	0.00213109	0.02058365	0.00115414	0.00088389
4:Ins:R:2	0.00007550	0.00001220	0.00002740	0.00009840	0.00007990	0.00004240	0.00006930	0.00101738	0.00066398	0.00362750	0.00011109	0.00101013	0.00031244	0.00009488
4:Ins:R:3	0.00015754	0.00013417	0.00004770	0.00005250	0.00000858	0.00002150	0.00000064	0.00030994	0.00033518	0.00002390	0.00001627	0.00150917	0.00003769	0.00029445
4:Ins:R:4	0.00031965	0.00024939	0.00000418	0.00014691	0.00020551	0.00000000	0.00001210	0.00152857	0.00032259	0.00000571	0.00043988	0.00435500	0.00002067	0.00056281
4:Ins:R:5	0.00100132	0.00219354	0.00003290	0.00013521	0.00088523	0.00000218	0.00000031	0.00000012	0.00056024	0.00018012	0.00070282	0.00377125	0.00007897	0.00031140
5:Ins:R:0	0.00000000	0.00000000	0.00008830	0.00008580	0.00031833	0.00016585	0.00259023	0.33665180	0.00492955	0.01495065	0.00047280	0.00000000	0.00278886	0.00000000
5:Ins:R:1	0.00144313	0.00013566	0.00065622	0.00213585	0.00976111	0.00125400	0.01350195	0.00843231	0.01709467	0.00473333	0.00001324	0.05780690	0.01301962	0.01384608
5:Ins:R:2	0.00025483	0.00000553	0.00000551	0.00022203	0.00010115	0.00010285	0.00004590	0.00024644	0.00069312	0.00001810	0.00005698	0.00220630	0.00006301	0.00160994
5:Ins:R:3	0.00023709	0.00009770	0.00003320	0.00000759	0.00007090	0.00008020	0.00004610	0.00173759	0.00015937	0.00019534	0.00021686	0.00043580	0.00016505	0.00088723
5:Ins:R:4	0.00026187	0.00000215	0.00000787	0.00002530	0.00000674	0.00005050	0.00000243	0.00016509	0.00002510	0.00000151	0.00001411	0.00037530	0.00000170	0.00068808
5:Ins:R:5	0.00011983	0.00011563	0.00000348	0.00016023	0.00019055	0.00000989	0.00004330	0.00000224	0.00000707	0.00003420	0.00012446	0.00018475	0.00062437	0.00011191
2:Del:M:1	0.00119782	0.00017555	0.00693076	0.18899749	0.00491367	0.00390097	0.00887241	0.00236192	0.01183853	0.00174494	0.00906527	0.01396323	0.00696177	0.00948327
3:Del:M:1	0.00008190	0.00000055	0.00034461	0.00703416	0.00929034	0.00301133	0.00114008	0.00014290	0.01645659	0.00325654	0.00239704	0.00889608	0.00309189	0.00533517
3:Del:M:2	0.00147959	0.00294406	0.00030285	0.04941660	0.00430269	0.00154330	0.00045031	0.00118844	0.07634243	0.00138247	0.00758805	0.00427114	0.00474422	0.00613293
4:Del:M:1	0.00008380	0.00014700	0.00007350	0.01098172	0.00580955	0.00192772	0.00127080	0.00123037	0.02168316	0.00382818	0.00191716	0.00472935	0.00619520	0.00113217
4:Del:M:2	0.00014548	0.00055061	0.00034022	0.02948388	0.00159159	0.00329745	0.00015972	0.00011789	0.05593900	0.00174817	0.00280550	0.00210669	0.00114741	0.00444624
4:Del:M:3	0.00016068	0.00069357	0.00013046	0.04886664	0.00109834	0.00254408	0.00027058	0.00041202	0.07849465	0.00012253	0.00149240	0.00722922	0.00118154	0.00101054
5:Del:M:1	0.00000082	0.00062496	0.00136963	0.00045312	0.28072426	0.00003540	0.01174078	0.00007270	0.00065179	0.00156150	0.00359075	0.00319195	0.01922342	0.08779832
5:Del:M:2	0.00000000	0.00011771	0.00175127	0.00013623	0.12361016	0.00022124	0.00705542	0.00069074	0.00003070	0.00033428	0.00329719	0.00022200	0.02053319	0.06145346
5:Del:M:3	0.00000000	0.00005670	0.00077496	0.00111224	0.04613041	0.00057091	0.00216598	0.00061764	0.00022253	0.00107280	0.00023289	0.00796936	0.00849592	0.03883910
5:Del:M:4	0.00003880	0.00046284	0.00064056	0.00365295	0.01636726	0.00044831	0.00028174	0.00005320	0.00358987	0.00008760	0.00015915	0.00185771	0.00990220	0.03260254
5:Del:M:5	0.00066512	0.00236732	0.00036297	0.00004560	0.01281488	0.00000000	0.01313191	0.00331746	0.00341540	0.00103155	0.00221017	0.00028242	0.00103088	0.24803897
