Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
CPCT02070139T	104	295	24	37	148	254	63
CPCT02070318T	135	346	57	18	93	132	88
CPCT02290038T	150	340	94	32	65	162	18
CPCT02070147TII	100	177	253	62	0	522	4
WIDE01010453T	111	224	54	21	65	52	74
DRUP01070042T	36628	3546	0	0	1317	315	599
CPCT02030488T	395	747	165	0	28	44	8
CPCT02010840T	113	134	173	787	87	216	40
CPCT02070339T	91	310	78	13	42	88	32
CPCT02070338T	203	413	999	219	0	148	0
CPCT02230108T	181	468	199	44	76	72	88
CPCT02030380TII	63	80	60	861	116	203	83
CPCT02070345T	41	147	159	32	99	127	77
CPCT02070350T	29	454	78	24	82	86	69
CPCT02010875T	113	150	748	138	0	165	26
CPCT02010877T	227	300	124	45	159	86	82
CPCT02070359T	117	492	568	91	31	165	104
CPCT02070307TII	206	290	220	232	77	79	25
CPCT02010885T	43	157	210	384	7	90	22
CPCT02010857T	155	442	220	42	66	94	104
CPCT02090058T	49	212	142	24	67	82	15
WIDE01010611T	208	261	0	49	255	48	143
CPCT02070364T	182	400	116	10	66	50	77
CPCT02140075T	46	270	123	30	91	147	50
CPCT02010889T	56	283	40	67	70	98	85
CPCT02060249T	101	181	173	13	60	62	22
CPCT02020760T	22	179	211	9	21	66	17
CPCT02020780T	35	418	208	2	0	123	52
CPCT02070367T	91	164	132	26	27	76	56
CPCT02050389T	15	517	234	9	19	218	0
CPCT02070368T	425	684	92	54	130	133	0
CPCT02150019T	156	177	100	1214	114	253	118
CPCT02300046T	541	582	16	51	269	70	76
CPCT02070130T	50	443	98	10	5	113	86
CPCT02070362T	71	146	377	52	0	101	173
CPCT02070361T	14	161	118	555	0	78	136
CPCT02140041TIII	297	325	266	44	44	231	90
CPCT02140081T	296	561	221	74	50	164	41
CPCT02020804T	40	231	103	14	53	66	89
CPCT02040280T	76	192	132	366	63	122	114
CPCT02070370T	39	159	122	679	0	220	14
CPCT02040283T	0	151	159	668	44	179	6
