	InsDel1a	InsDel1b	InsDel1c	InsDel2a	InsDel2b	InsDel2c	InsDel3a	InsDel3b	InsDel4	InsDel5a	InsDel5b	InsDel5c	InsDel6	InsDel7	InsDel8	InsDel9	InsDel10	InsDel11	InsDel12	InsDel13	InsDel14	InsDel17	InsDel18	InsDel19a	InsDel19b	InsDel23	InsDel_A_alpha	InsDel_A_beta	InsDel_B	InsDel_C	InsDel_D	InsDel_E	InsDel_F	InsDel_G	InsDel_H	InsDel_I	InsDel_J	InsDel_K	InsDel_L	InsDel_N	InsDel_O	InsDel_P	InsDel15	InsDel16	InsDel_M	InsDel_N_beta	InsDel_N_alpha
A[Del(C):R7]T	7.29E-05	0.000102277	5.61E-05	0.000141657	0.000581425	0.000124	0.0004384	0.000235818	0.000167328	2.85E-05	0.000107575	0.000204924	1.81E-05	0.000478687	1.83E-05	7.58E-05	0.000233469	2.22E-06	0.00039582	1.37E-05	8.01E-05	1.41E-05	0.000119679	5.49E-05	7.74E-05	0.0014442	0.000197079	0.000213256	9.12E-05	3.24E-05	0.000253531	0.000327993	0.000114956	0.000146719	0.000559004	3.38E-06	0.001779487	0.000101131	0.000246947	0.000446516	0.000323557	0.00026098	0	0	2.44E-05	0.000154129	0.000621969
A[Del(C):R8]A	0.000339668	0.000148235	0.000417728	0.00097815	0.000942915	6.20E-05	0.000625426	0.000170937	0.000384276	8.55E-06	3.69E-05	6.88E-05	6.40E-05	0.002391497	3.45E-05	0.000163855	0.000304178	0.000198294	0.001604043	1.16E-05	0.00051807	8.49E-06	0.000130503	0.000486427	7.94E-05	0	0.000309086	0.0006105	0.000265441	4.26E-05	0.000363874	0.00040882	0.000319778	0.000415735	0.000156061	6.75E-06	0.004524251	0.000193578	0.000129047	0.000417727	0.000439745	0.001270373	0	0	4.64E-05	0.000189559	0.000905716
A[Del(C):R8]G	3.84E-05	1.03E-05	9.42E-06	6.94E-05	6.32E-05	6.93E-05	3.79E-05	1.18E-05	0.000209936	1.76E-06	1.63E-06	0	1.76E-05	0.000293346	2.84E-05	1.54E-05	9.25E-05	1.11E-06	0.000139858	7.34E-06	4.78E-05	1.79E-06	3.62E-05	3.53E-05	1.97E-05	3.61E-05	6.25E-05	3.47E-05	9.76E-06	2.70E-05	0.000130061	3.43E-05	3.45E-06	0.000120312	0.000239802	0	0.001262438	1.56E-07	0.000103067	2.05E-05	0.000166325	0.000127086	0	0	1.55E-05	1.48E-06	2.65E-05
A[Del(C):R8]T	4.52E-05	6.50E-06	8.02E-05	0.000193371	0.000263671	4.72E-05	0.00014417	2.99E-05	0.000232531	4.79E-06	1.33E-05	7.87E-05	1.91E-05	0.000421969	2.93E-05	2.66E-05	0.000167588	1.25E-06	7.84E-05	8.80E-06	6.37E-05	1.17E-06	4.06E-05	5.38E-05	4.71E-05	0	0.000132177	0.000247397	2.68E-05	3.72E-05	8.95E-05	9.37E-05	8.14E-05	8.31E-05	0.000213167	6.75E-06	0.001401876	5.11E-05	8.00E-05	8.76E-05	0.000112196	0.000449725	0	0	0.000126247	9.13E-05	0.000180756
"A[Del(C):R(9,)]A"	0.000155787	3.39E-05	0	0.000183509	9.88E-05	3.63E-05	0.000136621	5.40E-05	0.000458671	4.17E-06	7.98E-06	1.89E-05	5.40E-05	0.000682868	0.000136438	2.92E-05	0.000461676	0	0.000137415	9.97E-06	0.000148238	6.15E-06	0.000245738	0.000282533	0.000112076	0	0.000171553	0.000794548	0.000651701	0.00386323	8.85E-05	0.000321642	9.33E-05	0.000190241	0.000383557	6.75E-06	0.001149933	9.89E-06	0.000128338	2.35E-05	0	0	0	0	0.000261426	2.23E-05	1.89E-05
"A[Del(C):R(9,)]G"	1.94E-05	1.70E-05	0	4.47E-05	5.07E-07	1.79E-05	1.44E-05	2.20E-06	4.05E-05	2.98E-06	3.07E-07	0	8.86E-06	9.31E-05	1.70E-05	1.08E-05	7.10E-05	0	4.55E-05	1.13E-06	1.14E-05	2.79E-07	9.18E-05	1.28E-05	3.06E-05	3.61E-05	5.13E-05	5.06E-05	2.52E-06	4.06E-05	0	4.87E-05	7.71E-05	6.38E-05	0.000171317	0	0.000895458	3.77E-07	1.08E-05	7.92E-06	0	0	0	0	4.23E-05	0	3.85E-07
"A[Del(C):R(9,)]T"	2.57E-05	1.09E-06	0	3.13E-05	3.87E-06	3.02E-05	9.77E-05	1.10E-05	0.00017768	2.00E-06	1.49E-06	8.38E-06	2.66E-05	8.19E-05	1.25E-05	1.47E-05	0.000191028	0	3.74E-05	5.37E-06	3.75E-06	5.08E-06	0.000294854	2.19E-05	1.98E-05	0	5.69E-05	3.22E-05	2.69E-05	4.87E-05	8.89E-07	4.59E-05	1.44E-05	6.17E-05	0.000266985	0	0.00033836	1.39E-06	4.66E-05	1.05E-05	0	0	0	0	7.50E-05	0	7.35E-06
G[Del(C):R1]A	0.000475292	0.0001089	0.00049843	0.00059784	3.73E-05	0.000109689	0.006104961	0.017989468	0.000653066	0.005042933	0.006824981	0.006108296	0.002130176	1.45E-05	0.003677422	0.009966251	0.000632544	0.000384861	0.002271141	0.000947425	0.001620432	0.001807274	0.000451868	0.002404711	0.001808282	0.001408095	0.026921155	0.002601567	0.006280301	3.38E-05	0.000262605	0.000477127	0.000410371	0.005197445	0.001839774	0.007024322	0.000329454	0.000108879	2.47E-05	4.10E-05	0.000329629	0.000654303	0.003153709	0	0.004920652	0.001088346	8.81E-06
G[Del(C):R1]G	0.000100207	9.92E-06	0.00015684	9.55E-05	6.95E-05	0.000144984	0.004799039	0.003967444	0.000655813	0.0005319	0.001113931	0.002006724	0.000344946	0.000166738	0.000366492	0.001269535	0.000506282	1.45E-06	0.000529876	0.000492386	0.000140807	0.000225846	0.000188352	0.001828899	0.00054766	0.00093873	0.000765782	0.000756398	0.001122	3.31E-05	5.52E-05	0.000544292	0.000268512	0.000445043	0.000969238	1.69E-05	0.001085215	9.83E-06	0.000119035	2.58E-05	6.88E-05	0.000147045	0.001508296	0	4.23E-05	9.40E-05	2.81E-05
G[Del(C):R1]T	0.000687124	0.000680018	0.000628776	0.001255342	9.92E-05	0.000209519	0.005204761	0.010039638	0.001925755	0.007515989	0.006224914	0.007020513	0.006548066	3.34E-05	0.004521791	0.031940362	0.002045212	3.28E-06	0.001499624	0.003805485	0.002826175	0.001105317	0.000178583	0.005364669	0.001323868	0.003032819	0.079001433	0.001710672	0.006917253	3.51E-05	0.000391495	0.000895449	0.000275809	0.013731678	0.001900673	0.017996447	0.000361762	0.002954241	4.90E-05	0.000146955	0.000491186	0.002249225	0.003839298	0	0.006443357	0.003270093	0.000143425
G[Del(C):R2]A	0.00083704	2.95E-05	0.000738628	0.000490797	0.000302542	0.000271301	0.032019663	0.033016124	0.001445993	0.004829533	0.015536065	0.005915583	0.001584472	3.32E-05	0.002568001	0.006194668	0.000990943	2.03E-06	0.001357307	0.001287942	0.000847388	0.001052683	0.000164797	0.00413329	0.002035528	0.012131278	0.031556327	0.004028652	0.006881546	4.66E-05	0.000252686	0.000551874	0.000640549	0.007976677	0.002362323	1.01E-05	0.000184174	5.86E-05	2.61E-05	5.25E-05	0.000314727	0.000272862	0.017551076	0	0.001641805	0.000850423	2.84E-05
G[Del(C):R2]G	0.00020584	3.37E-05	0.000141086	5.69E-05	2.61E-05	6.49E-05	0.006074645	0.00659345	0.000277237	0.000812681	0.001720092	0.001178641	0.000377217	8.64E-06	0.000576583	0.000987124	0.000257602	1.83E-06	0.000494967	0.000219608	0.000114048	0.000449793	7.32E-05	0.00096707	0.000336785	0.00209409	0.003031417	0.000807174	0.001042605	5.61E-05	7.80E-06	0.000489647	5.50E-05	0.000313935	0.000551039	1.01E-05	7.59E-05	1.87E-05	1.79E-05	2.05E-05	8.82E-06	2.82E-05	0.006033183	0	0.001978861	0.000133207	3.49E-06
G[Del(C):R2]T	0.000819347	9.06E-05	0.000652936	0.000458077	0.000142578	0.000161084	0.015767475	0.020149508	0.00127585	0.006567386	0.007342289	0.004356484	0.000714751	3.66E-05	0.005514022	0.009441594	0.000540895	2.27E-06	0.003964656	0.002057217	0.001016572	0.000630939	0.000743298	0.002513288	0.001567267	0.005018594	0.025985811	0.001712079	0.007552011	5.54E-05	0.000101768	0.000354595	0.000424735	0.005174504	0.001678487	1.01E-05	0.000205369	0.000264509	0.000149354	0.000116454	0.00012883	0.000405176	0.012203483	0	0.001779367	0.000477155	5.88E-05
