	C_ID1	C_ID2	C_ID3	C_ID4	C_ID5	C_ID6	C_ID7	C_ID8	C_ID9	C_ID10	C_ID11	C_ID12	C_ID13	C_ID14	C_ID15	C_ID16	C_ID17	C_ID18	C_ID19	C_ID23	ID_A	ID_B	ID_C	ID_D	ID_E	ID_F	ID_G	ID_H	ID_I	ID_J	ID_K	ID_L	ID_M	ID_N
INS:T:1:2	0.00375783	0.002793769	0.049223979	0.00057274	0.034186211	0.002198281	0.028244058	0.001990467	0.003220491	0.017370546	0.144481795	0.01524647	0.010757112	0.009054001	0	0.031336406	0.030718867	0.000769297	0.003432003	0.007931857	0.005098214	0.006965517	0.010880199	0.022872684	0.019590626	0.001433824	0.167261802	0.00307937	0.015840044	0.004688043	0.003447937	0.004839888	0.009302776	0.002300396
INS:T:1:3	0.00459739	0.002481065	0.027205039	0.001139409	0.020813124	0.001216723	0.011350786	0.002238591	0.003114129	0.019097584	0.093843236	0.015493962	0.011880569	0.004792775	0	0.011981567	0.007335928	0.002153304	0.004285359	0.005507047	0.008109213	0.002508768	0.008216261	0.004495094	0.004559827	0.002013407	0.081499964	0.001674269	0.006718165	0.00390224	0.003759837	0.005520532	9.78E-05	0.003815661
INS:T:1:4	0.011479422	0.003430984	0.008098881	0.000373053	0.010646027	0.001004999	0.004677836	0.000383667	0.003424971	0.008435678	0.047283769	0.003710527	0.010459367	0.00266209	0	0.004608295	0.003936222	0.007098034	0.004433896	0.003535842	0.008660849	0.001858125	0.002515106	0.002290444	0.00196062	0.003586924	0.03638849	0.001986395	0.000106309	0.004505913	0.035543976	0.020272302	0.001868764	0.009368304
INS:T:1:5+	0.563137155	0.119533879	0.040198834	0.008423912	0.019733857	0.023914573	0.024927575	0.006122734	0.033312204	0.077015011	0.037969	0.022225665	0.05600891	0.058872457	0	0.002764977	0.007415039	0.057851879	0.031663935	0.002041273	0.014125245	0.022880802	0.014382737	0.016159781	0.018818757	0.018818816	0.01689419	0.018261143	0.038652265	0.0135354	0.016425804	0.010622379	0.004982788	0.372704467
DEL:repeats:2:0	0.004827829	0.004621913	0.006713667	0.02529399	0.02314451	0.006143881	0.004443366	0.005854555	0.013661138	0.006608527	4.10E-06	0.002320405	0.011937692	0.005835464	0	0	0.028295207	0.007882089	0.01151937	0.029200975	0.104895484	0.025187683	0.005983462	0.002631791	0.010693977	0.081911466	0.01223649	0.008065085	0.030124965	0.013425371	0.000663845	0.004227905	0.011425657	0.00150064
DEL:repeats:2:1	0.008487599	0.008598548	0.013132944	0.127027526	0.020178631	0.006172362	0.01726369	0.009277027	0.012289048	0.019492992	0.001393858	0.006492066	0.006437986	0.00325257	0	0	0.010316938	0.018271411	0.006621536	0.062039327	0.020392608	0.020681468	0.004475625	0.00292952	0.010615163	0.179653328	0.00942066	0.011109698	0.006765205	0.010529903	0.002178818	0.003918929	0.010692124	0.008157425
DEL:repeats:2:2	0.002051025	0.002696816	0.011006357	0.036959744	0.004602052	0.001226347	0.005331147	0.002291714	0.007339822	0.006483704	0.000162389	0.006221087	0.001999949	0.001357121	0	0	0.003069916	0.002062449	0.004215391	0.031585452	0.003552939	0.004140786	0.003888242	0.001147637	0.002650116	0.052718478	0.003091586	0.002840374	0.003505375	0.010508748	0.002280813	0.001668773	0.001896708	0.002169829
DEL:repeats:2:3	0.000776935	0.005060099	0.007608712	0.011342985	0.000905576	0.001357237	0.031492141	0.000188495	0.001954038	0.002175076	4.06E-06	0.001445759	0.000769051	0.00012674	0	0	0.001158135	0.000875958	0.002754984	0.006892297	0.001951233	0.000590726	0.002846258	0.001692135	0.004326334	0.016871313	0.001580659	0.001389531	0.000305756	0.031985107	0.006121648	0.001428457	9.78E-05	0.001019443
DEL:repeats:2:4	0.001146966	0.003240222	0.003331385	0.004040758	0.000173576	0.000210328	0.029793334	0.000220617	0.00097014	0.000345122	3.04E-06	0.002954929	0.000232495	9.01E-05	0	0	0.000599224	0.000336883	0.001885042	0.001262631	0.000434795	0.000401462	0.001728339	0.004467714	0.002468374	0.008834081	0.004596607	0.000704884	5.46E-05	0.079529335	0.009049989	0.00480705	0.012966951	0.000425007
DEL:repeats:2:5+	0.001921029	0.009562336	0.003709578	0.00525802	0.000223572	0.000330694	0.07750094	0.000338072	0.001457696	0.000459603	2.26E-06	0.219571404	0.000341463	0.000185103	0	0	0.000682747	0.000658094	0.006114712	0.00018328	0.001636758	0.000532282	0.003189196	0.008150054	0.001734553	0.004726541	0.001441635	0.001319768	9.60E-05	0.304290344	0.007958207	0.002872587	0.043212108	0.000689239
DEL:repeats:3:0	0.002159737	0.001207006	0.00046922	0.00746394	0.012484006	0.005399332	0.001752572	0.006009897	0.003689567	0.004760793	0.000170868	0.006223517	0.003208509	0.000846151	0	0	0.018461982	0.002838844	0.002891034	0.003256003	0.008664578	0.018802043	0.005014801	0.00044954	0.003633852	0.00444684	0.004665987	0.005354053	0.003731164	0.004716641	0.000266916	0.005419779	0.007932641	0.000671013
DEL:repeats:3:1	0.006349043	0.006281627	0.001114841	0.125774553	0.007634155	0.005377404	0.012928223	0.003007478	0.009985354	0.019139769	0.000474127	0.004690617	0.002511361	0.002564479	0	0	0.009399845	0.003578888	0.004590972	0.001557068	0.013301894	0.005089201	0.017352604	0.001378777	0.007683017	0.003358937	0.00433619	0.005322863	0.006260943	0.009755448	0.003199547	0.003220373	0.007183389	0.006867732
DEL:repeats:3:2	0.00113779	0.002172087	0.0004355	0.037005892	0.001130659	0.000347093	0.004030692	0.00077703	0.001967472	0.001738043	0.000171652	0.005020715	0.000339569	0.00061568	0.000137118	0	0.000285903	0.001442415	0.001004529	0.001226624	0.00162756	0.000630042	0.003130111	0.000380403	0.000899334	0.000674815	0.002611747	0.000686331	0.007884742	0.004397728	0.001241621	0.001891922	0.0025761	0.002032785
DEL:repeats:3:3	0.000428422	0.000603107	8.89E-05	0.008112729	0.000204245	0.000313076	0.003305258	0.000150273	0.000555802	0.001071999	0.000182849	0.002804458	6.73E-05	0.000100815	0	0	0.000736995	0.000254482	0.00047442	0.000774209	0.000554867	0.000343443	0.000921254	0.000195317	0.000577495	0.000354751	0.0023858	0.000425314	0.000145822	0.003542145	0.000335043	0.001394873	0.002766469	0.00033141
DEL:repeats:3:4	0.000187976	0.000380668	5.66E-05	0.003062898	0.000148239	1.93E-05	0.001672663	7.01E-05	0.000466289	0.000556353	3.46E-06	0.064071115	0.000119054	6.63E-05	0	0	0.000489008	0.000130318	0.000288244	1.48E-05	0.000138468	0.000145802	0.000820629	0.000317846	0.00067629	0.00010816	0.00121322	0.000627336	8.37E-05	0.004759949	0.000386853	0.000947827	0.005921536	0.000109542
