MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
3:Del:R:4	4.41E-05	1.25E-04	2.60E-05	1.89E-05	2.56E-04	1.50E-04	4.98E-05	3.92E-05	5.49E-05	6.05E-05	4.28E-05	5.76E-05	1.46E-04	5.46E-05	1.27E-04	8.65E-09	1.90E-04	1.75E-04	2.73E-04	1.40E-04
3:Del:R:5	7.44E-05	1.06E-04	6.08E-05	3.30E-05	2.66E-04	5.29E-05	1.25E-04	2.25E-05	1.26E-05	9.98E-05	8.53E-06	1.29E-04	1.09E-04	4.77E-05	1.11E-04	1.90E-06	2.83E-05	1.89E-04	2.21E-04	1.15E-04
4:Del:R:0	3.28E-05	2.31E-04	2.35E-04	3.90E-04	7.20E-04	9.02E-04	7.72E-04	2.40E-04	3.43E-04	5.39E-04	7.13E-04	1.15E-03	8.19E-04	7.63E-04	3.89E-04	3.85E-04	2.69E-04	1.28E-03	1.08E-03	8.13E-04
4:Del:R:1	1.44E-04	7.30E-04	7.29E-04	9.51E-04	2.46E-03	2.01E-03	2.06E-03	3.23E-04	6.37E-04	9.93E-04	1.15E-03	1.73E-03	2.01E-03	8.46E-04	1.40E-03	3.43E-04	9.00E-04	2.81E-03	4.24E-03	2.10E-03
4:Del:R:2	1.73E-04	6.41E-04	3.04E-04	4.10E-04	5.39E-04	9.68E-04	9.25E-04	4.34E-05	3.00E-04	5.20E-04	4.52E-04	6.84E-04	9.94E-04	1.15E-04	5.20E-04	7.36E-05	1.61E-04	4.53E-04	1.19E-03	6.44E-04
4:Del:R:3	7.47E-05	2.54E-04	2.25E-04	3.91E-04	5.19E-04	1.70E-04	4.23E-04	3.69E-05	1.61E-04	3.12E-04	2.22E-04	3.36E-04	4.99E-04	1.44E-04	2.49E-04	2.40E-04	1.40E-04	6.52E-04	7.45E-04	3.83E-04
4:Del:R:4	5.76E-05	8.95E-05	7.05E-05	7.81E-05	3.19E-04	1.74E-04	1.22E-04	4.14E-05	1.09E-04	1.57E-04	3.56E-05	1.96E-04	3.52E-04	1.12E-04	1.12E-04	8.45E-06	2.05E-04	7.70E-05	1.59E-04	1.61E-04
4:Del:R:5	9.45E-05	1.24E-04	6.99E-05	2.53E-05	3.51E-04	1.34E-04	7.06E-05	1.38E-05	1.37E-09	1.24E-04	7.35E-06	2.03E-04	2.60E-04	2.54E-05	1.62E-04	7.90E-06	7.31E-05	1.57E-04	1.74E-04	9.50E-05
5:Del:R:0	3.94E-04	6.31E-04	5.51E-04	7.78E-04	2.51E-03	1.78E-03	1.73E-03	1.90E-03	2.88E-03	1.16E-03	1.90E-03	3.12E-03	2.85E-03	5.03E-03	7.55E-04	2.98E-03	4.11E-04	3.58E-03	1.71E-03	2.36E-03
5:Del:R:1	2.85E-04	1.07E-03	5.56E-04	8.03E-04	2.42E-03	8.29E-04	1.23E-03	2.75E-04	4.88E-04	7.79E-04	1.56E-03	1.69E-03	1.80E-03	2.38E-04	1.56E-03	9.06E-05	5.54E-04	2.57E-03	1.84E-03	1.10E-03
5:Del:R:2	1.30E-04	3.00E-04	1.88E-04	1.04E-04	5.36E-04	1.67E-04	2.23E-04	9.25E-05	1.59E-04	2.92E-04	5.52E-05	6.17E-04	5.82E-04	5.59E-05	5.18E-04	3.28E-05	1.57E-04	1.88E-04	1.88E-04	2.65E-04
