Sample Names	MutationType	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID9	ID12	ID14	ID19	ID21
SP106834	5:Ins:R:4	0.7892512545618342	0.0	0.0214057488024094	0.0	0.0	0.0	0.014863980246049593	0.1744790163897068	0.0	0.0	0.0	0.0
SP106834	5:Ins:R:5	0.4377667772638278	0.0	0.011472547235157103	0.0	0.0	0.0	0.5093442097405454	0.04141646576046968	0.0	0.0	0.0	0.0
SP106834	2:Del:M:1	0.0771806783012248	0.0	0.4030118553596272	0.0	0.0	0.0	0.23166605570920293	0.28814141062994514	0.0	0.0	0.0	0.0
SP106834	3:Del:M:1	0.007695409111750317	0.0	0.02922106733919548	0.0	0.0	0.0	0.6387290628163236	0.3243544607327307	0.0	0.0	0.0	0.0
SP106834	3:Del:M:2	0.2218160744445466	0.0	0.04097285176931641	0.0	0.0	0.0	0.47198533525527836	0.2652257385308585	0.0	0.0	0.0	0.0
SP106834	4:Del:M:1	0.012676137126111188	0.0	0.01003339976554496	0.0	0.0	0.0	0.643017624283745	0.33427283882459885	0.0	0.0	0.0	0.0
SP106834	4:Del:M:2	0.026955129222372656	0.0	0.05688708922873508	0.0	0.0	0.0	0.21577885897360305	0.7003789225752892	0.0	0.0	0.0	0.0
SP106834	4:Del:M:3	0.040186401193218264	0.0	0.029445010230384143	0.0	0.0	0.0	0.20099324894928636	0.7293753396271112	0.0	0.0	0.0	0.0
SP106834	5:Del:M:1	3.948029173916267e-06	0.0	0.005980157060459779	0.0	0.0	0.0	0.9938195555111685	0.0001963393991978086	0.0	0.0	0.0	0.0
SP106834	5:Del:M:2	2.5790933939989195e-09	0.0	0.017126222557176184	0.0	0.0	0.0	0.9801255016123067	0.0027482732514237562	0.0	0.0	0.0	0.0
SP106834	5:Del:M:3	6.636708661975026e-11	0.0	0.019920161984389523	0.0	0.0	0.0	0.9614385376971903	0.018641300252052993	0.0	0.0	0.0	0.0
SP106834	5:Del:M:4	0.002960291612617572	0.0	0.044103906823641695	0.0	0.0	0.0	0.9137261250634516	0.039209676500289066	0.0	0.0	0.0	0.0
SP106834	5:Del:M:5	0.06414208107553497	0.0	0.03158888158792166	0.0	0.0	0.0	0.9042690373365427	5.980767468207737e-16	0.0	0.0	0.0	0.0
SP106825	1:Del:C:0	0.0018647736586343488	0.016582870445575697	0.6967166462409015	0.0	0.28483570965488836	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Del:C:1	0.005850154353115201	4.926299287678359e-05	0.7566077407970468	0.0	0.23749284185696107	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Del:C:2	2.9109762807019284e-17	8.06130750591585e-06	0.7426948812900265	0.0	0.2572970574024676	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Del:C:3	0.03902296189943664	0.014904801648057592	0.6274625571469953	0.0	0.3186096793055104	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Del:C:4	0.02707811158431422	0.043601475526619415	0.8080899058007143	0.0	0.12123050708835206	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Del:C:5	0.15839009720862596	0.2024552995870685	0.5046124985284886	0.0	0.13454210467581687	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Del:T:0	0.00984104037891264	0.017483457354508347	0.13511535063323635	0.0	0.8375601516333426	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Del:T:1	2.6892143357025732e-17	9.458645429438846e-18	0.05179138535680573	0.0	0.9482086146431942	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Del:T:2	0.006862715322972754	0.015198336495246103	0.057920253170742814	0.0	0.9200186950110384	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Del:T:3	0.01983204507802956	0.0515175455854761	0.08333014764248638	0.0	0.8453202616940081	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Del:T:4	0.05155534229351516	0.16684433600981913	0.09099383592229997	0.0	0.6906064857743658	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Del:T:5	1.1921217544550608e-17	0.8648151392216747	0.01391411328013282	0.0	0.12127074749819242	0.0	0.0	0.0	0.0	0.0	0.0	0.0
