Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
CPCT02040299TII	400	356	261	208	266	72	148	89	328
WIDE01010034T	14	10	150	12	22	33	23	32	36
CPCT02040332T	742	29	87	235	190	85	117	0	98
CPCT02230086T	352	28146	4598	79	254	0	0	214	441
CPCT02011070T	38	91	299	46	139	83	64	69	74
WIDE01010026T	26	170	758	108	179	41	94	56	113
CPCT02390020T	614	156	264	96	206	108	2	17	53
CPCT02011106T	179	111	138	39	89	60	49	61	67
CPCT02410019T	1578	285	29	603	180	43	23	321	144
CPCT02270022T	274	174	301	118	97	167	86	56	41
CPCT02011040TII	22	2	66	10	65	44	14	51	42
CPCT02010760T	489	130	308	705	10	107	101	39	110
WIDE01010057T	15	25	161	0	112	14	52	64	26
WIDE01010065T	1874	138	366	539	276	98	130	85	97
CPCT02020964T	774	48	189	221	463	127	277	83	71
CPCT02050321T	282	106	259	10	150	167	46	97	35
CPCT02010779T	83	180	116	36	335	160	108	70	37
CPCT02011105T	280	192	164	243	137	80	26	64	102
CPCT02011107T	1152	166	197	628	96	52	59	42	68
WIDE01010615T	24	65	303	23	66	55	39	59	63
WIDE01010130TII	9	10	39	21	59	40	24	19	2
WIDE01010041T	1151	124	88	173	170	82	61	19	94
CPCT02040225T	1376	86	258	591	238	156	39	29	165
WIDE01010058T	80	135	410	21	129	35	5	88	59
WIDE01010083T	209	107	88	180	124	22	20	43	34
CPCT02040234T	1038	106	107	172	240	173	80	18	24
CPCT02011089TII	24	50	240	30	176	74	64	58	55
CPCT02010781T	847	138	93	256	314	145	67	46	96
WIDE01010088T	437	64	77	360	241	62	88	21	31
WIDE01010081T	43	27	426	31	131	53	52	45	70
DRUP01010078T	5483	301	172	1926	0	253	25	108	334
WIDE01010079T	18	70	75	17	70	38	11	32	28
WIDE01010089T	27	64	274	50	53	56	44	94	50
WIDE01010082T	280	263	152	68	187	46	38	95	45
WIDE01010075T	32	22534	0	0	352	28	0	9	0
CPCT02270049T	144	197	309	47	307	79	186	73	38
WIDE01010099T	0	64	116	24	44	27	39	34	6
CPCT02040341T	0	22	124	48	118	17	12	17	24
WIDE01010104T	1222	63	260	611	167	52	29	39	96
WIDE01010090T	8	35	225	21	36	31	78	42	38
CPCT02040338T	0	11	60	22	58	25	22	15	29
WIDE01010105T	616	72	220	265	70	49	51	26	38
CPCT02040340T	45	52	36	137	630	52	40	76	80
CPCT02100156T	651	94	371	167	51	198	72	33	0
WIDE01010115T	251	14	372	221	162	59	127	58	47
WIDE01010122T	1134	246	283	532	221	104	150	81	59
CPCT02100149T	1069	78	142	550	223	138	83	43	0
WIDE01010121T	202	75	89	18	71	119	136	66	76
CPCT02010776T	12	14	74	15	45	171	36	31	0
CPCT02050339T	658	118	255	234	365	206	61	0	98
CPCT02050439T	2	260	3524	51	19	46	13	7	0
WIDE01010130T	5	38	124	43	93	67	57	51	31
WIDE01010134T	81	171	338	65	152	106	80	142	61
WIDE01010139T	3007	548	448	1938	0	234	36	76	338
CPCT02050344T	139	18	72	45	87	239	35	49	27
WIDE01010192T	27	32	34	10	60	18	20	22	24
WIDE01010005T	29	108	259	40	128	44	26	55	29
CPCT02011068T	11	113	563	27	111	41	15	51	33
WIDE01010151T	15	27	132	25	117	58	48	57	57
CPCT02050346T	1218	44	86	193	103	223	74	14	0
CPCT02160045T	768	203	471	199	173	388	182	66	129
WIDE01010189T	653	136	371	240	308	98	83	27	55
CPCT02040215T	11	28	103	17	62	187	41	18	0
WIDE01010176T	43	40	164	52	146	58	48	51	63
WIDE01010175T	0	16	59	0	14	25	2	10	19
WIDE01010188T	393	293	467	229	75	44	41	45	92
CPCT02370019T	236	137	311	76	159	196	56	75	29
CPCT02010802T	81	44	209	39	161	167	67	58	17
CPCT02010807T	527	212	360	242	159	111	35	26	29
WIDE01010224T	1083	276	123	822	210	93	155	68	92
CPCT02070320T	1383	99	111	275	386	103	78	20	119
WIDE01010217T	2660	108	103	707	196	128	86	112	139
CPCT02070321T	21	7	10	14	79	63	18	21	2
WIDE01010191T	13	8	61	11	53	36	11	17	26
WIDE01010256T	348	12	11	169	109	34	31	3	20
WIDE01010241T	36	706	387	68	131	46	47	184	35
WIDE01010253T	40	298	457	79	49	52	27	62	46
WIDE01010260T	884	35	38	387	3	71	88	15	248
CPCT02010797T	1768	222	297	361	0	309	178	37	209
WIDE01010276T	1702	130	210	828	198	92	38	62	178
WIDE01010019T	1285	58	78	753	196	103	53	42	101
WIDE01010263T	1008	429	445	76	331	138	347	149	158
CPCT02270029T	3932	531	333	1387	139	382	50	190	90
WIDE01010287T	761	116	313	503	182	84	190	52	97
WIDE01010194T	0	73	248	62	131	43	33	54	53
WIDE01010193T	12	62	128	45	145	61	57	129	47
CPCT02010780T	3102	121	159	1367	0	221	30	70	90
WIDE01010307T	769	133	658	304	88	90	59	120	58
CPCT02270026T	2071	1059	1176	974	348	161	15	105	176
WIDE01010315T	109	72	127	38	395	78	135	97	63
WIDE01010316T	16	169	250	30	151	57	67	109	15
WIDE01010306T	470	8	55	257	63	45	22	60	48
CPCT02010722TII	693	76	169	84	152	218	247	75	38
WIDE01010313T	24	45	167	21	124	35	11	31	47
WIDE01010334T	444	9	98	164	48	40	34	9	31
WIDE01010333T	712	157	183	172	351	88	219	57	105
WIDE01010363T	824	267	121	487	308	100	222	117	70
WIDE01010343T	45	384	837	7	8	58	13	101	93
WIDE01010036T	591	39	136	126	102	70	57	37	53
CPCT02010782T	2105	61	115	490	0	107	96	7	120
DRUP01080030T	105	19	140	21	112	44	61	57	1
WIDE01010368T	36	296	648	21	98	67	33	34	45
WIDE01010242T	42	581	565	47	134	61	83	72	100
WIDE01010399T	15	52	220	7	76	36	26	90	33
WIDE01010395T	41	84	212	28	138	82	8	65	80
DRUP01230005T	1360	55	100	596	65	93	8	48	114
DRUP01340010T	10	32	229	46	70	224	38	84	50
WIDE01010419T	26	113	217	9	112	27	18	49	31
WIDE01010403T	156	185	315	99	143	55	3	76	75
WIDE01010398T	961	53	87	523	189	63	34	23	29
WIDE01010422T	2047	437	120	1296	39	112	56	45	172
WIDE01010390T	1677	152	212	731	146	83	23	19	79
DRUP01010149T	0	9	163	17	71	19	38	46	27
WIDE01010449T	168	82	98	28	75	46	70	32	55
WIDE01010238TII	872	45	7	572	968	173	541	188	41
WIDE01010417T	21	15	251	26	82	33	18	96	66
CPCT02370031T	283	31	99	142	169	87	57	49	43
CPCT02010811T	430	64	139	220	57	219	65	51	38
CPCT02010842T	6	206	52	13	55	162	63	509	0
CPCT02010836T	303	71	142	57	151	86	29	30	61
CPCT02010683T	1123	757	336	981	345	99	11	107	75
CPCT02010852T	1442	385	360	435	346	173	231	54	33
CPCT02040255T	174	116	231	130	625	149	279	101	57
CPCT02010858T	30	9	85	17	68	52	24	22	4
CPCT02010849T	28	88	67	7	20	304	95	109	0
CPCT02390026T	2182	166	171	744	263	171	110	20	108
CPCT02010870T	1953	594	737	563	253	153	52	101	237
CPCT02010847T	1742	257	41	1447	661	359	451	41	81
CPCT02190039T	40	247	277	2	203	32	21	102	284
CPCT02120147T	1470	69	212	621	147	193	92	32	5
CPCT02010865T	12	7	104	19	54	112	6	21	0
CPCT02190040T	48	55	144	30	93	98	54	20	25
CPCT02120140T	93	383	200	87	138	107	55	94	22
CPCT02120138T	73	32	122	55	196	86	57	60	43
CPCT02370034T	1399	181	335	316	171	136	91	8	119
CPCT02390028T	353	34	136	104	156	57	18	61	39
CPCT02010874T	331	291	103	341	288	92	76	69	95
CPCT02010867T	5946	0	0	4369	0	263	0	0	325
DRUP01010086T	1424	76	87	231	205	215	45	8	58
CPCT02190043T	1545	105	239	1184	174	122	80	30	115
CPCT02270034T	743	87	370	270	231	139	196	7	369
CPCT02390030T	868	32	106	463	123	92	89	41	40
DRUP01270004T	0	212	402	681	0	146	76	40	109
WIDE01010591T	27	19	204	20	96	50	64	49	40
CPCT02390032T	2389	101	0	1466	13	117	68	18	98
CPCT02010853T	72	0	304	15	110	128	1205	60	79
CPCT02190045T	1229	32	189	273	119	127	103	45	28
CPCT02030508T	1908	91	56	354	516	237	172	45	70
CPCT02010567TII	22	12	104	25	62	203	25	42	41
CPCT02040215TII	7	55	169	26	94	68	84	43	31
DRUP01010090T	1678	450	407	515	293	101	65	162	113
CPCT02020784T	12	20	102	52	70	92	0	42	15
CPCT02010904T	504	80	198	89	123	139	34	13	40
CPCT02330122T	14	1022	1058	50	222	133	29	125	199
CPCT02270036T	759	286	761	177	202	144	108	77	67
CPCT02010894T	0	75	343	142	68	118	16	31	22
CPCT02010897T	816	71	239	98	205	158	104	5	8
DRUP01010092T	82	52	112	29	47	198	138	65	99
CPCT02010903T	25	180	451	41	64	109	22	40	29
CPCT02410006T	684	170	374	132	147	130	41	19	26
CPCT02190047T	624	303	194	302	239	104	98	55	58
DRUP01140006T	917	212	86	393	610	146	117	0	138
CPCT02120152T	20	41	77	29	108	211	5	22	0
CPCT02010895T	1586	190	656	53	70	171	622	88	80
CPCT02040286T	1187	132	324	588	59	173	94	15	353
CPCT02010913T	872	285	124	395	197	102	33	113	117
CPCT02010911T	3612	433	135	1695	500	195	107	101	143
CPCT02100184T	548	147	274	156	180	99	56	66	102
CPCT02330123T	1375	142	241	298	73	179	61	44	132
CPCT02010919T	9	3	48	13	0	166	0	41	0
CPCT02410013T	1182	105	176	484	195	66	10	72	48
CPCT02120161T	755	95	103	513	211	122	12	43	48
CPCT02010924T	468	17	46	257	167	58	0	42	27
CPCT02030531T	673	101	210	128	238	109	65	16	67
CPCT02060261T	1393	118	235	623	214	209	887	121	110
CPCT02060265T	355	150	200	148	450	121	138	75	19
CPCT02010918T	1368	274	160	312	0	108	116	33	1034
CPCT02010925T	1414	173	147	518	80	141	80	46	29
CPCT02070380T	1286	393	194	270	421	457	120	54	178
CPCT02010931T	316	137	127	35	132	113	52	83	35
DRUP01010096T	2716	399	177	1712	197	254	170	238	157
CPCT02010938T	436	57	394	69	127	208	28	55	43
CPCT02010894TII	0	268	394	92	39	69	52	19	110
CPCT02010945T	1002	154	125	537	187	216	54	34	92
CPCT02120167T	1236	186	402	387	0	154	123	71	86
DRUP01190001T	256	120	162	9	85	123	62	12	160
CPCT02010776TII	30	40	162	41	110	111	47	106	74
CPCT02070393T	1542	388	5	470	31	257	111	135	14
CPCT02070396T	11	164	182	15	124	102	17	66	43
DRUP01010101T	296	93	203	36	365	168	150	58	144
CPCT02030546T	3675	73152	20288	2867	0	505	0	1602	1075
CPCT02240013T	37	106	283	29	136	59	58	64	45
CPCT02010953T	67	151	680	31	145	73	6	69	73
DRUP01010102T	373	325	215	35	184	96	94	140	117
CPCT02010967T	1123	163	71	710	208	174	10	3	88
CPCT02390005T	122	18	107	46	99	149	5	41	5
CPCT02010966T	1	6	182	32	156	147	50	54	10
DRUP01010038T	15	67	194	24	142	117	4	40	10
