Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
DRUP01010072T	128	950	42	172	174	130	39	52	65	138
CPCT02330087T	110	206	33	237	395	111	220	66	0	136
CPCT02240010T	432	962	41	401	186	137	80	87	0	93
CPCT02110062T	401	0	18	810	170	125	147	258	892	604
WIDE01010038T	116	359	0	120	265	42	111	44	0	69
CPCT02050325T	323	1040	54	269	267	110	84	189	0	271
CPCT02050327T	207	1470	43	0	49	120	37	37	107	135
CPCT02050329T	273	1781	78	0	216	174	195	56	0	124
WIDE01010060T	85	765	43	77	74	64	195	20	0	33
WIDE01010100T	208	903	89	2	66	31	24	17	0	18
DRUP01340006T	371	780	0	0	228	115	769	313	183	187
CPCT02220036T	314	870	1	65	210	67	94	97	0	59
WIDE01010066T	487	899	16	0	66	55	64	108	79	131
WIDE01010077T	209	827	32	137	74	82	0	31	0	123
CPCT02040226T	194	1707	19	0	19	64	0	44	0	36
CPCT02330098T	285	0	7	122	23	174	52	18	116	121
WIDE01010091T	75	921	48	85	65	52	49	209	9	68
CPCT02110064T	100	774	14	0	46	77	56	200	14	64
WIDE01010063T	70	593	26	34	55	26	76	75	0	136
WIDE01010097T	85	782	22	175	20	41	47	17	0	43
WIDE01010096T	359	0	21	236	22	54	138	171	504	376
CPCT02370022T	200	1179	89	282	152	105	18	136	0	52
CPCT02020695T	262	65	24	420	31	127	71	102	388	347
CPCT02100201T	453	596	1	362	39	51	15	110	243	61
CPCT02050335T	159	0	47	291	265	136	148	10	251	67
CPCT02160040T	272	615	41	0	585	216	357	644	82	704
CPCT02240012T	329	0	41	43	138	91	232	39	546	146
WIDE01010128T	294	1271	11	206	221	57	0	0	0	29
CPCT02220081T	145	562	13	81	54	52	16	153	0	39
CPCT02100165T	368	0	47	281	157	80	103	70	361	56
DRUP01230004T	121872	18857	34794	272	223	1379	0	828	0	219
DRUP01060002T	255	0	9	616	247	431	21	4	271	220
WIDE01010206T	173	724	65	214	712	82	227	55	0	33
WIDE01010001T	192	487	39	0	37	41	19	3	74	14
CPCT02120112T	473	1286	41	526	216	166	0	79	0	203
CPCT02120119T	260	888	28	0	5	174	45	50	133	86
WIDE01010154T	209	1371	8	389	12	71	322	121	0	270
CPCT02370020T	396	929	21	135	34	193	30	50	15	79
CPCT02230090T	313	634	0	0	79	121	181	83	622	124
CPCT02210048T	115	0	7	211	147	155	94	44	120	85
WIDE01010159T	691	1654	44	17	30	94	11	71	0	41
WIDE01010179T	228	1439	0	186	69	87	42	16	0	22
WIDE01010177T	71	834	19	314	126	64	127	81	0	67
WIDE01010166T	416	659	30	192	70	59	70	47	0	750
CPCT02130069T	67	1044	17	86	70	81	0	27	0	36
WIDE01010168T	399	1334	32	289	98	79	139	24	0	37
CPCT02340074T	263	1053	31	0	303	257	65	237	0	109
CPCT02290032T	329	0	39	176	5	165	5	0	347	48
WIDE01010200T	444	1507	8	0	70	53	415	90	0	107
DRUP01340016T	100546	30227	21985	8382	37	1055	0	0	0	0
WIDE01010228T	144	1346	88	0	20	171	54	68	229	103
WIDE01010227T	324	1651	21	49	76	92	0	39	0	55
WIDE01010232T	322	888	27	0	19	39	0	33	100	28
WIDE01010196T	111	1086	21	42	66	63	9	54	0	25
CPCT02050352T	268	1079	31	127	523	109	32	5	0	9
CPCT02100173T	300	725	0	166	462	213	44	31	0	55
CPCT02210049T	231	797	41	0	158	123	67	82	86	70
WIDE01010236T	179	893	22	172	76	68	40	36	0	31
CPCT02210050T	192	1547	26	451	91	112	0	12	0	40
WIDE01010218T	573	2184	44	0	106	84	0	33	0	37
WIDE01010261T	72	1468	60	103	39	72	0	27	0	30
CPCT02350002T	546	1113	94	0	203	152	78	25	88	177
CPCT02130089T	322	577	47	148	75	231	0	72	0	328
WIDE01010251T	143	276	14	114	119	56	55	40	214	41
WIDE01010273T	64	685	30	23	27	30	28	17	0	31
WIDE01010252T	3	1217	14	128	65	74	0	32	0	22
WIDE01010258T	185	660	24	189	111	51	57	187	0	78
WIDE01010291T	785	348	44	0	37	52	124	139	486	76
CPCT02120124T	160	501	14	167	292	133	47	10	162	117
WIDE01010269T	161	916	51	44	366	109	191	110	0	423
CPCT02060231T	446	807	18	507	724	145	106	61	0	65
WIDE01010300T	142	1063	32	0	153	74	65	129	12	110
WIDE01010319T	243	845	51	979	1047	115	44	36	0	17
WIDE01010327T	162	812	8	244	25	43	16	44	0	31
CPCT02230100T	717	1813	98	183	429	144	0	77	0	87
WIDE01010338T	383	1780	24	166	132	112	78	61	0	115
CPCT02380040T	100	1019	41	115	275	64	88	174	0	41
WIDE01010299T	127	726	85	0	424	103	87	79	59	53
WIDE01010353T	99	396	13	0	14	50	75	56	137	61
CPCT02190017T	46	416	26	74	334	110	41	71	0	68
WIDE01010366T	20	1485	31	382	74	58	0	41	0	67
CPCT02190037T	106	873	6	173	861	148	92	6	0	82
WIDE01010389T	43	322	32	31	20	36	26	17	29	20
CPCT02050354T	200	854	43	0	70	64	57	77	117	64
CPCT02040122T	108	513	10	181	183	67	39	161	219	37
DRUP01070080T	92947	0	31823	4110	73	330	3869	233	0	0
WIDE01010027T	91	581	19	52	83	14	28	10	0	46
CPCT02050358T	337	3040	66	380	32	138	0	0	0	72
WIDE01010407T	575	531	0	530	544	143	48	615	0	37
DRUP01050026T	545	0	17	350	229	405	49	141	249	173
CPCT02060136T	737	770	34	599	1456	256	70	196	6	145
CPCT02290036T	69	814	5	338	3	72	0	38	0	20
WIDE01010426T	110	700	17	0	23	40	7	19	23	18
WIDE01010379T	56	364	27	44	70	44	10	83	83	73
CPCT02390022T	26	512	27	13	31	224	85	9	0	123
WIDE01010429T	31	1237	15	5	217	73	112	39	38	52
WIDE01010434T	284	525	0	209	89	41	163	19	26	33
CPCT02050355T	185	1232	67	92	67	160	7	20	23	109
CPCT02010835T	1445	0	87	499	83	236	80	216	537	189
DRUP01020053T	130888	32430	38222	4497	170	1650	0	423	0	157
DRUP01040016T	103480	8614	28006	12836	22	688	0	0	0	0
CPCT02010841T	416	873	69	131	150	175	61	87	0	84
WIDE01010441T	458	0	10	120	71	50	276	180	255	268
CPCT02010786T	77726	4440	16748	7091	54	442	218	51	0	34
WIDE01010439T	12	550	2	0	8	30	8	40	22	62
CPCT02010839T	213	895	32	162	24	121	43	25	0	150
DRUP01050025T	899	0	52	71	58	545	178	528	816	326
WIDE01010446T	293	426	22	0	150	71	132	31	213	95
WIDE01010447T	137	1128	0	169	45	37	0	45	0	8
WIDE01010425T	732	1655	63	374	236	98	45	72	0	14
WIDE01010442T	516	2002	81	0	134	110	17	52	0	13
WIDE01010451T	2958	0	291	8	205	91	39	97	2897	41
CPCT02160049T	605	0	96	363	207	151	75	188	723	310
WIDE01010456T	152	1224	60	0	332	102	91	208	0	56
