Koh_476,Koh_89
C[Del(T):R14]G,"C[Del(T):R(8,)]G"
C[Del(T):R1]A,"C[Del(T):R(1,4)]A"
C[Del(T):R1]C,"C[Del(T):R(1,4)]C"
C[Del(T):R1]G,"C[Del(T):R(1,4)]G"
C[Del(T):R2]A,"C[Del(T):R(1,4)]A"
C[Del(T):R2]C,"C[Del(T):R(1,4)]C"
C[Del(T):R2]G,"C[Del(T):R(1,4)]G"
C[Del(T):R3]A,"C[Del(T):R(1,4)]A"
C[Del(T):R3]C,"C[Del(T):R(1,4)]C"
C[Del(T):R3]G,"C[Del(T):R(1,4)]G"
C[Del(T):R4]A,"C[Del(T):R(1,4)]A"
C[Del(T):R4]C,"C[Del(T):R(1,4)]C"
C[Del(T):R4]G,"C[Del(T):R(1,4)]G"
C[Del(T):R5]A,"C[Del(T):R(5,7)]A"
C[Del(T):R5]C,"C[Del(T):R(5,7)]C"
C[Del(T):R5]G,"C[Del(T):R(5,7)]G"
C[Del(T):R6]A,"C[Del(T):R(5,7)]A"
C[Del(T):R6]C,"C[Del(T):R(5,7)]C"
C[Del(T):R6]G,"C[Del(T):R(5,7)]G"
C[Del(T):R7]A,"C[Del(T):R(5,7)]A"
C[Del(T):R7]C,"C[Del(T):R(5,7)]C"
C[Del(T):R7]G,"C[Del(T):R(5,7)]G"
C[Del(T):R8]A,"C[Del(T):R(8,)]A"
C[Del(T):R8]C,"C[Del(T):R(8,)]C"
C[Del(T):R8]G,"C[Del(T):R(8,)]G"
C[Del(T):R9]A,"C[Del(T):R(8,)]A"
C[Del(T):R9]C,"C[Del(T):R(8,)]C"
C[Del(T):R9]G,"C[Del(T):R(8,)]G"
C[Ins(T):R0]A,"C[Ins(T):R(0,4)]A"
C[Ins(T):R0]C,"C[Ins(T):R(0,4)]C"
C[Ins(T):R0]G,"C[Ins(T):R(0,4)]G"
C[Ins(T):R10]A,"C[Ins(T):R(8,)]A"
C[Ins(T):R10]C,"C[Ins(T):R(8,)]C"
C[Ins(T):R10]G,"C[Ins(T):R(8,)]G"
C[Ins(T):R11]A,"C[Ins(T):R(8,)]A"
C[Ins(T):R11]C,"C[Ins(T):R(8,)]C"
C[Ins(T):R11]G,"C[Ins(T):R(8,)]G"
C[Ins(T):R12]A,"C[Ins(T):R(8,)]A"
C[Ins(T):R12]C,"C[Ins(T):R(8,)]C"
C[Ins(T):R12]G,"C[Ins(T):R(8,)]G"
C[Ins(T):R13]A,"C[Ins(T):R(8,)]A"
C[Ins(T):R13]C,"C[Ins(T):R(8,)]C"
C[Ins(T):R13]G,"C[Ins(T):R(8,)]G"
C[Ins(T):R14]A,"C[Ins(T):R(8,)]A"
C[Ins(T):R14]C,"C[Ins(T):R(8,)]C"
C[Ins(T):R14]G,"C[Ins(T):R(8,)]G"
C[Ins(T):R1]A,"C[Ins(T):R(0,4)]A"
C[Ins(T):R1]C,"C[Ins(T):R(0,4)]C"
C[Ins(T):R1]G,"C[Ins(T):R(0,4)]G"
C[Ins(T):R2]A,"C[Ins(T):R(0,4)]A"
C[Ins(T):R2]C,"C[Ins(T):R(0,4)]C"
C[Ins(T):R2]G,"C[Ins(T):R(0,4)]G"
C[Ins(T):R3]A,"C[Ins(T):R(0,4)]A"
C[Ins(T):R3]C,"C[Ins(T):R(0,4)]C"
C[Ins(T):R3]G,"C[Ins(T):R(0,4)]G"
