MutationType	CPCT02060013T	CPCT02100026T	CPCT02070020T	CPCT02030269T	CPCT02010944TIII	CPCT02020867T	CPCT02070272T	CPCT02020648T	CPCT02020362T	CPCT02440020T	CPCT02210077T	CPCT02070445T	CPCT02020894T	CPCT02020896T	CPCT02140101T	CPCT02210040T	DRUP01010020T	CPCT02020902T	CPCT02070443T	CPCT02080295T	CPCT02020916T	CPCT02020915T	CPCT02160036T	CPCT02120184T	CPCT02050315T	CPCT02120182T	CPCT02020940T	CPCT02010712T	CPCT02070294T	CPCT02070299T	CPCT02050437T	CPCT02050436T	CPCT02020952T	CPCT02020642TII	CPCT02020958T	CPCT02020684T	WIDE01010111T	CPCT02020958TII	CPCT02020972T	CPCT02020971T	CPCT02330103T	WIDE01010148T	CPCT02070480T	CPCT02360014T	CPCT02140107T	CPCT02070485T	WIDE01010202T	CPCT02020583TII	CPCT02020703T	CPCT02020973T	CPCT02020940TII	WIDE01010230T	CPCT02320002T	CPCT02050351T	CPCT02020979T	CPCT02080315T	CPCT02120203T	DRUP01050023T	CPCT02020983T	CPCT02140034T	WIDE01010280T	CPCT02020984T	CPCT02070154TII	CPCT02020986T	CPCT02020988T	CPCT02050445T	CPCT02070331T	CPCT02020989T	CPCT02050356T	WIDE01010412T	CPCT02140110T	CPCT02020717T	CPCT02130095T	DRUP01030012T	CPCT02070336T	CPCT02070332T	CPCT02050371T	CPCT02100178T	CPCT02020767T	CPCT02140072T	CPCT02060112T	CPCT02170032T	DRUP01070046T	WIDE01010565T	CPCT02020787T	CPCT02020778T	CPCT02050385T	CPCT02130142T	CPCT02020800T	CPCT02050395T	DRUP01070048T	CPCT02020817T	CPCT02080263T	CPCT02010944T	CPCT02020832T	CPCT02050351TII	CPCT02120168T	CPCT02440016T	CPCT02010935T	CPCT02010963T	CPCT02070401T	CPCT02230056T	CPCT02040169T	CPCT02020859T	CPCT02020633TII	CPCT02020621TII	CPCT02020586T	CPCT02070237T	CPCT02080273T	CPCT02070410T	CPCT02020600T	CPCT02010963TII	CPCT02120056T	CPCT02020840T	CPCT02040164T	CPCT02070244T	CPCT02020619T	CPCT02020633T	CPCT02010663T	CPCT02020614T	CPCT02290020T	CPCT02020632T	CPCT02050103T	CPCT02100072T	CPCT02100076T	CPCT02100077T	CPCT02070154T	CPCT02330034T	CPCT02070156T	CPCT02070162T	CPCT02070172T	CPCT02070188T	CPCT02270003T	CPCT02160026T	CPCT02070149T	CPCT02080119T	CPCT02110041T	CPCT02050216T	CPCT02070194T	CPCT02330046T	CPCT02070204T	CPCT02120020T	CPCT02260007T	CPCT02020583T	CPCT02070041T	CPCT02070043T	CPCT02050086T	CPCT02070044T	CPCT02220005T	CPCT02070057T	CPCT02330015T	CPCT02140037T	CPCT02070096T	CPCT02040064T	CPCT02070094T	CPCT02070102T	CPCT02050124T	CPCT02060073T	CPCT02060082T	CPCT02040105T	CPCT02010665T	CPCT02020629T	CPCT02080164T	CPCT02120080T	CPCT02050289T	CPCT02050297T	WIDE01010621T	WIDE01010461T	CPCT02120204T	CPCT02120206T	WIDE01010518T	CPCT02020991T	WIDE01010609T	CPCT02020993T	WIDE01010723T
1:Del:T:4	22	10	26	7	14	28	36	15	16	14	24	14	19	12	21	30	2136	18	17	43	24	7	5	19	8	13	10	27	11	38	34	39	20	57	17	6	27	19	22	8	9	59	9	28	14	35	23	35	17	29	11	4	10	8	8	18	13	8	7	18	22	11	43	1990	20	14	8	10	8	20	10	126	11	57	63	1	6	15	4	25	3	6	9	25	5	39	28	12	7	10	14	14	5	12	17	15	4	18	13	19	10	177	428	17	24	20	29	34	2686	32	37	20	9	12	35	51	19	14	36	33	7	24	11	11	49	8	39	26	23	20	13	24	7	18	13	29	40	5	9	13	29	22	4	39	297	24	4	3	12	46	30	16	13	6	22	19	18	3	34	27	22	13	25	9	11	8	24	20	17	10	31	27	28	3	16
1:Del:T:5	143	101	238	45	82	80	406	74	119	108	177	207	126	145	101	248	46268	171	206	255	112	85	63	127	19	69	15	401	73	385	291	107	257	399	57	10	67	63	534	43	201	333	91	80	124	342	227	337	66	107	28	39	110	45	101	107	80	82	73	19	216	32	154	46583	206	62	208	93	73	180	58	156	44	621	114	14	59	86	48	300	21	44	84	76	20	486	155	99	57	81	61	55	46	77	114	70	24	90	106	166	117	2304	8469	65	178	62	235	528	57158	256	373	179	119	42	517	41	144	104	151	313	98	382	57	66	95	78	127	70	361	154	42	158	52	86	154	341	510	75	68	44	231	256	14	383	8807	142	67	39	152	533	305	51	84	28	118	125	105	16	240	84	44	154	59	194	131	95	65	63	170	53	174	376	151	89	160
1:Ins:C:0	8	3	11	0	4	104	11	4	11	7	11	8	7	7	13	17	82	17	5	8	10	7	3	9	4	7	3	58	7	10	13	11	11	114	7	1	2	6	12	2	6	8	11	68	15	5	11	7	6	5	2	5	5	2	4	23	20	2	4	3	5	5	7	61	8	5	6	21	10	18	4	5	8	7	7	6	6	10	5	9	3	2	4	8	6	21	32	7	2	8	6	4	5	4	5	5	4	6	9	23	4	27	11	7	13	8	12	3	157	16	14	90	3	6	6	4	14	10	12	11	9	26	2	18	11	2	7	12	6	10	2	11	2	18	3	4	48	8	3	6	8	10	2	16	26	7	3	5	8	9	8	5	9	4	18	8	8	1	76	3	9	3	18	3	25	3	11	5	3	3	8	115	8	3	24
1:Ins:C:1	7	1	5	0	6	8	11	2	4	8	13	3	5	0	9	1	32	8	4	4	5	3	1	2	3	2	8	5	4	3	8	5	8	18	4	1	7	7	3	1	3	0	0	8	8	10	5	4	6	4	8	2	2	2	2	3	10	1	2	4	2	2	1	13	3	3	1	2	8	3	1	4	3	5	7	2	3	6	3	7	3	2	4	4	6	6	10	6	2	2	3	1	3	6	2	5	1	5	6	6	3	14	5	0	2	0	5	6	43	10	2	40	4	8	5	9	6	2	3	11	3	1	2	5	5	1	2	5	5	2	5	8	2	6	4	5	8	2	2	6	6	7	2	6	5	11	3	2	4	13	6	5	2	3	2	3	5	1	13	4	2	2	2	3	3	2	2	4	3	3	7	10	8	0	3
1:Ins:C:2	2	0	0	1	2	3	3	6	10	3	3	2	3	1	4	1	16	5	1	0	4	1	0	2	1	2	3	3	0	4	1	3	4	8	1	1	2	1	6	1	4	3	2	2	12	4	2	5	3	3	4	2	1	4	0	2	5	0	1	4	1	1	3	11	3	2	3	0	2	1	1	1	2	1	10	4	2	6	0	1	3	1	2	2	0	5	4	1	1	0	3	0	0	2	1	5	2	2	2	4	1	6	4	2	1	1	3	2	30	0	1	5	1	5	2	11	3	1	1	6	1	4	1	0	4	1	0	1	3	1	2	1	0	1	3	1	2	0	2	2	8	2	2	8	4	2	3	0	3	8	3	3	1	2	6	1	8	1	4	3	4	2	0	2	5	0	2	1	6	1	4	2	5	4	7
1:Ins:C:3	7	1	4	1	0	2	4	7	4	5	8	1	2	2	6	1	30	4	3	4	1	4	0	0	2	2	3	5	2	6	1	12	1	6	4	1	3	2	6	2	4	4	0	2	3	6	5	7	9	6	3	2	3	2	0	9	4	3	3	0	4	4	3	22	4	3	2	1	1	0	0	0	5	3	9	2	5	1	4	3	0	2	1	5	2	4	3	3	3	2	2	1	2	0	1	2	1	5	2	7	2	10	8	2	3	9	2	2	73	6	3	14	5	2	3	4	3	2	2	5	2	5	1	0	5	0	3	2	0	1	2	2	0	4	2	3	3	1	6	1	1	1	0	6	6	8	0	2	3	5	4	2	2	2	1	2	2	0	5	3	1	2	2	2	1	3	8	1	5	1	4	0	3	1	4
1:Ins:C:4	1	3	1	2	1	2	11	2	2	3	2	3	0	3	5	1	139	2	1	7	2	0	3	3	5	2	0	6	0	6	6	5	3	8	7	1	1	8	8	1	4	2	2	3	6	7	4	11	8	6	0	1	2	1	2	6	4	0	1	2	1	1	3	111	2	0	1	1	0	3	0	0	2	6	1	3	2	2	1	5	1	0	1	1	3	2	1	10	1	2	4	2	2	2	3	2	1	7	3	1	1	9	20	0	2	2	3	6	254	3	6	10	4	1	3	2	4	1	4	7	4	2	2	1	4	1	3	0	1	2	1	2	0	3	2	0	5	2	0	1	8	2	1	10	47	1	0	0	3	10	5	4	0	0	3	2	2	2	3	3	1	4	1	3	2	1	1	4	3	2	3	8	4	1	1
1:Ins:C:5	7	11	12	2	6	4	22	6	41	28	15	11	7	4	26	13	854	17	22	21	10	10	14	14	6	6	7	42	6	24	26	17	16	30	9	0	15	10	18	1	11	24	3	18	14	27	14	38	7	9	9	9	9	3	7	20	15	10	8	2	14	11	25	539	8	6	12	7	5	4	12	6	10	21	8	5	11	13	4	19	4	5	11	9	6	15	10	8	2	16	7	8	5	8	16	4	5	7	8	18	7	77	170	1	8	10	12	16	1563	26	14	40	14	8	28	13	20	5	10	11	11	8	6	4	10	2	19	8	12	7	1	15	9	12	5	6	31	6	6	8	24	21	6	52	191	12	8	3	7	23	21	9	12	3	10	3	15	3	15	11	6	15	6	9	5	10	10	6	13	13	20	32	7	8	12
1:Ins:T:0	10	5	12	2	7	40	11	5	15	9	19	6	13	3	43	11	159	8	8	17	17	7	2	13	6	8	4	16	6	12	14	15	8	56	13	2	13	12	13	4	10	18	5	28	13	9	15	18	14	9	7	3	11	3	8	8	13	8	7	5	7	10	18	107	8	4	6	11	4	7	6	8	2	23	24	6	8	10	3	17	5	6	8	15	8	27	16	9	7	7	14	5	3	6	9	7	4	8	10	11	9	35	24	5	17	11	9	13	171	24	11	54	9	8	10	9	14	7	10	15	15	5	9	4	18	3	14	15	8	6	4	11	5	14	7	13	13	6	7	10	12	13	2	24	50	10	5	7	24	29	12	7	13	6	8	10	8	2	17	6	6	13	13	7	7	14	13	1	21	8	21	10	15	4	17
1:Ins:T:1	17	9	29	5	14	23	30	10	42	13	22	13	11	11	114	8	55	22	9	10	52	9	6	19	11	9	19	13	9	21	24	19	12	30	11	6	18	11	22	10	26	14	8	17	32	28	5	25	15	14	21	9	14	18	8	21	19	13	10	10	4	17	19	53	20	6	4	9	13	9	4	9	15	20	27	3	9	9	4	16	9	7	19	24	11	56	32	16	3	11	9	5	9	13	24	22	13	6	6	19	23	49	20	9	37	24	17	18	52	33	17	33	13	10	16	30	19	13	5	22	16	14	11	5	42	2	18	27	19	7	10	16	4	23	16	15	23	6	14	12	23	14	2	28	17	16	8	5	39	52	14	9	23	6	19	21	15	5	24	18	12	16	19	4	10	9	19	10	44	6	22	18	36	10	30
1:Ins:T:2	6	2	10	6	9	10	16	5	34	7	11	5	6	4	90	2	140	6	3	7	31	2	4	16	6	6	15	13	5	11	18	17	10	24	10	5	16	8	17	5	10	11	4	8	18	10	7	7	9	5	19	5	6	11	3	18	11	5	6	11	7	5	11	109	12	10	6	9	10	7	1	5	5	13	22	2	8	8	6	21	3	5	8	22	1	39	18	12	1	10	7	2	8	10	15	21	7	5	7	12	10	47	29	3	21	5	12	5	219	32	12	21	11	10	11	40	19	3	11	14	12	7	5	3	30	3	10	15	6	3	6	10	6	11	6	7	15	2	7	3	9	10	4	5	32	16	6	2	16	49	9	14	20	7	14	7	6	3	12	11	4	4	9	4	7	6	10	7	36	8	7	8	27	5	15
1:Ins:T:3	6	4	12	4	4	7	15	6	8	12	10	3	11	1	34	6	104	7	9	11	16	3	1	8	5	4	8	6	1	8	12	9	8	14	2	1	10	4	13	6	9	6	3	8	16	7	6	18	7	7	11	4	4	7	2	8	6	4	3	10	6	11	7	87	14	3	10	7	7	4	5	6	5	11	14	4	7	7	3	20	4	1	8	13	7	32	20	11	7	4	6	6	1	3	14	7	3	5	5	9	7	31	27	5	17	10	11	5	149	25	10	10	6	3	16	28	15	5	2	10	5	7	5	2	18	3	5	9	4	9	4	4	5	6	6	10	14	5	7	3	15	10	3	16	26	8	4	1	12	32	7	3	10	2	5	1	5	1	12	11	7	2	8	3	6	6	4	5	20	3	9	6	13	3	15
1:Ins:T:4	7	2	7	4	4	3	12	8	13	10	10	10	5	2	32	10	178	7	6	16	8	3	3	6	7	9	6	15	1	12	12	5	10	3	10	1	8	9	8	2	9	12	3	6	13	14	4	16	6	7	13	6	2	4	8	6	10	9	4	5	7	1	9	144	4	4	3	7	2	5	3	8	6	14	6	1	7	3	3	17	1	3	1	4	2	12	7	11	1	2	5	3	2	4	6	5	3	5	4	7	5	61	20	2	10	8	6	7	305	14	9	10	8	4	13	14	12	4	7	8	6	13	8	2	10	2	2	8	9	4	2	5	3	7	0	9	25	6	1	4	10	10	3	16	56	5	1	1	4	20	3	2	11	2	8	4	10	3	10	4	3	4	6	3	2	11	4	4	16	10	8	6	8	9	6
1:Ins:T:5	98	119	276	108	127	138	511	133	399	581	303	228	154	73	450	350	10474	158	180	576	86	176	153	141	101	152	67	782	96	321	550	187	254	291	107	26	266	115	469	113	225	447	88	310	163	224	276	651	162	232	152	183	95	110	195	209	151	208	210	61	170	110	465	3821	213	214	323	220	94	172	165	98	99	691	100	37	212	246	76	370	207	114	138	94	146	218	297	187	134	199	128	177	169	126	243	156	83	199	180	266	148	1809	1320	48	160	205	140	295	15505	486	267	284	280	152	534	197	297	120	127	320	229	399	245	196	149	95	278	191	210	200	60	252	188	114	100	228	558	205	110	115	275	373	131	791	2478	319	119	92	140	387	301	177	234	61	208	99	334	33	381	163	43	240	178	162	123	214	98	210	406	237	393	331	146	211	226
2:Del:R:0	32	3	16	3	10	7	15	9	11	6	9	3	7	4	18	4	257	10	13	6	15	3	3	32	6	5	11	20	4	7	9	18	16	27	3	4	13	5	11	1	10	10	6	14	22	12	10	19	10	12	12	5	16	6	6	12	11	2	5	10	5	10	24	229	8	4	9	6	5	9	4	21	6	19	82	4	3	13	6	11	3	3	4	26	36	12	18	5	7	11	5	7	4	12	4	7	5	7	12	13	10	33	40	3	16	8	6	17	333	21	13	14	1	5	17	23	9	9	14	12	2	19	8	8	22	4	22	71	7	3	11	12	10	14	13	9	14	5	4	10	24	17	5	18	34	14	6	9	4	18	14	11	7	9	1	11	9	4	18	7	8	10	19	4	5	4	7	6	5	5	21	9	17	6	10
2:Del:R:1	31	3	17	4	7	10	29	15	13	15	16	12	16	9	25	17	219	20	17	19	10	8	14	17	4	10	10	17	11	17	7	24	10	28	9	2	13	9	16	1	18	23	7	20	20	15	24	24	14	12	13	5	18	6	11	18	15	10	6	14	10	13	24	149	20	3	16	7	4	18	4	33	7	30	81	2	10	14	4	20	16	6	4	26	88	12	29	18	6	13	14	4	3	9	17	9	9	8	9	19	7	82	67	4	12	17	14	37	306	35	18	22	9	13	26	25	7	6	13	26	9	36	14	7	17	3	23	180	13	9	8	22	12	14	18	28	26	5	3	14	33	28	3	35	37	25	8	4	9	24	11	13	9	11	20	11	15	2	32	13	11	8	14	4	10	9	16	7	13	3	27	13	25	1	23
2:Del:R:2	14	1	7	3	7	5	4	11	4	4	6	4	4	0	22	2	127	4	2	9	10	5	2	8	1	3	2	8	3	15	3	23	9	8	15	2	8	17	3	4	6	7	6	1	3	11	6	10	12	12	4	0	6	5	2	8	7	6	1	2	3	4	6	167	5	5	2	6	3	3	3	5	5	13	19	2	8	8	0	10	3	3	3	6	21	4	13	5	0	13	4	2	3	6	5	6	4	8	6	8	4	31	29	2	5	12	8	4	160	6	11	5	2	2	11	8	4	6	1	8	4	11	4	4	20	2	7	56	6	2	3	7	3	7	11	7	15	2	3	4	12	7	2	15	18	3	2	0	5	6	3	7	8	4	13	3	6	1	4	11	5	2	3	0	6	8	11	10	8	3	9	7	9	3	2
2:Del:R:3	4	1	5	2	4	1	5	5	3	4	4	2	2	4	8	4	564	4	2	4	10	3	0	0	2	1	1	8	2	14	2	24	1	6	13	2	6	15	9	3	4	5	2	4	1	5	3	5	6	12	0	1	2	0	0	6	1	6	1	3	0	2	5	651	1	4	2	2	2	4	1	1	0	6	3	1	2	2	0	6	3	1	1	2	11	5	2	5	0	4	5	3	1	2	4	1	1	5	2	3	1	17	38	0	5	13	8	5	833	1	10	6	3	3	4	5	3	5	2	6	1	3	1	0	11	4	4	12	4	1	1	5	1	6	2	2	7	1	0	3	2	5	1	4	40	5	3	0	6	6	2	4	6	2	10	2	3	2	2	5	2	1	1	3	1	6	5	9	3	2	1	4	9	1	5
2:Del:R:4	3	0	2	0	3	1	3	3	2	1	3	1	3	0	3	0	265	2	1	1	5	1	0	2	2	0	0	0	3	6	2	5	2	3	9	0	2	9	4	1	3	1	0	1	0	2	1	5	3	4	0	0	0	1	2	1	0	3	0	1	0	1	2	651	3	2	0	0	1	3	1	0	1	4	2	1	1	1	3	6	0	0	5	3	6	2	3	3	0	1	2	2	0	3	3	1	0	4	1	2	1	8	23	2	1	5	5	4	380	2	7	3	2	1	6	1	0	2	0	4	0	0	1	2	11	1	1	12	1	2	2	0	1	1	1	3	5	0	4	1	1	1	1	6	31	1	1	0	1	4	2	1	3	0	3	2	0	0	2	4	0	1	1	0	2	4	7	7	2	0	2	2	5	0	2
2:Del:R:5	2	1	2	1	1	3	8	5	6	1	3	2	2	2	3	1	842	2	1	5	13	4	5	0	1	2	0	4	1	9	4	14	1	6	15	0	5	20	9	1	2	11	2	2	3	9	2	6	3	10	2	5	1	2	1	2	2	3	1	5	7	2	2	1792	4	3	1	5	1	0	3	2	0	11	2	5	4	8	2	5	3	4	1	3	1	7	13	9	5	5	4	0	1	3	2	2	1	2	2	9	2	22	72	2	2	8	15	5	1346	2	10	4	3	4	13	5	5	3	4	10	6	8	0	0	2	1	1	14	4	1	3	7	6	5	9	5	10	9	1	4	6	5	1	7	72	3	0	3	2	5	4	4	6	1	3	2	3	1	7	3	5	3	4	4	3	3	3	6	7	2	3	10	4	1	12
