MutationType	CPCT02070032T	CPCT02060045T	CPCT02020310T	CPCT02020323T	CPCT02140007T	CPCT02140011T	CPCT02020348T	CPCT02020357T	CPCT02020351T	CPCT02140020T	CPCT02010399T	CPCT02020370T	CPCT02140023T	CPCT02140022T	CPCT02020378T	CPCT02010415T	CPCT02070021T	CPCT02070024T	CPCT02020380T	CPCT02070023T	CPCT02020386T	CPCT02020387T	CPCT02020388T	CPCT02040046T	CPCT02070036T	CPCT02070035T	CPCT02020394T	CPCT02140026T	CPCT02140029T	CPCT02140030T	CPCT02020656TII	CPCT02011011T	CPCT02070269T	CPCT02330130T	CPCT02070256T	CPCT02070425T	CPCT02080281T	CPCT02070270T	CPCT02390037T	CPCT02140098T	CPCT02020888T	CPCT02340055T	CPCT02070430T	CPCT02050418T	CPCT02340108T	CPCT02100137T	CPCT02070433T	CPCT02070264T	CPCT02070420T	DRUP01070028TII	CPCT02080180T	CPCT02070446T	CPCT02020704TII	CPCT02220031T	DRUP01070071T	CPCT02140102T	CPCT02070280T	CPCT02100194T	CPCT02070268T	CPCT02011043T	CPCT02070449T	CPCT02340056T	CPCT02070450T	CPCT02220069T	CPCT02070452T	DRUP01070038T	CPCT02150043T	CPCT02090033T	CPCT02070426T	CPCT02150047T	CPCT02070125T	CPCT02190054T	CPCT02130169T	CPCT02020918T	CPCT02070459T	CPCT02140055T	DRUP01070028T	CPCT02160061T	CPCT02020656T	CPCT02020931T	CPCT02070106T	CPCT02070289T	CPCT02210043T	CPCT02010753T	CPCT02020924T	CPCT02070293T	CPCT02020938T	CPCT02200006T	CPCT02020658T	CPCT02070292T	CPCT02070055TII	CPCT02070466T	CPCT02070454T	CPCT02010762T	CPCT02260016T	CPCT02350020T	CPCT02070295T	CPCT02020942T	CPCT02140060T	CPCT02310008T	CPCT02070300T	CPCT02160062T	CPCT02070473T	CPCT02070468T	CPCT02300052T	CPCT02070301T	CPCT02430002T	CPCT02070474T	CPCT02070472T	DRUP01070036T	CPCT02150052T	CPCT02070307T	CPCT02330099T	CPCT02070263T	DRUP01050020T	CPCT02020678T	CPCT02020673T	WIDE01010113T	CPCT02050442T	CPCT02020968T	CPCT02020970T	CPCT02060294T	CPCT02070478T	CPCT02140065T	CPCT02210085T	CPCT02390044T	CPCT02050443T	CPCT02070306T	CPCT02070481T	CPCT02070482T	DRUP01140005T	CPCT02220082T	CPCT02020687T	CPCT02070484T	CPCT02020686T	CPCT02070486T	CPCT02070483T	CPCT02070487T	CPCT02040342T	CPCT02020977T	CPCT02070312T	CPCT02040343T	CPCT02290031T	CPCT02150008T	CPCT02370013TII	CPCT02100202T	CPCT02100203T	CPCT02070466TII	WIDE01010214T	WIDE01010215T	WIDE01010234T	CPCT02110083T	CPCT02070315T	DRUP01070026TII	CPCT02020981T	CPCT02140067T	CPCT02350003T	CPCT02070490T	WIDE01010283T	CPCT02020982T	CPCT02020975T	WIDE01010323T	CPCT02070208T	CPCT02070064TII	CPCT02140041TIV	CPCT02020704T	CPCT02040249T	CPCT02020924TII	WIDE01010383T	CPCT02070335T	CPCT02230091T	CPCT02230102T	DRUP01050049T	CPCT02020715T	CPCT02340086T	CPCT02020731T	CPCT02370027T	WIDE01010246T	CPCT02070139T	CPCT02070318T	CPCT02290038T	CPCT02070147TII	WIDE01010453T	DRUP01070042T	CPCT02030488T	CPCT02010840T	CPCT02070339T	CPCT02070338T	CPCT02230108T	CPCT02030380TII	CPCT02070345T	CPCT02070350T	CPCT02010875T	CPCT02010877T	CPCT02070359T	CPCT02070307TII	CPCT02010885T	CPCT02010857T	CPCT02090058T	WIDE01010611T	CPCT02070364T	CPCT02140075T	CPCT02010889T	CPCT02060249T	CPCT02020760T	CPCT02020780T	CPCT02070367T	CPCT02050389T	CPCT02070368T	CPCT02150019T	CPCT02300046T	CPCT02070130T	CPCT02070362T	CPCT02070361T	CPCT02140041TIII	CPCT02140081T	CPCT02020804T	CPCT02040280T	CPCT02070370T	CPCT02040283T	CPCT02050108T	CPCT02050391T	CPCT02130146T	CPCT02070378T	CPCT02070383T	CPCT02070379T	CPCT02340099T	CPCT02070274T	CPCT02070388T	CPCT02010361T	CPCT02070389T	CPCT02330125T	CPCT02070391T	CPCT02020827T	CPCT02150031T	DRUP01070052T	CPCT02010947T	DRUP01070020TII	DRUP01010097T	CPCT02030545T	CPCT02140086T	CPCT02070395T	CPCT02440017T	CPCT02040294T	CPCT02070392T	CPCT02070107TII	CPCT02010958T	CPCT02100189T	CPCT02080078TII	CPCT02020847T	DRUP01070055T	CPCT02010654T	CPCT02010973T	CPCT02070130TII	CPCT02070064TIII	CPCT02070196T	CPCT02070398T	CPCT02010971T	DRUP01070057T	CPCT02050268T	CPCT02020678TII	CPCT02010978T	CPCT02210074T	CPCT02070402T	CPCT02070236T	CPCT02070217T	DRUP01010040T	CPCT02010692TII	CPCT02030380T	CPCT02220064T	CPCT02020596T	CPCT02011000T	CPCT02010998T	CPCT02070409T	CPCT02011002T	CPCT02040295T	CPCT02330129T	CPCT02040280TII	CPCT02020610T	CPCT02011003T	CPCT02070211T	CPCT02120057T	CPCT02070218T	CPCT02070416T	CPCT02210075T	CPCT02070415T	CPCT02011010T	CPCT02011012T	CPCT02070092T	CPCT02011005T	CPCT02140050T	CPCT02070235T	CPCT02340038T	CPCT02020620T	CPCT02140041TII	CPCT02070223T	CPCT02070229T	CPCT02070206T	CPCT02230052T	CPCT02140054T	CPCT02020628T	CPCT02140052T	CPCT02020560T	CPCT02070233T	CPCT02070234T	CPCT02070148T	CPCT02070142T	CPCT02070133T	CPCT02070145T	CPCT02070143T	CPCT02070141T	CPCT02010537T	CPCT02070140T	CPCT02330029T	CPCT02070158T	CPCT02010585T	CPCT02080110T	CPCT02070144T	CPCT02070107T	CPCT02380009T	CPCT02260001T	CPCT02070164T	CPCT02140045T	DRUP01070015T	CPCT02020525T	CPCT02070151T	CPCT02070174T	CPCT02020351TII	CPCT02070161T	CPCT02070105T	CPCT02070176T	CPCT02380014T	CPCT02070192T	CPCT02070193T	CPCT02020543T	CPCT02070181T	CPCT02070195T	CPCT02070027T	CPCT02330044T	CPCT02070153T	CPCT02210026T	CPCT02070200T	CPCT02070202T	CPCT02010629T	DRUP01070020T	CPCT02070049T	CPCT02070046T	DRUP01140001T	CPCT02020422T	CPCT02030300T	CPCT02070037T	CPCT02020380TII	CPCT02020409T	CPCT02100041T	CPCT02070055T	CPCT02070064T	CPCT02070074T	CPCT02020419T	CPCT02070068T	CPCT02020449T	CPCT02140038T	CPCT02010389T	CPCT02070080T	CPCT02290006T	CPCT02070069TII	CPCT02070069T	CPCT02070087T	CPCT02010490T	CPCT02080078T	CPCT02140040T	CPCT02070082T	DRUP01070008T	CPCT02070091T	CPCT02070075T	CPCT02070100T	DRUP01140002T	CPCT02020476T	CPCT02070117T	CPCT02140041T	CPCT02070101T	CPCT02070127T	CPCT02020494T	CPCT02020502T	CPCT02020500T	CPCT02040107T	CPCT02020313T	CPCT02070131T	CPCT02070135T	CPCT02140025T	CPCT02070134T	CPCT02020501T	CPCT02070085TII	DRUP01070026T	CPCT02070245T	CPCT02070241T	CPCT02070253T	CPCT02070250T	CPCT02070252T	CPCT02070220T	CPCT02120074T	CPCT02220030T	CPCT02010692T	CPCT02010695T	CPCT02010711T	CPCT02070266T	CPCT02070023TII	WIDE01010628T	CPCT02020938TII	WIDE01010484T	CPCT02070444T	CPCT02070444TII	WIDE01010585T	WIDE01010642T	WIDE01010668T	WIDE01010537T
1:Ins:T:4	3	2	5	27	11	5	2	13	7	1	4	4	2	80	7	1	10	121	10	452	8	288	9	6	17	1	6	8	3	9	7	5	8	6	7	5	5	5	1	6	7	5	4	3	3	3	11	6	2	2	9	4	179	5	6	3	1	8	10	4	0	5	10	11	9	51	2	1	2	1	8	9	4	6	3	2	2	4	8	6	8	4	3	18	2	6	8	8	2	4	6	5	2	4	8	9	6	8	5	3	7	6	2	2	13	11	4	5	1	9	20	8	8	8	8	6	6	5	11	8	2	9	13	5	7	10	158	9	4	0	13	2	2	6	5	9	3	1	9	3	8	10	4	4	5	9	3	10	6	12	9	6	6	344	4	2	3	3	2	4	8	9	1	2	5	163	4	2	4	4	2	1	162	2	5	4	6	10	8	7	3	9	3	154	12	2	7	8	8	4	10	8	9	6	9	5	5	12	6	5	6	5	1	8	3	5	0	10	10	9	8	5	5	5	4	6	4	6	3	1	2	5	241	7	6	5	11	8	11	12	7	291	9	6	4	10	3	77	3	15	1	4	6	8	7	4	11	2	3	10	6	176	6	9	1	12	16	6	7	4	6	2	4	4	7	2	8	4	5	8	11	11	3	7	8	3	5	50	4	10	9	6	25	1	1	3	16	2	16	6	9	7	9	5	8	9	4	4	4	7	10	4	3	3	3	7	12	4	11	0	10	7	145	12	7	13	18	3	4	2	6	90	8	197	7	5	5	5	7	5	17	8	190	10	6	2	10	4	12	3	6	8	15	7	90	7	12	80	4	7	2	10	3	11	7	1	8	5	7	5	5	9	15	4	10	8	4	10	3	11	7	354	0	2	0	9	22	7	5	9	6	3	2	10	2	2	82	2	8	1	3	10	208	5	3	3	9	1	5	5	291	3	13	11	10	404	8	8	4	0	3	24	1	3	6
1:Ins:T:5	333	142	329	1933	230	189	173	400	163	164	162	198	146	3925	421	314	437	5762	260	22370	218	15269	293	358	336	180	282	320	315	362	294	518	279	274	207	715	162	206	166	198	296	234	349	225	180	265	388	344	91	329	290	267	9301	274	284	161	170	132	407	218	141	363	455	465	150	3152	96	197	105	151	206	394	228	209	338	95	311	276	299	270	324	153	368	353	278	154	212	195	124	283	247	167	96	174	357	522	226	169	453	206	242	99	126	177	442	297	164	279	188	245	345	262	403	171	358	116	225	200	486	512	261	300	342	246	254	569	8436	517	179	35	571	155	95	217	272	305	210	123	415	104	351	310	177	181	205	256	227	327	359	604	256	213	303	13743	202	256	77	199	104	246	300	234	170	218	340	8822	317	267	233	222	223	163	8423	344	250	400	296	285	254	292	289	215	196	7071	634	173	261	475	404	119	145	362	232	278	460	275	166	382	179	234	328	231	233	174	167	362	159	427	590	223	524	348	179	161	335	494	197	193	175	164	33	475	14213	394	340	264	269	142	203	354	401	10382	296	161	173	167	193	5303	175	308	221	204	275	587	269	279	426	117	160	557	145	9606	347	454	167	471	505	217	281	327	118	254	180	196	305	96	222	320	111	333	331	344	196	272	256	213	298	417	184	374	359	115	321	193	89	208	489	199	633	331	237	317	281	242	320	353	338	484	184	371	621	296	118	207	128	225	325	343	130	322	363	240	7367	410	449	321	708	169	227	146	178	6010	414	10544	212	324	187	154	190	73	429	532	8426	384	240	146	458	232	388	183	131	525	1070	252	6133	342	246	3832	430	220	232	230	399	236	216	190	692	306	226	427	293	372	741	192	363	228	178	226	164	160	250	18698	93	115	105	353	1815	295	214	358	150	203	160	579	180	370	3681	324	291	151	194	165	9888	227	284	160	269	140	291	259	20982	312	227	465	228	20753	700	216	236	69	193	658	183	83	237
2:Del:R:0	7	12	10	22	4	14	2	19	7	15	15	32	8	51	3	6	8	56	9	352	5	238	17	5	14	7	5	5	9	7	20	14	11	11	11	5	5	8	7	33	7	4	12	4	5	6	14	8	6	8	9	2	179	16	8	6	8	7	12	3	6	5	5	13	7	83	3	2	4	6	19	14	21	4	9	11	9	21	18	8	13	3	5	20	10	2	34	20	7	9	20	11	4	8	12	15	16	7	13	10	10	3	10	3	8	22	12	8	2	8	37	15	7	9	8	5	15	5	9	33	10	11	12	8	4	9	184	9	17	3	10	35	7	4	14	9	11	4	12	13	4	5	11	12	4	4	5	14	5	11	8	3	9	217	6	6	4	4	7	0	9	16	5	2	13	178	9	6	16	7	7	4	150	6	8	13	11	18	4	3	12	10	7	110	6	19	4	34	12	6	8	5	23	13	16	14	10	7	4	11	8	7	4	7	7	7	8	8	5	24	16	6	9	10	14	10	8	7	4	8	4	9	61	27	10	4	14	24	17	16	9	198	9	6	7	12	6	46	15	14	9	11	14	12	60	8	12	9	5	7	7	95	4	8	0	5	6	9	11	9	7	22	2	12	6	4	16	8	9	11	4	27	6	7	17	10	16	65	8	24	14	13	18	6	4	12	20	5	10	6	8	13	14	5	16	9	7	7	4	7	10	7	5	4	5	5	6	8	15	8	10	24	115	8	5	18	6	6	7	12	26	78	6	138	7	9	8	8	5	9	10	12	72	26	11	1	8	8	10	7	8	9	16	15	75	5	4	51	12	8	3	10	17	9	17	2	10	7	5	11	5	6	9	17	8	5	6	9	3	12	18	313	2	6	7	11	18	6	11	12	10	14	5	11	7	5	24	8	15	7	6	10	93	8	9	9	8	5	7	4	300	10	5	3	27	406	9	31	11	7	11	7	9	2	4
2:Del:R:1	9	14	13	41	3	10	2	14	13	10	10	23	11	52	8	12	13	80	8	318	9	326	14	10	16	4	8	13	7	12	16	16	5	16	9	12	8	8	9	21	14	8	10	8	3	2	7	13	5	13	20	13	223	18	13	9	9	8	14	9	7	5	12	21	10	120	5	4	14	7	19	14	23	9	9	7	10	19	16	10	16	12	8	33	13	13	77	15	8	20	19	7	7	19	17	18	8	13	12	13	12	7	7	8	17	11	14	14	10	19	47	15	14	10	7	9	10	7	8	22	14	12	14	16	5	12	147	8	25	0	13	65	5	5	17	8	8	5	10	8	10	9	4	3	10	6	8	19	8	16	11	7	10	240	7	6	1	9	6	1	7	14	7	11	19	218	10	11	16	8	13	5	142	12	16	16	18	11	8	8	13	14	8	155	11	9	4	32	15	18	13	11	26	15	24	9	11	10	8	11	8	10	9	9	7	5	10	11	22	21	19	2	12	10	18	14	7	12	6	12	4	19	44	20	11	9	10	19	24	21	9	256	13	11	14	17	6	72	10	5	13	16	13	20	47	15	9	8	4	12	6	177	10	10	6	7	12	8	8	7	12	21	9	17	7	2	26	17	19	13	9	26	7	10	23	10	15	78	8	29	16	14	34	5	1	7	28	8	13	12	6	11	10	12	14	20	10	18	3	13	11	13	7	7	8	11	4	17	28	14	8	16	147	18	10	12	13	6	12	18	50	92	11	297	9	10	7	11	5	8	22	12	118	12	21	6	14	6	15	12	6	14	17	9	92	11	13	51	16	7	6	9	23	12	20	7	14	17	2	19	8	6	17	15	11	6	10	11	4	7	22	334	3	7	10	11	21	9	15	11	8	10	4	10	10	5	84	7	14	9	8	17	130	8	10	7	8	7	10	10	265	12	11	11	165	374	16	77	11	1	3	24	7	8	13
2:Del:R:2	6	3	3	25	0	4	2	8	1	6	6	4	2	17	5	2	5	50	1	187	7	168	3	1	7	1	3	4	2	1	3	2	5	9	2	6	3	4	5	14	4	4	3	1	6	5	3	3	3	5	7	4	128	3	11	4	4	1	2	3	3	5	7	4	4	57	3	1	4	0	5	8	3	3	2	1	3	7	3	4	5	1	4	10	2	4	9	6	2	2	7	2	0	2	5	4	3	3	5	5	5	4	4	2	9	5	2	4	4	5	14	4	5	1	6	3	9	2	2	3	3	7	3	2	0	1	119	4	3	0	4	25	2	6	3	1	5	2	2	3	9	1	5	1	1	2	0	2	3	6	3	4	2	177	4	3	1	3	6	2	3	2	1	4	5	121	6	2	6	1	6	2	114	3	5	3	3	3	6	2	4	2	3	73	5	4	4	7	2	3	5	2	8	3	10	8	1	3	3	3	0	4	3	4	0	2	0	3	5	2	6	2	4	4	8	4	7	7	5	5	2	3	30	8	4	2	9	6	3	5	6	172	7	5	1	3	2	41	4	9	2	0	6	13	5	2	7	3	2	3	3	85	4	3	1	2	6	4	2	6	5	4	3	2	5	1	6	4	3	4	2	11	5	0	6	2	3	64	3	7	5	2	12	1	1	3	7	4	3	2	5	3	7	4	9	0	4	2	2	6	5	2	2	2	3	3	3	3	7	4	3	5	75	4	1	6	3	2	3	5	13	48	3	116	5	4	2	1	3	5	1	7	73	11	5	1	4	2	3	3	2	7	10	4	52	3	1	19	6	1	2	2	6	1	9	5	9	3	3	6	3	2	8	4	5	4	0	3	2	0	1	180	1	2	1	6	7	5	3	4	3	4	1	5	3	6	37	3	5	3	0	4	82	3	1	1	3	7	9	2	183	4	1	3	51	238	9	11	3	1	1	8	4	2	4
2:Del:R:3	4	0	2	87	3	5	0	3	1	3	4	1	0	29	2	0	0	113	1	927	1	637	0	1	2	3	2	2	1	4	5	1	4	0	1	6	3	2	1	2	1	0	2	3	2	0	0	3	0	7	5	3	407	5	8	0	0	1	2	0	0	2	0	6	3	113	1	3	2	1	2	3	4	2	1	0	6	1	4	2	5	2	3	5	2	3	9	2	1	1	1	2	1	3	4	10	4	0	2	2	2	0	3	2	2	3	3	0	1	3	21	1	2	1	4	0	4	1	1	1	5	9	2	2	1	2	627	2	1	0	2	10	2	0	3	2	2	0	3	1	1	2	2	3	1	3	6	2	3	1	2	1	3	824	1	2	0	0	0	2	7	2	0	5	2	393	0	3	1	0	1	1	635	4	2	3	1	2	0	1	2	3	3	234	1	4	1	1	2	1	2	2	3	7	3	1	0	2	3	4	4	1	2	0	2	0	2	1	2	1	4	1	2	1	1	5	2	2	6	4	0	3	59	3	2	2	3	1	3	2	2	709	1	4	5	2	1	81	1	1	3	5	7	7	3	2	2	0	2	2	0	327	3	2	3	4	4	4	5	5	4	0	1	6	1	1	0	1	2	2	5	0	0	3	5	0	1	51	3	6	2	1	1	3	0	2	1	0	2	1	2	1	2	4	4	2	3	3	0	5	2	3	1	6	2	0	1	4	5	0	1	1	231	1	1	2	1	1	0	1	9	106	2	585	1	2	0	2	0	1	5	1	281	5	2	1	2	2	4	0	4	2	5	0	93	1	0	29	2	1	2	3	1	2	3	3	3	0	1	2	1	3	1	1	2	0	0	2	1	1	0	816	1	0	1	4	10	1	2	6	2	1	4	5	0	2	90	0	2	2	3	1	337	2	0	5	1	0	3	1	749	1	0	2	18	1058	4	7	0	1	2	5	1	3	2
2:Del:R:4	1	0	2	63	3	0	0	0	1	3	0	1	0	19	1	1	1	78	1	541	1	620	2	3	1	1	1	0	3	0	1	0	2	1	2	1	4	0	1	2	1	2	0	2	1	1	2	2	1	1	0	1	288	2	0	2	1	2	1	2	0	2	1	4	1	57	0	2	0	0	2	2	0	2	4	2	0	1	1	0	1	0	1	2	0	0	1	3	0	0	1	1	2	1	1	5	1	0	0	0	2	1	2	0	4	4	0	1	1	1	9	1	2	1	4	2	2	0	3	1	0	5	3	2	1	3	469	1	1	0	2	0	0	0	2	1	0	0	0	2	1	3	1	1	2	0	1	1	0	3	2	1	2	626	0	2	1	1	1	0	1	2	1	0	2	267	0	2	1	0	1	1	466	3	1	2	2	2	1	0	2	0	0	182	3	2	1	1	2	1	0	1	0	2	4	2	1	4	0	3	2	2	1	3	1	0	0	0	2	2	2	0	1	0	2	4	1	0	0	0	0	4	45	2	0	1	1	1	0	0	1	452	0	0	2	0	0	28	1	6	1	1	4	1	2	1	5	0	0	3	1	292	3	1	0	1	2	1	3	0	2	1	0	0	1	1	4	3	1	1	1	6	2	2	2	0	1	27	2	1	1	0	6	4	0	0	2	0	2	1	1	2	2	4	2	0	1	3	0	1	3	3	0	2	2	1	1	3	1	4	0	0	204	0	0	0	1	0	1	0	4	42	4	335	0	0	0	1	1	2	4	2	200	2	1	0	2	1	1	0	2	1	4	1	37	0	1	14	3	0	0	0	1	0	1	0	0	1	2	2	1	0	3	1	0	0	0	1	1	1	1	473	0	0	1	0	2	1	2	2	0	2	2	0	1	0	95	1	1	1	1	0	208	0	0	0	1	1	2	0	422	1	1	1	7	620	1	1	1	0	0	5	2	2	1
2:Del:R:5	3	1	2	246	2	4	2	1	3	9	0	2	3	49	1	1	2	300	2	1759	2	2052	8	1	5	1	1	1	3	2	7	4	5	1	4	7	6	0	6	5	2	1	1	4	2	14	3	7	1	3	8	0	838	9	2	3	5	0	6	1	1	5	2	6	2	164	1	1	3	5	6	4	9	7	4	1	0	1	3	3	3	2	1	7	2	9	5	3	2	3	9	2	3	2	4	17	3	1	2	4	0	4	4	5	8	3	1	5	1	2	20	10	5	2	6	3	4	4	7	1	2	5	2	1	1	4	1543	5	5	0	5	6	2	0	3	3	3	2	2	5	7	6	5	3	1	3	0	5	2	3	3	2	1	1810	2	3	0	0	3	2	5	3	5	5	7	807	7	5	4	5	3	5	1450	2	5	2	2	5	4	8	4	3	4	543	3	1	1	16	11	2	4	6	2	6	9	5	1	7	2	4	6	9	3	2	1	1	2	5	8	3	2	1	2	4	6	3	3	2	2	1	1	13	114	5	3	2	4	7	2	3	4	1229	4	3	5	8	0	90	3	2	3	3	3	7	3	8	5	10	3	4	3	858	1	3	4	4	6	1	4	2	3	3	1	2	2	1	10	8	4	3	2	2	6	1	6	3	1	28	1	4	3	8	4	8	1	2	5	1	3	13	1	2	8	3	5	1	0	3	0	4	10	5	2	0	5	5	3	0	4	2	0	11	605	10	2	8	2	0	4	1	4	128	2	981	1	3	1	1	6	4	9	3	590	8	3	2	5	9	4	1	6	1	10	3	139	1	0	55	3	2	4	5	2	0	2	2	9	1	0	1	0	0	9	1	2	2	3	0	2	1	3	1541	0	1	1	4	10	3	2	8	1	2	0	3	2	1	248	2	2	1	3	5	710	4	3	3	1	4	2	4	1504	3	1	4	14	1933	6	3	8	4	6	8	3	4	8
3:Del:R:0	3	3	3	11	1	2	3	5	2	10	6	24	2	11	4	7	4	20	2	109	12	38	8	1	10	1	1	3	7	2	11	2	8	5	2	3	3	2	1	22	2	4	5	1	0	3	6	5	1	3	9	0	60	15	13	5	0	7	5	1	5	4	5	7	4	25	3	3	5	1	9	5	13	2	4	0	4	9	13	3	8	1	4	16	3	3	6	10	1	4	15	2	1	4	7	5	6	0	5	4	4	1	5	1	8	4	6	3	2	6	17	5	5	2	6	7	12	1	3	14	3	4	10	4	2	5	59	4	6	1	4	2	2	3	8	6	7	0	5	3	5	1	2	4	2	0	1	6	3	6	2	1	2	64	3	1	2	4	2	3	2	8	2	7	4	56	6	3	9	0	1	0	49	1	4	2	6	9	6	6	6	11	1	33	5	5	1	27	8	10	1	2	12	3	17	3	2	2	3	3	1	0	2	1	4	3	7	6	6	15	4	2	3	2	5	8	4	5	8	9	0	6	16	13	5	3	3	17	7	22	1	81	1	3	2	3	1	14	6	5	4	3	6	6	36	2	2	4	2	5	2	25	2	2	2	4	1	4	5	5	5	8	2	6	4	1	3	2	10	5	4	13	3	4	8	3	4	7	5	17	8	4	16	5	1	4	7	1	1	5	1	4	4	5	6	9	5	9	2	3	8	5	3	0	2	1	0	5	7	6	0	18	38	1	8	3	3	1	3	5	3	13	1	50	4	2	4	1	2	1	5	5	27	5	1	4	5	5	4	3	4	3	6	8	16	3	3	10	2	2	1	2	18	3	14	2	8	1	3	1	1	3	5	14	8	8	6	6	3	6	13	90	1	7	0	0	5	1	3	4	3	2	3	6	1	5	5	4	6	3	4	6	33	2	0	3	3	5	5	6	106	4	2	4	13	116	12	7	5	1	8	2	6	4	4
3:Del:R:1	9	8	6	62	3	3	6	12	2	11	11	16	4	9	9	8	6	81	9	206	12	297	7	6	15	4	5	10	13	7	9	13	15	9	10	10	7	8	8	21	6	5	7	6	2	6	3	7	5	6	14	8	192	12	10	2	7	7	5	4	7	4	9	12	3	26	4	5	12	6	11	11	24	7	13	7	6	15	9	8	13	5	7	19	9	14	8	8	4	8	19	6	3	6	8	13	6	7	9	8	6	4	5	4	10	17	8	4	2	8	37	4	8	7	12	2	14	6	8	7	5	5	12	8	6	11	105	10	15	1	16	8	1	12	9	5	9	8	9	5	9	5	1	8	7	10	5	15	8	15	9	3	8	189	1	3	6	4	8	2	8	6	4	3	15	183	6	12	12	8	4	5	102	14	8	7	6	8	9	7	2	7	5	168	7	10	8	14	12	11	5	6	12	13	10	11	6	7	9	11	4	7	7	5	11	5	6	7	15	8	28	4	10	5	13	12	8	7	7	5	3	10	24	19	13	5	14	13	8	12	8	250	12	11	6	7	1	16	10	8	14	8	5	26	17	13	5	0	3	10	3	138	5	6	3	6	7	6	3	12	5	9	6	11	5	9	13	8	10	7	9	17	9	2	14	8	8	9	1	22	13	7	23	5	3	2	12	1	11	7	7	6	6	10	13	9	6	12	6	7	21	3	7	4	4	10	11	7	16	7	4	14	161	7	8	15	10	4	10	4	7	16	4	224	9	8	7	1	5	6	16	7	118	5	9	1	7	5	9	6	5	6	16	9	16	11	8	9	8	4	2	7	15	2	17	3	11	4	11	19	8	7	10	8	5	4	4	4	4	5	13	223	5	6	1	6	18	9	10	5	8	3	7	10	7	3	66	4	10	3	7	7	135	5	5	5	8	5	7	8	236	9	8	12	128	244	21	8	4	2	4	14	9	4	9
3:Del:R:2	2	2	0	14	1	3	5	2	2	3	2	2	1	0	4	2	1	36	3	105	2	123	2	1	2	1	2	0	3	3	3	2	2	1	0	4	1	1	3	6	1	1	1	4	3	0	0	6	1	3	5	1	75	4	3	2	0	2	1	2	2	2	3	6	2	9	1	1	0	2	3	3	3	3	3	2	2	3	3	1	2	3	4	3	3	2	6	1	0	2	3	2	1	2	3	3	2	0	3	0	3	0	1	0	5	2	0	5	0	2	11	1	4	2	1	0	5	1	2	2	3	5	4	1	1	1	62	4	4	0	3	4	1	3	2	3	1	3	4	1	2	2	4	3	1	0	1	4	2	3	0	3	6	86	2	1	0	1	1	0	3	3	0	4	2	71	2	2	0	0	2	0	58	2	4	2	1	1	3	2	1	6	0	74	2	3	1	3	1	2	2	2	1	5	0	2	1	2	1	5	2	1	3	2	2	0	3	2	3	0	6	1	1	1	2	4	0	1	1	3	1	0	3	3	2	1	2	1	1	2	1	84	2	2	2	2	1	6	1	3	1	1	2	4	4	5	1	0	1	0	2	62	0	1	0	4	2	1	6	1	1	4	2	3	3	1	5	4	2	2	2	6	1	1	6	1	0	4	2	4	0	1	6	2	1	2	3	1	4	2	2	2	1	0	2	2	5	1	1	2	1	3	3	1	0	0	2	1	9	1	2	4	64	3	0	2	6	0	4	2	0	6	4	72	2	2	1	2	2	0	5	6	42	6	1	0	0	4	3	1	1	2	3	2	9	3	3	1	1	3	1	1	4	1	1	2	5	2	1	8	0	3	6	2	3	2	0	1	3	2	3	114	0	1	2	2	3	5	3	6	3	1	1	0	3	0	33	1	1	1	3	2	45	1	1	3	2	1	5	1	80	4	3	2	35	130	2	6	2	0	0	6	1	2	3
3:Del:R:3	1	0	0	4	0	0	0	0	0	0	0	0	0	3	3	0	0	13	0	53	0	55	0	0	0	1	1	0	0	0	2	0	0	0	1	1	0	0	1	3	0	0	1	0	1	0	0	1	2	1	1	0	18	1	1	0	1	0	0	1	0	1	1	2	0	4	0	0	0	0	2	0	1	1	2	0	1	0	1	0	1	1	0	2	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	5	0	3	0	1	0	0	3	1	1	1	2	1	0	0	2	26	1	0	0	3	0	1	0	0	2	0	0	0	1	0	1	2	2	0	0	3	1	1	0	0	0	2	48	0	0	1	0	1	0	1	0	0	0	0	18	0	0	0	1	0	0	26	2	2	1	1	2	1	2	1	0	0	23	0	1	1	0	1	1	0	0	1	4	2	0	1	0	1	3	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	3	3	1	1	0	31	1	1	1	0	0	3	1	0	2	1	2	1	2	0	1	0	0	0	0	20	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	3	0	0	1	2	0	1	1	1	3	0	0	0	1	0	2	1	0	0	0	1	0	0	0	1	0	3	0	1	0	0	0	0	0	1	1	3	1	3	20	1	0	0	1	0	0	1	0	5	2	24	1	1	0	0	0	1	1	0	12	0	1	0	0	2	1	0	0	2	5	0	5	1	0	3	0	0	0	1	0	2	0	0	0	1	0	0	1	0	1	1	0	0	2	1	0	0	0	41	0	1	0	0	1	2	0	0	1	0	1	0	1	0	13	0	0	0	0	1	14	0	0	0	0	0	1	0	26	0	0	1	18	51	2	0	1	1	2	1	0	0	0
