MutationType	SP95454	SP94741	SP90209	SP90989	SP93540	SP93227	SP94348	SP94588	SP90725	SP94236	SP93772	SP92195	SP89957	SP92268	SP92707	SP89687	SP90269	SP94933	SP95126	SP95646	SP89443	SP89651	SP94060	SP92787	SP92723	SP92364	SP95406	SP91746	SP92332	SP91730	SP92947	SP91666	SP90245	SP90893	SP89519	SP94917	SP92659	SP94332	SP94661	SP93652	SP90125	SP94540	SP95222	SP89389	SP90503	SP92460	SP92931	SP91265	SP89909	SP90629	SP95550	CPCT02020389T	CPCT02080033T	CPCT02060156T	DRUP01340014T	DRUP01010121T	CPCT02130034T	CPCT02260015T	CPCT02220071T	CPCT02010710T	CPCT02340068T	CPCT02130050T	DRUP01060016T	CPCT02260017T	CPCT02020682T	DRUP01030013T	CPCT02130059T	WIDE01010296T	CPCT02380044T	CPCT02060117T	CPCT02080220T	CPCT02210056T	CPCT02020734T	CPCT02020716T	CPCT02080226T	DRUP01080014T	DRUP01270003T	CPCT02190044T	CPCT02130131T	CPCT02220054T	CPCT02330075T	CPCT02130134T	CPCT02130148T	CPCT02070381T	DRUP01070053T	DRUP01060025T	DRUP01100007T	CPCT02380019T	CPCT02020598T	DRUP01070059T	CPCT02080152T	CPCT02070406T	CPCT02450002T	DRUP01070024T	DRUP01060027T	CPCT02030381T	DRUP01220005T	CPCT02370010T	CPCT02020623T	CPCT02290023T	DRUP01010022T	CPCT02070159T	CPCT02030354T	CPCT02020565T	CPCT02060114T	CPCT02060118T	CPCT02220002T	DRUP01030002T	CPCT02070060T	CPCT02030320T	CPCT02060035T	CPCT02070110T	CPCT02020492T	CPCT02030327T	CPCT02020503T	CPCT02380029T	CPCT02020636T	CPCT02130013T	DRUP01110002T	WIDE01010639T	DRUP01010167T	WIDE01010570T
5:Del:R:5	1	2	4	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	7	0	2	0
2:Ins:R:0	14	46	55	20	42	51	34	3	1	1	1	4	1	1	0	2	8	135	2	2	2	1	2	3	1	56	0	2	0	0	3	1	0	2	1	8	24	4	2	0	3	4	3	1	2	6	4	1	4	5	1	7	7	9	26	7	9	8	47	6	6	10	4	8	13	62	7	12	9	5	8	1	9	3	7	36	2	11	11	7	15	5	6	4	7	27	17	14	6	10	36	30	8	5	5	2	46	28	11	11	57	11	1	7	6	7	8	7	5	8	8	6	14	4	9	121	7	5	311	7	62	9
2:Ins:R:1	6	23	13	6	10	11	6	3	3	4	0	0	0	0	1	1	2	47	1	3	1	4	1	1	2	12	3	1	4	2	2	1	2	1	2	3	4	2	3	1	3	4	3	0	0	5	0	1	5	4	3	2	2	6	1	2	1	2	8	1	3	4	3	2	3	13	5	14	4	2	4	4	4	2	3	8	0	1	2	5	11	5	6	0	4	4	6	7	1	1	14	18	5	4	2	5	7	5	5	9	7	3	1	5	2	4	0	8	5	3	5	3	9	3	6	18	7	5	39	0	8	4
2:Ins:R:2	5	17	20	17	18	16	13	2	3	2	1	0	1	2	2	3	3	62	0	0	1	0	0	2	2	20	0	1	0	3	6	1	0	2	8	7	3	1	0	1	2	3	0	3	2	2	0	3	4	5	3	2	3	4	1	2	4	1	11	1	1	0	4	3	2	15	0	8	3	1	0	3	2	1	3	9	0	1	1	7	4	1	0	1	2	5	1	1	3	1	16	5	3	2	2	2	6	3	2	0	21	0	2	2	2	0	1	4	5	5	2	3	3	1	1	19	4	0	45	1	13	3
2:Ins:R:3	20	41	117	19	77	117	33	1	1	1	0	1	0	0	0	1	0	213	0	0	0	1	0	0	0	52	1	0	0	2	1	0	1	0	1	6	6	0	1	0	0	1	1	1	0	4	0	1	4	1	0	2	4	1	0	1	3	0	7	1	0	0	0	0	1	36	1	2	1	3	6	1	0	1	1	13	1	1	2	2	6	1	0	1	1	0	1	4	0	1	17	1	2	0	2	2	3	0	1	1	45	1	0	1	0	1	0	1	0	0	0	0	0	0	1	38	0	1	93	0	15	3
2:Ins:R:4	128	190	625	135	304	514	151	0	0	1	0	2	1	1	1	0	1	879	0	2	1	1	0	1	0	316	0	2	1	1	3	2	0	0	0	34	21	0	0	1	0	1	0	1	0	46	1	3	36	1	1	1	6	7	0	3	1	1	20	2	0	4	2	3	6	162	3	3	2	3	2	1	5	3	0	58	3	0	0	2	8	5	3	0	2	3	2	0	0	0	76	1	1	1	0	2	1	3	6	3	151	2	0	2	0	0	0	1	3	3	1	1	1	4	0	137	2	1	408	1	125	1
2:Ins:R:5	521	926	1010	588	1230	904	776	6	11	4	2	6	7	9	2	5	3	2442	3	4	3	1	3	1	4	1257	5	6	4	6	14	2	3	4	5	173	54	0	9	11	3	5	6	4	1	280	5	6	162	7	8	5	19	23	2	20	16	19	204	10	7	10	4	9	28	741	26	27	9	21	24	12	18	12	6	340	11	3	6	13	37	13	14	1	10	13	26	11	7	2	445	4	43	5	9	11	10	11	24	30	822	12	6	9	1	7	5	18	17	38	11	4	9	16	11	866	12	9	1867	15	635	17
3:Ins:R:0	2	1	1	3	4	3	2	1	0	0	0	1	0	1	0	0	6	14	0	0	0	1	0	0	0	4	0	1	1	0	0	1	2	1	2	1	2	0	0	0	1	0	0	0	1	0	0	0	1	0	3	4	4	5	8	1	3	8	16	2	3	6	5	4	2	19	3	4	6	2	6	5	6	1	1	14	3	3	5	5	2	6	3	1	2	23	5	1	1	2	10	11	5	1	5	2	12	28	3	0	13	5	2	3	1	5	2	7	6	3	2	1	5	2	4	34	5	1	47	2	11	3
3:Ins:R:1	3	7	9	0	7	5	6	0	2	5	3	0	1	1	1	3	4	10	2	1	0	1	2	1	2	6	3	2	1	2	1	0	3	2	5	2	0	1	1	4	2	1	0	1	0	1	2	4	3	2	0	1	1	4	1	1	3	2	7	0	1	2	1	1	1	7	2	6	1	2	2	3	4	2	3	4	1	3	2	2	5	4	2	6	1	3	2	4	1	7	3	8	4	4	3	2	5	3	3	4	8	3	2	1	0	0	2	2	4	2	3	4	3	0	2	6	6	6	14	0	6	7
3:Ins:R:2	0	3	6	3	8	12	3	2	0	1	0	0	0	0	0	0	0	32	0	0	0	1	1	0	1	5	0	0	2	0	0	0	1	3	6	1	0	0	1	0	0	2	0	1	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	7	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	0	2	0	1	2	1	4	0	0	0	0	5	1	1	3	0	1	0	0	1	0	0	0	0	0	1	0	0	0	4	1	0	7	1	1	1
3:Ins:R:3	1	6	8	2	7	6	6	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	3	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	1	0	1	0	0	1	0	0	0	0	0	0	4	0	0	10	1	2	1
3:Ins:R:4	10	16	6	9	22	5	13	0	0	0	0	0	2	0	0	0	0	40	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	5	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	1	0	0	8	0	0	18	0	8	0
3:Ins:R:5	51	116	78	60	146	44	98	0	1	1	0	1	0	0	0	0	0	291	0	1	2	1	2	0	4	132	0	1	0	0	0	0	0	1	0	16	1	0	1	0	0	0	0	0	0	23	2	1	17	0	0	0	1	0	0	2	0	2	12	0	2	1	0	3	1	44	2	1	1	0	4	1	3	0	1	25	2	0	2	1	2	1	3	0	1	1	1	4	0	0	41	0	4	1	1	0	1	1	2	2	54	1	0	0	0	1	0	0	0	3	0	1	0	0	0	64	0	2	122	0	45	0
4:Ins:R:0	0	9	9	5	4	4	7	2	3	1	1	1	1	0	0	0	5	21	1	1	0	0	2	1	0	7	0	1	1	1	0	0	1	0	1	4	9	0	0	0	1	0	2	0	0	2	1	1	0	0	0	2	10	12	5	1	2	7	30	5	4	7	3	4	9	38	6	5	5	3	9	7	14	6	2	16	4	5	13	7	11	8	5	4	7	22	3	5	3	3	27	19	15	5	8	4	12	25	11	6	34	7	1	7	3	4	3	7	9	5	7	3	9	1	5	76	5	5	192	9	31	9
4:Ins:R:1	2	4	1	3	10	3	13	2	0	2	1	0	1	3	1	2	3	19	2	2	1	2	1	1	1	3	3	3	3	1	1	4	2	2	2	2	6	1	0	1	0	2	2	2	0	5	2	2	1	8	0	2	3	6	3	2	3	2	10	2	3	1	0	3	2	1	2	3	2	2	2	4	3	2	3	5	2	2	3	1	12	1	5	1	3	6	2	2	1	3	4	4	7	4	1	1	2	4	3	4	3	0	1	4	0	3	0	5	3	7	1	4	5	2	6	13	7	5	23	0	2	4
4:Ins:R:2	2	5	7	1	6	5	3	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	2	0	0	0	1	1	1	0	0	0	1	1	1	0	1	0	1	0	0	0	3	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	2	0	0	1	3	1	0	0	2	0	0	0	0	2	0	1	2	1	6	0	0	1	0	1	1	0	0	1	0	1	0	0	1	9	0	2	27	0	2	1
4:Ins:R:3	3	15	13	4	19	9	9	0	0	0	0	0	1	0	0	0	0	57	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0	0	13	1	0	0	0	0	1	0	0	0	4	1	0	1	0	0	0	0	0	0	2	0	0	0	0	5	0	1	1	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	0	0	42	0	11	1
4:Ins:R:4	7	12	12	8	23	4	16	0	0	0	1	1	0	1	0	1	1	45	0	0	0	1	0	0	1	21	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	9	0	2	3	0	1	0	2	0	0	1	0	2	2	1	0	0	0	0	0	13	2	1	0	2	0	1	2	0	0	2	0	0	0	0	3	0	0	0	0	2	0	1	0	0	5	0	2	0	0	1	0	2	0	1	10	1	1	0	0	1	0	0	0	2	1	0	0	0	0	20	0	0	69	0	15	0
4:Ins:R:5	19	42	26	29	46	13	35	0	1	0	0	1	0	3	0	1	1	128	1	0	0	2	1	0	1	72	0	0	1	0	1	0	0	1	1	9	2	1	0	2	2	0	0	1	1	13	1	0	6	1	2	1	1	4	1	2	1	0	9	3	1	2	1	0	1	13	0	2	2	1	0	2	2	2	1	6	0	2	1	2	5	2	1	0	2	3	2	0	1	1	7	2	3	1	0	0	1	4	0	1	11	0	0	0	0	0	0	1	0	1	3	1	0	0	1	32	1	0	62	1	17	0
5:Ins:R:0	4	6	14	13	16	11	9	2	0	3	3	3	3	2	2	0	3	37	0	3	1	1	2	1	1	17	0	0	1	2	0	0	2	3	0	6	17	5	1	3	8	5	2	2	0	1	2	2	6	6	1	10	38	51	12	22	53	97	88	47	19	95	43	32	58	343	59	14	36	27	51	59	100	35	54	125	20	51	29	45	43	78	39	40	59	118	36	91	61	23	151	30	66	31	22	45	48	113	33	33	116	48	16	19	27	63	20	34	38	32	14	16	20	4	15	173	49	48	521	15	153	21
5:Ins:R:1	5	7	12	5	16	5	8	8	1	18	5	5	4	3	8	3	2	17	13	9	6	6	14	4	10	26	4	6	10	7	6	2	5	8	7	2	16	8	9	2	9	5	7	5	8	9	4	7	1	8	2	12	6	17	2	12	12	10	16	4	3	15	2	13	9	13	8	21	3	5	10	8	8	4	8	17	7	8	15	26	15	11	3	15	22	30	11	9	5	15	10	8	12	11	10	3	22	32	16	7	11	7	6	14	3	5	1	11	16	17	6	12	15	1	14	24	10	12	42	3	15	8
5:Ins:R:2	1	1	1	0	3	0	2	0	0	0	1	0	0	0	0	0	0	6	0	0	2	0	0	0	0	5	0	0	1	1	1	0	0	0	1	2	0	0	1	1	1	0	1	1	0	0	0	1	2	0	0	0	1	1	0	1	0	0	1	0	0	3	0	3	1	5	1	0	2	1	1	0	1	0	0	2	1	0	0	2	3	0	1	0	1	8	0	2	0	0	2	0	0	1	0	0	1	5	0	1	2	0	0	0	0	2	2	1	5	1	1	1	1	0	1	5	3	0	12	1	7	0
5:Ins:R:3	1	5	1	1	3	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	8	1	1	1
5:Ins:R:4	1	6	1	4	3	0	4	0	0	0	0	0	0	0	0	0	0	15	0	1	0	0	0	0	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	1	0	6	0	0	10	0	3	0
5:Ins:R:5	2	1	1	2	4	1	4	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	2	1	0	0
2:Del:M:1	62	112	110	88	277	104	102	4	6	9	7	9	1	6	9	13	10	102	18	4	4	2	9	9	9	101	11	7	10	9	11	3	10	4	11	82	16	7	13	7	15	6	13	14	10	52	13	14	55	23	13	8	11	21	6	12	11	21	38	8	4	9	11	11	18	147	18	28	20	8	9	7	9	10	14	30	16	3	7	28	27	8	33	4	10	27	21	7	8	4	49	16	22	11	12	10	25	31	13	14	167	9	7	8	11	12	10	11	31	15	6	11	18	4	33	280	22	22	287	6	89	6
3:Del:M:1	7	7	7	7	11	7	4	3	0	2	1	2	0	1	4	2	4	1	4	4	3	2	2	0	0	7	2	2	0	7	4	2	8	3	1	7	2	1	1	2	1	2	3	1	5	4	0	3	3	0	2	2	4	4	2	2	4	9	6	1	2	2	10	3	1	20	1	14	10	1	3	1	1	2	5	3	1	2	3	1	6	2	8	0	2	5	2	4	1	1	5	4	1	5	4	3	3	6	0	8	15	3	3	0	12	1	2	2	6	7	0	5	6	1	16	36	9	10	26	1	12	2
3:Del:M:2	48	84	59	61	198	47	85	3	5	7	4	2	8	7	6	4	3	36	16	5	4	4	4	6	15	77	3	6	4	10	7	3	5	6	5	52	11	4	7	5	3	6	7	7	2	31	8	3	29	8	7	3	5	9	4	11	7	10	16	3	6	5	10	5	6	70	6	14	4	4	4	7	3	2	8	38	5	2	5	10	6	10	7	1	8	25	7	4	5	4	43	9	3	2	10	5	9	24	5	12	77	4	4	3	4	6	2	7	17	7	6	3	11	3	11	183	8	11	126	8	50	9
4:Del:M:1	13	12	11	14	32	12	13	1	0	4	1	3	3	3	0	3	0	2	3	1	5	3	1	2	2	11	2	1	5	1	2	0	1	1	0	9	6	1	3	2	2	2	1	2	2	7	1	1	6	3	3	4	4	3	0	4	3	10	16	4	0	7	8	4	5	31	1	13	7	2	3	4	6	1	8	14	1	1	3	4	7	1	3	0	2	18	5	1	4	0	27	1	2	3	2	5	2	18	3	5	26	2	1	1	8	1	4	1	9	5	1	2	7	0	13	97	9	15	98	2	25	3
4:Del:M:2	20	22	24	21	46	20	32	5	1	4	2	1	4	0	1	2	1	10	13	3	6	1	4	2	2	10	2	3	3	9	5	5	3	3	7	18	6	4	2	2	3	2	8	6	1	10	5	7	10	4	8	4	6	0	1	5	4	10	10	2	1	4	5	14	3	27	6	9	3	2	1	3	3	0	5	3	4	4	1	7	8	4	7	1	5	22	6	4	2	2	9	6	5	6	8	5	7	20	5	4	31	2	4	5	2	4	0	2	6	4	1	8	3	2	15	53	6	5	56	0	18	3
4:Del:M:3	31	46	26	32	95	31	37	4	3	7	4	2	4	4	5	8	6	27	10	3	4	3	2	5	3	46	1	0	5	8	5	1	2	4	1	17	6	5	4	5	1	3	6	7	5	18	5	7	23	8	12	5	7	10	2	11	10	9	8	4	2	1	2	9	5	45	7	7	1	1	4	6	4	3	8	16	5	1	2	20	14	6	21	1	16	18	8	4	1	0	18	4	6	2	11	7	22	18	3	2	44	0	5	3	1	2	1	2	8	8	3	1	4	5	12	92	6	1	77	2	30	7
5:Del:M:1	7	22	18	18	20	12	11	14	6	15	11	12	6	8	7	16	7	16	12	4	11	8	4	11	4	17	5	2	20	68	8	6	14	14	3	18	11	160	6	14	7	19	9	8	15	16	9	16	6	22	11	10	17	28	12	19	25	73	45	27	12	24	67	16	21	83	20	69	23	9	24	11	18	7	13	26	9	14	6	21	22	17	13	10	16	238	22	27	13	10	48	9	27	25	79	44	17	230	10	38	53	20	10	13	47	22	11	15	65	12	10	19	43	5	86	143	57	84	151	6	62	11
5:Del:M:2	9	13	6	12	14	12	16	14	4	7	11	10	6	3	4	15	7	7	26	10	6	17	6	8	6	8	8	9	31	101	3	3	8	15	5	12	9	171	6	7	7	7	21	8	6	10	12	10	2	17	20	3	5	10	4	13	14	46	9	24	5	14	25	15	8	37	10	39	26	6	12	8	7	7	23	14	7	11	2	14	13	16	12	4	7	386	6	32	9	4	20	10	12	11	113	44	9	384	12	16	12	13	10	8	13	26	6	10	77	6	10	15	32	7	40	17	49	58	33	4	10	17
5:Del:M:3	7	11	12	14	13	9	8	7	2	7	8	12	1	2	2	10	9	13	18	7	5	1	3	6	4	11	3	7	24	87	3	4	15	6	1	6	3	122	11	7	4	11	12	14	5	8	6	11	3	16	20	4	5	9	0	15	8	27	20	20	1	12	10	11	9	28	9	13	15	2	5	2	5	4	10	17	3	9	8	13	10	10	13	3	1	314	10	17	6	6	10	7	20	12	62	12	12	311	11	14	27	5	5	6	10	22	3	7	48	8	4	15	19	5	30	45	23	22	42	2	17	10
5:Del:M:4	3	10	3	2	14	2	7	3	0	7	4	9	3	4	1	8	1	8	10	5	0	3	1	3	1	5	2	2	12	51	4	4	11	2	1	5	2	63	4	4	3	2	6	4	0	1	8	2	3	11	9	5	4	2	3	6	8	9	9	9	4	2	9	4	2	17	3	11	8	1	4	2	4	2	4	4	1	1	3	8	11	5	4	2	1	204	7	16	1	2	6	3	4	3	56	9	8	203	7	2	8	5	4	3	6	12	2	4	31	3	2	2	12	1	5	12	6	11	19	1	10	5
5:Del:M:5	3	9	7	10	7	6	5	3	5	5	4	6	3	3	2	4	5	14	9	4	3	4	0	4	1	6	1	1	8	54	3	3	4	3	3	1	3	44	2	2	6	2	7	6	0	1	1	3	4	5	4	4	3	11	0	8	8	15	5	9	0	10	4	9	10	15	7	11	10	4	2	2	3	5	10	8	0	6	3	7	9	5	1	2	1	150	6	10	1	2	10	6	9	2	38	4	7	152	4	6	16	5	7	8	3	11	3	11	21	5	3	4	6	3	11	54	10	13	43	3	14	10
