MutationType	SP99325	SP18310	SP17172	SP96133	SP110242	SP21017	SP22383	SP81312	SP19215	SP16886	SP17905	SP18121	SP96118	SP21400	SP18946	SP80615	SP102897	SP98845	SP107012	SP55142	SP53810	SP116697	SP102133	SP125732	SP125746	SP125770	SP77956	SP124384	SP135287	SP85122	SP84384	SP84982	SP84392	SP84439	SP95454	SP94741	SP90209	SP90989	SP93540	SP93227	SP94348	SP94933	SP92364	SP94917	SP92460	SP89909
3:Del:R:1	527	326	13	171	236	135	198	9	165	7	13	142	44	3	14	14	154	22	60	19	6	111	19	19	176	26	3	90	175	241	409	114	229	249	96	156	139	136	409	119	162	54	138	113	71	79
3:Del:R:2	202	115	3	69	78	53	62	4	62	2	4	63	14	1	3	4	60	11	20	6	1	27	6	0	61	5	1	38	64	88	154	58	84	118	25	41	42	53	145	50	50	16	52	33	33	32
3:Del:R:3	71	44	1	17	33	29	19	0	17	1	1	23	2	0	1	1	12	2	6	0	0	1	1	0	17	4	1	9	18	30	46	27	28	45	16	22	16	15	43	19	14	8	29	5	12	6
3:Del:R:4	57	27	1	15	29	23	20	0	21	2	1	29	3	1	2	2	1	3	6	1	0	4	0	0	16	4	0	4	10	21	25	11	30	20	12	17	19	14	41	14	17	2	10	9	5	5
3:Del:R:5	87	39	0	31	55	54	22	1	27	1	0	32	6	0	0	1	5	3	7	2	0	1	0	1	14	14	0	6	21	37	37	15	49	29	11	36	31	27	66	16	42	8	32	11	5	6
4:Del:R:0	24	15	3	5	9	7	6	1	6	4	3	7	2	0	2	3	15	2	3	8	1	15	2	0	5	10	0	5	5	14	8	4	6	11	3	3	9	7	14	8	5	5	6	3	5	1
4:Del:R:1	211	135	6	74	100	51	70	4	67	5	10	57	21	6	11	8	93	10	47	26	2	73	10	4	81	16	2	37	72	99	194	52	83	111	33	65	64	56	166	43	73	28	66	45	33	30
4:Del:R:2	92	43	3	22	25	25	17	0	23	2	1	23	5	0	1	1	15	6	15	3	2	6	4	0	22	2	0	10	15	23	44	20	32	27	11	22	24	18	50	16	19	7	26	11	8	6
4:Del:R:3	60	27	0	12	20	27	19	2	14	0	0	11	0	0	5	1	9	3	4	1	0	5	0	0	14	6	0	4	7	18	32	3	26	14	9	13	13	14	32	14	12	1	15	11	4	6
4:Del:R:4	35	17	0	16	18	26	15	0	12	0	0	13	1	0	1	1	6	0	4	1	0	0	3	1	8	3	0	4	9	22	19	15	25	14	7	16	15	12	19	7	10	3	13	3	4	1
4:Del:R:5	37	22	0	12	14	19	10	0	9	0	0	6	1	0	0	0	2	0	5	0	0	0	0	1	12	1	0	3	14	25	13	12	15	10	5	15	13	21	34	6	11	3	16	2	5	3
5:Del:R:0	37	27	13	21	39	20	15	7	5	8	8	10	7	5	14	31	55	20	24	61	20	120	16	7	16	128	6	73	13	25	15	13	17	19	7	12	11	20	23	14	7	30	17	7	15	17
5:Del:R:1	33	38	2	14	22	23	7	3	13	2	2	3	0	2	3	4	18	4	8	8	0	30	3	4	14	16	3	19	15	20	25	9	23	21	6	12	9	5	22	12	10	9	14	10	4	8
5:Del:R:2	24	17	1	10	18	13	7	0	6	0	1	5	0	0	1	0	6	1	3	2	0	6	2	0	7	2	0	1	6	8	11	5	12	6	2	5	5	1	14	9	12	7	10	1	4	0
5:Del:R:3	22	10	0	9	11	11	7	0	4	0	0	6	2	0	1	0	2	0	3	0	0	0	4	0	8	2	0	4	3	13	9	6	14	14	0	13	2	6	12	4	9	6	7	4	0	3
5:Del:R:4	9	5	0	4	2	4	4	0	2	0	0	5	0	1	1	0	0	0	1	0	0	0	1	0	6	2	0	4	4	5	1	4	5	2	2	3	1	7	5	1	4	2	3	2	1	1
5:Del:R:5	1	1	0	1	2	5	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	2	4	1	7	0	0	0	1	2	0	0
2:Ins:R:0	86	64	38	36	85	62	19	78	11	83	84	46	2	39	45	163	15	3	13	20	13	6	52	3	25	31	1	22	14	50	30	16	33	31	14	46	55	20	42	51	34	135	56	8	6	4
2:Ins:R:1	38	12	11	13	29	17	10	2	7	12	11	15	2	3	4	12	30	5	22	14	19	10	15	2	13	6	0	5	4	26	21	7	21	21	6	23	13	6	10	11	6	47	12	3	5	5
2:Ins:R:2	26	30	8	12	48	28	19	4	11	5	11	14	0	4	6	13	8	8	13	4	3	9	12	3	14	12	1	12	16	37	17	10	22	21	5	17	20	17	18	16	13	62	20	7	2	4
2:Ins:R:3	118	114	27	35	145	100	47	13	61	6	45	113	6	12	30	28	9	3	19	3	1	11	45	3	42	28	2	22	47	101	70	18	86	93	20	41	117	19	77	117	33	213	52	6	4	4
2:Ins:R:4	452	448	96	220	537	371	179	28	200	26	92	401	25	22	75	72	39	26	95	0	2	27	253	9	151	127	3	58	210	384	240	81	311	215	128	190	625	135	304	514	151	879	316	34	46	36
2:Ins:R:5	1275	1391	262	933	1794	1090	612	52	603	59	123	647	99	44	197	154	209	83	454	5	2	65	999	37	665	561	5	335	602	1278	807	362	1047	597	521	926	1010	588	1230	904	776	2442	1257	173	280	162
3:Ins:R:0	5	7	10	7	7	6	0	2	0	2	3	2	0	1	7	12	6	3	3	4	1	6	2	1	3	5	0	0	2	7	0	2	2	0	2	1	1	3	4	3	2	14	4	1	0	1
3:Ins:R:1	4	0	9	16	9	5	4	5	5	5	4	5	0	8	7	4	4	0	2	10	2	9	9	3	3	2	1	4	3	10	4	7	6	6	3	7	9	0	7	5	6	10	6	2	1	3
3:Ins:R:2	7	12	0	4	16	12	5	0	4	1	1	8	0	0	0	2	2	0	1	3	0	2	2	0	3	2	1	1	4	11	4	3	3	5	0	3	6	3	8	12	3	32	5	1	1	0
3:Ins:R:3	10	5	1	6	13	9	4	0	6	0	1	6	1	0	0	0	0	0	1	3	0	2	9	0	3	4	0	2	3	10	4	4	12	3	1	6	8	2	7	6	6	29	8	0	0	1
3:Ins:R:4	11	28	3	17	18	19	16	2	9	0	0	6	1	1	1	1	2	2	6	0	0	1	16	1	12	7	0	5	18	30	9	8	20	10	10	16	6	9	22	5	13	40	20	2	5	4
3:Ins:R:5	121	145	12	89	179	134	69	5	53	2	1	65	11	3	10	3	14	5	33	0	0	5	95	4	54	69	1	28	74	145	84	38	122	62	51	116	78	60	146	44	98	291	132	16	23	17
4:Ins:R:0	14	9	8	10	19	8	3	7	3	11	16	1	1	11	24	37	1	1	2	1	0	1	6	1	8	7	1	7	1	9	4	3	4	4	0	9	9	5	4	4	7	21	7	4	2	0
4:Ins:R:1	3	2	0	14	16	11	11	4	4	2	4	2	1	3	3	5	4	3	5	3	2	15	3	0	2	4	2	5	5	11	2	10	5	7	2	4	1	3	10	3	13	19	3	2	5	1
4:Ins:R:2	7	12	2	2	16	4	3	3	6	0	0	2	0	0	1	1	1	0	0	2	0	2	2	0	2	0	0	3	4	2	3	2	10	6	2	5	7	1	6	5	3	22	7	0	2	0
4:Ins:R:3	19	29	4	11	31	12	5	1	8	0	1	11	0	0	0	1	1	0	3	0	0	1	19	0	9	7	0	2	5	22	9	6	15	7	3	15	13	4	19	9	9	57	15	2	2	1
4:Ins:R:4	14	12	4	13	18	19	7	1	11	0	1	5	1	2	1	2	3	3	0	0	0	1	26	0	7	7	0	4	9	26	9	2	12	11	7	12	12	8	23	4	16	45	21	4	9	3
4:Ins:R:5	24	20	10	33	60	61	22	4	20	0	0	15	2	0	1	5	3	0	5	2	0	0	45	1	20	26	0	16	15	29	9	14	24	9	19	42	26	29	46	13	35	128	72	9	13	6
5:Ins:R:0	7	12	10	9	34	15	5	11	4	22	13	5	1	15	20	43	9	1	4	9	2	14	12	0	18	18	4	7	2	15	10	3	7	2	4	6	14	13	16	11	9	37	17	6	1	6
5:Ins:R:1	4	11	30	25	27	21	26	9	5	5	18	7	0	17	21	25	11	2	7	37	6	44	15	2	5	9	7	29	8	25	2	9	14	18	5	7	12	5	16	5	8	17	26	2	9	1
5:Ins:R:2	0	3	2	4	2	5	2	0	1	0	1	0	0	1	0	0	0	1	2	1	0	5	2	0	2	4	2	0	0	2	0	1	4	1	1	1	1	0	3	0	2	6	5	2	0	2
5:Ins:R:3	3	2	1	2	4	5	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	4	0	2	0	0	2	1	4	0	2	1	1	1	5	1	1	3	0	0	7	3	0	0	0
5:Ins:R:4	3	1	1	4	5	4	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	5	0	1	1	0	3	2	2	1	3	4	1	1	6	1	4	3	0	4	15	4	0	1	0
5:Ins:R:5	4	0	0	1	2	3	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	5	0	1	0	0	0	0	3	0	2	2	2	2	1	1	2	4	1	4	9	3	0	3	0
2:Del:M:1	393	219	34	150	230	128	132	11	112	10	13	117	40	10	26	32	134	26	71	84	50	83	24	20	163	29	2	80	112	208	228	90	130	178	62	112	110	88	277	104	102	102	101	82	52	55
3:Del:M:1	24	16	5	11	14	9	6	1	12	0	1	7	2	1	4	6	12	3	4	7	3	14	0	0	11	6	1	11	7	19	20	12	10	14	7	7	7	7	11	7	4	1	7	7	4	3
3:Del:M:2	275	144	10	90	139	72	81	3	77	7	5	83	17	4	9	10	85	14	31	13	8	41	14	3	92	15	2	36	85	134	189	57	86	143	48	84	59	61	198	47	85	36	77	52	31	29
4:Del:M:1	42	30	2	15	19	12	11	2	8	1	2	13	2	1	3	4	22	4	11	7	1	14	4	0	13	4	0	7	15	21	33	9	16	12	13	12	11	14	32	12	13	2	11	9	7	6
4:Del:M:2	83	42	3	32	35	16	35	3	35	3	2	18	7	4	4	6	32	8	17	11	1	39	8	1	19	17	0	14	32	31	65	22	28	49	20	22	24	21	46	20	32	10	10	18	10	10
4:Del:M:3	102	78	5	35	85	37	37	5	29	3	4	28	14	3	4	14	40	12	27	14	4	59	8	3	65	10	4	23	34	64	94	40	48	53	31	46	26	32	95	31	37	27	46	17	18	23
5:Del:M:1	19	19	11	26	28	21	16	4	10	4	3	8	5	5	8	28	31	13	12	83	18	124	13	4	15	148	3	62	10	18	12	6	15	13	7	22	18	18	20	12	11	16	17	18	16	6
5:Del:M:2	17	8	11	17	31	12	17	10	8	6	4	8	3	5	9	40	25	14	14	137	18	225	13	3	4	286	3	38	7	26	20	9	23	12	9	13	6	12	14	12	16	7	8	12	10	2
5:Del:M:3	22	11	7	12	32	10	10	5	8	0	3	11	4	0	4	20	18	5	10	98	4	155	5	2	11	216	5	11	10	15	12	12	15	11	7	11	12	14	13	9	8	13	11	6	8	3
5:Del:M:4	15	19	6	7	17	15	4	1	9	3	3	5	3	2	6	9	16	3	5	47	5	94	4	0	12	125	1	9	7	10	14	6	11	8	3	10	3	2	14	2	7	8	5	5	1	3
5:Del:M:5	16	17	4	9	15	15	7	8	10	1	1	4	1	2	2	19	5	6	7	37	4	102	7	4	8	123	4	38	2	15	7	6	24	6	3	9	7	10	7	6	5	14	6	1	1	4
