MutationType	CPCT02030262T	CPCT02190001T	CPCT02160010T	CPCT02330006T	CPCT02030290T	CPCT02060058T	CPCT02130025T	CPCT02060167T	CPCT02090031T	CPCT02220061T	DRUP01020037T	CPCT02380033T	CPCT02100135T	CPCT02080286T	CPCT02380032T	CPCT02250006T	CPCT02050312T	CPCT02270017T	CPCT02060210T	CPCT02090039T	CPCT02110060T	CPCT02130044T	CPCT02130047T	WIDE01010068T	WIDE01010103T	CPCT02440009T	WIDE01010243T	CPCT02130079T	CPCT02130082T	CPCT02210054T	CPCT02120131T	CPCT02370030T	CPCT02090047T	CPCT02130118T	CPCT02080238T	CPCT02130120T	CPCT02030501T	CPCT02190041T	CPCT02130133T	CPCT02130129T	CPCT02290049T	CPCT02380050T	CPCT02090060T	CPCT02210068T	CPCT02410012T	DRUP01090022T	CPCT02050246T	CPCT02050244T	CPCT02060111T	CPCT02050070T	CPCT02250001T	CPCT02070231T	CPCT02210016T	CPCT02070132T	CPCT02180029T	CPCT02050195T	CPCT02060107T	CPCT02070177T	CPCT02030366T	CPCT02050223T	CPCT02060116T	CPCT02050239T	CPCT02210031T	CPCT02230035T	CPCT02050089T	CPCT02180009T	CPCT02330014T	CPCT02230001T	CPCT02040083T	CPCT02180020T	CPCT02050135T	CPCT02020483T	CPCT02080091T	CPCT02260012T	CPCT02210036T	CPCT02130014T	CPCT02130010T	CPCT02250002T	CPCT02090027T	DRUP01070119T	CPCT02050447T	CPCT02330135T	CPCT02200008T	CPCT02200009T
2:Del:R:3	2	0	0	1	5	2	2	0	0	8	3	2	2	1	2	1	0	1	2	0	1	2	2	3	0	4	0	1	3	6	1	2	2	0	2	1	1	1	0	3	3	0	1	2	1	1	2	1	0	4	2	0	3540	0	4	1	4	3	1	3	0	2	2	0	8	11	1	0	2	1	5	0	6	1	2	2	2	1	1	24	1	0	0	2
2:Del:R:4	0	0	1	0	3	2	1	2	0	5	0	1	0	0	0	2	0	2	1	1	0	0	1	2	0	1	1	1	0	0	1	0	6	3	3	3	0	1	4	2	0	1	3	0	0	3	1	1	0	0	2	0	1051	1	1	0	1	0	1	0	0	2	0	1	10	2	1	0	1	1	1	1	2	0	1	1	1	1	2	15	1	0	0	0
2:Del:R:5	1	1	4	3	5	2	2	1	3	11	3	3	2	0	1	1	1	2	1	2	0	0	2	1	1	4	3	0	4	1	2	3	1	3	3	4	0	2	5	2	3	0	2	5	1	1	2	2	2	4	2	1	3295	1	3	1	5	2	0	0	0	3	1	6	21	3	1	1	2	2	2	0	1	0	0	2	5	0	2	28	2	0	3	2
3:Del:R:0	3	2	5	1	7	3	3	3	5	3	7	4	1	1	1	2	3	1	2	2	1	2	3	3	1	1	1	2	1	1	2	4	17	0	1	6	1	2	4	1	4	2	3	5	2	2	2	4	4	2	4	2	329	0	2	6	3	1	1	2	1	4	5	2	4	9	0	1	2	10	11	5	1	1	0	2	3	1	2	2	1	2	0	0
3:Del:R:1	4	7	5	6	11	6	12	12	5	8	10	2	3	3	3	4	3	2	5	4	3	6	13	15	3	1	5	5	2	13	6	6	23	3	7	6	6	6	10	3	9	4	9	11	3	8	6	10	6	4	7	5	479	5	5	5	9	4	6	4	2	6	7	4	5	20	2	0	4	8	18	4	6	5	4	4	8	5	4	9	5	5	12	9
3:Del:R:2	1	2	1	0	4	2	4	3	0	3	1	1	0	1	1	0	1	4	1	1	2	0	4	1	0	0	1	0	2	2	2	1	5	1	3	1	2	1	6	2	0	0	0	1	1	2	3	0	3	0	0	2	189	3	1	1	4	0	3	0	0	4	1	1	1	12	0	0	1	2	0	0	1	1	4	0	4	2	1	4	3	1	0	1
3:Del:R:3	0	0	0	0	0	0	1	0	0	2	1	0	1	0	0	1	0	1	1	1	0	0	1	2	0	0	1	0	0	0	0	1	1	1	0	0	0	2	2	0	0	0	0	0	0	1	0	1	1	0	1	1	66	1	0	0	1	0	0	1	2	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	1	0	1	1	0	1	2
3:Del:R:4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	62	0	0	0	1	0	0	1	0	0	1	1	1	3	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0
3:Del:R:5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	2	2	0	0	1	0	1	1	0	0	0	0	1	0	0	140	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0
4:Del:R:0	0	2	1	0	8	1	2	5	6	1	8	0	0	4	2	2	0	1	3	3	2	2	2	3	1	1	2	0	4	1	1	4	12	1	4	0	3	3	1	0	2	2	1	3	1	4	2	3	3	2	3	0	125	0	1	6	3	1	2	1	0	2	3	1	3	7	0	0	2	5	7	2	0	1	2	0	2	0	1	4	2	2	0	2
4:Del:R:1	3	8	2	4	10	6	3	2	6	8	4	0	5	0	2	1	3	1	3	6	5	5	9	4	1	4	2	2	3	3	0	5	9	1	3	5	5	8	11	6	4	4	6	7	2	9	6	4	5	4	5	4	246	3	2	4	5	3	6	2	2	5	8	3	10	20	2	0	6	11	12	5	5	5	3	5	8	0	1	13	6	5	3	1
4:Del:R:2	1	4	1	0	2	1	2	3	0	7	1	2	0	0	1	2	2	0	4	0	0	1	5	2	0	1	2	1	0	0	1	3	3	1	4	2	0	5	5	1	4	1	1	1	1	4	2	1	2	0	1	0	174	4	1	1	3	1	0	1	0	2	0	1	2	7	0	1	1	3	1	1	1	1	1	3	0	1	1	5	2	2	3	2
4:Del:R:3	0	0	1	1	3	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	3	1	0	0	1	0	0	1	0	2	4	0	0	1	0	1	1	0	1	0	0	0	1	1	0	2	0	0	2	0	246	0	0	0	1	0	1	0	0	1	1	2	1	3	1	0	3	1	0	1	1	1	0	1	3	0	0	8	1	0	0	1
4:Del:R:4	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	1	0
4:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	119	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1
5:Del:R:0	10	11	14	15	96	11	20	24	49	12	87	9	17	3	16	74	15	46	25	12	16	27	28	10	7	31	15	19	14	17	28	36	170	15	23	31	10	10	21	8	15	27	15	76	17	96	32	26	93	23	29	21	122	3	19	19	12	6	8	20	9	30	36	28	15	117	8	5	10	77	112	14	16	46	54	13	38	20	4	9	7	9	4	8
