MutationType	SP117655	SP117556	SP117627	SP117775	SP117332	SP117712	SP117017	SP117031	SP117759	SP117621	SP117425	SP117930	SP99287	SP99293	SP99289	SP99297	SP99301	SP99305	SP99309	SP99313	SP99317	SP99321	SP99325	SP99329	SP99333	SP99337	SP99341	SP99345	SP99113	SP99185	SP99209	SP99213	SP99221	SP99225	SP99241	CPCT02020318T	CPCT02010377T	CPCT02060017T	CPCT02060166T	DRUP01080024T	CPCT02300029T	CPCT02130024T	CPCT02370015T	CPCT02080291T	CPCT02330082T	CPCT02130035T	CPCT02020667T	CPCT02190030T	CPCT02070304T	CPCT02230093T	CPCT02170024T	CPCT02050342T	CPCT02130064T	CPCT02130063T	CPCT02080208T	CPCT02130066T	CPCT02130067T	CPCT02100172T	CPCT02130084T	CPCT02060220T	CPCT02100169T	CPCT02080218T	CPCT02050332T	DRUP01080031T	CPCT02040245T	DRUP01050048T	DRUP01010142T	CPCT02080224T	CPCT02260021T	CPCT02020762T	CPCT02130116T	CPCT02050342TII	CPCT02130138T	CPCT02130139T	CPCT02230115T	CPCT02010902T	CPCT02290056T	CPCT02130152T	DRUP01170003T	DRUP01010095T	DRUP01030024T	CPCT02040292T	DRUP01050035T	CPCT02020577T	CPCT02050263T	DRUP01010108T	DRUP01010109T	DRUP01010113T	CPCT02120059T	CPCT02170010T	CPCT02030398T	CPCT02050250T	CPCT02050076TII	CPCT02050182T	CPCT02070187T	CPCT02030373T	CPCT02020589T	CPCT02040154T	CPCT02050091T	CPCT02020406T	CPCT02020405T	CPCT02070052T	CPCT02060063T	CPCT02230004T	CPCT02300006T	CPCT02080066T	CPCT02010492T	CPCT02020460T	DRUP01010019T	CPCT02050133T	CPCT02050144T	CPCT02050286T	CPCT02130006T	CPCT02130003T	CPCT02340039T	CPCT02230075T	CPCT02080169T	CPCT02150005T	WIDE01010522T	WIDE01010696T
2:Ins:R:0	6	1	1	3	2	1	0	4	3	6	2	1	1	0	3	0	0	3	0	0	0	1	86	0	2	2	2	0	0	0	0	2	0	1	5	2	6	3	12	21	3	6	5	5	4	9	1	7	16	5	12	15	11	19	4	4	10	4	6	7	15	7	4	221	14	347	123	6	2	4	7	11	9	15	2	6	10	0	4	10	4	6	16	8	8	28	6	11	13	7	8	4	9	9	6	11	7	3	2	3	5	0	11	4	7	4	9	0	11	15	27	15	6	5	10	0	5	3	4	2
2:Ins:R:1	2	4	1	2	2	2	2	1	6	4	0	7	0	0	2	0	0	2	1	2	0	5	38	1	2	0	0	0	0	3	2	6	0	2	1	4	3	6	2	4	2	4	2	4	3	2	2	1	2	3	2	4	2	7	2	5	2	1	2	4	10	9	1	22	6	55	23	5	2	3	1	4	4	3	3	3	6	1	1	4	5	3	5	0	3	12	3	4	5	1	2	3	5	5	3	4	2	1	2	2	2	3	4	5	5	2	1	4	3	1	4	10	1	3	5	3	3	2	5	0
2:Ins:R:2	4	1	0	2	1	1	1	5	2	2	1	3	0	1	1	0	0	0	1	3	0	0	26	2	1	0	1	0	0	1	0	3	0	0	2	0	0	3	0	1	0	2	0	3	2	1	0	0	3	1	0	2	2	1	1	2	1	0	1	0	3	2	0	30	1	54	27	2	2	0	2	2	4	1	0	0	2	2	1	0	1	0	1	1	0	6	1	0	4	1	4	1	2	1	0	7	1	0	1	0	0	3	2	4	3	0	0	2	3	4	6	3	2	3	3	1	1	2	0	1
2:Ins:R:3	1	1	0	4	0	0	0	1	0	1	2	1	0	0	1	0	0	0	1	1	0	0	118	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	2	1	0	1	0	0	0	1	2	1	3	2	0	2	1	0	3	0	2	0	3	0	2	69	4	128	36	0	0	0	1	0	0	2	0	1	1	0	1	1	0	3	1	1	2	2	0	1	4	2	0	1	2	0	0	6	1	2	3	0	1	2	1	0	1	1	0	1	0	0	2	4	3	1	3	1	0	3	0	0
2:Ins:R:4	1	0	0	2	1	0	1	0	2	3	1	3	0	1	0	0	3	0	1	1	0	1	452	0	0	2	1	0	0	0	0	1	0	0	2	0	2	3	3	2	6	2	2	0	1	2	0	2	2	1	2	3	2	4	1	5	1	0	2	1	4	1	0	280	1	543	212	3	2	0	3	1	0	3	2	1	1	1	3	2	2	0	3	3	1	20	1	0	5	1	3	1	6	1	5	11	1	3	1	1	3	1	5	1	1	0	0	0	5	4	13	0	2	1	3	0	0	1	1	0
2:Ins:R:5	8	6	2	7	0	1	2	11	12	2	1	30	0	3	3	1	22	4	3	1	0	3	1275	1	3	4	2	0	0	0	0	8	0	2	0	8	9	9	14	1	14	7	8	6	5	20	4	6	10	14	7	20	10	31	4	27	7	3	11	13	46	25	6	1485	22	2187	1167	6	5	4	14	12	13	13	3	16	10	3	1	17	13	12	38	8	17	143	4	11	47	7	13	9	34	5	12	34	6	10	5	4	9	11	5	11	12	6	1	6	30	35	71	19	14	10	14	5	3	4	2	3
3:Ins:R:0	1	0	0	1	0	0	0	4	0	3	0	0	0	0	1	0	0	0	0	1	0	0	5	1	0	0	1	0	0	0	0	1	0	0	2	0	3	5	6	4	3	4	2	3	2	2	3	1	6	1	3	5	4	10	1	5	2	4	2	4	7	7	1	52	5	73	26	0	1	2	2	3	10	4	1	2	1	1	0	3	2	1	8	3	0	12	0	4	5	6	5	1	9	0	5	6	3	2	0	2	5	3	8	0	0	3	2	3	3	3	25	12	3	4	3	1	3	0	2	1
3:Ins:R:1	5	2	1	3	0	0	1	3	2	5	3	5	0	1	1	0	0	1	1	2	0	0	4	1	1	2	1	0	0	0	3	9	0	0	3	2	1	1	2	2	2	2	2	3	0	0	0	2	0	2	2	2	2	6	0	2	2	1	3	2	6	5	1	8	4	20	9	1	1	1	2	3	0	1	4	1	2	0	0	2	4	1	5	2	0	8	1	3	4	4	2	3	4	4	2	1	0	1	2	0	2	1	3	2	2	0	2	1	3	1	5	6	2	1	1	0	1	1	0	1
3:Ins:R:2	0	0	0	1	0	0	0	0	0	2	1	2	0	1	0	0	0	0	1	1	0	0	7	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	1	2	0	0	0	0	0	0	1	1	1	5	0	7	8	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	1	1	1	0	1	1
3:Ins:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	11	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0
3:Ins:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	8	0	15	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3:Ins:R:5	5	1	1	2	0	0	1	3	1	0	2	3	0	0	0	0	2	1	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	2	0	1	1	9	1	1	115	1	138	66	1	0	0	0	0	0	2	1	0	0	0	0	1	3	0	0	0	1	12	0	1	0	0	1	2	4	0	2	4	1	2	0	0	0	1	1	1	1	1	0	0	1	2	4	1	2	0	0	0	1	2	0	0
4:Ins:R:0	5	2	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	14	0	0	0	1	0	0	0	1	0	0	0	0	1	2	4	4	3	7	5	2	2	3	6	6	2	6	3	7	6	6	12	5	2	5	2	4	4	17	9	4	183	11	249	74	3	3	0	4	6	10	5	4	2	3	1	4	8	4	9	10	5	3	32	1	1	6	5	2	4	8	1	5	11	4	6	0	2	5	7	11	4	2	0	2	1	5	4	19	17	7	1	5	2	1	3	8	0
4:Ins:R:1	4	4	2	0	2	5	2	5	2	5	4	2	0	3	1	0	0	1	0	2	1	0	3	1	4	2	1	0	0	1	4	4	0	0	1	3	2	2	3	1	4	0	1	2	2	0	2	0	3	3	2	1	1	6	2	0	0	0	1	4	2	2	3	11	0	20	11	4	4	0	3	1	2	2	1	1	4	0	0	2	2	1	7	3	2	14	1	2	7	1	1	0	5	4	2	0	1	2	1	2	0	4	1	1	1	2	0	1	5	2	6	2	2	2	5	1	3	1	2	0
4:Ins:R:2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	2	0	0	0	1	5	0	0	0	1	2	0	3	0	0	15	2	26	2	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	3	0	1	2	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	1
4:Ins:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	19	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	26	0	61	17	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0
4:Ins:R:4	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	2	2	0	1	0	0	0	0	0	2	0	52	0	54	30	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	3	0	0	4	0	0	2	0	0	0	1	1	2	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	4	1	0	0	0	0	0	0	0	0
4:Ins:R:5	1	0	1	0	0	1	1	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	24	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	3	1	1	0	0	0	0	3	0	0	1	0	1	2	1	0	1	0	1	0	0	0	4	0	0	41	0	44	25	0	0	0	0	2	0	1	1	1	0	0	0	3	0	1	0	0	0	11	0	1	5	0	1	0	4	0	4	0	0	1	0	0	0	0	1	0	0	0	0	1	0	2	3	1	1	0	1	0	0	0	0	0
5:Ins:R:0	0	2	1	5	1	1	2	0	2	2	1	0	0	2	0	1	1	2	0	0	0	0	7	2	0	0	1	0	0	0	0	1	0	0	1	22	20	21	48	14	69	44	18	10	14	50	43	33	37	36	51	48	67	103	41	30	49	48	28	77	74	80	15	407	26	597	187	41	35	63	19	20	46	51	63	56	36	24	39	22	61	146	67	56	26	89	9	14	62	73	51	23	40	16	40	61	57	35	19	23	37	28	69	16	39	8	15	21	21	23	54	139	42	34	44	19	51	35	19	7
5:Ins:R:1	6	10	8	7	3	5	4	7	6	14	7	16	2	1	7	0	0	2	6	15	0	0	4	6	2	3	6	0	1	2	6	19	1	1	17	3	12	4	10	6	8	2	1	3	9	11	4	11	12	9	8	10	12	21	6	4	9	3	5	9	15	12	5	30	16	65	21	7	3	5	3	7	11	10	8	7	7	0	6	10	7	6	17	4	5	40	2	8	14	6	4	4	14	8	8	11	10	4	5	2	8	5	17	7	9	4	5	8	24	9	25	29	6	6	3	6	2	11	4	3
5:Ins:R:2	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	0	0	0	3	1	0	6	0	17	6	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	6	0	0	1	2	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	8	1	1	1	0	0	0	0	0
5:Ins:R:3	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	0	2	1	1	3	0	10	7	0	1	0	2	1	0	1	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1
5:Ins:R:4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	6	0	7	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
5:Ins:R:5	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
2:Del:M:1	12	7	10	14	3	7	2	9	17	14	16	9	2	7	9	0	16	5	9	8	1	5	393	3	5	2	11	2	1	5	7	9	0	4	8	6	7	21	5	5	7	8	9	10	4	12	2	9	14	18	9	11	10	10	7	12	19	5	5	7	21	17	6	337	17	465	256	7	7	8	3	11	10	5	6	8	11	4	6	9	12	12	16	10	12	58	5	27	11	7	5	3	18	6	9	27	3	8	8	8	5	9	15	9	6	9	7	8	8	9	32	22	12	6	7	4	9	8	6	6
3:Del:M:1	1	1	0	1	1	0	2	2	2	4	1	1	0	1	3	0	1	2	2	2	0	1	24	2	4	1	3	1	1	1	2	0	0	1	3	1	3	2	2	0	1	3	2	0	2	2	3	4	7	3	3	2	1	4	0	1	4	0	5	3	4	4	1	26	2	75	24	3	0	1	5	2	2	3	6	2	3	0	1	3	3	5	5	2	1	4	4	16	3	3	0	0	5	1	2	4	4	1	1	3	2	2	7	2	2	2	0	1	6	2	4	9	1	2	4	2	2	2	2	1
3:Del:M:2	6	6	5	7	2	3	3	3	9	9	11	7	0	0	2	0	8	2	2	4	0	4	275	5	4	2	2	1	3	0	4	5	2	1	5	3	2	9	3	1	13	4	2	2	0	6	4	3	9	6	6	5	2	2	0	4	4	0	6	2	11	5	1	189	13	283	167	8	2	3	7	5	6	4	7	5	4	1	2	6	5	5	5	3	7	20	3	9	6	1	6	2	7	2	0	4	7	1	3	3	4	4	7	7	3	1	2	2	5	3	20	16	6	4	6	3	6	4	2	2
4:Del:M:1	2	2	1	3	1	5	0	0	2	3	1	2	2	4	1	0	2	2	3	1	0	3	42	2	1	1	4	0	2	1	8	1	0	5	4	2	0	4	1	1	2	4	1	2	1	4	6	4	3	4	1	1	1	7	3	2	3	1	1	3	8	2	0	80	3	130	52	1	3	3	1	1	3	6	1	3	4	0	2	3	3	5	5	3	1	13	2	11	2	1	1	1	1	2	3	4	5	3	0	3	2	1	3	0	3	3	2	3	2	3	5	6	4	1	4	0	1	4	0	2
4:Del:M:2	8	3	2	4	4	2	3	3	5	3	2	2	2	2	7	0	6	2	1	0	0	1	83	2	2	1	3	0	1	1	4	4	1	4	3	2	5	6	3	2	8	5	3	2	0	7	6	0	5	2	3	4	5	4	3	4	0	2	3	2	6	3	6	88	3	123	58	0	2	3	2	4	1	6	2	4	3	0	2	4	9	5	4	2	4	8	3	10	5	0	3	0	1	2	3	11	6	2	1	2	6	2	4	5	4	2	1	2	5	3	8	15	2	2	1	2	5	3	2	2
4:Del:M:3	7	3	5	11	1	4	5	5	8	7	5	3	2	1	5	1	7	1	3	3	2	2	102	2	3	2	1	1	1	4	2	5	1	3	5	3	2	9	5	1	4	7	2	7	4	4	3	2	3	10	1	10	7	8	1	2	6	0	1	3	13	10	7	114	13	180	90	4	6	2	1	10	8	7	1	10	3	1	4	10	8	6	8	6	1	8	2	5	3	6	1	1	11	9	4	10	10	5	0	3	1	4	9	4	4	3	2	2	3	5	13	7	7	0	5	0	5	4	4	0
5:Del:M:1	16	12	9	12	5	17	13	16	8	12	9	11	3	10	22	1	1	10	4	65	2	6	19	50	5	6	8	3	3	19	26	5	1	5	57	7	13	10	11	8	23	7	9	3	3	22	16	27	18	17	8	19	25	58	14	10	19	4	15	15	26	24	56	90	27	129	74	22	5	13	8	13	25	19	18	9	72	13	42	11	36	35	43	12	9	31	7	87	30	38	10	10	16	11	10	20	56	18	8	11	18	13	132	10	13	2	9	10	20	10	30	129	11	17	9	3	22	16	13	8
5:Del:M:2	12	5	6	10	4	13	4	10	8	10	9	11	4	4	12	0	0	5	3	46	1	7	17	80	1	5	3	1	1	9	10	5	1	8	29	2	7	11	9	3	9	9	6	6	3	12	6	13	19	12	4	9	5	41	4	7	12	2	7	9	10	18	59	23	10	38	15	9	2	15	8	8	11	12	5	7	55	8	63	8	17	24	41	17	8	26	4	63	24	26	6	5	7	9	3	22	67	9	5	7	40	8	246	8	13	5	4	7	12	11	21	215	6	13	8	6	6	7	5	6
5:Del:M:3	8	5	5	12	5	8	3	10	7	6	4	5	2	2	14	0	1	3	3	19	0	0	22	80	5	2	1	3	1	6	5	0	0	2	24	3	11	10	9	3	14	6	4	3	1	7	8	11	9	10	6	4	6	41	5	5	5	1	8	5	16	16	53	40	4	56	26	4	1	5	3	3	6	5	3	2	42	3	53	3	17	12	39	8	3	22	4	20	16	28	6	2	5	6	8	11	72	4	4	2	41	3	189	4	4	1	3	4	14	9	19	178	4	4	9	3	5	5	2	1
5:Del:M:4	4	5	2	2	0	0	1	10	6	2	4	10	2	4	7	0	1	2	1	7	0	0	15	31	2	5	0	1	1	3	3	3	1	1	12	2	5	5	4	2	5	3	5	4	0	2	5	4	3	8	1	1	6	23	1	1	2	1	4	2	8	9	26	21	2	25	19	1	2	4	3	2	3	8	4	2	17	0	31	3	10	8	17	6	2	12	0	7	12	14	5	3	4	0	5	3	36	1	2	4	23	2	114	2	4	3	0	2	5	2	9	106	2	2	5	4	4	5	5	1
5:Del:M:5	5	8	4	9	1	4	4	3	5	7	4	14	1	4	4	0	0	3	1	11	0	1	16	35	2	2	2	0	1	2	2	5	2	1	2	4	4	4	9	2	7	2	2	2	2	9	3	5	5	8	2	2	6	27	1	5	10	3	13	7	14	13	17	22	3	43	11	3	6	10	5	3	5	5	7	8	26	2	23	7	17	12	30	5	7	30	0	10	18	15	2	2	12	3	2	17	35	1	0	3	19	5	92	4	0	3	1	4	10	6	10	107	13	6	9	1	1	1	2	3
