MutationType	SP1086	SP1003	SP1677	SP1305	SP963	SP1144	SP1132	SP1712	SP1114	SP1431	SP975	SP1059	SP1419	SP1009	SP1724	SP96136	SP967	SP1781	SP1174	SP953	SP1377	SP1365	SP1491
G[Del(T):R(8,)]C	0	2	1	3	0	0	0	1	0	0	3	1	10	1	0	4	0	4	20	7	0	3	3
G[Del(T):R(8,)]G	1	0	0	1	0	0	1	1	1	1	3	1	3	1	0	1	1	1	9	0	0	0	1
A[Ins(C):R0]A	0	0	0	4	0	4	0	0	2	0	3	13	0	1	0	4	0	0	2	2	0	2	0
A[Ins(C):R0]T	0	1	1	0	1	0	0	0	1	0	2	11	0	0	0	0	0	0	0	0	0	0	0
Ins(C):R(0,3)	7	8	10	27	4	6	13	5	7	2	12	19	5	11	6	15	1	8	6	18	10	7	15
Ins(C):R(4,6)	5	8	5	11	3	2	5	6	3	6	4	7	5	4	3	12	6	9	8	7	6	3	11
Ins(C):R(7,)	2	2	2	6	1	3	1	2	4	2	7	3	5	4	3	3	1	6	9	5	3	4	3
A[Ins(T):R(0,4)]A	2	6	6	13	3	5	7	2	4	5	4	10	3	11	6	4	3	6	3	5	6	5	6
A[Ins(T):R(0,4)]C	1	5	0	9	4	1	0	2	1	3	1	6	5	7	4	1	0	6	2	5	1	6	1
A[Ins(T):R(0,4)]G	2	8	2	9	4	4	1	1	7	5	6	16	6	5	2	6	2	6	1	4	1	0	2
C[Ins(T):R(0,4)]A	3	2	4	7	2	2	4	3	4	7	2	5	2	4	2	3	2	4	2	4	2	1	3
C[Ins(T):R(0,4)]C	3	6	2	5	3	2	3	2	2	1	1	3	2	3	1	9	1	7	3	3	1	1	3
C[Ins(T):R(0,4)]G	2	8	9	13	5	5	6	4	3	4	4	7	4	6	0	5	2	4	3	7	3	3	5
G[Ins(T):R(0,4)]A	7	0	2	4	5	1	6	2	3	6	2	5	4	3	3	4	3	5	1	4	2	5	2
G[Ins(T):R(0,4)]C	1	1	5	2	0	2	12	0	1	1	1	7	1	2	0	4	0	1	0	2	2	0	0
G[Ins(T):R(0,4)]G	1	3	3	6	0	2	2	1	4	3	3	12	5	1	1	3	2	3	2	3	3	1	1
A[Ins(T):R(5,7)]A	10	14	12	14	8	5	9	13	7	14	16	22	15	15	7	11	6	20	29	14	18	13	3
A[Ins(T):R(5,7)]C	11	13	13	17	6	4	11	17	10	21	21	18	23	12	5	12	16	25	28	24	12	18	16
A[Ins(T):R(5,7)]G	11	13	11	21	13	4	14	17	20	15	10	17	20	13	8	9	17	34	23	15	10	17	13
C[Ins(T):R(5,7)]A	3	7	2	7	3	3	4	6	3	4	3	5	9	3	1	4	1	9	15	9	5	9	4
C[Ins(T):R(5,7)]C	1	9	6	13	5	5	5	7	2	8	4	9	6	5	3	11	4	17	16	9	7	5	10
C[Ins(T):R(5,7)]G	9	8	8	14	7	2	3	7	8	14	8	11	6	4	5	4	7	15	16	8	10	11	3
G[Ins(T):R(5,7)]A	5	5	4	5	4	0	8	1	4	10	10	9	10	5	2	6	3	13	11	7	5	9	5
G[Ins(T):R(5,7)]C	3	8	4	15	9	1	12	9	6	12	6	9	6	3	2	9	6	18	11	13	5	14	5
G[Ins(T):R(5,7)]G	3	6	6	8	7	2	8	5	10	7	11	9	11	5	5	5	9	18	17	13	5	10	5
A[Ins(T):R(8,)]A	2	9	6	7	3	9	9	8	7	13	11	5	5	13	0	8	12	24	29	14	15	13	2
A[Ins(T):R(8,)]C	5	8	4	7	4	3	8	10	8	8	7	8	7	5	5	11	8	35	23	18	9	7	7
A[Ins(T):R(8,)]G	2	10	3	10	4	2	8	6	8	6	5	3	14	7	2	5	6	28	30	5	17	15	5
C[Ins(T):R(8,)]A	5	7	3	7	3	5	2	11	4	9	1	3	3	3	5	4	7	9	22	2	4	10	7
C[Ins(T):R(8,)]C	1	6	10	7	2	2	4	4	9	7	5	7	6	5	2	1	3	16	11	5	3	9	5
C[Ins(T):R(8,)]G	2	4	3	4	6	4	10	5	6	11	8	7	5	6	2	7	6	17	17	4	5	7	3
G[Ins(T):R(8,)]A	3	1	2	5	3	5	4	7	5	4	6	4	2	3	2	4	2	9	8	3	5	6	2
G[Ins(T):R(8,)]C	2	1	3	2	4	1	5	5	5	6	4	6	5	6	1	3	2	16	9	6	5	5	1
G[Ins(T):R(8,)]G	2	6	4	3	4	2	2	3	4	6	6	2	7	7	6	5	6	9	13	8	5	7	2
Del(2,4):R1	7	15	12	55	17	5	22	3	4	5	31	20	16	13	7	34	4	12	5	6	4	27	8
Del(5,):R1	19	21	18	267	24	13	22	6	5	2	242	25	13	11	8	109	5	12	10	11	9	51	64
Del(2,8):U(1,2):R(2,4)	23	27	32	31	24	11	15	7	21	9	32	24	37	13	6	28	2	17	21	34	8	21	14
Del(2,):U(1,2):R(5,)	5	5	8	6	3	3	6	1	9	2	6	8	6	6	2	6	3	6	5	12	1	4	2
Del(3,):U(3,):R2	11	5	5	23	12	10	13	8	3	12	31	23	37	8	1	24	5	18	26	15	13	20	16
Del(3,):U(3,):R(3,)	0	8	4	5	3	3	2	4	2	3	7	7	22	0	2	8	7	7	9	5	9	7	3
Ins(2,4):R0	3	1	3	9	5	0	4	4	3	1	3	2	3	2	3	4	0	6	4	10	1	6	4
Ins(5,):R0	0	1	1	10	0	1	3	2	3	1	4	3	1	6	0	1	0	2	1	5	1	1	0
Ins(2,4):R1	7	6	10	29	6	5	9	1	3	3	20	5	11	6	5	16	3	7	4	14	4	6	18
Ins(5,):R1	3	11	5	84	6	8	8	1	6	2	36	4	10	6	3	35	1	7	5	17	2	10	30
Ins(2,):R(2,4)	12	5	5	14	6	2	9	3	4	5	16	10	5	7	2	10	4	5	3	11	5	5	8
Ins(2,):R(5,)	3	5	2	17	2	5	10	4	2	5	9	3	15	6	2	8	2	15	21	12	8	10	6
Del(2,5):M1	6	12	13	43	12	8	22	6	3	7	33	15	19	9	2	25	4	11	17	14	8	31	16
Del(3,5):M2	6	6	4	19	13	5	9	2	4	5	17	9	19	6	6	14	3	6	17	11	5	15	9
Del(4,5):M(3,4)	3	4	3	11	2	4	2	5	2	5	8	11	11	5	2	10	3	3	9	2	3	3	7
Del(6,):M1	11	23	19	186	22	11	24	3	7	6	166	23	15	13	6	96	3	12	14	5	6	30	69
Del(6,):M2	10	7	11	115	10	13	15	1	1	6	113	25	20	14	5	45	3	6	12	7	8	18	34
Del(6,):M3	4	5	6	68	8	13	9	2	4	2	57	15	7	5	3	32	0	4	8	1	4	9	24
Del(6,):M(4,)	5	6	9	56	7	7	10	1	6	3	76	12	7	3	1	49	0	9	10	4	3	10	27
Complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
